County,State,mean_life_expectancy,State_FIPS,County_FIPS,disability_rate,white_population,total_population,age_60_and_over,poverty_rate,housing_cost_burden,bachelors_and_above_percentage,median_gross_rent,age_15_to_44_percentage,gini_index,native_american_population,less_than_9th_grade_percentage,health_insurance_rate,unemployment_rate,median_household_income,asian_population,per_capita_income,total_population_race,high_school_only_percentage,median_home_value,black_population,age_18_and_under_percentage,Year
Dickenson County,Virginia,73.4609150865474,51,51,29.3,15685,15877,15.4,20.4,75,10.2,477,81.6,0.4257,0,16.0,13.5,10.1,32622,38,18090,15877,39.1,74500,68,8.2,2012
Dickey County,North Dakota,79.7405174442462,38,21,11.4,5098,5280,18.1,10.0,42,23.5,475,77.9,0.4651,30,9.6,9.2,2.0,41934,0,25425,5280,28.2,69100,60,10.1,2012
Dickinson County,Iowa,80.6833645918765,19,59,12.6,16453,16778,20.5,7.9,66,28.3,586,82.8,0.4376,21,2.5,8.4,4.4,53426,51,31529,16778,31.4,154700,58,6.5,2012
Dickinson County,Kansas,77.9415010982874,20,41,15.8,18921,19766,15.8,11.4,272,18.7,590,77.4,0.3959,117,3.6,10.0,5.9,49535,60,23995,19766,38.4,106400,68,8.2,2012
Dickinson County,Michigan,79.2111008652324,26,43,15.5,25471,26286,17.0,11.0,237,21.1,554,80.8,0.4439,49,1.7,10.0,9.4,44272,147,24682,26286,41.2,87000,75,7.2,2012
Dickson County,Tennessee,75.4746205958301,47,43,15.6,45972,49704,11.7,16.0,269,13.5,733,77.3,0.4166,47,6.6,12.3,9.0,45109,250,21303,49704,44.4,138000,2099,8.6,2012
Dillingham Census Area,Alaska,73.8738696625887,2,70,12.3,888,4887,7.4,17.9,33,14.2,999,70.5,0.426,3381,11.3,34.1,14.5,56857,38,22066,4887,37.9,173300,19,12.0,2012
Dillon County,South Carolina,72.9255721244712,45,33,17.6,15160,31733,11.3,32.8,115,6.8,551,75.9,0.4665,738,13.4,18.1,14.6,26668,5,14569,31733,37.7,63300,14899,9.8,2012
Dimmit County,Texas,77.6998596192946,48,127,22.7,9374,10054,14.6,27.0,19,10.7,534,74.9,0.4813,11,26.9,24.4,10.3,32960,10,15995,10054,32.6,47900,57,11.9,2012
Dinwiddie County,Virginia,77.307949791914,51,53,17.3,18006,27926,12.9,12.9,104,10.1,878,80.1,0.3957,62,10.2,15.8,10.0,51582,140,23257,27926,41.2,164600,9280,10.1,2012
Divide County,North Dakota,80.5881003003952,38,23,16.8,2056,2095,23.4,9.5,0,21.4,455,85.0,0.4997,33,6.8,9.7,0.6,51208,6,33879,2095,32.3,62600,0,7.1,2012
Dixie County,Florida,75.3236310527,12,29,22.9,14248,16301,18.4,16.3,68,8.6,585,80.6,0.4061,39,7.5,16.9,8.4,35476,46,17508,16301,35.0,88900,1532,9.4,2012
Dixon County,Nebraska,79.4154860923149,31,51,13.3,5810,5982,15.4,10.9,76,12.4,531,75.8,0.392,33,10.5,11.8,5.1,45814,0,22443,5982,37.2,75500,19,6.3,2012
Doddridge County,West Virginia,77.4753242880217,54,17,12.3,8008,8147,14.5,21.3,44,5.4,520,82.2,0.4046,1,6.5,22.8,6.5,31261,0,15491,8147,48.0,78500,45,9.5,2012
Dodge County,Georgia,75.5425266340757,13,91,16.8,14721,21509,11.0,19.2,179,11.6,552,80.2,0.4258,28,8.2,17.5,10.8,36042,34,17275,21509,46.8,67900,6452,11.3,2012
Dodge County,Minnesota,81.486974833457,27,39,7.4,19493,20071,11.1,7.3,60,19.9,659,73.9,0.3683,23,3.3,6.7,3.8,66959,110,28270,20071,35.9,160400,112,7.6,2012
Dodge County,Nebraska,78.7107914529787,31,53,12.7,35222,36590,16.3,11.7,394,18.4,634,77.7,0.4049,234,4.8,10.5,6.4,46475,183,23787,36590,36.3,109900,131,8.1,2012
Dodge County,Wisconsin,79.1700973865126,55,27,10.6,83809,88741,12.4,8.3,797,13.8,736,81.3,0.383,300,3.8,7.0,7.2,53782,488,24907,88741,42.3,156000,2453,8.6,2012
Dolores County,Colorado,79.7274007984304,8,33,19.2,1745,1806,21.7,13.9,0,13.1,574,78.9,0.4266,19,1.0,16.3,9.1,43098,4,24392,1806,42.7,123000,0,3.4,2012
Dona Ana County,New Mexico,79.6002813272038,35,13,10.7,186963,208794,11.8,25.8,2165,26.1,681,75.5,0.4674,2345,13.3,21.6,11.5,38462,2378,19517,208794,23.2,142700,3340,13.5,2012
Doniphan County,Kansas,78.6141829095255,20,43,13.6,7317,7931,13.6,12.6,91,18.0,518,81.5,0.3905,75,3.7,12.4,4.9,46346,48,22427,7931,41.6,85000,274,15.4,2012
Donley County,Texas,75.8144941383351,48,129,15.6,3400,3652,19.5,14.9,30,19.3,572,81.1,0.4116,11,9.3,19.7,2.3,41875,28,21867,3652,33.2,55900,175,13.2,2012
Dooly County,Georgia,78.0908779265121,13,93,13.5,6568,14528,11.5,28.6,118,9.3,505,82.7,0.4845,15,11.6,20.4,9.1,30789,17,15733,14528,42.4,66600,7505,10.6,2012
Door County,Wisconsin,80.6941524021912,55,29,11.2,26827,27872,20.8,11.4,127,29.0,679,84.4,0.4409,135,2.9,8.9,6.9,48707,130,30509,27872,36.3,192300,140,6.1,2012
Dorchester County,Maryland,77.125653242824,24,19,15.0,22064,32570,16.5,15.9,477,15.9,808,79.7,0.4526,63,4.7,11.1,12.2,46199,328,26505,32570,43.3,200000,9057,7.9,2012
Dorchester County,South Carolina,78.3806604502882,45,35,11.2,94229,136836,9.1,11.4,769,23.6,948,75.4,0.406,928,3.7,14.9,10.1,54912,1892,24736,136836,32.0,169800,34468,8.9,2012
Dougherty County,Georgia,75.0665944233774,13,95,14.9,28204,94591,10.5,30.6,1315,16.9,674,75.0,0.5166,119,7.1,20.0,15.5,31789,725,19140,94591,31.4,101900,63492,13.0,2012
Douglas County,Colorado,83.2883520746022,8,35,5.9,261685,286883,7.0,4.0,1577,59.0,1237,72.0,0.3859,790,0.8,5.8,5.4,101108,11183,43195,286883,11.7,335300,3202,5.7,2012
Douglas County,Georgia,77.1251788314126,13,97,11.1,73116,132124,7.7,13.4,1426,22.6,926,74.1,0.4004,529,5.3,17.4,12.9,54526,2155,24115,132124,33.2,146900,52129,9.0,2012
Douglas County,Illinois,78.7938733001023,17,41,10.3,19081,19908,13.4,10.1,72,13.7,666,76.2,0.397,34,10.3,20.0,6.1,50589,159,23870,19908,41.2,98800,82,8.3,2012
Douglas County,Kansas,80.6223100312615,20,45,10.0,94812,111073,7.8,19.5,1291,47.4,826,82.5,0.4656,2517,1.4,12.8,7.2,48395,4301,25723,111073,20.4,178700,4218,25.6,2012
Douglas County,Minnesota,81.0177973796715,27,41,11.9,35379,36167,18.0,10.3,380,24.6,623,80.6,0.4112,139,3.4,8.1,5.6,50365,99,26778,36167,29.9,190500,210,9.3,2012
Douglas County,Missouri,76.9924728618042,29,67,20.5,13475,13690,18.7,24.1,93,8.9,516,80.4,0.4311,62,7.7,18.3,10.4,31277,0,16435,13690,43.7,108400,9,7.7,2012
Douglas County,Nebraska,78.7448045847676,31,55,10.2,405196,518271,9.2,14.0,5847,36.4,770,75.8,0.4677,3512,4.9,12.7,6.8,53295,13566,29097,518271,21.9,142900,58444,10.2,2012
Douglas County,Nevada,81.0063212005458,32,5,12.5,42561,47056,20.5,9.7,539,27.1,1037,81.5,0.4531,1009,1.6,15.7,11.1,61099,501,34743,47056,26.0,303800,190,6.8,2012
Douglas County,Oregon,77.4316300362063,41,19,21.4,100130,107391,20.0,17.8,1161,15.9,737,81.4,0.4187,1912,4.3,16.5,13.5,40096,885,21459,107391,31.3,179500,352,7.9,2012
Douglas County,South Dakota,80.5801330417132,46,43,14.8,2897,2992,21.6,10.8,18,15.0,516,80.3,0.4373,63,17.7,12.7,1.5,48836,0,26756,2992,34.4,69000,0,6.6,2012
Douglas County,Washington,80.5466973564184,53,17,15.3,28809,38369,13.2,16.5,397,18.1,753,75.6,0.3876,413,12.1,19.3,8.5,52285,294,22870,38369,28.7,213900,96,8.9,2012
Douglas County,Wisconsin,78.2724866598898,55,31,12.2,40981,43963,13.2,13.5,556,20.6,660,80.7,0.4144,812,2.1,11.8,7.3,45370,440,24943,43963,34.2,132000,596,10.0,2012
Drew County,Arkansas,75.6904108101973,5,43,17.2,12943,18615,13.4,24.2,219,22.2,599,78.9,0.4603,12,5.7,19.7,12.0,32087,112,17790,18615,37.0,80700,5271,13.9,2012
DuPage County,Illinois,81.9381835278837,17,43,7.7,738739,918608,10.1,6.6,7969,48.1,1079,77.6,0.4428,1429,3.5,9.2,8.4,78538,93861,38398,918608,18.2,298500,41842,9.1,2012
Dubois County,Indiana,78.6910970555099,18,37,9.5,40838,41995,12.4,7.9,298,18.8,621,77.8,0.4018,62,6.6,8.5,4.9,54168,148,25731,41995,42.7,132200,181,7.4,2012
Dubuque County,Iowa,80.0409424252503,19,61,11.2,88413,93776,13.1,10.3,806,25.7,643,78.5,0.4195,162,3.9,6.0,4.9,50885,1090,26034,93776,38.1,144300,1359,10.8,2012
Duchesne County,Utah,77.1744795461994,49,13,10.1,17023,18537,10.3,10.2,107,16.8,771,71.1,0.3891,911,3.0,17.0,5.6,55724,88,23730,18537,38.5,169500,71,9.1,2012
Dukes County,Massachusetts,81.8144082578357,25,7,10.4,15181,16581,14.9,10.8,44,38.6,1252,83.0,0.4573,179,0.7,8.1,4.8,65896,140,33125,16581,25.1,656000,656,6.8,2012
Dundy County,Nebraska,78.667198693482,31,57,14.4,1981,1996,18.6,8.6,13,24.1,455,81.3,0.4705,0,3.6,15.5,3.0,39596,5,26726,1996,31.1,72500,3,4.2,2012
Dunklin County,Missouri,72.1824771198109,29,69,23.6,27972,31970,14.6,25.5,443,10.1,497,76.0,0.4632,94,14.3,17.3,10.3,30379,74,17778,31970,41.9,69200,3183,7.7,2012
Dunn County,North Dakota,79.6148725106873,38,25,10.3,3110,3648,16.6,9.0,11,14.2,448,82.8,0.4731,322,5.2,13.7,3.0,54539,51,32625,3648,35.5,88300,10,8.0,2012
Dunn County,Wisconsin,80.7863522993424,55,33,9.9,41585,43788,11.1,16.3,285,23.4,680,81.9,0.4012,233,3.2,9.2,6.8,47847,1021,22242,43788,36.7,157800,222,20.5,2012
Duplin County,North Carolina,77.9676218512271,37,61,16.9,33479,58510,12.0,24.4,484,8.9,579,75.9,0.4322,56,16.3,24.2,11.8,33896,196,16927,58510,32.9,86400,14888,9.1,2012
Durham County,North Carolina,79.5059963976167,37,63,10.4,131635,269283,8.4,18.0,4621,42.3,840,78.1,0.4641,1086,7.2,16.4,8.2,50997,12003,28634,269283,19.5,179800,100777,11.8,2012
Dutchess County,New York,80.5441200509473,36,27,12.4,235943,297291,12.0,9.1,2189,32.1,1086,80.6,0.428,684,4.0,9.3,9.0,71508,11167,33037,297291,29.0,299400,29134,11.1,2012
Duval County,Florida,76.3973175449474,12,31,12.1,535374,866431,9.6,15.8,10826,25.9,930,77.9,0.4617,2616,4.0,17.2,10.9,48906,36377,26170,866431,29.5,161200,254680,10.9,2012
Duval County,Texas,75.4002446620955,48,131,26.3,10752,11821,13.2,21.4,70,6.6,620,79.3,0.4748,78,12.4,29.3,7.9,35167,6,17945,11821,33.6,50700,164,12.9,2012
Dyer County,Tennessee,74.8803678512879,47,45,18.4,31226,38234,12.0,19.2,475,17.9,605,77.1,0.4475,12,8.3,11.3,8.8,38167,109,20444,38234,43.9,96500,5605,7.7,2012
Eagle County,Colorado,87.6811696488415,8,37,4.1,46717,51850,5.5,10.0,538,45.0,1204,79.2,0.4722,228,7.2,19.3,5.4,71030,559,38665,51850,19.8,491500,156,9.1,2012
Early County,Georgia,74.1211600263603,13,99,20.1,5215,10928,14.3,29.2,36,11.5,524,75.3,0.484,0,8.8,16.5,9.1,29772,30,17945,10928,42.5,81600,5549,9.0,2012
East Baton Rouge Parish,Louisiana,76.1910651734354,22,33,12.4,217198,439662,9.5,18.5,4693,34.5,807,78.1,0.4851,611,3.7,14.1,7.7,48274,12657,27267,439662,25.7,164600,199527,15.0,2012
East Carroll Parish,Louisiana,72.1737677770998,22,35,15.8,2266,7738,9.9,44.9,49,8.2,457,77.4,0.526,23,9.5,32.5,21.3,25413,9,12870,7738,41.8,49000,5401,9.9,2012
East Feliciana Parish,Louisiana,73.3643721186984,22,37,18.9,10784,20252,11.8,20.6,139,10.8,608,83.2,0.4653,77,9.1,15.8,9.0,43868,71,21474,20252,42.9,111700,9143,9.8,2012
Eastland County,Texas,75.376826023229,48,133,20.9,17031,18519,18.1,20.5,152,14.2,568,80.9,0.5234,29,8.2,23.8,4.3,35044,15,21895,18519,37.1,67300,368,11.4,2012
Eaton County,Michigan,79.3936828881989,26,45,12.4,95245,107861,12.7,9.9,1024,25.5,744,79.2,0.3844,298,1.8,8.9,10.0,55301,1928,26591,107861,28.8,143300,6262,9.5,2012
Eau Claire County,Wisconsin,80.3271203910814,55,35,9.7,92174,98952,11.0,15.7,1085,31.0,692,80.0,0.4451,402,3.1,9.3,6.2,47821,3281,25437,98952,29.5,150600,922,17.0,2012
Echols County,Georgia,77.4800040431731,13,101,16.3,2958,4024,8.2,36.3,15,4.0,596,79.3,0.4789,0,16.5,39.9,12.4,27933,19,15015,4024,43.6,92000,85,14.8,2012
Ector County,Texas,75.0214918449131,48,135,13.6,117399,138193,8.8,15.8,993,12.9,740,72.9,0.4611,1003,13.9,28.4,5.7,50851,1009,24358,138193,30.1,88300,5928,11.7,2012
Eddy County,New Mexico,76.0733791262962,35,15,16.4,46503,53693,12.4,13.0,343,14.0,682,75.9,0.4838,772,7.0,15.1,7.6,47940,16,27092,53693,34.8,105400,287,9.3,2012
Eddy County,North Dakota,76.185344872636,38,27,11.2,2300,2393,19.3,17.9,12,15.3,418,82.6,0.4188,50,11.7,7.2,3.9,40000,0,23125,2393,32.4,56900,5,7.4,2012
Edgar County,Illinois,76.8116794940531,17,45,15.4,18169,18513,15.8,15.7,113,16.6,580,80.0,0.4503,7,3.0,10.4,10.3,42730,122,23724,18513,43.3,72500,73,7.7,2012
Edgecombe County,North Carolina,75.1751430196964,37,65,18.1,21988,56253,12.5,24.0,504,9.2,632,75.6,0.4412,261,11.8,18.7,17.4,33917,66,17247,56253,38.3,81100,32199,9.3,2012
Edgefield County,South Carolina,78.870533527743,45,37,14.5,15921,26763,10.9,19.8,81,15.7,575,82.7,0.4471,64,10.5,14.8,10.1,44208,46,20567,26763,37.6,106900,10162,9.3,2012
Edmonson County,Kentucky,77.0390623633687,21,61,20.8,11921,12141,15.5,18.9,67,8.8,553,80.8,0.4317,8,11.0,13.6,10.2,35243,12,18775,12141,46.9,91400,146,12.5,2012
Edmunds County,South Dakota,80.3955247450146,46,45,10.5,3974,4050,19.0,11.1,1,26.1,558,78.3,0.4249,33,7.2,6.4,1.5,51379,13,26173,4050,31.8,83800,0,7.1,2012
Edwards County,Illinois,76.7260928473027,17,47,15.3,6523,6691,15.2,11.1,54,11.5,467,79.8,0.4057,0,3.1,9.3,10.8,39238,23,20758,6691,33.6,62100,63,7.6,2012
Edwards County,Kansas,77.437540836725,20,47,11.4,2868,3021,16.9,16.1,20,21.5,506,77.3,0.4168,0,7.3,11.7,4.0,43953,21,23360,3021,31.8,54900,9,5.7,2012
Edwards County,Texas,79.4603471269872,48,137,16.1,1943,2023,24.4,19.7,0,25.2,488,79.8,0.5405,0,26.1,21.1,11.4,41613,0,27577,2023,25.0,62400,5,8.0,2012
Effingham County,Georgia,76.6807853160528,13,103,12.2,43229,52203,8.5,10.6,384,15.7,905,74.4,0.3784,199,3.9,15.6,7.4,62953,507,24943,52203,41.0,156900,7121,8.6,2012
Effingham County,Illinois,78.3468967206024,17,49,12.0,33428,34258,12.9,9.7,241,19.5,552,76.7,0.4335,23,4.5,8.6,5.6,51009,123,26029,34258,37.8,112800,87,8.8,2012
El Dorado County,California,81.2227109098631,6,17,11.4,157401,180441,14.0,8.1,1754,33.0,1109,80.1,0.4248,1790,2.5,10.5,10.9,70117,6183,34571,180441,22.0,378400,1354,8.1,2012
El Paso County,Colorado,79.5323718299468,8,41,10.8,508314,622816,8.8,12.5,7909,37.2,884,76.3,0.4364,4847,2.3,13.7,9.0,57531,16102,28776,622816,21.0,217500,37927,12.0,2012
El Paso County,Texas,79.8567143820226,48,141,12.1,643658,801115,8.8,24.0,9053,21.1,695,72.3,0.467,4482,13.7,28.8,8.2,39699,8471,18086,801115,25.0,111000,25217,12.2,2012
Elbert County,Colorado,81.2231670778837,8,39,10.7,21930,23058,10.0,6.0,90,30.9,1088,78.5,0.3789,163,0.7,11.3,8.0,80811,163,35034,23058,29.3,334400,73,6.3,2012
Elbert County,Georgia,74.994719658394,13,105,16.1,13342,20103,14.8,20.0,204,13.8,566,78.6,0.4378,40,9.5,17.3,13.4,35053,33,18536,20103,41.9,85100,6083,10.5,2012
Elk County,Kansas,76.5425902788036,20,49,26.2,2710,2856,22.8,18.2,22,17.3,439,81.4,0.4116,11,5.8,14.8,8.7,33239,16,19816,2856,43.8,53400,24,5.4,2012
Elk County,Pennsylvania,78.4527414423587,42,47,15.6,31438,31981,16.8,10.6,164,15.9,562,82.5,0.3844,48,3.3,6.8,6.9,44741,122,23497,31981,50.4,92300,178,6.7,2012
Elkhart County,Indiana,78.4433321079367,18,39,12.4,168630,198214,10.4,16.5,1460,18.8,712,73.9,0.427,606,8.2,19.5,11.0,46712,2046,21866,198214,36.4,125900,11455,9.2,2012
Elko County,Nevada,78.4137970420596,32,7,9.0,43614,49133,8.3,7.8,456,15.8,863,74.5,0.3645,2658,6.4,18.8,5.1,70411,500,27440,49133,31.6,183600,501,9.8,2012
Elliott County,Kentucky,75.5980470389881,21,63,26.0,7468,7774,12.5,33.7,41,3.9,445,83.2,0.4651,0,18.0,16.8,14.7,24841,6,13226,7774,44.4,69800,227,12.3,2012
Ellis County,Kansas,79.5002510274274,20,51,9.9,26895,28525,11.6,15.2,331,32.3,582,80.7,0.4519,38,3.4,10.0,4.5,44253,330,24625,28525,31.0,134700,304,19.0,2012
Ellis County,Oklahoma,77.1296710068985,40,45,16.9,3908,4095,17.2,14.4,2,22.8,513,78.5,0.4485,44,4.3,12.5,2.0,47933,7,26543,4095,34.4,74000,12,5.6,2012
Ellis County,Texas,77.8298059415538,48,139,12.7,123150,149712,9.1,10.8,1078,21.0,886,73.8,0.4021,2198,7.0,18.4,7.3,62832,955,26061,149712,29.5,139000,13233,9.4,2012
Ellsworth County,Kansas,78.2155842277977,20,53,13.0,5971,6477,14.8,6.8,58,17.8,487,85.7,0.4011,19,3.4,10.5,5.3,46350,9,23437,6477,41.9,71100,300,12.2,2012
Elmore County,Alabama,75.972036154942,1,51,15.0,60119,79330,11.1,13.0,443,20.5,736,78.6,0.4039,327,4.5,11.3,8.5,55514,452,24007,79330,35.3,143900,16036,10.3,2012
Elmore County,Idaho,78.3116981956039,16,39,11.3,22359,26655,9.1,15.6,237,15.0,676,75.8,0.3832,337,5.9,14.8,10.2,43886,542,20480,26655,28.7,142000,774,14.2,2012
Emanuel County,Georgia,73.1490169283872,13,107,19.5,13889,22600,11.9,27.8,196,9.4,538,77.9,0.4715,97,7.1,23.2,12.1,31675,25,16294,22600,41.7,72700,7606,11.2,2012
Emery County,Utah,77.1668394408763,49,15,16.5,10490,10902,12.2,9.7,59,12.6,608,71.0,0.3482,49,3.4,13.2,5.6,51372,37,20075,10902,36.6,120600,47,8.3,2012
Emmet County,Iowa,78.7914748803203,19,63,10.1,9685,10263,15.8,10.4,86,13.4,607,80.8,0.4797,19,9.1,12.6,5.5,46547,32,26740,10263,34.9,83600,92,12.1,2012
Emmet County,Michigan,80.0483708166782,26,47,12.4,30480,32799,15.5,10.9,292,32.8,732,79.5,0.4778,909,2.2,13.4,10.0,50686,179,29857,32799,29.8,175700,198,7.8,2012
Emmons County,North Dakota,78.9129614178849,38,29,16.4,3521,3544,24.8,14.7,19,11.1,386,81.9,0.4906,9,15.4,5.9,4.6,37304,0,25134,3544,36.5,68500,0,5.6,2012
Emporia City,Virginia,74.729911561938,51,595,18.8,1862,5825,15.0,33.0,90,16.2,618,79.3,0.5053,13,16.6,18.4,18.9,29093,20,17840,5825,39.7,95500,3729,9.3,2012
Erath County,Texas,78.1480321472755,48,143,11.8,33456,38192,11.0,22.0,305,24.5,647,79.4,0.4964,283,10.3,25.5,5.1,40176,201,22048,38192,25.6,116900,416,19.3,2012
Erie County,New York,78.3378185532327,36,29,12.8,736093,919542,13.3,14.2,10305,31.2,713,80.1,0.4563,4793,3.1,6.9,8.2,49977,24746,27700,919542,29.1,123400,122004,11.0,2012
Erie County,Ohio,77.5018704196317,39,43,15.5,67307,76952,16.2,12.9,680,20.8,690,80.0,0.4376,317,3.1,11.1,8.7,46906,407,25867,76952,40.4,139100,6433,7.7,2012
Erie County,Pennsylvania,78.0223334899198,42,49,15.1,247864,280181,12.5,16.1,2737,24.4,645,79.3,0.4505,728,2.6,8.9,9.1,45249,3198,23974,280181,40.8,115400,19659,11.7,2012
Escambia County,Alabama,74.0158797821032,1,53,19.0,24024,38122,12.6,24.9,142,10.9,558,81.2,0.4656,1418,9.8,21.9,15.0,31075,142,16294,38122,35.8,85300,12280,8.6,2012
Escambia County,Florida,76.0503325549759,12,33,15.2,207451,298864,12.7,17.8,4028,24.7,853,80.6,0.4523,1729,4.1,17.8,11.4,43806,8539,23396,298864,29.7,137300,66734,14.1,2012
Essex County,Massachusetts,80.7765369203971,25,9,11.3,605090,744961,12.3,11.0,10068,38.0,1026,78.4,0.4755,1189,5.3,4.2,8.3,66918,23986,35369,744961,26.5,354700,26816,9.3,2012
Essex County,New Jersey,78.9339679365871,34,13,10.8,339640,783840,9.7,16.1,13323,31.5,1038,76.7,0.5313,2084,8.5,17.3,12.7,55027,36585,32171,783840,29.5,376900,317719,10.0,2012
Essex County,New York,79.7385808638317,36,31,14.4,36708,39309,15.8,12.4,354,21.3,743,84.3,0.4234,53,4.8,9.7,8.2,47400,167,25964,39309,35.9,149900,1185,8.5,2012
Essex County,Vermont,79.2074006682945,50,9,18.7,6123,6316,18.9,15.1,24,13.0,652,82.7,0.4066,29,8.2,11.3,10.7,37214,19,20939,6316,45.2,123300,34,6.3,2012
Essex County,Virginia,76.5630270663678,51,57,15.4,6526,11130,17.1,12.7,17,16.8,793,81.2,0.394,64,9.6,13.8,7.5,42446,14,21522,11130,36.4,165700,4300,10.2,2012
Estill County,Kentucky,72.7582824254055,21,65,25.8,14386,14647,13.7,26.1,87,5.8,488,78.9,0.4767,36,15.7,17.3,14.3,28684,0,16653,14647,49.3,73800,38,7.5,2012
Etowah County,Alabama,73.2531150461842,1,55,19.3,85430,104317,13.6,18.8,808,15.0,608,78.4,0.4514,354,6.6,15.6,11.3,37660,696,20672,104317,34.7,101200,15745,9.0,2012
Eureka County,Nevada,79.2888592390419,32,11,8.1,1672,1809,16.6,14.9,10,19.3,704,75.6,0.3705,70,5.6,23.7,7.5,61331,0,25843,1809,41.6,115400,11,3.8,2012
Evangeline Parish,Louisiana,73.654839992028,22,39,18.1,23497,33989,11.4,22.7,291,10.5,504,75.0,0.4838,65,19.0,15.4,7.4,32125,95,17784,33989,38.9,78100,9623,10.8,2012
Evans County,Georgia,75.0916714641789,13,109,17.1,6614,10935,11.6,25.6,54,13.7,537,76.5,0.4361,33,11.0,22.1,8.9,36602,54,18588,10935,37.9,89600,3158,11.2,2012
Fairbanks North Star Borough,Alaska,79.1951142874763,2,90,10.1,75945,97523,6.2,8.0,1305,25.0,1157,77.5,0.4066,6458,2.6,13.9,6.7,69485,2460,32344,97523,27.7,213500,4482,15.0,2012
Fairfax City,Virginia,83.923627807264,51,600,7.5,16371,22712,11.5,6.0,386,57.0,1643,80.8,0.4037,137,2.2,11.2,5.4,98563,3578,45157,22712,11.6,465100,1079,11.8,2012
Fairfax County,Virginia,83.923627807264,51,59,6.3,691090,1083770,9.1,5.6,11749,61.3,1621,77.8,0.4167,4623,4.4,12.1,5.0,109383,190824,50532,1083770,12.0,480200,99298,8.2,2012
Fairfield County,Connecticut,82.301705240952,9,1,8.8,699870,918892,11.8,8.8,8501,46.4,1279,77.0,0.5376,1439,5.6,11.2,9.3,82614,42880,48900,918892,22.9,447500,99871,8.4,2012
Fairfield County,Ohio,79.0974885197777,39,45,12.3,131999,146138,11.1,11.4,1490,25.6,773,76.5,0.4129,163,2.0,9.4,8.0,58971,1782,27134,146138,35.9,166200,8090,8.4,2012
Fairfield County,South Carolina,74.2433710362961,45,39,16.7,9111,23804,13.8,23.2,167,12.7,582,79.2,0.4875,0,7.3,13.4,11.0,35452,21,20162,23804,43.5,92500,14372,8.3,2012
Fall River County,South Dakota,75.9565138293828,46,47,20.7,6318,7028,21.6,18.2,90,21.4,478,82.2,0.4872,382,3.6,14.3,6.8,33703,72,24073,7028,34.7,88000,19,6.3,2012
Fallon County,Montana,78.2202348250767,30,25,13.5,2989,3051,15.9,8.8,12,18.9,473,76.6,0.4504,5,4.4,14.5,4.0,49732,0,28047,3051,44.9,101200,0,6.9,2012
Falls Church City,Virginia,81.5591926000576,51,610,6.7,9533,12300,9.2,4.1,140,78.7,1510,77.1,0.4019,8,2.1,5.1,5.7,122844,1212,57784,12300,5.4,645600,634,8.8,2012
Falls County,Texas,76.4405167245236,48,145,19.1,12351,17756,15.0,21.0,179,11.6,591,80.6,0.4338,54,9.4,19.5,7.8,33744,185,16384,17756,39.9,61200,4386,10.8,2012
Fannin County,Georgia,76.5729956410993,13,111,21.2,22761,23554,21.0,20.1,217,15.8,612,82.4,0.4257,201,9.6,19.0,13.5,35446,30,19865,23554,40.2,163900,138,6.8,2012
Fannin County,Texas,75.4325441804217,48,147,18.7,29744,33867,15.3,16.1,235,15.9,669,81.5,0.4254,264,7.1,20.7,7.7,43382,145,20072,33867,37.5,91700,2295,10.0,2012
Faribault County,Minnesota,79.8456344802581,27,43,11.8,14104,14546,18.2,12.4,75,15.2,491,80.4,0.4321,59,4.4,8.1,5.6,43835,28,24690,14546,41.1,87000,75,7.5,2012
Faulk County,South Dakota,80.234779561656,46,49,15.1,2346,2374,22.7,13.6,28,10.4,423,80.4,0.47,22,6.8,11.3,2.4,39714,0,22394,2374,48.3,59000,0,9.7,2012
Faulkner County,Arkansas,76.9619590048966,5,45,12.5,97018,113730,8.9,14.6,1161,25.4,704,76.8,0.4309,499,4.0,13.5,7.8,49008,1541,23763,113730,33.2,135300,11872,15.3,2012
Fauquier County,Virginia,79.4046133816011,51,61,10.3,57199,65495,11.9,5.3,433,33.6,1138,77.1,0.4231,32,3.7,10.7,5.9,88687,896,40080,65495,27.5,363600,5393,7.5,2012
Fayette County,Alabama,74.2005416942204,1,57,24.1,14921,17219,16.0,19.1,145,10.9,456,79.1,0.4414,38,10.5,11.4,8.1,33090,58,18675,17219,43.1,72600,1942,8.8,2012
Fayette County,Georgia,80.7760993114054,13,113,8.8,77040,106525,12.1,6.7,644,43.7,1074,76.9,0.4106,185,2.4,8.8,8.1,81242,4286,35743,106525,18.9,239500,21297,8.1,2012
Fayette County,Illinois,78.5261048545,17,51,13.9,20711,22082,13.9,18.3,99,13.5,522,79.3,0.4276,15,6.2,12.2,9.5,43724,276,22194,22082,45.9,79600,397,9.6,2012
Fayette County,Indiana,74.4521855377607,18,41,19.3,23477,24220,15.2,23.6,127,8.9,640,78.2,0.4361,5,8.6,17.9,15.4,36602,57,18649,24220,43.6,81500,293,7.5,2012
Fayette County,Iowa,79.2079257158097,19,65,13.5,20208,20894,16.6,12.7,148,15.5,512,79.7,0.4005,97,3.8,8.7,6.0,42995,81,22335,20894,45.7,82800,186,10.7,2012
Fayette County,Kentucky,78.4904824391869,21,67,11.3,227058,296766,8.8,18.2,4337,41.2,731,80.3,0.489,694,5.6,13.7,7.7,48779,10168,29339,296766,20.7,163000,42188,14.4,2012
