County,State,State_FIPS,County_FIPS,total_population
Pike County,Alabama,01,109,33287.0
Randolph County,Alabama,01,111,22530.0
Russell County,Alabama,01,113,58480.0
Saint Clair County,Alabama,01,115,86937.0
Shelby County,Alabama,01,117,208721.0
Sumter County,Alabama,01,119,13084.0
Talladega County,Alabama,01,121,80888.0
Tallapoosa County,Alabama,01,123,40756.0
Tuscaloosa County,Alabama,01,125,204424.0
Walker County,Alabama,01,127,64927.0
Washington County,Alabama,01,129,16746.0
Wilcox County,Alabama,01,131,10919.0
Winston County,Alabama,01,133,23968.0
Anchorage Municipality,Alaska,02,020,298225.0
Bethel Census Area,Alaska,02,050,17957.0
Bristol Bay Borough,Alaska,02,060,917.0
Fairbanks North Star Borough,Alaska,02,090,100031.0
Haines Borough,Alaska,02,100,2537.0
Juneau City and Borough,Alaska,02,110,32434.0
Kenai Peninsula Borough,Alaska,02,122,57961.0
Kodiak Island Borough,Alaska,02,150,13773.0
Matanuska-Susitna Borough,Alaska,02,170,101135.0
Nome Census Area,Alaska,02,180,9869.0
North Slope Borough,Alaska,02,185,9757.0
Sitka City and Borough,Alaska,02,220,8810.0
Southeast Fairbanks Census Area,Alaska,02,240,6889.0
Valdez-Cordova Census Area,Alaska,02,261,9439.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,7715.0
Aleutians East Borough,Alaska,02,013,3338.0
Aleutians West Census Area,Alaska,02,016,5784.0
Dillingham Census Area,Alaska,02,070,4974.0
Lake and Peninsula Borough,Alaska,02,164,1301.0
Denali Borough,Alaska,02,068,2303.0
Yukon-Koyukuk Census Area,Alaska,02,290,5453.0
Hoonah-Angoon Census Area,Alaska,02,105,2146.0
Skagway Municipality,Alaska,02,230,1038.0
Yakutat City and Borough,Alaska,02,282,682.0
Ketchikan Gateway Borough,Alaska,02,130,13745.0
Petersburg Borough,Alaska,02,195,3275.0
Prince of Wales-Hyder Census Area,Alaska,02,198,6473.0
Wrangell City and Borough,Alaska,02,275,2475.0
Apache County,Arizona,04,001,71602.0
Cochise County,Arizona,04,003,126516.0
Coconino County,Arizona,04,005,138639.0
Gila County,Arizona,04,007,53145.0
Graham County,Arizona,04,009,37700.0
Greenlee County,Arizona,04,011,9368.0
Maricopa County,Arizona,04,013,4155501.0
Mohave County,Arizona,04,015,204691.0
Navajo County,Arizona,04,017,107902.0
Pima County,Arizona,04,019,1007257.0
Pinal County,Arizona,04,021,405537.0
Santa Cruz County,Arizona,04,023,46358.0
Yavapai County,Arizona,04,025,220972.0
La Paz County,Arizona,04,012,20477.0
Yuma County,Arizona,04,027,204281.0
Arkansas County,Arkansas,05,001,18352.0
Ashley County,Arkansas,05,003,20771.0
Baxter County,Arkansas,05,005,41093.0
Benton County,Arkansas,05,007,251823.0
Boone County,Arkansas,05,009,37212.0
Bradley County,Arkansas,05,011,10994.0
Calhoun County,Arkansas,05,013,5194.0
Carroll County,Arkansas,05,015,27782.0
Chicot County,Arkansas,05,017,11008.0
Clark County,Arkansas,05,019,22495.0
Clay County,Arkansas,05,021,15190.0
Cleburne County,Arkansas,05,023,25361.0
Cleveland County,Arkansas,05,025,8332.0
Columbia County,Arkansas,05,027,23992.0
Conway County,Arkansas,05,029,20954.0
Craighead County,Arkansas,05,031,104246.0
Crawford County,Arkansas,05,033,62119.0
Crittenden County,Arkansas,05,035,49278.0
Cross County,Arkansas,05,037,17164.0
Dallas County,Arkansas,05,039,7585.0
Desha County,Arkansas,05,041,12094.0
Drew County,Arkansas,05,043,18620.0
Faulkner County,Arkansas,05,045,121282.0
Franklin County,Arkansas,05,047,17803.0
Fulton County,Arkansas,05,049,12092.0
Garland County,Arkansas,05,051,97994.0
Grant County,Arkansas,05,053,18076.0
Greene County,Arkansas,05,055,44197.0
Hempstead County,Arkansas,05,057,22154.0
Hot Spring County,Arkansas,05,059,33480.0
Howard County,Arkansas,05,061,13472.0
Independence County,Arkansas,05,063,37097.0
Izard County,Arkansas,05,065,13521.0
Jackson County,Arkansas,05,067,17429.0
Jefferson County,Arkansas,05,069,71373.0
Johnson County,Arkansas,05,071,26155.0
Lafayette County,Arkansas,05,073,7051.0
Lawrence County,Arkansas,05,075,16777.0
Lee County,Arkansas,05,077,9614.0
Lincoln County,Arkansas,05,079,13885.0
Little River County,Arkansas,05,081,12494.0
Logan County,Arkansas,05,083,21802.0
Lonoke County,Arkansas,05,085,71568.0
Madison County,Arkansas,05,087,15907.0
Marion County,Arkansas,05,089,16374.0
Miller County,Arkansas,05,091,43760.0
Mississippi County,Arkansas,05,093,43534.0
Monroe County,Arkansas,05,095,7420.0
Montgomery County,Arkansas,05,097,9059.0
Nevada County,Arkansas,05,099,8528.0
Newton County,Arkansas,05,101,7898.0
Ouachita County,Arkansas,05,103,24378.0
Perry County,Arkansas,05,105,10320.0
Phillips County,Arkansas,05,107,19518.0
Pike County,Arkansas,05,109,10893.0
Poinsett County,Arkansas,05,111,24098.0
Polk County,Arkansas,05,113,20212.0
Pope County,Arkansas,05,115,63372.0
Prairie County,Arkansas,05,117,8309.0
Pulaski County,Arkansas,05,119,392848.0
Randolph County,Arkansas,05,121,17514.0
Saint Francis County,Arkansas,05,123,26688.0
Saline County,Arkansas,05,125,116252.0
Scott County,Arkansas,05,127,10584.0
Searcy County,Arkansas,05,129,7925.0
Sebastian County,Arkansas,05,131,127362.0
Sevier County,Arkansas,05,133,17206.0
Sharp County,Arkansas,05,135,17041.0
Stone County,Arkansas,05,137,12443.0
Union County,Arkansas,05,139,40022.0
Van Buren County,Arkansas,05,141,16751.0
Washington County,Arkansas,05,143,223683.0
White County,Arkansas,05,145,78706.0
Woodruff County,Arkansas,05,147,6763.0
Yell County,Arkansas,05,149,21601.0
Alameda County,California,06,001,1629615.0
Alpine County,California,06,003,1203.0
Amador County,California,06,005,37306.0
Butte County,California,06,007,225207.0
Calaveras County,California,06,009,45057.0
Colusa County,California,06,011,21479.0
Contra Costa County,California,06,013,1123678.0
Del Norte County,California,06,015,27442.0
El Dorado County,California,06,017,185015.0
Fresno County,California,06,019,971616.0
Glenn County,California,06,021,27935.0
Humboldt County,California,06,023,135490.0
Imperial County,California,06,025,179957.0
Inyo County,California,06,027,18195.0
Kern County,California,06,029,878744.0
Kings County,California,06,031,150183.0
Lake County,California,06,033,64095.0
Lassen County,California,06,035,31470.0
Los Angeles County,California,06,037,10105722.0
Madera County,California,06,039,154440.0
Marin County,California,06,041,260814.0
Mariposa County,California,06,043,17658.0
Mendocino County,California,06,045,87497.0
Merced County,California,06,047,267390.0
Modoc County,California,06,049,9017.0
Mono County,California,06,051,14058.0
Monterey County,California,06,053,433168.0
Napa County,California,06,055,141005.0
Nevada County,California,06,057,98838.0
Orange County,California,06,059,3155816.0
Placer County,California,06,061,374985.0
Plumas County,California,06,063,18724.0
Riverside County,California,06,065,2355002.0
Sacramento County,California,06,067,1495400.0
San Benito County,California,06,069,58671.0
San Bernardino County,California,06,071,2121220.0
San Diego County,California,06,073,3283665.0
San Francisco County,California,06,075,864263.0
San Joaquin County,California,06,077,724153.0
San Luis Obispo County,California,06,079,280119.0
San Mateo County,California,06,081,763450.0
Santa Barbara County,California,06,083,442996.0
Santa Clara County,California,06,085,1911226.0
Santa Cruz County,California,06,087,273263.0
Shasta County,California,06,089,178919.0
Sierra County,California,06,091,2885.0
Siskiyou County,California,06,093,43530.0
Solano County,California,06,095,434981.0
Sonoma County,California,06,097,500943.0
Stanislaus County,California,06,099,535684.0
Sutter County,California,06,101,95583.0
Tehama County,California,06,103,63247.0
Trinity County,California,06,105,13037.0
Tulare County,California,06,107,458809.0
Tuolumne County,California,06,109,53899.0
Ventura County,California,06,111,847834.0
Yolo County,California,06,113,212605.0
Yuba County,California,06,115,74644.0
Alamosa County,Colorado,08,003,16345.0
Archuleta County,Colorado,08,007,12592.0
Baca County,Colorado,08,009,3581.0
Bent County,Colorado,08,011,5806.0
Chaffee County,Colorado,08,015,18818.0
Cheyenne County,Colorado,08,017,2127.0
Clear Creek County,Colorado,08,019,9257.0
Conejos County,Colorado,08,021,8147.0
Costilla County,Colorado,08,023,3628.0
Crowley County,Colorado,08,025,5514.0
Custer County,Colorado,08,027,4505.0
Delta County,Colorado,08,029,30217.0
Dolores County,Colorado,08,033,1736.0
Douglas County,Colorado,08,035,320940.0
Eagle County,Colorado,08,037,53726.0
Elbert County,Colorado,08,039,24553.0
El Paso County,Colorado,08,041,674826.0
Fremont County,Colorado,08,043,46601.0
Garfield County,Colorado,08,045,57945.0
Gilpin County,Colorado,08,047,5793.0
Grand County,Colorado,08,049,14793.0
Gunnison County,Colorado,08,051,16215.0
Huerfano County,Colorado,08,055,6498.0
Jackson County,Colorado,08,057,1372.0
Kiowa County,Colorado,08,061,1368.0
Kit Carson County,Colorado,08,063,7846.0
Lake County,Colorado,08,065,7481.0
La Plata County,Colorado,08,067,54469.0
Larimer County,Colorado,08,069,330976.0
Las Animas County,Colorado,08,071,14151.0
Lincoln County,Colorado,08,073,5520.0
Logan County,Colorado,08,075,21885.0
Mesa County,Colorado,08,077,148798.0
Moffat County,Colorado,08,081,13056.0
Montezuma County,Colorado,08,083,25770.0
Montrose County,Colorado,08,085,40908.0
Morgan County,Colorado,08,087,28123.0
Otero County,Colorado,08,089,18325.0
Ouray County,Colorado,08,091,4653.0
Park County,Colorado,08,093,16900.0
Phillips County,Colorado,08,095,4327.0
Pitkin County,Colorado,08,097,17747.0
Prowers County,Colorado,08,099,12084.0
Pueblo County,Colorado,08,101,163368.0
Rio Blanco County,Colorado,08,103,6557.0
Rio Grande County,Colorado,08,105,11430.0
Routt County,Colorado,08,107,24359.0
Saguache County,Colorado,08,109,6338.0
San Miguel County,Colorado,08,113,7804.0
Sedgwick County,Colorado,08,115,2357.0
Summit County,Colorado,08,117,29722.0
Teller County,Colorado,08,119,23769.0
Washington County,Colorado,08,121,4809.0
Yuma County,Colorado,08,125,10109.0
Adams County,Colorado,08,001,487850.0
Arapahoe County,Colorado,08,005,626612.0
Boulder County,Colorado,08,013,316782.0
Broomfield County,Colorado,08,014,64283.0
Denver County,Colorado,08,031,678467.0
Jefferson County,Colorado,08,059,564029.0
Weld County,Colorado,08,123,285729.0
Fairfield County,Connecticut,09,001,947328.0
Hartford County,Connecticut,09,003,897417.0
Litchfield County,Connecticut,09,005,184454.0
Middlesex County,Connecticut,09,007,164110.0
New Haven County,Connecticut,09,009,862127.0
New London County,Connecticut,09,011,270772.0
Tolland County,Connecticut,09,013,151596.0
Windham County,Connecticut,09,015,116674.0
Kent County,Delaware,10,001,173145.0
New Castle County,Delaware,10,003,555036.0
Sussex County,Delaware,10,005,215551.0
Alachua County,Florida,12,001,259865.0
Baker County,Florida,12,003,27537.0
Bay County,Florida,12,005,180117.0
Bradford County,Florida,12,007,26775.0
Brevard County,Florida,12,009,568183.0
Broward County,Florida,12,011,1890416.0
Calhoun County,Florida,12,013,14458.0
Charlotte County,Florida,12,015,173236.0
Citrus County,Florida,12,017,141373.0
Clay County,Florida,12,019,203291.0
Collier County,Florida,12,021,356774.0
Columbia County,Florida,12,023,68484.0
Miami-Dade County,Florida,12,086,2702602.0
DeSoto County,Florida,12,027,35675.0
Dixie County,Florida,12,029,16323.0
Duval County,Florida,12,031,912043.0
Escambia County,Florida,12,033,309924.0
Flagler County,Florida,12,035,105015.0
Franklin County,Florida,12,037,11675.0
Gadsden County,Florida,12,039,46113.0
Gilchrist County,Florida,12,041,17191.0
Glades County,Florida,12,043,13197.0
Gulf County,Florida,12,045,16018.0
Hamilton County,Florida,12,047,14238.0
Hardee County,Florida,12,049,27326.0
Hendry County,Florida,12,051,39064.0
Hernando County,Florida,12,053,179144.0
Highlands County,Florida,12,055,100177.0
Hillsborough County,Florida,12,057,1351087.0
Holmes County,Florida,12,059,19483.0
Indian River County,Florida,12,061,147981.0
Jackson County,Florida,12,063,48571.0
Jefferson County,Florida,12,065,14085.0
Lafayette County,Florida,12,067,8684.0
Lake County,Florida,12,069,326215.0
Lee County,Florida,12,071,700165.0
Leon County,Florida,12,073,285890.0
Levy County,Florida,12,075,39713.0
Liberty County,Florida,12,077,8347.0
Madison County,Florida,12,079,18518.0
Manatee County,Florida,12,081,363542.0
Marion County,Florida,12,083,343778.0
Martin County,Florida,12,085,155719.0
Monroe County,Florida,12,087,76745.0
Nassau County,Florida,12,089,78435.0
Okaloosa County,Florida,12,091,197591.0
Okeechobee County,Florida,12,093,40228.0
Orange County,Florida,12,095,1290216.0
Osceola County,Florida,12,097,325168.0
Palm Beach County,Florida,12,099,1426772.0
Pasco County,Florida,12,101,498136.0
Pinellas County,Florida,12,103,949842.0
Polk County,Florida,12,105,652256.0
Putnam County,Florida,12,107,72435.0
Saint Johns County,Florida,12,109,226578.0
Saint Lucie County,Florida,12,111,298763.0
Santa Rosa County,Florida,12,113,166778.0
Sarasota County,Florida,12,115,404839.0
Seminole County,Florida,12,117,449260.0
Sumter County,Florida,12,119,116754.0
Suwannee County,Florida,12,121,43814.0
Taylor County,Florida,12,123,22350.0
Union County,Florida,12,125,15300.0
Volusia County,Florida,12,127,518660.0
Wakulla County,Florida,12,129,31586.0
Walton County,Florida,12,131,63457.0
Washington County,Florida,12,133,24472.0
Appling County,Georgia,13,001,18471.0
Atkinson County,Georgia,13,003,8313.0
Bacon County,Georgia,13,005,11279.0
Baker County,Georgia,13,007,3251.0
Baldwin County,Georgia,13,009,45527.0
Banks County,Georgia,13,011,18363.0
Barrow County,Georgia,13,013,75099.0
Bartow County,Georgia,13,015,102623.0
Ben Hill County,Georgia,13,017,17272.0
Berrien County,Georgia,13,019,19014.0
Bibb County,Georgia,13,021,153923.0
Bleckley County,Georgia,13,023,12779.0
Brantley County,Georgia,13,025,18411.0
Brooks County,Georgia,13,027,15629.0
Bryan County,Georgia,13,029,34883.0
Bulloch County,Georgia,13,031,73742.0
Burke County,Georgia,13,033,22645.0
Butts County,Georgia,13,035,23556.0
Calhoun County,Georgia,13,037,6503.0
Camden County,Georgia,13,039,52252.0
Candler County,Georgia,13,043,10894.0
Carroll County,Georgia,13,045,114898.0
Catoosa County,Georgia,13,047,65870.0
Charlton County,Georgia,13,049,12963.0
Chatham County,Georgia,13,051,285506.0
Chattahoochee County,Georgia,13,053,11096.0
Chattooga County,Georgia,13,055,24880.0
Cherokee County,Georgia,13,057,235896.0
Clarke County,Georgia,13,059,123554.0
Clay County,Georgia,13,061,3024.0
Clayton County,Georgia,13,063,274150.0
Clinch County,Georgia,13,065,6788.0
Cobb County,Georgia,13,067,739072.0
Coffee County,Georgia,13,069,43048.0
Colquitt County,Georgia,13,071,45890.0
Columbia County,Georgia,13,073,143723.0
Cook County,Georgia,13,075,17190.0
Coweta County,Georgia,13,077,138015.0
Crawford County,Georgia,13,079,12385.0
Crisp County,Georgia,13,081,23005.0
Dade County,Georgia,13,083,16282.0
Dawson County,Georgia,13,085,23397.0
Decatur County,Georgia,13,087,27023.0
DeKalb County,Georgia,13,089,736066.0
Dodge County,Georgia,13,091,21063.0
Dooly County,Georgia,13,093,14053.0
Dougherty County,Georgia,13,095,91522.0
Douglas County,Georgia,13,097,140152.0
Early County,Georgia,13,099,10405.0
Echols County,Georgia,13,101,4011.0
Effingham County,Georgia,13,103,57087.0
Elbert County,Georgia,13,105,19288.0
Emanuel County,Georgia,13,107,22502.0
Evans County,Georgia,13,109,10757.0
Fannin County,Georgia,13,111,24480.0
Fayette County,Georgia,13,113,110306.0
Floyd County,Georgia,13,115,96471.0
Forsyth County,Georgia,13,117,211300.0
Franklin County,Georgia,13,119,22328.0
Fulton County,Georgia,13,121,1010420.0
Gilmer County,Georgia,13,123,29614.0
Glascock County,Georgia,13,125,3027.0
Glynn County,Georgia,13,127,83467.0
Gordon County,Georgia,13,129,56424.0
Grady County,Georgia,13,131,25048.0
Greene County,Georgia,13,133,16732.0
Gwinnett County,Georgia,13,135,889954.0
Habersham County,Georgia,13,137,43878.0
Hall County,Georgia,13,139,192865.0
Hancock County,Georgia,13,141,8667.0
Haralson County,Georgia,13,143,28722.0
Harris County,Georgia,13,145,33198.0
Hart County,Georgia,13,147,25535.0
Heard County,Georgia,13,149,11607.0
Henry County,Georgia,13,151,217506.0
Houston County,Georgia,13,153,150341.0
Irwin County,Georgia,13,155,9278.0
Jackson County,Georgia,13,157,63851.0
Jasper County,Georgia,13,159,13732.0
Jeff Davis County,Georgia,13,161,14999.0
Jefferson County,Georgia,13,163,15954.0
Jenkins County,Georgia,13,165,8929.0
Johnson County,Georgia,13,167,9800.0
Jones County,Georgia,13,169,28540.0
Lamar County,Georgia,13,171,18282.0
Lanier County,Georgia,13,173,10388.0
Laurens County,Georgia,13,175,47451.0
Lee County,Georgia,13,177,29216.0
Liberty County,Georgia,13,179,62120.0
Lincoln County,Georgia,13,181,7768.0
Long County,Georgia,13,183,17857.0
Lowndes County,Georgia,13,185,113941.0
Lumpkin County,Georgia,13,187,31567.0
McDuffie County,Georgia,13,189,21488.0
McIntosh County,Georgia,13,191,14061.0
Macon County,Georgia,13,193,13675.0
Madison County,Georgia,13,195,28600.0
Marion County,Georgia,13,197,8558.0
Meriwether County,Georgia,13,199,21152.0
Miller County,Georgia,13,201,5884.0
Mitchell County,Georgia,13,205,22574.0
Monroe County,Georgia,13,207,26795.0
Montgomery County,Georgia,13,209,8962.0
Morgan County,Georgia,13,211,18013.0
Murray County,Georgia,13,213,39444.0
Muscogee County,Georgia,13,215,198647.0
Newton County,Georgia,13,217,105042.0
Oconee County,Georgia,13,219,35972.0
Oglethorpe County,Georgia,13,221,14654.0
Paulding County,Georgia,13,223,152399.0
Peach County,Georgia,13,225,27027.0
Pickens County,Georgia,13,227,30343.0
Pierce County,Georgia,13,229,19141.0
Pike County,Georgia,13,231,17919.0
Polk County,Georgia,13,233,41444.0
Pulaski County,Georgia,13,235,11396.0
Putnam County,Georgia,13,237,21430.0
Quitman County,Georgia,13,239,2140.0
Rabun County,Georgia,13,241,16354.0
Randolph County,Georgia,13,243,7206.0
Richmond County,Georgia,13,245,201568.0
Rockdale County,Georgia,13,247,88482.0
Schley County,Georgia,13,249,5168.0
Screven County,Georgia,13,251,14037.0
Seminole County,Georgia,13,253,8549.0
Spalding County,Georgia,13,255,64192.0
Stephens County,Georgia,13,257,25625.0
Stewart County,Georgia,13,259,5832.0
Sumter County,Georgia,13,261,30687.0
Talbot County,Georgia,13,263,6423.0
Taliaferro County,Georgia,13,265,1844.0
Tattnall County,Georgia,13,267,25402.0
Taylor County,Georgia,13,269,8267.0
Telfair County,Georgia,13,271,16339.0
Terrell County,Georgia,13,273,8978.0
Thomas County,Georgia,13,275,44909.0
Tift County,Georgia,13,277,40531.0
Toombs County,Georgia,13,279,27160.0
Towns County,Georgia,13,281,11173.0
Treutlen County,Georgia,13,283,6752.0
Troup County,Georgia,13,285,69433.0
Turner County,Georgia,13,287,8036.0
Twiggs County,Georgia,13,289,8323.0
Union County,Georgia,13,291,22262.0
Upson County,Georgia,13,293,26241.0
Walker County,Georgia,13,295,68609.0
Walton County,Georgia,13,297,88695.0
Ware County,Georgia,13,299,35688.0
Warren County,Georgia,13,301,5410.0
Washington County,Georgia,13,303,20506.0
Wayne County,Georgia,13,305,29833.0
Webster County,Georgia,13,307,2627.0
Wheeler County,Georgia,13,309,7952.0
White County,Georgia,13,311,28509.0
Whitfield County,Georgia,13,313,103963.0
Wilcox County,Georgia,13,315,8896.0
Wilkes County,Georgia,13,317,9905.0
Wilkinson County,Georgia,13,319,9147.0
Worth County,Georgia,13,321,20809.0
Hawaii County,Hawaii,15,001,196325.0
Honolulu County,Hawaii,15,003,990060.0
Kauai County,Hawaii,15,007,71093.0
Kalawao County,Hawaii,15,005,86.0
Maui County,Hawaii,15,009,164094.0
Ada County,Idaho,16,001,435117.0
Adams County,Idaho,16,003,3946.0
Bannock County,Idaho,16,005,84113.0
Bear Lake County,Idaho,16,007,5942.0
Benewah County,Idaho,16,009,9050.0
Bingham County,Idaho,16,011,45369.0
Blaine County,Idaho,16,013,21583.0
Boise County,Idaho,16,015,6968.0
Bonner County,Idaho,16,017,41855.0
Bonneville County,Idaho,16,019,110404.0
Boundary County,Idaho,16,021,11323.0
Butte County,Idaho,16,023,2613.0
Camas County,Idaho,16,025,886.0
Canyon County,Idaho,16,027,207027.0
Caribou County,Idaho,16,029,6862.0
Cassia County,Idaho,16,031,23472.0
Clearwater County,Idaho,16,035,8533.0
Custer County,Idaho,16,037,4141.0
Elmore County,Idaho,16,039,26232.0
Franklin County,Idaho,16,041,13120.0
Fremont County,Idaho,16,043,12889.0
Gem County,Idaho,16,045,16850.0
Gooding County,Idaho,16,047,15110.0
Idaho County,Idaho,16,049,16275.0
Jefferson County,Idaho,16,051,27410.0
Jerome County,Idaho,16,053,23039.0
Kootenai County,Idaho,16,055,150128.0
Latah County,Idaho,16,057,38697.0
Lemhi County,Idaho,16,059,7755.0
Lewis County,Idaho,16,061,3824.0
Lincoln County,Idaho,16,063,5296.0
Madison County,Idaho,16,065,38241.0
Minidoka County,Idaho,16,067,20448.0
Nez Perce County,Idaho,16,069,40014.0
Oneida County,Idaho,16,071,4284.0
Owyhee County,Idaho,16,073,11384.0
Payette County,Idaho,16,075,22839.0
Power County,Idaho,16,077,7667.0
Shoshone County,Idaho,16,079,12490.0
Teton County,Idaho,16,081,10776.0
Twin Falls County,Idaho,16,083,82248.0
Valley County,Idaho,16,085,10104.0
Washington County,Idaho,16,087,9996.0
Adams County,Illinois,17,001,66787.0
Alexander County,Illinois,17,003,6776.0
Bond County,Illinois,17,005,17034.0
Boone County,Illinois,17,007,53638.0
Brown County,Illinois,17,009,6791.0
Bureau County,Illinois,17,011,33619.0
Calhoun County,Illinois,17,013,4897.0
Carroll County,Illinois,17,015,14704.0
Cass County,Illinois,17,017,12880.0
Champaign County,Illinois,17,019,207946.0
Christian County,Illinois,17,021,33562.0
Clark County,Illinois,17,023,15924.0
Clay County,Illinois,17,025,13393.0
Clinton County,Illinois,17,027,37640.0
Coles County,Illinois,17,029,52540.0
Cook County,Illinois,17,031,5238541.0
Crawford County,Illinois,17,033,19214.0
Cumberland County,Illinois,17,035,10899.0
DeKalb County,Illinois,17,037,104473.0
De Witt County,Illinois,17,039,16176.0
Douglas County,Illinois,17,041,19830.0
DuPage County,Illinois,17,043,931826.0
Edgar County,Illinois,17,045,17603.0
Edwards County,Illinois,17,047,6570.0
Effingham County,Illinois,17,049,34164.0
Fayette County,Illinois,17,051,21980.0
Ford County,Illinois,17,053,13470.0
Franklin County,Illinois,17,055,39302.0
Fulton County,Illinois,17,057,35733.0
Gallatin County,Illinois,17,059,5226.0
Greene County,Illinois,17,061,13311.0
Grundy County,Illinois,17,063,50333.0
Hamilton County,Illinois,17,065,8259.0
Hancock County,Illinois,17,067,18264.0
Hardin County,Illinois,17,069,4161.0
Henderson County,Illinois,17,071,6927.0
Henry County,Illinois,17,073,49649.0
Iroquois County,Illinois,17,075,28457.0
Jackson County,Illinois,17,077,59115.0
Jasper County,Illinois,17,079,9608.0
Jefferson County,Illinois,17,081,38358.0
Jersey County,Illinois,17,083,22215.0
Jo Daviess County,Illinois,17,085,22046.0
Johnson County,Illinois,17,087,12899.0
Kane County,Illinois,17,089,529402.0
Kankakee County,Illinois,17,091,110801.0
Kendall County,Illinois,17,093,122933.0
Knox County,Illinois,17,095,51374.0
Lake County,Illinois,17,097,704476.0
LaSalle County,Illinois,17,099,111151.0
Lawrence County,Illinois,17,101,16457.0
Lee County,Illinois,17,103,34670.0
Livingston County,Illinois,17,105,36812.0
Logan County,Illinois,17,107,29488.0
McDonough County,Illinois,17,109,31597.0
McHenry County,Illinois,17,111,308043.0
McLean County,Illinois,17,113,173231.0
Macon County,Illinois,17,115,107587.0
Macoupin County,Illinois,17,117,45960.0
Madison County,Illinois,17,119,266153.0
Marion County,Illinois,17,121,38305.0
Marshall County,Illinois,17,123,11925.0
Mason County,Illinois,17,125,13904.0
Massac County,Illinois,17,127,14594.0
Menard County,Illinois,17,129,12416.0
Mercer County,Illinois,17,131,15794.0
Monroe County,Illinois,17,133,33739.0
Montgomery County,Illinois,17,135,29173.0
Morgan County,Illinois,17,137,34442.0
Moultrie County,Illinois,17,139,14711.0
Ogle County,Illinois,17,141,51619.0
Peoria County,Illinois,17,143,186145.0
Perry County,Illinois,17,145,21467.0
Piatt County,Illinois,17,147,16433.0
Pike County,Illinois,17,149,15930.0
Pope County,Illinois,17,151,4360.0
Pulaski County,Illinois,17,153,5691.0
Putnam County,Illinois,17,155,5771.0
Randolph County,Illinois,17,157,32829.0
Richland County,Illinois,17,159,15953.0
Rock Island County,Illinois,17,161,146205.0
Saint Clair County,Illinois,17,163,264433.0
Saline County,Illinois,17,165,24430.0
Sangamon County,Illinois,17,167,198134.0
Schuyler County,Illinois,17,169,7181.0
Scott County,Illinois,17,171,5109.0
Shelby County,Illinois,17,173,21906.0
Stark County,Illinois,17,175,5551.0
Stephenson County,Illinois,17,177,45839.0
Tazewell County,Illinois,17,179,134695.0
Union County,Illinois,17,181,17267.0
Vermilion County,Illinois,17,183,79207.0
Wabash County,Illinois,17,185,11568.0
Warren County,Illinois,17,187,17429.0
Washington County,Illinois,17,189,14260.0
Wayne County,Illinois,17,191,16569.0
White County,Illinois,17,193,14186.0
Whiteside County,Illinois,17,195,56823.0
Will County,Illinois,17,197,687727.0
Williamson County,Illinois,17,199,67477.0
Winnebago County,Illinois,17,201,287512.0
Woodford County,Illinois,17,203,38942.0
Adams County,Indiana,18,001,35018.0
Allen County,Indiana,18,003,367747.0
Bartholomew County,Indiana,18,005,81024.0
