County,State,mean_life_expectancy,State_FIPS,County_FIPS,age_15_to_44_percentage
Cleveland County,Arkansas,75.3480894669705,05,025,78.3
Columbia County,Arkansas,74.6838399967277,05,027,80.0
Conway County,Arkansas,75.4448351198573,05,029,79.0
Craighead County,Arkansas,76.2131160171002,05,031,76.3
Crawford County,Arkansas,75.743439597931,05,033,76.2
Crittenden County,Arkansas,73.0028156081488,05,035,73.0
Cross County,Arkansas,73.6777390034632,05,037,77.1
Dallas County,Arkansas,73.9263258901165,05,039,75.6
Desha County,Arkansas,73.4276736608831,05,041,76.4
Drew County,Arkansas,75.5138970499214,05,043,79.4
Faulkner County,Arkansas,76.9073679000959,05,045,77.2
Franklin County,Arkansas,75.0304629963768,05,047,77.8
Fulton County,Arkansas,75.4479638785258,05,049,81.2
Garland County,Arkansas,75.0910563247615,05,051,80.3
Grant County,Arkansas,75.8549997601848,05,053,79.0
Greene County,Arkansas,74.5883419533341,05,055,77.0
Hempstead County,Arkansas,75.0816457515582,05,057,75.9
Hot Spring County,Arkansas,74.674457659159,05,059,81.0
Howard County,Arkansas,74.5248817797813,05,061,75.0
Independence County,Arkansas,75.818962809451,05,063,77.4
Izard County,Arkansas,75.5224554466382,05,065,82.7
Jackson County,Arkansas,73.4906835570058,05,067,81.6
Jefferson County,Arkansas,73.7452633122832,05,069,78.1
Johnson County,Arkansas,76.0184647706335,05,071,78.1
Lafayette County,Arkansas,74.2310473910241,05,073,79.9
Lawrence County,Arkansas,74.1199788657354,05,075,78.5
Lee County,Arkansas,73.7502943427827,05,077,83.8
Lincoln County,Arkansas,75.4553403866795,05,079,86.3
Little River County,Arkansas,74.1885922604194,05,081,76.7
Logan County,Arkansas,74.7690105799881,05,083,79.3
Lonoke County,Arkansas,75.2359220612144,05,085,74.3
Madison County,Arkansas,75.6663513769671,05,087,79.7
Marion County,Arkansas,75.5962916062646,05,089,85.0
Miller County,Arkansas,74.8835906326357,05,091,77.4
Mississippi County,Arkansas,72.1102865682895,05,093,74.6
Monroe County,Arkansas,72.8831990296179,05,095,79.5
Montgomery County,Arkansas,76.3127945367472,05,097,80.5
Nevada County,Arkansas,74.2558254291586,05,099,76.1
Newton County,Arkansas,77.256810854711,05,101,81.1
Ouachita County,Arkansas,73.4859440403868,05,103,78.2
Perry County,Arkansas,75.2161291747456,05,105,79.8
Phillips County,Arkansas,71.3295020847569,05,107,72.5
Pike County,Arkansas,75.3612335128047,05,109,78.0
Poinsett County,Arkansas,71.8549037872847,05,111,76.7
Polk County,Arkansas,75.2614485975633,05,113,77.6
Pope County,Arkansas,76.6058991104863,05,115,78.7
Prairie County,Arkansas,75.782559047161,05,117,81.2
Pulaski County,Arkansas,76.1795129989355,05,119,77.7
Randolph County,Arkansas,74.9895162117781,05,121,78.0
Saint Francis County,Arkansas,74.2474039903728,05,123,80.9
Saline County,Arkansas,77.3960857547918,05,125,77.7
Scott County,Arkansas,75.2749649430301,05,127,75.7
Searcy County,Arkansas,76.0184922982395,05,129,79.3
Sebastian County,Arkansas,75.8356293882159,05,131,76.8
Sevier County,Arkansas,75.1099628253174,05,133,72.5
Sharp County,Arkansas,74.3655114172071,05,135,81.8
Stone County,Arkansas,76.4680154726822,05,137,81.9
Union County,Arkansas,73.531738985156,05,139,78.0
Van Buren County,Arkansas,76.3230678398837,05,141,81.7
Washington County,Arkansas,78.0525791787306,05,143,76.5
White County,Arkansas,75.3684739400756,05,145,77.8
Woodruff County,Arkansas,72.9691657863222,05,147,78.7
Yell County,Arkansas,74.9489492833161,05,149,77.0
Alameda County,California,81.9574601824784,06,001,79.7
Alpine County,California,79.1446091671374,06,003,81.2
Amador County,California,79.8676286856863,06,005,87.9
Butte County,California,77.9166897330305,06,007,81.5
Calaveras County,California,79.7392007377838,06,009,83.8
Colusa County,California,80.0718304385206,06,011,73.9
Contra Costa County,California,81.7294599306854,06,013,77.7
Del Norte County,California,75.9903836947179,06,015,81.1
El Dorado County,California,81.4213825961216,06,017,80.8
Fresno County,California,78.6231883737308,06,019,73.3
Glenn County,California,77.838340878587,06,021,74.8
Humboldt County,California,77.0034274971952,06,023,82.5
Imperial County,California,80.9437764733412,06,025,74.6
Inyo County,California,79.4013711406659,06,027,81.8
Kern County,California,77.4155560118422,06,029,73.8
Kings County,California,79.3394443531957,06,031,77.4
Lake County,California,75.2601471981006,06,033,81.3
Lassen County,California,78.5878680298779,06,035,89.5
Los Angeles County,California,81.6088919970855,06,037,78.6
Madera County,California,79.0356091221892,06,039,74.3
Marin County,California,84.3889101013875,06,041,81.0
Mariposa County,California,80.4146626674398,06,043,85.8
Mendocino County,California,78.7539965198557,06,045,79.7
Merced County,California,78.7699495167401,06,047,72.4
Modoc County,California,77.9703785616707,06,049,81.9
Mono County,California,85.1387867187453,06,051,84.6
Monterey County,California,82.0187429129939,06,053,76.0
Napa County,California,81.1951616905384,06,055,79.9
Nevada County,California,81.3087317219083,06,057,83.3
Orange County,California,82.5275699941024,06,059,78.5
Placer County,California,81.5788607115974,06,061,78.4
Plumas County,California,78.5240261319388,06,063,83.4
Riverside County,California,80.5356107538776,06,065,75.4
Sacramento County,California,79.2359862466345,06,067,76.9
San Benito County,California,81.8447025218421,06,069,75.4
San Bernardino County,California,78.6008851539483,06,071,74.6
San Diego County,California,81.6354754382568,06,073,79.5
San Francisco County,California,82.7273768509478,06,075,87.9
San Joaquin County,California,78.2052741778494,06,077,74.2
San Luis Obispo County,California,81.4165855283812,06,079,83.7
San Mateo County,California,83.8167556579334,06,081,79.7
Santa Barbara County,California,81.762921966888,06,083,79.5
Santa Clara County,California,83.7459727060519,06,085,78.5
Santa Cruz County,California,81.7431879819541,06,087,81.5
Shasta County,California,76.1366803244793,06,089,80.1
Sierra County,California,79.1154203499916,06,091,85.1
Siskiyou County,California,76.7123533175491,06,093,81.5
Solano County,California,79.7765697132744,06,095,78.7
Sonoma County,California,81.3537531397856,06,097,80.4
Stanislaus County,California,78.0404081273513,06,099,74.5
Sutter County,California,78.8647497761071,06,101,75.3
Tehama County,California,77.6815646677451,06,103,77.5
Trinity County,California,76.9779522244668,06,105,85.9
Tulare County,California,78.2919831279741,06,107,71.0
Tuolumne County,California,78.9180681770885,06,109,85.8
Ventura County,California,81.8702489506106,06,111,77.6
Yolo County,California,80.8212815975969,06,113,79.9
Yuba County,California,75.9620177615393,06,115,73.6
Alamosa County,Colorado,76.4520030136314,08,003,78.5
Archuleta County,Colorado,81.4521899731809,08,007,83.4
Baca County,Colorado,77.5486412990339,08,009,81.3
Bent County,Colorado,76.1374880821443,08,011,89.2
Chaffee County,Colorado,81.4775538864323,08,015,86.6
Cheyenne County,Colorado,79.6909457212359,08,017,77.5
Clear Creek County,Colorado,82.2544295673685,08,019,86.2
Conejos County,Colorado,76.7644631976601,08,021,75.8
Costilla County,Colorado,77.5800045007178,08,023,80.8
Crowley County,Colorado,77.741052629939,08,025,90.3
Custer County,Colorado,80.6307957604002,08,027,88.8
Delta County,Colorado,78.5163413913364,08,029,81.7
Dolores County,Colorado,79.5945138917714,08,033,82.4
Douglas County,Colorado,83.5549156528537,08,035,72.7
Eagle County,Colorado,87.8550573815851,08,037,78.9
Elbert County,Colorado,81.5265627610726,08,039,78.7
El Paso County,Colorado,79.4766379407405,08,041,76.7
Fremont County,Colorado,77.3282759106017,08,043,87.4
Garfield County,Colorado,80.7129313494244,08,045,76.8
Gilpin County,Colorado,80.8402892278279,08,047,78.9
Grand County,Colorado,83.6104349800547,08,049,80.6
Gunnison County,Colorado,82.4615975701476,08,051,83.6
Huerfano County,Colorado,76.7370310001646,08,055,86.2
Jackson County,Colorado,80.019428596651,08,057,82.3
Kiowa County,Colorado,77.8060630934981,08,061,78.6
Kit Carson County,Colorado,79.0396680266366,08,063,80.9
Lake County,Colorado,81.2812841315244,08,065,77.8
La Plata County,Colorado,81.9139056024152,08,067,82.4
Larimer County,Colorado,81.5911095993052,08,069,81.0
Las Animas County,Colorado,76.936758041852,08,071,81.9
Lincoln County,Colorado,79.2238693329103,08,073,86.9
Logan County,Colorado,79.1604272540649,08,075,84.0
Mesa County,Colorado,78.7432925415044,08,077,78.7
Moffat County,Colorado,78.7540045777934,08,081,74.5
Montezuma County,Colorado,77.577101117793,08,083,78.8
Montrose County,Colorado,79.6478445531103,08,085,78.7
Morgan County,Colorado,78.4127327674347,08,087,75.1
Otero County,Colorado,75.5779720298771,08,089,78.5
Ouray County,Colorado,84.5850561128476,08,091,89.3
Park County,Colorado,82.7525162279221,08,093,85.2
Phillips County,Colorado,79.9467802658477,08,095,76.3
Pitkin County,Colorado,90.0864739901917,08,097,86.3
Prowers County,Colorado,76.9893465934096,08,099,75.0
Pueblo County,Colorado,76.9509448414404,08,101,77.8
Rio Blanco County,Colorado,79.3997581000084,08,103,78.0
Rio Grande County,Colorado,77.1572524407443,08,105,77.3
Routt County,Colorado,83.0836598314748,08,107,82.9
Saguache County,Colorado,80.0823053595073,08,109,80.6
San Miguel County,Colorado,85.7011161631391,08,113,83.5
Sedgwick County,Colorado,78.2075550504511,08,115,84.6
Summit County,Colorado,90.4822708175061,08,117,84.7
Teller County,Colorado,80.5790656291349,08,119,83.7
Washington County,Colorado,79.9836857094953,08,121,80.8
Yuma County,Colorado,79.1855876209467,08,125,77.4
Adams County,Colorado,80.2789722027987,08,001,74.2
Arapahoe County,Colorado,80.2789722027987,08,005,76.8
Boulder County,Colorado,80.2789722027987,08,013,81.3
Broomfield County,Colorado,80.2789722027987,08,014,76.6
Denver County,Colorado,80.2789722027987,08,031,80.5
Jefferson County,Colorado,80.2789722027987,08,059,80.5
Weld County,Colorado,80.2789722027987,08,123,75.1
Fairfield County,Connecticut,82.5631925306583,09,001,77.7
Hartford County,Connecticut,80.5005165160435,09,003,79.5
Litchfield County,Connecticut,80.6656905163656,09,005,81.5
Middlesex County,Connecticut,81.2879575376129,09,007,81.7
New Haven County,Connecticut,80.2317578296903,09,009,80.0
New London County,Connecticut,80.1746538713983,09,011,81.4
Tolland County,Connecticut,81.8740724057526,09,013,83.0
Windham County,Connecticut,79.2213286863835,09,015,80.2
Kent County,Delaware,77.6582126117263,10,001,76.9
New Castle County,Delaware,78.7574531834631,10,003,78.9
Sussex County,Delaware,78.7388341774585,10,005,81.3
Alachua County,Florida,78.8446436145488,12,001,83.1
Baker County,Florida,75.5067173660575,12,003,77.1
Bay County,Florida,76.361815494481,12,005,80.3
Bradford County,Florida,76.0629032158072,12,007,83.2
Brevard County,Florida,78.154786052417,12,009,82.7
Broward County,Florida,80.6074711604382,12,011,79.6
Calhoun County,Florida,75.5785348350231,12,013,82.9
Charlotte County,Florida,80.4388130091559,12,015,87.5
Citrus County,Florida,76.2201643609441,12,017,86.2
Clay County,Florida,77.8317980418307,12,019,77.2
Collier County,Florida,84.4836600504725,12,021,82.7
Columbia County,Florida,75.4379875293089,12,023,80.7
Miami-Dade County,Florida,81.1399928541069,12,086,80.4
DeSoto County,Florida,79.8065989131509,12,027,82.4
Dixie County,Florida,74.9283501697955,12,029,82.8
Duval County,Florida,76.3662413048127,12,031,78.3
Escambia County,Florida,75.8265429872147,12,033,80.8
Flagler County,Florida,79.5181062926383,12,035,82.3
Franklin County,Florida,76.406957616415,12,037,85.4
Gadsden County,Florida,75.8057940796264,12,039,79.7
Gilchrist County,Florida,76.9721949862259,12,041,83.3
Glades County,Florida,80.9082704676563,12,043,82.5
Gulf County,Florida,76.6223858301363,12,045,88.7
Hamilton County,Florida,76.0213829513191,12,047,84.8
Hardee County,Florida,78.7962643023069,12,049,77.2
Hendry County,Florida,77.7970458894187,12,051,74.3
Hernando County,Florida,77.2131242626512,12,053,82.1
Highlands County,Florida,79.179271786199,12,055,83.1
Hillsborough County,Florida,78.8066512790219,12,057,78.3
Holmes County,Florida,74.345279901364,12,059,82.3
Indian River County,Florida,80.5310223845662,12,061,83.1
Jackson County,Florida,75.5087459649011,12,063,84.0
Jefferson County,Florida,77.0795832677861,12,065,84.2
Lafayette County,Florida,77.0212732340539,12,067,84.8
Lake County,Florida,79.2621560630153,12,069,81.0
Lee County,Florida,81.7426837998132,12,071,82.2
Leon County,Florida,79.3960410363991,12,073,81.8
Levy County,Florida,75.3349797824728,12,075,80.2
Liberty County,Florida,76.400954234728,12,077,85.6
Madison County,Florida,75.4161304834043,12,079,81.7
Manatee County,Florida,80.6948049167801,12,081,81.3
Marion County,Florida,77.0658729461655,12,083,82.3
Martin County,Florida,81.7022342824242,12,085,84.6
Monroe County,Florida,79.7820552632832,12,087,86.8
Nassau County,Florida,77.5913421377193,12,089,81.4
Okaloosa County,Florida,77.9811575177656,12,091,80.2
Okeechobee County,Florida,76.5984963130413,12,093,79.9
Orange County,Florida,79.8803026532843,12,095,78.8
Osceola County,Florida,79.3776245905727,12,097,76.7
Palm Beach County,Florida,81.8994870289193,12,099,81.5
Pasco County,Florida,77.7506120972686,12,101,80.6
Pinellas County,Florida,78.6728919990013,12,103,83.9
Polk County,Florida,78.3392589820842,12,105,78.5
Putnam County,Florida,74.6807451280498,12,107,79.9
Saint Johns County,Florida,81.0040923398974,12,109,79.7
Saint Lucie County,Florida,79.7137483124112,12,111,79.9
Santa Rosa County,Florida,77.924490088113,12,113,79.7
Sarasota County,Florida,81.5159280206738,12,115,85.6
Seminole County,Florida,80.3542107587214,12,117,79.8
Sumter County,Florida,81.2792040618854,12,119,92.8
Suwannee County,Florida,75.5908740871612,12,121,80.9
Taylor County,Florida,75.7787599842218,12,123,84.3
Union County,Florida,68.804653768535,12,125,88.3
Volusia County,Florida,77.2470119324166,12,127,83.2
Wakulla County,Florida,76.637763031087,12,129,82.0
Walton County,Florida,77.7392867649656,12,131,82.2
Washington County,Florida,74.1699775225144,12,133,83.1
Appling County,Georgia,74.7913877143402,13,001,78.0
Atkinson County,Georgia,73.7714960390043,13,003,75.0
Bacon County,Georgia,73.5222086041657,13,005,78.7
Baker County,Georgia,77.9683934012373,13,007,82.1
Baldwin County,Georgia,76.3383996487831,13,009,82.5
Banks County,Georgia,76.9101211936386,13,011,77.1
Barrow County,Georgia,76.517230702492,13,013,73.5
Bartow County,Georgia,76.4533100393887,13,015,76.4
Ben Hill County,Georgia,73.6096800245677,13,017,74.8
Berrien County,Georgia,75.190867400244,13,019,77.9
Bibb County,Georgia,73.9294345070761,13,021,75.3
Bleckley County,Georgia,76.187085449615,13,023,78.5
Brantley County,Georgia,74.9365531299157,13,025,74.8
Brooks County,Georgia,75.2397600148768,13,027,78.5
Bryan County,Georgia,76.3639290976648,13,029,73.2
Bulloch County,Georgia,77.0368004262305,13,031,81.2
Burke County,Georgia,73.7898930278459,13,033,73.9
Butts County,Georgia,74.0565385862956,13,035,82.0
Calhoun County,Georgia,75.2943589362578,13,037,85.2
Camden County,Georgia,78.0008189410582,13,039,76.4
Candler County,Georgia,73.882180330007,13,043,75.9
Carroll County,Georgia,75.0924295103043,13,045,76.3
Catoosa County,Georgia,78.0009537512239,13,047,77.5
Charlton County,Georgia,76.5710378110187,13,049,84.6
Chatham County,Georgia,77.720211150539,13,051,78.7
Chattahoochee County,Georgia,77.2468365236423,13,053,82.0
Chattooga County,Georgia,73.8516363427106,13,055,80.6
Cherokee County,Georgia,79.9067687559501,13,057,75.0
Clarke County,Georgia,78.2921794435612,13,059,83.0
Clay County,Georgia,74.6488916925777,13,061,72.9
Clayton County,Georgia,76.880309592685,13,063,72.6
Clinch County,Georgia,73.4584259976083,13,065,74.9
Cobb County,Georgia,80.1366382597769,13,067,76.7
Coffee County,Georgia,75.0163716195189,13,069,77.8
Colquitt County,Georgia,74.9122018657446,13,071,74.8
Columbia County,Georgia,80.0676296378463,13,073,75.1
Cook County,Georgia,74.7320855084491,13,075,74.5
Coweta County,Georgia,78.285359699771,13,077,75.5
Crawford County,Georgia,76.5621078535087,13,079,79.6
Crisp County,Georgia,75.609384748844,13,081,75.1
Dade County,Georgia,75.3960009690029,13,083,81.5
Dawson County,Georgia,78.1336508154396,13,085,80.4
Decatur County,Georgia,74.7007199893853,13,087,76.0
DeKalb County,Georgia,79.4962305308697,13,089,77.0
Dodge County,Georgia,75.4421725381297,13,091,81.1
Dooly County,Georgia,78.5144079303595,13,093,82.4
Dougherty County,Georgia,75.038542335195,13,095,75.6
Douglas County,Georgia,77.4032014471524,13,097,74.3
Early County,Georgia,73.978063106976,13,099,76.0
Echols County,Georgia,77.5417724006261,13,101,79.3
Effingham County,Georgia,76.5731690017895,13,103,74.4
Elbert County,Georgia,75.0164188271286,13,105,79.8
Emanuel County,Georgia,73.1718202483777,13,107,76.6
Evans County,Georgia,75.1580822990035,13,109,76.7
Fannin County,Georgia,76.9013426301904,13,111,84.1
Fayette County,Georgia,80.9425991889622,13,113,77.7
Floyd County,Georgia,75.5586411421325,13,115,77.6
Forsyth County,Georgia,81.4700212970869,13,117,72.6
Franklin County,Georgia,74.3539985940726,13,119,79.1
Fulton County,Georgia,78.5987701241935,13,121,78.1
Gilmer County,Georgia,78.2712613586073,13,123,80.7
Glascock County,Georgia,74.0095727000035,13,125,73.9
Glynn County,Georgia,77.3454296677488,13,127,77.9
Gordon County,Georgia,75.7664983217768,13,129,76.1
Grady County,Georgia,75.9708134350991,13,131,75.6
Greene County,Georgia,77.7291789565482,13,133,81.2
Gwinnett County,Georgia,80.5413606378106,13,135,73.7
Habersham County,Georgia,77.6403397782881,13,137,77.7
Hall County,Georgia,78.8999066045999,13,139,75.0
Hancock County,Georgia,76.1807363127476,13,141,87.2
Haralson County,Georgia,73.5619730006166,13,143,78.0
Harris County,Georgia,79.372928241056,13,145,79.9
Hart County,Georgia,77.0624660385596,13,147,80.3
Heard County,Georgia,75.267737833288,13,149,77.1
Henry County,Georgia,77.3049999830077,13,151,74.1
Houston County,Georgia,77.5027345951035,13,153,75.8
Irwin County,Georgia,75.4290585130566,13,155,77.6
Jackson County,Georgia,76.1830898877838,13,157,76.0
Jasper County,Georgia,76.0796020621275,13,159,77.6
Jeff Davis County,Georgia,73.8214311853932,13,161,72.2
Jefferson County,Georgia,73.1652202685591,13,163,75.2
Jenkins County,Georgia,74.3679832068187,13,165,75.4
Johnson County,Georgia,76.381728931759,13,167,84.3
Jones County,Georgia,78.252880160435,13,169,76.6
Lamar County,Georgia,74.8970962853556,13,171,81.3
Lanier County,Georgia,75.8132703022645,13,173,76.2
Laurens County,Georgia,74.9950661049002,13,175,76.2
Lee County,Georgia,77.4356523334636,13,177,75.0
Liberty County,Georgia,76.903539545897,13,179,72.5
Lincoln County,Georgia,76.4916448181181,13,181,82.4
Long County,Georgia,78.5196020317748,13,183,74.4
Lowndes County,Georgia,76.2643690452204,13,185,77.1
Lumpkin County,Georgia,78.0146664866746,13,187,82.4
McDuffie County,Georgia,74.3231824430064,13,189,75.7
McIntosh County,Georgia,79.6443775538217,13,191,82.4
Macon County,Georgia,74.3214975662633,13,193,82.9
Madison County,Georgia,75.9164119646493,13,195,78.4
Marion County,Georgia,76.5565655971449,13,197,80.9
Meriwether County,Georgia,74.9750751980501,13,199,78.9
Miller County,Georgia,73.9357844275489,13,201,78.7
Mitchell County,Georgia,75.0734144121862,13,205,78.4
Monroe County,Georgia,77.4296681097743,13,207,80.8
Montgomery County,Georgia,75.6422874814565,13,209,80.6
Morgan County,Georgia,77.5413475560736,13,211,78.1
Murray County,Georgia,75.2496113616646,13,213,76.9
Muscogee County,Georgia,74.8788732502681,13,215,77.3
Newton County,Georgia,76.2508476547503,13,217,74.0
Oconee County,Georgia,80.7201006294958,13,219,75.5
Oglethorpe County,Georgia,78.2015427852691,13,221,79.1
Paulding County,Georgia,78.7263186693695,13,223,73.4
Peach County,Georgia,74.3109147998361,13,225,79.7
Pickens County,Georgia,77.4804361140647,13,227,80.7
Pierce County,Georgia,75.0941998698357,13,229,77.1
Pike County,Georgia,75.8421997692356,13,231,76.4
Polk County,Georgia,73.7361143015121,13,233,76.0
Pulaski County,Georgia,77.7938948047007,13,235,82.1
Putnam County,Georgia,77.2841027649912,13,237,81.4
Quitman County,Georgia,75.7392722815738,13,239,83.1
Rabun County,Georgia,77.6475490038442,13,241,82.7
Randolph County,Georgia,75.7955773877892,13,243,73.4
Richmond County,Georgia,74.1815498876986,13,245,77.2
Rockdale County,Georgia,77.9264352187422,13,247,75.2
Schley County,Georgia,77.7418036651367,13,249,76.7
Screven County,Georgia,74.8961507342859,13,251,76.8
Seminole County,Georgia,74.610792469006,13,253,78.4
Spalding County,Georgia,74.3370993352963,13,255,75.9
Stephens County,Georgia,73.6787807406777,13,257,77.7
Stewart County,Georgia,74.7887527287855,13,259,88.4
Sumter County,Georgia,75.1841605846496,13,261,76.4
Talbot County,Georgia,75.3118618731684,13,263,82.0
Taliaferro County,Georgia,75.125225892876,13,265,83.9
