County,State,mean_life_expectancy,State_FIPS,County_FIPS,No Vehicle (Renter),Unemployment Rate,Total Occupied Households,Hispanic Population,Rent Burden Count (+50%),Total Population,White Population,Total Families (Single Mother),Median Household Income,No Vehicle (Owner),Gini Index,Median Age,Bachelor's Degree or Higher (%),Total Families,Disability Rate,Rent Denominator,Poverty Rate,Black Population,High School Degree or Higher (%),Year
Mackinac County,Michigan,78.3804202661922,26,97,523.0,9.8,5269.0,191.0,345.0,10780.0,8023.0,228.0,47938.0,287.0,0.4377,52.8,23.3,3172.0,17.9,1483.0,16.4,363.0,90.7,2019
Macomb County,Michigan,78.220521423274,26,99,13363.0,5.4,346402.0,22781.0,21241.0,870325.0,704624.0,20869.0,62855.0,7633.0,0.4246,40.9,24.9,227248.0,14.0,92394.0,10.6,101734.0,89.9,2019
Manistee County,Michigan,78.3413335386367,26,101,312.0,6.2,9426.0,772.0,274.0,24457.0,22297.0,315.0,50055.0,286.0,0.4365,49.3,20.3,5956.0,18.2,1561.0,11.5,710.0,89.9,2019
Marquette County,Michigan,78.9087633456459,26,103,1183.0,5.7,26552.0,1016.0,1650.0,66686.0,62152.0,1215.0,53970.0,401.0,0.4284,39.1,32.9,15882.0,14.1,7761.0,15.6,1118.0,95.0,2019
Mason County,Michigan,78.7239230631197,26,105,455.0,4.4,12186.0,1322.0,511.0,28954.0,27438.0,723.0,51725.0,267.0,0.4634,46.2,23.1,7752.0,16.7,2820.0,15.0,261.0,92.1,2019
Mecosta County,Michigan,78.7460063034022,26,107,611.0,6.8,15808.0,992.0,1156.0,43251.0,40183.0,922.0,45018.0,396.0,0.4555,36.9,22.7,9594.0,16.1,4214.0,21.2,1296.0,90.2,2019
Menominee County,Michigan,79.0360095241906,26,109,623.0,4.5,10627.0,419.0,323.0,23074.0,21756.0,404.0,46828.0,254.0,0.4387,48.8,16.3,6341.0,18.1,2368.0,12.8,73.0,92.5,2019
Midland County,Michigan,80.7629381782787,26,111,1378.0,5.2,34199.0,2289.0,1763.0,83355.0,77659.0,1514.0,62625.0,679.0,0.4728,41.8,35.2,23102.0,13.6,8002.0,10.4,1167.0,94.2,2019
Missaukee County,Michigan,77.972662913511,26,113,97.0,6.4,6055.0,437.0,208.0,15028.0,14463.0,270.0,47194.0,134.0,0.3977,43.5,14.0,4163.0,18.5,1204.0,14.2,95.0,89.5,2019
Monroe County,Michigan,77.9802560687067,26,115,2249.0,4.8,59929.0,5359.0,2202.0,149727.0,141090.0,3227.0,62203.0,1281.0,0.4203,42.6,20.5,40964.0,14.1,12151.0,11.1,3568.0,91.4,2019
Montcalm County,Michigan,77.8385275544298,26,117,774.0,3.8,23913.0,2222.0,1028.0,63413.0,60014.0,1308.0,49448.0,736.0,0.4178,40.7,13.3,16534.0,17.3,5238.0,14.4,1387.0,88.7,2019
Montmorency County,Michigan,76.6062713162337,26,119,111.0,8.0,4452.0,122.0,159.0,9265.0,8951.0,164.0,41772.0,160.0,0.3887,56.1,13.7,2790.0,24.1,710.0,16.6,22.0,86.9,2019
Muskegon County,Michigan,77.4032457904031,26,121,3475.0,6.5,65939.0,9809.0,3705.0,173297.0,140103.0,5508.0,50854.0,1554.0,0.4391,39.3,19.7,43962.0,15.3,16669.0,15.5,23499.0,91.3,2019
Newaygo County,Michigan,78.0871383778646,26,123,356.0,5.0,19161.0,2803.0,570.0,48366.0,44979.0,845.0,50326.0,541.0,0.4368,42.4,16.6,13082.0,17.8,3087.0,16.6,595.0,88.1,2019
Oakland County,Michigan,80.5654597089158,26,125,19956.0,4.4,504585.0,51653.0,29659.0,1253185.0,940365.0,23549.0,79698.0,7408.0,0.4687,40.9,47.2,323558.0,11.5,146201.0,8.2,170488.0,94.1,2019
Oceana County,Michigan,78.946790830072,26,127,224.0,5.9,10156.0,3934.0,320.0,26416.0,24986.0,626.0,50104.0,296.0,0.4179,43.2,19.5,7251.0,16.5,1770.0,15.0,293.0,87.2,2019
Ogemaw County,Michigan,75.6078437558438,26,129,320.0,8.1,9184.0,449.0,453.0,20898.0,20169.0,511.0,40373.0,239.0,0.4376,50.4,12.2,5867.0,23.3,1708.0,17.1,68.0,85.9,2019
Ontonagon County,Michigan,77.9287408671055,26,131,85.0,6.9,2793.0,89.0,56.0,5877.0,5640.0,58.0,41546.0,91.0,0.3986,58.6,16.5,1619.0,19.5,329.0,13.7,29.0,92.5,2019
Osceola County,Michigan,78.2654779307401,26,133,399.0,6.9,9181.0,454.0,322.0,23290.0,22388.0,534.0,44032.0,356.0,0.4215,43.8,14.2,6143.0,19.6,1775.0,17.9,261.0,88.7,2019
Oscoda County,Michigan,76.0624726275215,26,135,101.0,10.3,3806.0,135.0,68.0,8248.0,7981.0,135.0,42335.0,177.0,0.4439,51.8,10.6,2331.0,22.3,561.0,16.2,44.0,83.4,2019
Otsego County,Michigan,78.4152002865462,26,137,356.0,5.8,9944.0,423.0,436.0,24490.0,23442.0,710.0,54332.0,198.0,0.4089,44.9,23.6,6837.0,17.6,2098.0,13.7,163.0,92.0,2019
Ottawa County,Michigan,81.7532177912606,26,139,2956.0,3.5,102610.0,28112.0,4780.0,286558.0,256755.0,4684.0,69314.0,1582.0,0.4163,35.2,34.1,73323.0,10.5,22886.0,8.5,4425.0,93.0,2019
Presque Isle County,Michigan,78.6149682771614,26,141,78.0,7.2,5797.0,177.0,98.0,12714.0,12276.0,166.0,47948.0,168.0,0.4352,55.0,17.9,3862.0,19.7,650.0,13.1,75.0,89.6,2019
Roscommon County,Michigan,76.3124376061365,26,143,389.0,9.4,11139.0,449.0,443.0,23851.0,23020.0,539.0,42054.0,397.0,0.4295,56.2,15.5,6804.0,25.5,2002.0,16.7,39.0,89.9,2019
Saginaw County,Michigan,77.3154735604732,26,145,5313.0,6.9,78933.0,16218.0,5545.0,191821.0,144268.0,6347.0,48000.0,1830.0,0.477,40.9,20.8,49749.0,17.1,22684.0,18.0,35664.0,89.4,2019
Saint Clair County,Michigan,77.1753262366885,26,147,2798.0,6.4,64850.0,5373.0,3261.0,159247.0,148933.0,3901.0,56951.0,1502.0,0.4342,43.8,18.6,42869.0,16.9,14706.0,12.7,3554.0,90.8,2019
Saint Joseph County,Michigan,76.8718844359815,26,149,1076.0,4.4,24150.0,4822.0,1175.0,60836.0,55964.0,1525.0,52086.0,841.0,0.4217,39.6,16.2,16406.0,15.9,6132.0,14.8,1353.0,87.0,2019
Sanilac County,Michigan,77.5212431222064,26,151,589.0,6.0,17499.0,1522.0,609.0,41295.0,39896.0,980.0,47672.0,583.0,0.431,45.2,14.2,11518.0,18.7,3724.0,15.1,222.0,88.4,2019
Schoolcraft County,Michigan,78.4596599050012,26,153,176.0,7.9,3468.0,89.0,113.0,8048.0,6958.0,97.0,45500.0,95.0,0.4262,52.1,15.6,2164.0,22.3,565.0,16.7,36.0,90.6,2019
Shiawassee County,Michigan,77.5795913432334,26,155,1018.0,4.6,27593.0,2011.0,1158.0,68340.0,65997.0,1496.0,56032.0,534.0,0.4036,42.4,17.0,18809.0,15.4,6735.0,10.3,467.0,92.2,2019
Tuscola County,Michigan,77.3543746206711,26,157,464.0,5.4,21777.0,1808.0,759.0,52939.0,50849.0,864.0,49988.0,575.0,0.4122,44.6,13.5,14964.0,18.8,3827.0,14.2,531.0,89.3,2019
Van Buren County,Michigan,77.805029747339,26,159,954.0,5.7,29411.0,8685.0,1245.0,75358.0,64935.0,1706.0,54485.0,540.0,0.4391,41.6,21.7,20380.0,15.1,6773.0,14.9,2520.0,87.1,2019
Washtenaw County,Michigan,81.6281225884086,26,161,9802.0,4.2,141245.0,17329.0,14701.0,367000.0,269998.0,6239.0,72586.0,1822.0,0.4848,33.6,55.9,81456.0,9.4,54913.0,14.0,43795.0,95.3,2019
Wayne County,Michigan,75.7567654862652,26,163,68275.0,9.2,682282.0,104419.0,71285.0,1757299.0,933616.0,64445.0,47301.0,24661.0,0.4978,37.9,23.9,413330.0,15.8,259135.0,22.3,680932.0,86.5,2019
Wexford County,Michigan,77.7464059924497,26,165,516.0,6.2,12963.0,653.0,594.0,33256.0,31836.0,820.0,47193.0,308.0,0.4537,41.6,18.2,8818.0,16.1,3005.0,14.2,245.0,89.6,2019
Aitkin County,Minnesota,79.6929884872945,27,1,254.0,5.0,7681.0,221.0,286.0,15834.0,15003.0,403.0,49351.0,170.0,0.4254,55.5,18.1,4929.0,18.1,1371.0,12.2,81.0,91.2,2019
Anoka County,Minnesota,81.4207453601592,27,3,3950.0,3.5,128198.0,15996.0,5133.0,350253.0,292866.0,7523.0,82175.0,1672.0,0.3908,38.5,30.5,91202.0,10.1,25509.0,5.9,21877.0,94.0,2019
Becker County,Minnesota,78.4197750759958,27,5,477.0,3.7,13617.0,716.0,583.0,34011.0,29783.0,862.0,60284.0,218.0,0.4489,41.9,25.0,9321.0,13.5,2926.0,11.0,167.0,93.1,2019
Beltrami County,Minnesota,78.2323218596698,27,7,1138.0,7.2,17372.0,1130.0,1545.0,46403.0,33818.0,1616.0,49160.0,369.0,0.4506,34.0,29.2,10905.0,13.8,5722.0,18.9,729.0,92.1,2019
Benton County,Minnesota,78.9102194461483,27,9,894.0,3.8,16452.0,981.0,1002.0,40129.0,36637.0,1059.0,57715.0,250.0,0.4091,36.0,23.6,10364.0,11.7,5367.0,10.3,1601.0,91.7,2019
Big Stone County,Minnesota,78.8133721443642,27,11,108.0,2.9,2298.0,91.0,92.0,4996.0,4878.0,73.0,53900.0,37.0,0.4234,49.0,15.4,1406.0,14.1,622.0,10.1,3.0,92.6,2019
Blue Earth County,Minnesota,80.7459627492939,27,13,1628.0,3.8,26091.0,2438.0,2327.0,66795.0,60604.0,1466.0,57429.0,237.0,0.4349,31.0,34.8,15024.0,9.8,9912.0,17.6,2578.0,94.5,2019
Brown County,Minnesota,80.5132005258987,27,15,326.0,1.6,10764.0,1107.0,256.0,25163.0,24021.0,436.0,61120.0,164.0,0.3956,42.3,22.2,7004.0,10.1,2242.0,6.9,181.0,93.5,2019
Carlton County,Minnesota,78.1857874389735,27,17,382.0,3.8,13613.0,634.0,521.0,35633.0,31849.0,781.0,63098.0,242.0,0.4024,41.0,22.1,9238.0,13.4,2748.0,11.3,670.0,94.0,2019
Carver County,Minnesota,83.0892107085494,27,19,819.0,2.2,36754.0,4272.0,1181.0,101949.0,93751.0,1609.0,101496.0,388.0,0.4238,37.9,48.9,27566.0,7.0,6649.0,4.1,1864.0,96.1,2019
Cass County,Minnesota,78.4502989095433,27,21,364.0,5.0,13164.0,658.0,371.0,29268.0,24720.0,772.0,52204.0,281.0,0.4365,48.9,23.2,8761.0,14.8,2436.0,13.6,122.0,92.2,2019
Chippewa County,Minnesota,79.4045389756219,27,23,260.0,3.5,5209.0,872.0,266.0,11953.0,10775.0,295.0,55269.0,44.0,0.431,41.6,19.0,3247.0,12.0,1734.0,9.3,103.0,89.4,2019
Chisago County,Minnesota,79.8792253639704,27,25,477.0,3.6,20242.0,1205.0,496.0,55315.0,52713.0,926.0,83464.0,338.0,0.3569,41.3,21.5,14878.0,11.5,2762.0,6.0,729.0,94.6,2019
Clay County,Minnesota,79.8323669700471,27,27,1367.0,2.8,24364.0,2872.0,2239.0,63446.0,57471.0,1205.0,65269.0,307.0,0.4202,32.6,34.2,15412.0,9.8,7920.0,12.3,2332.0,94.9,2019
Clearwater County,Minnesota,77.8667803346512,27,29,145.0,6.7,3405.0,191.0,121.0,8821.0,7568.0,170.0,50386.0,111.0,0.4577,42.3,17.1,2238.0,17.2,636.0,14.6,16.0,86.1,2019
Cook County,Minnesota,82.4677905483378,27,31,145.0,2.3,2691.0,124.0,60.0,5376.0,4634.0,94.0,57432.0,27.0,0.4027,52.6,40.4,1725.0,13.5,622.0,12.6,4.0,97.1,2019
Cottonwood County,Minnesota,80.5746386760864,27,33,212.0,4.0,4846.0,870.0,124.0,11299.0,10101.0,275.0,52087.0,45.0,0.3933,42.9,20.0,3127.0,14.6,1062.0,11.0,107.0,89.4,2019
Crow Wing County,Minnesota,79.7761897348291,27,35,1071.0,2.9,26820.0,958.0,1080.0,64217.0,61499.0,1423.0,56549.0,365.0,0.4562,44.5,24.7,17584.0,13.7,6292.0,10.8,526.0,94.1,2019
Dakota County,Minnesota,82.1628172240055,27,37,5773.0,3.6,161488.0,30100.0,8118.0,421453.0,345909.0,10523.0,86036.0,1350.0,0.4122,37.9,42.2,111831.0,8.9,41967.0,6.0,26362.0,95.1,2019
Dodge County,Minnesota,80.8333812590744,27,39,146.0,2.6,7756.0,1028.0,169.0,20669.0,19571.0,479.0,74575.0,98.0,0.3864,38.4,25.7,5678.0,8.6,1246.0,5.1,69.0,94.9,2019
Douglas County,Minnesota,80.3881267081744,27,41,626.0,2.5,16663.0,620.0,931.0,37513.0,36341.0,652.0,63819.0,135.0,0.446,44.2,26.0,10858.0,12.9,4283.0,7.6,145.0,95.1,2019
Faribault County,Minnesota,79.3445594232454,27,43,186.0,3.2,6137.0,954.0,201.0,13801.0,13350.0,292.0,53156.0,120.0,0.4295,45.8,18.6,3802.0,12.0,1381.0,11.5,35.0,92.6,2019
Fillmore County,Minnesota,80.7613102053587,27,45,275.0,2.6,8616.0,344.0,247.0,20949.0,20442.0,307.0,61207.0,234.0,0.406,42.3,22.2,5879.0,10.8,1653.0,10.7,107.0,91.0,2019
Freeborn County,Minnesota,80.0097683105433,27,47,570.0,3.7,13009.0,2967.0,488.0,30463.0,27894.0,886.0,53631.0,201.0,0.4141,44.0,17.1,8479.0,13.2,3034.0,11.0,330.0,88.8,2019
Goodhue County,Minnesota,80.0874424520216,27,49,813.0,3.4,19452.0,1547.0,1090.0,46246.0,43474.0,1142.0,66800.0,171.0,0.4139,42.2,26.0,12807.0,10.4,4808.0,9.3,606.0,94.4,2019
Grant County,Minnesota,79.7647968666952,27,51,104.0,4.1,2612.0,137.0,129.0,5935.0,5743.0,129.0,55466.0,30.0,0.4572,44.9,18.8,1734.0,14.3,590.0,9.6,17.0,92.9,2019
Hennepin County,Minnesota,81.1759524487445,27,53,41364.0,3.8,508030.0,86179.0,41283.0,1245837.0,897639.0,27002.0,78167.0,7450.0,0.4817,36.5,50.1,291710.0,10.0,191183.0,10.4,165152.0,93.3,2019
Houston County,Minnesota,81.4888359724773,27,55,141.0,1.7,8253.0,211.0,190.0,18648.0,18069.0,401.0,60382.0,205.0,0.399,45.3,24.8,5403.0,10.9,1640.0,7.9,243.0,95.1,2019
Hubbard County,Minnesota,80.4255688903649,27,57,269.0,3.9,8688.0,448.0,234.0,21019.0,19634.0,440.0,56709.0,150.0,0.4229,48.7,27.4,5985.0,15.3,1634.0,11.8,135.0,93.0,2019
Isanti County,Minnesota,79.9339173526747,27,59,497.0,4.0,14903.0,801.0,466.0,39430.0,37510.0,716.0,74616.0,128.0,0.3946,40.0,18.5,10179.0,12.9,2604.0,7.3,192.0,92.5,2019
Itasca County,Minnesota,79.004721836712,27,61,731.0,5.1,19506.0,674.0,988.0,45141.0,41877.0,922.0,55139.0,308.0,0.4308,46.3,23.1,12743.0,15.7,3653.0,12.2,222.0,94.0,2019
Jackson County,Minnesota,81.5525595198698,27,63,60.0,2.7,4419.0,362.0,168.0,9954.0,9403.0,155.0,58727.0,101.0,0.4378,44.8,22.6,2862.0,11.6,838.0,7.9,39.0,92.7,2019
Kanabec County,Minnesota,79.8492376586114,27,65,155.0,3.2,6439.0,256.0,102.0,16089.0,15435.0,252.0,57163.0,152.0,0.3918,45.0,14.7,4358.0,17.4,978.0,10.0,35.0,90.2,2019
Kandiyohi County,Minnesota,81.1476791356247,27,67,704.0,3.2,16889.0,5190.0,887.0,42841.0,37829.0,1079.0,60294.0,160.0,0.4348,39.3,23.3,11396.0,12.1,4389.0,10.5,2285.0,89.0,2019
Kittson County,Minnesota,79.0642218604152,27,69,68.0,2.1,1860.0,40.0,54.0,4311.0,4150.0,61.0,59643.0,27.0,0.3943,48.1,25.9,1173.0,12.5,362.0,11.2,64.0,94.5,2019
Koochiching County,Minnesota,79.0277597725902,27,71,287.0,5.7,5538.0,168.0,262.0,12515.0,11711.0,254.0,50870.0,80.0,0.4302,49.5,15.5,3444.0,17.4,1175.0,13.6,73.0,91.9,2019
Lac qui Parle County,Minnesota,81.3740154442322,27,73,67.0,2.4,3090.0,152.0,72.0,6719.0,6452.0,113.0,53071.0,52.0,0.4409,50.4,18.8,1941.0,14.4,589.0,8.3,58.0,93.3,2019
Lake County,Minnesota,80.1132622762874,27,75,157.0,3.4,5192.0,151.0,157.0,10560.0,10234.0,171.0,61452.0,198.0,0.388,50.8,28.8,3302.0,15.0,933.0,8.7,68.0,94.7,2019
Lake of the Woods County,Minnesota,79.5752239452638,27,77,34.0,3.6,1470.0,3.0,26.0,3771.0,3508.0,60.0,49967.0,8.0,0.3858,50.9,16.7,914.0,12.9,281.0,10.7,2.0,93.0,2019
Le Sueur County,Minnesota,80.9025487778078,27,79,222.0,3.4,10939.0,1755.0,278.0,28242.0,26972.0,581.0,71080.0,133.0,0.3919,41.0,23.0,7744.0,10.9,2014.0,8.5,238.0,93.9,2019
Lincoln County,Minnesota,80.0378567697619,27,81,84.0,2.9,2468.0,118.0,109.0,5677.0,5533.0,78.0,53077.0,28.0,0.4492,45.4,19.3,1503.0,13.0,523.0,10.9,25.0,91.9,2019
Lyon County,Minnesota,80.4589755525902,27,83,551.0,3.3,10018.0,1770.0,603.0,25758.0,22201.0,680.0,57730.0,94.0,0.4417,35.8,26.1,6581.0,10.0,3167.0,14.1,891.0,92.0,2019
McLeod County,Minnesota,80.7586545529335,27,85,488.0,2.9,14714.0,2222.0,573.0,35832.0,34034.0,745.0,62121.0,210.0,0.4132,40.7,17.6,9483.0,12.5,3288.0,8.5,212.0,93.1,2019
Mahnomen County,Minnesota,74.8058555040828,27,87,118.0,7.3,1946.0,239.0,116.0,5501.0,2572.0,178.0,44688.0,52.0,0.442,35.7,13.2,1263.0,15.4,622.0,23.3,29.0,86.9,2019
Marshall County,Minnesota,82.2317416421193,27,89,109.0,2.2,3971.0,424.0,107.0,9372.0,9073.0,159.0,60118.0,57.0,0.3895,43.7,19.1,2662.0,12.1,692.0,6.9,33.0,90.0,2019
Martin County,Minnesota,80.1279347482381,27,91,354.0,4.0,8759.0,888.0,403.0,19852.0,19117.0,424.0,52798.0,110.0,0.4342,45.3,20.5,5513.0,14.6,2293.0,13.7,92.0,93.2,2019
Meeker County,Minnesota,80.3542507400813,27,93,409.0,2.1,9209.0,924.0,363.0,23105.0,22410.0,436.0,63452.0,122.0,0.4215,42.2,19.5,6204.0,11.3,1806.0,6.7,98.0,92.6,2019
Mille Lacs County,Minnesota,77.3158830639582,27,95,548.0,5.9,10249.0,640.0,474.0,25865.0,23321.0,687.0,56135.0,218.0,0.4215,40.5,14.7,6615.0,15.9,2553.0,12.4,120.0,89.8,2019
Morrison County,Minnesota,79.9544858847875,27,97,611.0,4.0,13371.0,577.0,468.0,33064.0,31845.0,723.0,57815.0,244.0,0.4276,41.7,17.3,9021.0,12.2,3045.0,10.2,185.0,90.7,2019
Mower County,Minnesota,80.6820780942236,27,99,841.0,3.7,15565.0,4611.0,609.0,39807.0,34533.0,855.0,54295.0,302.0,0.45,38.8,22.2,9996.0,12.2,4206.0,13.5,1570.0,87.6,2019
Murray County,Minnesota,81.243482223253,27,101,94.0,2.8,3645.0,335.0,105.0,8296.0,8002.0,107.0,60231.0,50.0,0.4043,48.1,20.7,2359.0,13.5,687.0,7.1,31.0,90.2,2019
Nicollet County,Minnesota,81.7317056370487,27,103,754.0,3.1,12885.0,1548.0,708.0,33954.0,31228.0,800.0,67399.0,170.0,0.4215,36.3,33.8,8601.0,12.6,3366.0,9.9,958.0,94.0,2019
Nobles County,Minnesota,81.3390364658674,27,105,421.0,3.3,8033.0,6047.0,346.0,21734.0,16901.0,494.0,55304.0,233.0,0.4162,35.7,15.3,5562.0,12.1,2356.0,13.6,928.0,76.3,2019
Norman County,Minnesota,77.4473018393204,27,107,93.0,2.9,2746.0,332.0,86.0,6520.0,6080.0,112.0,55085.0,62.0,0.4411,43.8,19.1,1709.0,12.1,496.0,8.8,65.0,91.9,2019
Olmsted County,Minnesota,82.3791613388762,27,109,3041.0,3.0,62108.0,7626.0,3854.0,154809.0,129616.0,3461.0,76951.0,930.0,0.4505,37.2,44.9,40461.0,9.9,16930.0,8.4,9566.0,94.6,2019
Otter Tail County,Minnesota,80.3364077570961,27,111,1112.0,3.1,24687.0,2017.0,1073.0,58195.0,55244.0,1128.0,58682.0,340.0,0.4335,46.8,24.9,16436.0,13.3,5363.0,9.3,870.0,92.1,2019
Pennington County,Minnesota,79.8740497508218,27,113,338.0,2.8,5995.0,537.0,245.0,14183.0,13329.0,418.0,60122.0,142.0,0.4033,39.6,19.3,3566.0,12.7,1629.0,11.0,153.0,93.2,2019
Pine County,Minnesota,79.1938486808464,27,115,301.0,4.8,10760.0,853.0,335.0,29223.0,26701.0,442.0,53422.0,192.0,0.4276,45.0,14.9,6804.0,17.9,2053.0,11.0,658.0,90.4,2019
Pipestone County,Minnesota,80.0996939904387,27,117,215.0,2.9,3973.0,636.0,121.0,9191.0,8460.0,176.0,52917.0,90.0,0.4643,42.1,21.3,2447.0,14.6,997.0,11.7,120.0,89.6,2019
Polk County,Minnesota,78.3953036040696,27,119,687.0,3.4,12584.0,2046.0,761.0,31521.0,28896.0,649.0,59343.0,152.0,0.4239,38.7,25.3,7797.0,13.1,3405.0,11.8,686.0,91.9,2019
Pope County,Minnesota,80.3954847917465,27,121,108.0,2.3,4981.0,173.0,189.0,11048.0,10666.0,153.0,61275.0,68.0,0.4163,45.8,22.9,3226.0,13.8,1119.0,7.2,46.0,94.0,2019
Ramsey County,Minnesota,79.879554291912,27,123,18030.0,4.5,209043.0,40748.0,19705.0,544442.0,361226.0,14586.0,64660.0,2938.0,0.46,35.0,42.3,122262.0,11.6,84789.0,14.0,65848.0,90.3,2019
Red Lake County,Minnesota,80.548909210366,27,125,47.0,2.9,1669.0,155.0,61.0,4015.0,3821.0,77.0,58576.0,44.0,0.4109,42.7,16.2,1112.0,14.1,274.0,10.5,20.0,92.6,2019
Redwood County,Minnesota,79.6428039673505,27,127,251.0,2.0,6261.0,534.0,265.0,15261.0,13428.0,265.0,55404.0,115.0,0.4099,42.6,19.1,4084.0,10.5,1347.0,10.1,119.0,90.9,2019
Renville County,Minnesota,78.9009909995051,27,129,288.0,2.9,6085.0,1253.0,268.0,14652.0,13095.0,316.0,59028.0,55.0,0.4259,43.8,15.2,3904.0,10.6,1341.0,10.0,56.0,90.5,2019
Rice County,Minnesota,80.8360639384497,27,131,1158.0,3.8,23005.0,5380.0,1483.0,66185.0,56681.0,1284.0,68584.0,355.0,0.4333,36.5,28.3,15420.0,9.5,5987.0,9.2,3765.0,91.1,2019
Rock County,Minnesota,79.4168692747126,27,133,96.0,1.7,3914.0,299.0,125.0,9402.0,9064.0,207.0,63005.0,18.0,0.4168,40.8,23.8,2708.0,10.7,960.0,9.0,87.0,93.3,2019
Roseau County,Minnesota,79.9391660758921,27,135,177.0,2.5,5980.0,202.0,256.0,15361.0,14214.0,229.0,62202.0,70.0,0.397,41.6,20.3,4004.0,11.5,1103.0,8.1,146.0,92.9,2019
Saint Louis County,Minnesota,79.2159463872918,27,137,5818.0,4.4,85807.0,3394.0,5740.0,199759.0,183938.0,4518.0,55646.0,1567.0,0.4454,41.1,29.3,48518.0,14.2,24630.0,14.1,3154.0,94.5,2019
Scott County,Minnesota,82.284224222757,27,139,1139.0,3.0,49479.0,7466.0,1675.0,145275.0,121973.0,2466.0,102152.0,418.0,0.4009,36.5,39.9,37997.0,7.4,8486.0,5.5,6199.0,94.7,2019
Sherburne County,Minnesota,80.590712666742,27,141,675.0,2.9,32206.0,2451.0,1088.0,94463.0,87265.0,1863.0,89250.0,298.0,0.3661,36.0,26.6,24187.0,9.1,5268.0,6.4,2335.0,94.6,2019
Sibley County,Minnesota,80.8838904601301,27,143,162.0,2.7,6031.0,1335.0,200.0,14892.0,14199.0,185.0,63439.0,96.0,0.4089,41.7,16.4,4096.0,10.6,1260.0,7.9,157.0,90.7,2019
Stearns County,Minnesota,82.2283365485754,27,145,2415.0,4.5,59479.0,5342.0,3688.0,158452.0,139188.0,3344.0,62789.0,664.0,0.4312,34.4,27.5,38163.0,10.7,18986.0,12.9,10217.0,91.7,2019
Steele County,Minnesota,81.3440803022777,27,147,750.0,3.7,14692.0,2860.0,784.0,36683.0,33193.0,876.0,64903.0,206.0,0.4088,39.0,26.0,9799.0,11.0,3649.0,8.9,1158.0,92.5,2019
Stevens County,Minnesota,81.8441694492806,27,149,196.0,2.4,3624.0,631.0,333.0,9789.0,8846.0,110.0,60559.0,47.0,0.4854,33.1,30.5,2142.0,10.8,1143.0,12.4,195.0,94.0,2019
Swift County,Minnesota,80.2454266588328,27,151,185.0,2.4,4263.0,467.0,216.0,9359.0,8845.0,351.0,51620.0,59.0,0.4587,43.9,19.6,2676.0,13.2,1268.0,12.5,206.0,90.6,2019
Todd County,Minnesota,81.297556608694,27,153,224.0,3.4,9819.0,1478.0,283.0,24494.0,23109.0,284.0,53585.0,296.0,0.406,43.9,15.1,6686.0,13.9,1711.0,11.9,173.0,87.0,2019
Traverse County,Minnesota,79.2130907766791,27,155,68.0,4.0,1608.0,103.0,40.0,3311.0,3003.0,47.0,51957.0,38.0,0.4088,47.5,17.5,1016.0,16.2,328.0,9.9,17.0,93.3,2019
Wabasha County,Minnesota,82.0119961226869,27,157,255.0,3.7,9020.0,630.0,334.0,21537.0,20773.0,403.0,65226.0,156.0,0.4161,45.2,23.7,6065.0,13.6,1928.0,7.7,126.0,93.4,2019
Wadena County,Minnesota,76.7394887146331,27,159,227.0,6.0,5666.0,267.0,202.0,13654.0,12982.0,375.0,46605.0,172.0,0.4118,41.5,13.8,3541.0,16.9,1331.0,14.3,82.0,90.6,2019
Waseca County,Minnesota,80.7565917558016,27,161,221.0,3.9,7425.0,1124.0,447.0,18740.0,17409.0,500.0,56762.0,114.0,0.4386,40.5,21.4,4905.0,10.9,1670.0,9.7,444.0,93.0,2019
Washington County,Minnesota,82.1409680820697,27,163,2795.0,2.5,94431.0,10716.0,3936.0,255938.0,218513.0,4781.0,96671.0,924.0,0.4198,39.5,44.3,68009.0,9.1,17817.0,4.3,11757.0,96.1,2019
Watonwan County,Minnesota,80.201387796685,27,165,118.0,2.9,4310.0,2797.0,205.0,10972.0,9411.0,291.0,54065.0,48.0,0.4279,39.9,15.5,2866.0,13.4,996.0,13.4,102.0,84.5,2019
Wilkin County,Minnesota,79.0022519739121,27,167,106.0,1.8,2818.0,22.0,50.0,6291.0,6181.0,135.0,60595.0,30.0,0.4312,43.3,23.8,1833.0,15.4,617.0,9.2,25.0,94.9,2019
Winona County,Minnesota,80.8287124497808,27,169,1151.0,3.6,19442.0,1502.0,1406.0,50725.0,47455.0,757.0,59329.0,457.0,0.4341,35.2,30.1,11330.0,11.6,5749.0,12.9,651.0,93.5,2019
Wright County,Minnesota,81.0290727592055,27,171,1204.0,2.7,48242.0,3953.0,1539.0,134438.0,126547.0,2008.0,84974.0,503.0,0.3881,37.0,29.6,35681.0,9.5,8892.0,4.6,1905.0,94.9,2019
Yellow Medicine County,Minnesota,80.2210159740574,27,173,144.0,2.4,4087.0,461.0,132.0,9814.0,9090.0,224.0,59210.0,108.0,0.4057,42.4,17.2,2788.0,13.1,840.0,11.8,68.0,91.3,2019
Adams County,Mississippi,73.466291061777,28,1,688.0,10.1,11237.0,1829.0,878.0,31266.0,12796.0,1174.0,29936.0,337.0,0.5216,41.4,17.4,6650.0,17.4,4223.0,31.5,17610.0,77.9,2019
