County,State,mean_life_expectancy,State_FIPS,County_FIPS,Poverty Rate,High School Degree or Higher (%),Black Population,Total Families,Bachelor's Degree or Higher (%),Median Age,Gini Index,Rent Denominator,Disability Rate,White Population,Total Population,Rent Burden Count (+50%),Hispanic Population,No Vehicle (Owner),Median Household Income,Total Families (Single Mother),Total Occupied Households,Unemployment Rate,No Vehicle (Renter),Year
Pasco County,Florida,77.8111203152222,12,101,13.7,86.1,20425,121844,20.4,43.8,0.4411,41065,15.3,416723,465276,10085,54841,4458,43787,9643,182707,12.1,5027,2012
Pinellas County,Florida,78.7254861652934,12,103,13.1,88.1,94304,225693,29.0,46.3,0.4702,127946,14.3,765829,917389,33288,73378,12178,46051,23633,401441,10.0,22188,2012
Polk County,Florida,78.4014520540943,12,105,17.5,80.4,89051,154647,18.3,39.8,0.4364,64645,14.6,475978,604562,17464,107145,5227,43606,16936,222081,11.9,9308,2012
Putnam County,Florida,74.9284440829679,12,107,25.5,75.5,12212,19294,13.2,43.2,0.4555,6734,16.7,57520,74224,1653,6729,690,34429,2206,28764,13.9,1288,2012
Saint Johns County,Florida,80.9790544901203,12,109,9.8,92.1,10158,51237,43.2,42.2,0.4848,17253,10.4,171489,191495,4303,10136,1142,64346,4081,74021,7.7,1925,2012
Saint Lucie County,Florida,79.7006582491651,12,111,16.6,82.9,52361,71732,19.9,42.5,0.4422,26539,14.7,203117,278246,8420,46152,2682,43923,7300,104470,15.6,3188,2012
Santa Rosa County,Florida,78.143723059504,12,113,11.1,88.4,7958,41810,26.3,39.2,0.4117,14017,13.5,134013,153086,2412,6797,933,57491,3679,56475,10.1,886,2012
Sarasota County,Florida,81.4263592751882,12,115,11.6,90.8,17619,102829,33.2,52.6,0.4827,41928,14.8,347224,380479,11739,30241,3834,48900,7729,169520,11.6,6374,2012
Seminole County,Florida,80.4715917278167,12,117,10.8,90.9,46044,100205,35.3,38.3,0.4503,43162,10.0,341546,423389,11387,73066,2168,58577,10528,148635,9.8,4088,2012
Sumter County,Florida,81.1782867363371,12,119,11.7,82.7,9198,29132,25.1,63.0,0.4078,4014,18.4,82441,94240,934,5687,1280,46981,1061,41814,11.7,384,2012
Suwannee County,Florida,75.6945004062578,12,121,21.9,76.0,4902,10946,9.7,42.2,0.4335,4251,19.6,35519,42287,878,3678,500,36159,1023,15880,9.8,756,2012
Taylor County,Florida,75.9658571048214,12,123,19.1,76.0,4821,5341,9.9,41.2,0.4507,1416,22.5,17081,22561,310,794,293,34634,469,7748,12.6,274,2012
Union County,Florida,69.1725317253423,12,125,18.7,69.3,3197,2762,8.7,39.8,0.3857,1327,13.1,11435,15400,154,758,59,43750,328,3782,10.6,185,2012
Volusia County,Florida,77.5191900530103,12,127,16.0,86.7,51487,122376,22.1,45.3,0.4516,51087,14.8,407410,495581,15762,55845,4765,43419,11140,195579,10.2,8667,2012
Wakulla County,Florida,76.7127120388798,12,129,14.1,82.9,4246,7574,14.3,39.5,0.404,2143,16.2,25186,30449,651,1000,184,53385,792,10582,9.7,166,2012
Walton County,Florida,77.5888126252622,12,131,16.4,83.5,3037,14650,23.8,43.0,0.4796,6233,16.6,48450,55349,1866,2910,433,44254,1347,22519,10.0,818,2012
Washington County,Florida,74.6847848509577,12,133,20.9,76.3,3565,5542,11.5,40.8,0.4183,1962,20.1,19760,24732,613,757,304,38536,564,8589,12.7,181,2012
Appling County,Georgia,74.9779197790545,13,1,20.6,78.7,3563,4681,13.1,38.8,0.4401,2184,14.5,13655,18279,136,1669,138,35875,520,7047,6.8,373,2012
Atkinson County,Georgia,73.8885246731924,13,3,34.1,59.8,1418,1908,6.4,34.2,0.4758,871,17.5,5499,8355,142,2023,54,28682,273,2719,11.5,228,2012
Bacon County,Georgia,73.4867519673095,13,5,17.4,70.9,1810,2707,7.3,35.7,0.4526,1267,19.1,8608,11124,268,792,80,33557,292,4001,6.0,192,2012
Baker County,Georgia,77.6880210275248,13,7,35.8,78.0,1981,889,6.4,41.9,0.5303,511,21.4,1497,3483,159,12,0,24219,186,1464,12.6,193,2012
Baldwin County,Georgia,76.4917363724128,13,9,28.7,79.3,19335,9973,17.8,34.2,0.4828,6807,12.4,25696,46378,2149,933,381,35278,1561,16433,9.6,1217,2012
Banks County,Georgia,77.1087292269939,13,11,17.9,73.8,507,4911,12.5,38.2,0.4372,1411,14.8,17046,18250,301,1053,178,40162,282,6783,10.4,118,2012
Barrow County,Georgia,76.5278828675982,13,13,13.6,79.7,8396,17727,15.2,33.6,0.3797,5254,12.4,55517,69136,1146,6120,476,51202,1512,23618,11.1,380,2012
Bartow County,Georgia,76.2568424918217,13,15,16.0,78.2,10000,26160,16.0,36.7,0.4226,10809,12.2,82548,99872,2526,7599,412,49543,2373,34598,10.2,1126,2012
Ben Hill County,Georgia,73.7556677496527,13,17,32.3,77.5,6253,4163,10.9,38.0,0.4719,2439,25.0,10546,17612,664,1034,283,29162,872,6383,15.5,552,2012
Berrien County,Georgia,75.4235665257949,13,19,24.7,74.8,2126,5020,10.0,37.9,0.4322,2054,19.9,16048,19131,471,894,86,31506,525,7175,12.8,329,2012
Bibb County,Georgia,73.9452638839029,13,21,23.5,82.0,80153,36777,23.0,35.5,0.5076,25400,14.0,68053,155560,7881,4469,1070,37920,6721,57108,11.1,5538,2012
Bleckley County,Georgia,76.0719969810564,13,23,18.9,81.1,3666,2814,11.3,38.7,0.4825,1118,14.2,8957,13009,296,60,64,37853,394,4125,7.7,120,2012
Brantley County,Georgia,74.7217910618662,13,25,22.0,73.8,750,4969,5.7,37.9,0.4179,1046,21.5,17389,18279,68,361,138,37374,557,6551,10.9,119,2012
Brooks County,Georgia,75.3616358192966,13,27,22.3,74.1,5730,4316,11.7,40.6,0.499,2080,21.7,9550,16066,629,836,57,35284,467,6445,13.8,346,2012
Bryan County,Georgia,76.3338879857695,13,29,12.1,88.7,4247,8471,30.9,36.1,0.4085,3038,10.6,24518,30616,508,1462,148,63818,844,10952,9.0,284,2012
Bulloch County,Georgia,77.0224181477753,13,31,31.3,85.8,19530,14756,25.4,25.8,0.4915,11972,11.9,47002,70360,4103,2448,344,34403,2100,25194,8.5,1142,2012
Burke County,Georgia,73.7080288955286,13,33,30.9,74.2,11588,5161,8.1,35.5,0.4739,2191,18.8,11129,23242,554,621,429,31597,1020,7743,10.7,423,2012
Butts County,Georgia,74.2120351680728,13,35,13.1,75.1,6773,5683,6.6,38.2,0.3939,1864,13.8,16604,23671,414,620,165,50722,421,7796,13.4,146,2012
Calhoun County,Georgia,75.1479380356581,13,37,36.1,62.5,3937,1067,9.6,38.8,0.5419,477,14.0,2254,6581,77,348,160,30042,151,1797,6.0,118,2012
Camden County,Georgia,77.8798137924963,13,39,16.2,90.4,9831,13478,17.3,31.6,0.3955,6173,9.3,37892,50435,1374,2622,218,54155,1611,18152,10.1,514,2012
Candler County,Georgia,74.1222922738895,13,43,21.4,80.5,2665,2677,15.9,37.6,0.4366,1297,15.4,7509,11007,134,1230,47,35833,238,3784,8.5,211,2012
Carroll County,Georgia,75.2649452209793,13,45,17.9,79.7,20175,28268,18.4,33.6,0.4318,12654,15.1,85848,110750,3935,6832,624,46704,3498,39404,12.0,1588,2012
Catoosa County,Georgia,77.9156612399569,13,47,12.3,80.0,1534,17305,18.0,38.7,0.4028,5773,15.6,60234,64226,1112,1515,325,46143,1485,23808,9.6,618,2012
Charlton County,Georgia,76.8362263333628,13,49,15.2,60.7,3202,2577,8.4,38.0,0.455,825,13.4,9561,12954,216,1484,334,39511,288,3755,18.0,266,2012
Chatham County,Georgia,77.4078205118083,13,51,18.9,87.1,107233,62323,29.9,34.0,0.4736,42675,11.1,144797,266344,10897,14426,1992,45653,9460,101727,8.9,5734,2012
Chattahoochee County,Georgia,77.4188164396145,13,53,13.6,95.9,2451,2051,31.3,23.8,0.3582,1796,20.7,7977,11917,113,1556,48,48684,203,2559,11.0,35,2012
Chattooga County,Georgia,74.0233955840073,13,55,20.7,66.5,2914,6597,7.2,39.5,0.4225,2755,17.4,22024,25905,448,1073,161,32825,645,9344,9.9,327,2012
Cherokee County,Georgia,79.763757077708,13,57,8.4,87.7,12306,58211,35.3,36.4,0.4012,15293,8.7,188736,215014,3518,20670,798,67928,4446,75937,7.5,1302,2012
Clarke County,Georgia,78.2517597517476,13,59,34.9,85.4,30810,20795,42.3,25.9,0.5521,22408,10.7,77350,117762,6898,12213,331,33846,3315,40919,7.7,2765,2012
Clay County,Georgia,74.7723471601889,13,61,47.7,75.1,1999,735,10.5,42.7,0.4508,412,26.1,1107,3174,70,6,147,22582,114,1285,20.2,108,2012
Clayton County,Georgia,76.6132722992256,13,63,21.5,80.7,171921,56269,14.6,31.7,0.4099,36833,10.6,54981,262066,10624,34960,1043,42569,12145,85972,15.5,5431,2012
Clinch County,Georgia,73.643481993455,13,65,21.6,68.6,1940,1729,13.8,37.1,0.4439,818,21.4,4740,6800,100,227,54,33967,196,2592,7.5,244,2012
Cobb County,Georgia,79.911245368843,13,67,11.9,89.9,173854,176572,45.1,35.4,0.4483,84246,7.6,436938,691820,20209,84703,2810,65180,19350,259715,9.2,8055,2012
Coffee County,Georgia,75.1171865624406,13,69,24.2,72.5,11642,10516,10.7,34.8,0.4738,4679,14.4,27307,42566,842,4379,210,35583,1220,14764,10.1,779,2012
Colquitt County,Georgia,75.1185273657102,13,71,25.7,69.6,10448,11423,12.9,34.9,0.4775,5450,14.7,31150,45531,1222,7769,288,33186,1510,15766,8.5,1070,2012
Columbia County,Georgia,79.9378574714085,13,73,8.0,91.1,19294,34261,37.1,36.9,0.4153,9230,9.6,95752,124665,1748,6293,521,67295,3296,43785,7.0,640,2012
Cook County,Georgia,74.868413227934,13,75,22.7,71.7,4772,4637,11.9,36.5,0.4575,1887,14.2,11531,17073,330,1014,230,35983,547,6430,10.6,184,2012
Coweta County,Georgia,78.1474782080004,13,77,11.8,86.2,22602,34044,27.0,36.7,0.3962,12199,9.7,98947,127212,2926,8443,455,60675,2853,46316,8.1,1297,2012
Crawford County,Georgia,76.4243544922846,13,79,21.5,71.8,2985,3569,12.5,40.8,0.4262,902,13.9,9308,12701,282,91,113,39403,434,4692,9.8,159,2012
Crisp County,Georgia,75.604155103377,13,81,31.2,74.4,10224,6059,12.0,37.7,0.4651,3587,19.3,12798,23460,895,750,121,32320,1310,8874,15.2,819,2012
Dade County,Georgia,75.6024112493452,13,83,16.4,80.0,211,4873,15.6,39.2,0.4304,1396,19.8,15950,16598,248,302,91,41677,405,6463,11.3,119,2012
Dawson County,Georgia,77.8272718341701,13,85,13.7,86.6,42,6352,24.7,40.5,0.4226,1964,12.7,20992,22246,334,869,109,53289,489,8310,10.7,88,2012
Decatur County,Georgia,74.590943827003,13,87,28.9,76.9,11582,6905,13.5,37.0,0.5085,3976,15.6,14849,27815,1084,1428,365,30061,1186,10498,8.2,760,2012
DeKalb County,Georgia,79.2158140499573,13,89,18.6,87.0,378457,156413,39.1,34.3,0.4833,111762,9.5,241091,694671,30888,66469,4146,51252,26194,264276,13.3,20991,2012
Dodge County,Georgia,75.5425266340757,13,91,19.2,77.7,6452,5465,11.6,39.5,0.4258,2471,16.8,14721,21509,376,733,225,36042,710,8198,10.8,315,2012
Dooly County,Georgia,78.0908779265121,13,93,28.6,69.5,7505,3256,9.3,40.7,0.4845,1563,13.5,6568,14528,368,879,102,30789,378,4994,9.1,404,2012
Dougherty County,Georgia,75.0665944233774,13,95,30.6,75.5,63492,22860,16.9,33.4,0.5166,18519,14.9,28204,94591,5653,2187,597,31789,4997,35918,15.5,3549,2012
Douglas County,Georgia,77.1251788314126,13,97,13.4,85.7,52129,34323,22.6,35.0,0.4004,13441,11.1,73116,132124,3023,10990,620,54526,4823,45905,12.9,868,2012
Early County,Georgia,74.1211600263603,13,99,29.2,76.8,5549,2780,11.5,39.0,0.484,1391,20.1,5215,10928,254,73,117,29772,422,4099,9.1,457,2012
Echols County,Georgia,77.4800040431731,13,101,36.3,73.9,85,1058,4.0,32.4,0.4789,402,16.3,2958,4024,125,1100,4,27933,106,1333,12.4,82,2012
Effingham County,Georgia,76.6807853160528,13,103,10.6,86.4,7121,13980,15.7,35.4,0.3784,4423,12.2,43229,52203,958,1515,193,62953,1070,17979,7.4,422,2012
Elbert County,Georgia,74.994719658394,13,105,20.0,72.6,6083,5522,13.8,41.2,0.4378,2317,16.1,13342,20103,414,999,178,35053,612,7726,13.4,421,2012
Emanuel County,Georgia,73.1490169283872,13,107,27.8,72.9,7606,5700,9.4,36.9,0.4715,2802,19.5,13889,22600,536,981,314,31675,794,8106,12.1,470,2012
Evans County,Georgia,75.0916714641789,13,109,25.6,72.5,3158,2662,13.7,35.9,0.4361,1515,17.1,6614,10935,212,1363,139,36602,449,4122,8.9,194,2012
Fannin County,Georgia,76.5729956410993,13,111,20.1,76.3,138,7100,15.8,48.4,0.4257,2014,21.2,22761,23554,294,435,262,35446,639,10040,13.5,193,2012
Fayette County,Georgia,80.7760993114054,13,113,6.7,93.3,21297,30028,43.7,42.3,0.4106,6088,8.8,77040,106525,1321,6668,514,81242,2216,37780,8.1,494,2012
Floyd County,Georgia,75.5360393828392,13,115,20.9,75.4,13764,23897,17.6,37.7,0.4595,12100,17.2,75976,96204,3045,8999,743,41442,2462,34950,11.9,2172,2012
Forsyth County,Georgia,81.1621661366037,13,117,6.7,90.9,4819,45506,46.4,37.0,0.4054,7845,7.1,152592,177103,1844,16583,661,87585,2702,56694,8.0,850,2012
Franklin County,Georgia,74.539746357532,13,119,21.2,72.0,1931,5960,12.6,40.0,0.4456,2535,17.7,19219,22070,376,850,197,32179,494,8731,10.0,491,2012
Fulton County,Georgia,78.2466293954694,13,121,16.8,90.1,410993,204595,50.2,34.2,0.5356,166057,8.8,425949,929535,43162,72356,6254,57664,32784,366140,10.8,36867,2012
Gilmer County,Georgia,78.3285795455149,13,123,20.4,75.1,121,7874,15.2,42.9,0.4665,3093,18.9,26348,28232,637,2763,163,37257,519,11270,10.1,391,2012
Glascock County,Georgia,74.4093464008475,13,125,23.7,74.6,243,863,8.7,39.4,0.4111,360,11.3,2750,3082,59,14,6,32346,94,1182,11.8,18,2012
Glynn County,Georgia,77.090338827007,13,127,17.7,86.3,20399,21342,27.2,40.0,0.4705,11272,13.9,53812,79628,2628,5032,472,49986,2619,31137,10.5,1323,2012
Gordon County,Georgia,75.8777609472671,13,129,19.9,69.9,2334,13431,13.9,36.0,0.4407,6189,12.7,46872,55192,1305,7789,310,40661,1218,19194,9.7,952,2012
Grady County,Georgia,76.0273569976464,13,131,28.7,70.7,7289,6701,9.7,38.2,0.5015,3572,15.9,15532,25068,917,2554,182,32206,837,9568,10.2,790,2012
Greene County,Georgia,77.7414911540533,13,133,22.5,71.6,6115,4714,22.8,46.4,0.5509,1583,13.8,9113,15988,347,906,187,40728,349,6509,9.4,226,2012
Gwinnett County,Georgia,80.3377205482278,13,135,13.7,86.1,189028,201225,35.5,33.8,0.4222,80662,7.0,427961,810624,21055,162252,2069,61944,24248,264592,9.9,5239,2012
Habersham County,Georgia,77.7664591639441,13,137,18.1,78.8,1776,10926,19.0,38.6,0.4253,3545,14.4,38425,43038,536,5356,199,41894,678,14890,9.4,444,2012
Hall County,Georgia,78.8423446598875,13,139,16.8,76.6,13395,45843,22.2,34.5,0.4492,19144,10.4,147797,180831,4090,47315,889,52174,3849,60994,8.4,2547,2012
Hancock County,Georgia,76.1179496302772,13,141,31.4,69.7,7044,1600,8.7,42.1,0.4493,714,16.6,2253,9422,221,112,226,22716,259,2860,21.9,189,2012
Haralson County,Georgia,73.6407834485258,13,143,23.2,70.9,1380,7736,11.1,39.2,0.4386,3050,19.8,26369,28627,807,339,224,39227,803,10711,14.4,261,2012
Harris County,Georgia,79.4813060339318,13,145,8.4,91.8,5529,8968,29.4,42.3,0.4307,1531,14.5,25308,31870,291,886,175,68816,328,11308,7.2,152,2012
Hart County,Georgia,77.0693619469153,13,147,23.5,77.2,5068,6695,16.0,42.8,0.4741,2310,17.4,19765,25277,578,799,243,35647,611,9949,9.3,415,2012
Heard County,Georgia,75.3100668615891,13,149,25.2,67.2,1372,2944,7.1,39.4,0.4208,1075,22.8,10175,11756,171,106,38,39947,255,4342,11.7,185,2012
Henry County,Georgia,77.2270440243086,13,151,10.3,88.3,73993,52584,23.3,35.5,0.3802,16498,9.7,113445,203185,3691,11797,564,62377,6853,68726,10.8,1110,2012
Houston County,Georgia,77.6193132329139,13,153,14.6,88.1,40147,36111,25.9,34.4,0.4074,16751,11.8,89223,140699,3563,8553,685,56265,5119,51728,10.2,1670,2012
Irwin County,Georgia,75.5407385290799,13,155,20.8,76.3,2794,2375,7.4,37.2,0.4497,821,18.1,6763,9646,91,99,102,38770,231,3185,10.2,182,2012
Jackson County,Georgia,76.1224253591681,13,157,15.6,79.5,4297,16541,18.4,36.8,0.4113,4935,12.8,53254,60268,1194,3761,362,53393,1260,21250,7.7,558,2012
Jasper County,Georgia,76.4760822218681,13,159,20.2,83.1,2953,3749,13.4,37.7,0.4508,1173,12.5,10129,13786,285,525,77,43768,389,5101,14.5,101,2012
Jeff Davis County,Georgia,73.5960389400029,13,161,25.8,75.6,2279,4163,9.1,35.7,0.4307,1734,14.0,11812,14972,197,1539,70,35203,417,5709,10.7,310,2012
Jefferson County,Georgia,73.2175880700057,13,163,30.3,74.4,9671,4207,7.4,38.1,0.4452,2007,13.8,7017,16817,426,101,255,27612,758,6180,15.3,483,2012
Jenkins County,Georgia,74.2947516934314,13,165,29.5,67.8,3028,2171,13.1,38.6,0.5081,835,18.3,4987,8477,267,602,32,27039,371,3154,14.2,145,2012
Johnson County,Georgia,76.5217089511221,13,167,20.7,73.2,3519,2326,8.5,40.2,0.4702,785,21.2,6183,9981,153,51,137,34521,306,3340,8.3,186,2012
Jones County,Georgia,78.1776706001903,13,169,14.2,87.3,7187,8019,17.9,39.1,0.424,2135,12.6,20960,28638,448,333,189,53085,871,10531,7.0,272,2012
Lamar County,Georgia,74.9908744287588,13,171,19.8,73.9,5668,4477,10.2,38.2,0.4284,1967,16.3,11927,18151,421,360,79,39224,384,6458,18.6,397,2012
Lanier County,Georgia,75.5473722896026,13,173,21.9,70.2,2398,2713,11.0,32.7,0.4553,1298,18.1,6956,10066,374,468,7,41867,353,3627,9.7,258,2012
Laurens County,Georgia,74.9937502841476,13,175,23.6,77.6,17311,12250,14.0,38.0,0.4861,5877,13.4,29711,48264,1304,1101,280,35912,1766,17533,6.2,1058,2012
Lee County,Georgia,77.5360123381794,13,177,11.3,80.7,5382,7270,19.6,35.9,0.4228,2388,11.8,21884,28449,449,589,107,58400,697,9625,7.6,247,2012
Liberty County,Georgia,77.0173224716006,13,179,17.6,92.3,26948,17228,15.5,27.6,0.4174,11196,11.6,30711,64663,2222,6612,199,44295,2766,22991,11.9,1165,2012
Lincoln County,Georgia,76.1252505636201,13,181,25.9,84.4,2595,2326,12.6,45.2,0.4473,651,16.4,5192,7962,86,18,129,34347,330,3412,13.0,197,2012
Long County,Georgia,78.1786437705502,13,183,20.8,82.2,3693,3503,11.5,30.2,0.3793,1882,11.1,9659,14488,358,1722,157,40044,616,4855,13.7,230,2012
Lowndes County,Georgia,76.2377961783429,13,185,23.4,82.4,39481,25153,21.9,29.8,0.4695,17345,13.0,63482,109730,4656,5311,567,38348,4058,39369,12.4,2091,2012
Lumpkin County,Georgia,78.0996066601956,13,187,16.8,82.4,496,7197,21.6,36.1,0.4403,3222,12.9,28147,30040,706,1367,203,44595,379,10782,12.3,307,2012
McDuffie County,Georgia,74.5072516293479,13,189,20.5,72.1,8829,6054,11.4,38.5,0.4439,2759,17.4,12564,21762,610,486,226,38855,700,8217,10.3,640,2012
McIntosh County,Georgia,79.4950677588258,13,191,14.9,77.9,5084,3460,16.8,43.5,0.4259,954,19.6,8569,14119,177,189,217,39506,450,5086,10.7,37,2012
Macon County,Georgia,74.3906529377592,13,193,27.3,67.1,8872,3342,8.2,38.9,0.4222,1613,22.4,5239,14552,243,535,198,30906,479,4775,12.6,353,2012
Madison County,Georgia,75.8325465241539,13,195,19.0,71.9,2244,6993,13.5,38.8,0.432,2303,16.1,24544,27988,310,1119,167,41404,610,9391,9.7,305,2012
Marion County,Georgia,76.7627012692049,13,197,26.1,75.6,2854,1874,8.8,41.2,0.4299,861,20.0,5203,8615,147,567,69,33875,243,3025,17.6,259,2012
Meriwether County,Georgia,74.9788050638371,13,199,17.3,70.1,8823,5649,8.2,41.6,0.4285,2275,17.4,12810,21966,368,357,274,37660,535,8081,14.2,345,2012
Miller County,Georgia,74.2177122466892,13,201,21.6,76.4,1822,1691,9.2,41.2,0.4837,718,17.7,4216,6094,95,33,65,32432,298,2494,9.9,120,2012
Mitchell County,Georgia,75.1898689001318,13,205,25.8,67.3,11320,5558,7.7,37.2,0.458,2885,16.3,11478,23510,644,1023,336,32838,926,8150,10.3,746,2012
Monroe County,Georgia,77.233986566549,13,207,14.3,80.7,6300,6943,15.6,40.7,0.4215,2103,14.9,19299,26376,380,560,213,47323,551,9577,8.7,188,2012
Montgomery County,Georgia,75.4452929856624,13,209,24.3,81.2,2440,2261,14.7,36.8,0.4444,966,12.7,6402,9054,103,501,78,33569,255,3271,4.5,207,2012
Morgan County,Georgia,77.6218116292189,13,211,15.1,79.8,4466,4994,22.9,41.3,0.4887,1648,14.0,13039,17919,364,486,127,44908,420,6538,9.7,51,2012
Murray County,Georgia,74.8836117904355,13,213,19.8,66.2,450,10740,7.9,36.5,0.4148,4239,14.6,37118,39635,658,5269,180,36928,1032,14302,13.2,411,2012
Muscogee County,Georgia,75.1089348482962,13,215,18.8,84.1,86320,46524,22.8,33.4,0.4783,32957,18.2,89502,191278,7334,12423,1192,41443,9174,72182,10.5,6392,2012
Newton County,Georgia,76.3383600112654,13,217,14.6,82.3,40145,25204,17.2,34.6,0.4013,8775,12.5,55206,100047,2797,4598,440,51336,3700,33646,13.2,738,2012
Oconee County,Georgia,80.5411247556966,13,219,8.5,91.3,1802,9077,46.4,39.1,0.4372,2268,10.1,29073,32814,266,1440,137,77571,679,11239,6.1,151,2012
Oglethorpe County,Georgia,78.2764908663064,13,221,15.4,79.1,2478,3677,15.4,41.4,0.4062,954,18.8,11563,14745,81,547,103,42428,279,4981,5.6,52,2012
Paulding County,Georgia,78.4312674493041,13,223,10.3,87.3,24257,38476,20.6,34.0,0.3655,8631,9.8,112989,141846,1973,7246,423,63190,4098,47858,10.8,575,2012
Peach County,Georgia,74.3399933464774,13,225,26.6,80.2,12761,6740,18.1,33.9,0.4491,3121,13.1,13115,27531,908,1879,207,41488,770,9394,13.9,800,2012
Pickens County,Georgia,77.4333827116229,13,227,11.8,79.3,368,8464,23.5,41.7,0.449,2494,12.8,28302,29445,651,832,143,50829,402,11314,9.9,238,2012
Pierce County,Georgia,75.1463006448415,13,229,20.8,78.2,1687,5137,9.5,38.6,0.4224,1747,21.0,16030,18631,267,872,238,39326,403,7068,9.6,273,2012
Pike County,Georgia,76.248270265237,13,231,11.0,84.3,1913,5008,15.1,38.3,0.3759,982,13.9,15511,17765,252,199,50,56658,540,6129,8.7,108,2012
Polk County,Georgia,73.7563254899217,13,233,21.7,73.0,5353,10546,10.0,36.9,0.445,4321,17.9,33614,41350,1140,4941,423,38861,1011,14633,13.6,617,2012
Pulaski County,Georgia,77.5407856910735,13,235,18.9,72.0,3738,2948,6.9,43.3,0.4355,1390,15.8,7794,11801,123,587,72,34659,462,4297,8.3,234,2012
Putnam County,Georgia,77.2505144611178,13,237,15.2,79.8,5732,6602,17.8,44.8,0.5101,2028,14.2,14652,21184,394,1319,163,40115,927,8715,8.6,266,2012
Quitman County,Georgia,75.704949473663,13,239,24.3,64.6,1344,736,5.7,40.4,0.3733,278,27.7,1176,2542,23,0,69,32750,51,979,15.7,35,2012
Rabun County,Georgia,77.7200499260469,13,241,23.6,82.2,188,4231,29.4,45.4,0.4905,1827,16.6,15394,16297,448,1275,134,32995,304,6858,9.6,109,2012
Randolph County,Georgia,76.1922253365109,13,243,25.3,70.7,4424,1834,12.6,39.2,0.5452,758,24.2,2837,7596,187,36,198,32688,181,2833,16.9,240,2012
Richmond County,Georgia,74.1909796753774,13,245,24.4,82.1,109167,45884,19.0,33.1,0.4627,32146,17.6,79801,200337,8228,8322,1425,38952,9723,73274,12.1,5351,2012
Rockdale County,Georgia,78.0306024210707,13,247,13.9,84.8,38888,21410,23.7,37.2,0.4067,8527,10.9,39185,85008,1991,8121,451,54704,3395,29140,13.5,935,2012
Schley County,Georgia,77.5381182315156,13,249,21.5,70.1,1420,1171,9.6,37.7,0.4695,570,16.5,3250,4963,77,311,66,40612,96,1752,6.4,109,2012
Screven County,Georgia,74.8408399989457,13,251,24.8,71.9,6416,3237,11.4,39.7,0.4683,1244,20.8,7909,14574,285,100,195,34634,362,4861,14.0,300,2012
Seminole County,Georgia,74.7722620916714,13,253,25.5,79.7,2944,2344,11.5,43.7,0.4746,722,18.4,5767,8815,163,228,83,28909,395,3258,9.9,125,2012
Spalding County,Georgia,74.4848966724655,13,255,21.6,76.0,21080,16211,15.4,37.1,0.4468,8653,15.0,40646,63979,2517,2480,525,40655,2021,23073,13.9,1359,2012
Stephens County,Georgia,73.8081356220611,13,257,18.8,76.7,3037,6439,14.7,40.5,0.4385,2380,19.4,22300,26003,376,645,267,37535,605,9346,10.9,283,2012
Stewart County,Georgia,74.7485703955724,13,259,26.4,62.7,3722,1189,5.9,41.6,0.4618,691,28.8,1713,5991,117,576,102,28222,207,1941,14.4,218,2012
Sumter County,Georgia,75.3379225174688,13,261,30.7,75.1,16805,7448,18.6,34.2,0.4746,4682,16.3,14358,32425,1181,1709,271,33528,1502,11550,13.8,1220,2012
Talbot County,Georgia,75.3884489268479,13,263,23.4,78.6,4069,1840,11.5,45.3,0.4987,605,24.8,2626,6772,74,24,131,26750,197,2680,15.9,208,2012
Taliaferro County,Georgia,75.1585955884383,13,265,29.9,66.1,930,411,10.0,43.4,0.4398,189,22.3,692,1674,47,29,47,24390,23,670,19.0,37,2012
Tattnall County,Georgia,75.2235708271841,13,267,25.8,71.4,7139,5512,8.5,36.2,0.4658,2329,19.5,16118,25023,357,2554,236,36520,673,8028,12.4,512,2012
Taylor County,Georgia,75.1368046855178,13,269,29.2,69.9,3481,2532,6.7,40.3,0.4817,1167,17.0,5124,8700,274,165,63,28402,281,3527,16.8,151,2012
Telfair County,Georgia,77.3785428575031,13,271,34.1,70.3,6263,3894,8.0,39.2,0.491,2169,17.3,9704,16312,391,2049,243,24469,640,5787,2.9,392,2012
Terrell County,Georgia,74.7344941359309,13,273,29.3,63.9,5698,2359,7.4,40.4,0.4519,1279,24.0,3480,9365,352,165,82,32855,388,3371,15.1,409,2012
Thomas County,Georgia,75.5189642380648,13,275,27.6,79.6,16650,11133,15.7,39.1,0.5152,7776,16.4,26565,44715,1771,1327,358,31471,1586,17462,12.9,1491,2012
Tift County,Georgia,75.6807278477855,13,277,22.9,76.1,11986,9377,16.6,34.4,0.4812,4989,14.2,25186,40430,1141,4117,322,37033,1462,13759,8.7,883,2012
Toombs County,Georgia,74.5002564843312,13,279,26.7,78.8,6826,7113,13.9,35.7,0.4822,4048,14.6,19068,27270,1014,3076,258,31757,1012,10359,7.5,747,2012
Towns County,Georgia,77.83848587917,13,281,15.5,84.4,128,2938,24.4,51.3,0.4285,670,18.5,10116,10491,167,208,100,35843,117,4483,10.6,139,2012
Treutlen County,Georgia,75.5427251028086,13,283,24.2,68.5,1958,1495,7.9,37.8,0.4997,758,22.8,4600,6851,86,36,30,35960,146,2349,4.5,118,2012
Troup County,Georgia,75.4809975435124,13,285,22.1,79.9,22712,17457,20.2,36.1,0.4685,9379,16.7,41295,67146,2794,2195,553,40246,3093,24554,13.3,1945,2012
