County,State,mean_life_expectancy,State_FIPS,County_FIPS,Poverty Rate,Black Population,High School Degree or Higher (%),Bachelor's Degree or Higher (%),Total Families,Gini Index,Median Age,Disability Rate,Rent Denominator,Hispanic Population,Rent Burden Count (+50%),Total Population,White Population,Median Household Income,No Vehicle (Owner),Total Families (Single Mother),Total Occupied Households,No Vehicle (Renter),Unemployment Rate,Year
Franklin County,Idaho,79.6153205985448,16,41,12.2,17,91.7,21.4,3161,0.3619,32.2,11.7,791,846,43,12801,12352,44962,100,149,4150,27,7.0,2013
Fremont County,Idaho,79.6131851033604,16,43,12.4,6,86.4,20.9,3441,0.3806,34.3,12.6,798,1649,137,13088,12404,44520,93,127,4549,15,6.9,2013
Gem County,Idaho,78.2291486604303,16,45,18.2,4,86.2,17.1,4539,0.4109,42.7,15.5,1608,1342,410,16722,15879,44432,100,358,6323,154,15.1,2013
Gooding County,Idaho,78.3258262706324,16,47,20.8,5,69.6,11.4,3948,0.4309,35.6,14.8,1637,4312,263,15278,12986,37050,27,255,5552,100,5.6,2013
Idaho County,Idaho,79.5342501577356,16,49,17.5,28,87.9,13.7,4509,0.375,48.4,20.3,1425,456,192,16269,15320,37349,89,319,6534,79,8.2,2013
Jefferson County,Idaho,79.7810127717572,16,51,13.1,31,88.2,24.0,6690,0.3735,30.5,11.8,1304,2716,190,26389,24795,52023,187,444,8058,61,6.6,2013
Jerome County,Idaho,78.355705725954,16,53,18.3,40,66.4,11.2,5686,0.3915,31.5,10.9,2800,7143,356,22391,19855,40126,88,461,7676,157,7.2,2013
Kootenai County,Idaho,79.2089223795369,16,55,13.4,411,91.6,24.5,38681,0.4248,39.2,12.8,16356,5572,4137,140785,133515,49002,703,3897,55679,1312,9.6,2013
Latah County,Idaho,81.0847103689307,16,57,20.4,185,95.0,43.6,8474,0.4552,28.5,10.5,6470,1388,1938,37636,35183,41735,194,577,14941,562,8.5,2013
Lemhi County,Idaho,78.8668476329095,16,59,23.3,9,90.9,26.0,2317,0.4699,50.3,18.4,1099,200,249,7853,7583,34122,80,142,3832,254,8.8,2013
Lewis County,Idaho,78.3508965014346,16,61,17.9,0,89.6,18.9,1051,0.3871,47.9,20.6,430,139,97,3851,3523,36000,22,62,1660,73,7.6,2013
Lincoln County,Idaho,78.2680422418382,16,63,16.6,17,68.9,12.4,1254,0.3667,33.3,13.1,458,1480,43,5221,4578,42433,6,75,1617,13,8.5,2013
Madison County,Idaho,80.9541426351055,16,65,35.8,239,95.4,35.5,8084,0.5053,22.9,6.0,5252,2310,1954,37542,35742,32059,41,441,10323,279,10.8,2013
Minidoka County,Idaho,78.5333295742048,16,67,13.6,54,75.7,9.6,5233,0.4196,35.4,13.3,1904,6548,326,20104,17267,43266,120,300,6994,182,5.8,2013
Nez Perce County,Idaho,77.6553237164015,16,69,11.1,118,87.9,19.2,10304,0.4075,41.2,17.0,4914,1191,830,39458,35576,46503,322,956,16019,656,6.3,2013
Oneida County,Idaho,79.4518295137409,16,71,16.1,0,92.4,15.7,1124,0.405,38.9,14.9,297,84,68,4257,4115,40842,37,59,1579,84,4.0,2013
Owyhee County,Idaho,78.5463909941907,16,73,24.2,0,72.4,7.6,2786,0.4369,36.0,16.2,1400,2947,180,11474,10285,32175,128,294,3911,111,12.9,2013
Payette County,Idaho,78.4293725963789,16,75,20.0,13,83.9,18.8,5771,0.4177,38.1,15.8,2046,3493,346,22629,20976,43649,133,605,8056,132,12.0,2013
Power County,Idaho,78.0040293554305,16,77,13.9,5,81.8,15.4,2031,0.3321,34.1,13.7,750,2356,44,7756,6759,44212,120,173,2568,42,8.0,2013
Shoshone County,Idaho,75.6506380166567,16,79,17.4,23,87.1,13.3,3576,0.4141,46.8,18.0,1805,404,396,12729,12228,38440,91,233,5714,226,11.6,2013
Teton County,Idaho,82.6834644294167,16,81,11.7,0,83.8,32.5,2357,0.3668,34.5,13.2,999,1723,187,10141,9973,53931,47,200,3583,45,11.0,2013
Twin Falls County,Idaho,78.0026114150324,16,83,15.0,426,82.0,17.7,19950,0.4148,34.6,12.2,9358,10964,1672,78067,72065,43886,503,1914,28166,787,7.3,2013
Valley County,Idaho,81.8466480630619,16,85,9.5,2,92.1,35.7,2394,0.4108,47.6,15.1,782,384,114,9698,9539,50473,9,100,3519,30,7.4,2013
Washington County,Idaho,78.4361415576766,16,87,15.0,0,81.3,17.9,2589,0.4386,44.3,18.9,932,1720,255,10094,9257,37453,28,326,3938,126,13.7,2013
Adams County,Illinois,78.2117958066337,17,1,14.4,2420,89.1,20.6,17503,0.4356,40.6,14.5,7539,858,1724,67152,62691,45073,369,1562,26912,1539,7.6,2013
Alexander County,Illinois,73.8632027969847,17,3,31.6,2814,71.2,7.3,1937,0.4416,41.2,23.8,979,165,146,7980,4886,26972,102,436,2860,255,17.2,2013
Bond County,Illinois,78.2414846120494,17,5,14.6,369,88.1,21.2,4264,0.4494,40.0,14.5,1615,562,371,17665,16165,48163,171,265,6373,280,7.6,2013
Boone County,Illinois,79.5107532437916,17,7,11.3,1309,85.2,18.1,14042,0.4265,37.3,8.5,3135,10925,720,54068,48666,60893,313,1242,17938,543,12.2,2013
Brown County,Illinois,78.534605763088,17,9,12.3,997,76.6,10.7,1367,0.4479,37.3,10.9,458,344,39,6904,5714,42194,38,101,2105,75,6.8,2013
Bureau County,Illinois,78.819330593955,17,11,11.6,231,86.5,16.6,9216,0.4475,43.0,12.8,3403,2755,601,34594,33210,48977,278,938,13998,524,9.8,2013
Calhoun County,Illinois,79.460736499517,17,13,11.9,6,87.0,11.9,1447,0.424,45.1,15.8,381,13,61,5062,4978,50436,21,70,2061,15,8.2,2013
Carroll County,Illinois,78.6105019624199,17,15,13.7,128,88.9,14.1,4369,0.4438,47.0,15.8,1570,464,358,15199,14632,47985,102,404,6671,258,9.3,2013
Cass County,Illinois,77.1250871754692,17,17,14.8,455,85.9,11.3,3522,0.3916,39.1,12.8,1427,2369,189,13530,12000,45734,113,399,5134,189,11.5,2013
Champaign County,Illinois,80.507940352384,17,19,22.3,25166,93.3,43.1,42670,0.4911,29.1,8.5,35679,10892,11883,202428,151026,45808,965,4886,79137,7964,7.4,2013
Christian County,Illinois,77.3605329393116,17,21,14.9,627,86.9,11.8,9071,0.44,41.7,14.0,3579,502,610,34651,33336,45145,377,894,14138,524,7.0,2013
Clark County,Illinois,76.8041826655067,17,23,12.3,52,90.3,17.9,4596,0.4194,43.1,15.0,1604,197,201,16284,15945,47405,131,430,6568,183,9.5,2013
Clay County,Illinois,76.9806436702069,17,25,15.6,108,86.5,11.3,3616,0.4241,43.2,15.9,1120,38,180,13744,13313,40640,137,394,5486,123,9.9,2013
Clinton County,Illinois,79.4074737865816,17,27,8.9,1312,88.2,18.1,9800,0.4012,40.0,11.4,2472,1093,373,37891,35618,61720,308,881,14051,299,6.2,2013
Coles County,Illinois,78.0239113581782,17,29,22.0,1984,90.4,24.4,11880,0.4899,32.0,12.7,7993,1187,2449,53732,49961,37040,186,1448,21046,1333,12.6,2013
Cook County,Illinois,79.1311688749732,17,31,16.9,1272312,83.8,34.4,1186609,0.4973,35.5,10.2,805398,1262156,219430,5212372,2955886,54548,75949,147263,1933335,267353,12.2,2013
Crawford County,Illinois,77.5673746585798,17,33,14.4,532,87.4,16.9,5177,0.434,42.0,16.3,1552,377,349,19707,18325,46216,133,380,7731,268,10.9,2013
Cumberland County,Illinois,78.4372060318459,17,35,13.9,39,87.6,11.9,2878,0.4183,40.2,18.0,805,86,100,11015,10798,43958,102,212,4184,97,9.2,2013
DeKalb County,Illinois,79.6374893423965,17,37,19.0,6657,90.3,28.9,22964,0.4303,29.6,8.1,15060,10855,5181,104820,87960,53375,470,2273,37844,2234,10.6,2013
De Witt County,Illinois,77.2797481786167,17,39,14.0,155,91.9,15.6,4539,0.435,42.2,14.1,1563,351,289,16511,15972,51051,92,310,6802,215,6.9,2013
Douglas County,Illinois,78.6616006654845,17,41,10.3,81,81.8,13.5,5306,0.3895,38.3,10.6,1628,1289,411,19902,19069,52741,432,395,7509,319,6.4,2013
DuPage County,Illinois,81.8976543081426,17,43,6.9,42553,92.3,48.1,238824,0.4478,38.4,7.8,85913,124689,17410,922803,740739,78487,4753,16535,336028,8731,8.6,2013
Edgar County,Illinois,76.8338380138093,17,45,18.4,76,89.4,19.5,5383,0.4464,43.4,15.8,2103,194,416,18339,18020,42133,185,473,7893,423,11.7,2013
Edwards County,Illinois,76.7627926430186,17,47,11.4,29,86.4,11.3,1735,0.4056,43.4,15.5,549,48,68,6695,6540,39075,67,129,2728,99,9.5,2013
Effingham County,Illinois,78.2270662775775,17,49,9.1,54,91.3,20.5,9212,0.4404,39.6,11.7,2938,613,313,34274,33376,52108,165,731,13544,494,5.8,2013
Fayette County,Illinois,78.4736703498543,17,51,17.0,517,83.3,13.2,5602,0.4149,39.8,15.9,1582,333,311,22088,20716,44722,203,397,8124,214,10.3,2013
Ford County,Illinois,76.6308758648888,17,53,10.5,68,86.7,15.0,3542,0.4319,42.6,13.6,1321,341,139,13991,13690,48866,189,237,5651,140,9.1,2013
Franklin County,Illinois,74.7794926067474,17,55,19.1,64,87.6,13.6,10304,0.4269,41.7,19.6,3930,530,774,39470,38568,36273,389,1256,16110,838,11.0,2013
Fulton County,Illinois,77.132490990937,17,57,13.3,991,84.1,11.9,9627,0.4005,42.3,14.2,3574,926,815,36829,34855,45130,268,763,14610,622,9.1,2013
Gallatin County,Illinois,74.4232966458891,17,59,17.2,26,82.5,13.2,1554,0.475,45.1,20.2,514,18,50,5516,5347,40330,71,117,2369,45,11.6,2013
Greene County,Illinois,77.2848864398246,17,61,13.2,145,87.7,12.4,3905,0.4007,41.9,15.6,1402,125,167,13778,13463,43502,133,273,5790,132,8.3,2013
Grundy County,Illinois,78.434587664634,17,63,9.0,654,91.7,18.2,12791,0.404,36.7,9.9,4307,4230,1111,50064,47649,64541,296,1424,18082,497,9.9,2013
Hamilton County,Illinois,76.7957180811283,17,65,17.1,69,84.3,14.2,2369,0.4386,43.3,16.3,820,110,113,8413,8242,38417,38,143,3512,76,7.8,2013
Hancock County,Illinois,79.7899599184006,17,67,13.6,64,91.5,17.3,5470,0.4006,45.1,14.3,1760,216,201,18949,18549,43925,183,375,8101,135,7.5,2013
Hardin County,Illinois,74.7482828996248,17,69,23.6,40,83.1,11.4,1124,0.4904,47.1,30.3,369,21,77,4273,4051,37071,32,98,1800,126,13.8,2013
Henderson County,Illinois,78.5825051726107,17,71,11.3,29,86.0,16.8,2162,0.4072,48.0,16.3,653,79,97,7186,6939,49389,87,194,3202,65,7.8,2013
Henry County,Illinois,78.9766193899124,17,73,10.5,861,88.9,20.1,13991,0.4166,41.8,11.4,4468,2503,638,50260,47446,52940,343,1214,20393,802,5.7,2013
Iroquois County,Illinois,76.8689948655174,17,75,13.7,362,87.6,14.4,8108,0.4274,43.4,12.7,2933,1695,498,29446,28260,47079,157,702,11892,456,9.0,2013
Jackson County,Illinois,78.1810739908677,17,77,30.4,8584,90.1,35.1,11948,0.5222,29.4,11.8,10991,2457,4158,60055,46977,33479,419,1543,23567,2388,9.7,2013
Jasper County,Illinois,78.9162489869283,17,79,6.6,8,91.4,13.1,2772,0.3661,43.3,13.6,625,99,126,9680,9489,52233,80,237,3904,74,7.5,2013
Jefferson County,Illinois,76.6271827353006,17,81,16.5,3034,85.2,16.9,10024,0.4517,40.6,15.7,4169,847,826,38769,34048,42981,374,1092,15288,1012,10.8,2013
Jersey County,Illinois,77.533240067735,17,83,7.6,94,87.8,16.3,6492,0.392,41.4,11.0,1761,246,291,22850,22345,53954,177,493,8752,157,9.0,2013
Jo Daviess County,Illinois,80.8100562616136,17,85,9.5,75,90.3,23.1,6620,0.4521,47.4,12.1,2088,655,307,22602,21992,50817,244,466,9616,344,6.0,2013
Johnson County,Illinois,77.8251902273281,17,87,14.1,1143,78.8,12.0,3006,0.4381,42.2,19.0,817,289,128,12665,11304,40760,73,195,4362,126,11.4,2013
Kane County,Illinois,81.035340909543,17,89,11.1,28200,81.5,31.9,127489,0.4305,35.1,7.5,41981,159688,11028,518380,380303,69530,2717,10854,170358,5826,9.5,2013
Kankakee County,Illinois,77.2825580583853,17,91,16.4,16679,84.6,15.6,28271,0.4227,36.9,16.2,12840,10321,3182,112991,89959,50102,931,3733,41245,1969,11.5,2013
Kendall County,Illinois,81.0258274873401,17,93,4.8,6650,92.1,31.9,29479,0.3505,33.4,6.6,6228,18543,1217,116366,97755,81765,326,2587,38075,339,8.0,2013
Knox County,Illinois,76.8325513530931,17,95,16.7,4319,84.2,17.0,12809,0.4319,41.8,14.5,6789,2628,1536,52545,45973,40667,431,1514,21481,1549,9.0,2013
Lake County,Illinois,81.2784275894707,17,97,9.0,47959,88.2,43.1,179071,0.4741,37.0,7.7,58063,141538,13633,702099,552805,77469,3304,14867,241072,8504,9.6,2013
LaSalle County,Illinois,77.3448507095609,17,99,12.2,2197,87.8,15.8,29720,0.4134,41.3,11.7,10707,9390,2241,113295,106836,52640,1056,2722,44257,1584,11.3,2013
Lawrence County,Illinois,75.4332373363513,17,101,13.3,3445,66.6,5.7,3322,0.4131,39.8,17.3,1067,912,144,16702,12675,40145,121,386,4872,108,5.5,2013
Lee County,Illinois,78.42964165186,17,103,10.7,1673,83.6,15.7,9026,0.432,41.5,12.1,3527,1861,496,35535,32753,50060,291,763,13504,499,8.6,2013
Livingston County,Illinois,77.4635686752894,17,105,10.3,2153,86.3,14.2,9767,0.4192,40.9,12.7,3775,1592,593,38687,35633,54614,234,793,14446,573,7.7,2013
Logan County,Illinois,77.5643875713495,17,107,13.8,3581,83.6,14.3,7189,0.4363,39.5,14.0,3394,929,645,30177,24765,47133,244,1010,10963,477,7.1,2013
McDonough County,Illinois,79.2804743706863,17,109,23.1,1747,92.4,34.6,6853,0.479,29.5,11.5,4928,862,1740,32549,29483,36031,289,812,12620,657,9.9,2013
McHenry County,Illinois,80.140405922829,17,111,7.7,3669,91.8,33.1,82541,0.3951,38.4,7.7,19250,35899,4577,308060,279631,76145,1567,6083,108852,1818,10.3,2013
McLean County,Illinois,80.0374062375645,17,113,14.2,12693,94.1,44.3,39616,0.4493,32.2,9.1,20957,7731,5381,171240,144639,62089,915,3629,64016,3170,6.6,2013
Macon County,Illinois,77.5194517834302,17,115,17.6,17503,88.0,22.9,28016,0.4629,40.2,13.8,13890,2149,2807,110262,87351,46559,1154,3384,45142,3051,11.7,2013
Macoupin County,Illinois,77.6454260547249,17,117,12.4,269,89.3,15.4,13273,0.3966,41.9,14.9,4494,449,739,47462,46241,49590,304,1107,19254,788,8.9,2013
Madison County,Illinois,77.2787047821218,17,119,14.0,21233,91.1,24.6,71740,0.4377,38.8,11.8,29503,7620,7319,268373,238129,53633,1918,7422,107238,4243,9.3,2013
Marion County,Illinois,75.351368560877,17,121,18.1,1374,85.9,13.5,10463,0.4329,41.5,19.2,3973,596,837,39070,36417,41010,443,1386,15893,696,10.9,2013
Marshall County,Illinois,77.2859373984564,17,123,11.0,72,90.6,16.6,3238,0.4001,45.5,13.7,904,339,113,12454,11999,51504,94,187,5021,77,7.6,2013
Mason County,Illinois,76.7353213536185,17,125,16.3,168,85.2,12.9,4164,0.4155,44.6,15.8,1428,114,260,14508,14212,42260,177,430,6310,230,11.9,2013
Massac County,Illinois,75.2879187428656,17,127,16.3,898,81.9,15.8,3906,0.4116,42.8,19.6,1478,67,325,15282,13721,43615,125,309,6053,334,9.5,2013
Menard County,Illinois,78.5921152792006,17,129,9.8,106,89.4,21.3,3433,0.4018,43.2,11.5,973,138,158,12687,12370,58190,83,247,5071,205,5.6,2013
Mercer County,Illinois,78.8096421762167,17,131,10.1,45,89.0,13.1,4871,0.3942,44.0,12.2,1428,317,168,16325,15945,53136,84,421,6716,212,6.1,2013
Monroe County,Illinois,80.3809636905566,17,133,5.4,10,92.3,26.9,9420,0.389,40.7,10.4,2367,481,194,33181,32551,68482,222,429,12506,216,6.3,2013
Montgomery County,Illinois,77.4105853694394,17,135,14.1,2306,82.1,10.1,7523,0.4222,41.9,14.6,2759,711,561,29878,26905,41952,238,827,11192,378,6.2,2013
Morgan County,Illinois,78.0682560866414,17,137,14.4,2166,85.9,19.1,9038,0.4227,41.0,13.9,4195,741,782,35424,32426,46809,206,1137,13926,633,8.1,2013
Moultrie County,Illinois,77.425742651271,17,139,12.8,70,83.6,13.7,4018,0.4057,41.3,11.6,1207,151,139,14869,14607,46622,350,367,5676,219,5.5,2013
Ogle County,Illinois,79.0345206948814,17,141,11.3,454,87.9,19.3,13890,0.3991,41.0,10.1,4965,4786,865,53092,51016,54541,472,1078,20745,564,10.6,2013
Peoria County,Illinois,77.5292731396623,17,143,17.2,33054,89.5,30.3,46921,0.4679,36.7,11.0,26183,7566,5834,187117,140356,50712,1376,6402,75892,5804,9.3,2013
Perry County,Illinois,77.1771241335504,17,145,18.4,1940,83.4,12.7,5049,0.4186,40.2,15.6,1863,630,416,22182,19554,42078,131,528,7982,242,9.2,2013
Piatt County,Illinois,79.4041956367617,17,147,6.2,37,91.5,25.7,4717,0.4139,42.9,10.9,1149,173,158,16620,16288,63027,97,340,6546,90,5.6,2013
Pike County,Illinois,78.1485608681993,17,149,16.6,227,82.8,12.0,4484,0.4179,42.3,16.3,1483,189,259,16337,15807,39845,106,439,6708,168,6.6,2013
Pope County,Illinois,77.9763895521772,17,151,17.0,164,85.9,9.6,1153,0.3954,48.2,22.5,328,115,43,4383,4147,38371,56,108,1736,40,7.5,2013
Pulaski County,Illinois,74.7053017405268,17,153,18.8,2001,77.9,8.4,1501,0.4491,43.5,22.4,530,101,77,6035,3866,33717,143,164,2419,152,13.1,2013
Putnam County,Illinois,79.1977164377125,17,155,14.2,12,90.9,14.0,1666,0.3929,45.0,11.9,505,274,107,5927,5707,54196,24,86,2471,44,11.2,2013
Randolph County,Illinois,77.4716617780757,17,157,12.4,3347,77.9,9.0,8041,0.4007,41.4,15.4,2856,886,669,33218,29400,47427,296,868,11889,313,7.2,2013
Richland County,Illinois,77.4992538421413,17,159,14.2,66,90.6,19.5,4198,0.4283,43.1,17.0,1659,142,242,16213,15751,44070,119,299,6620,309,7.0,2013
Rock Island County,Illinois,78.3117455162011,17,161,13.3,13810,87.0,22.1,37698,0.4389,40.0,12.9,18028,17444,3775,147477,120312,48702,1553,4517,60456,3849,8.2,2013
Saint Clair County,Illinois,76.7504994321491,17,163,17.6,81086,89.5,25.6,69284,0.4626,37.3,13.6,33710,9197,8105,268939,175392,50578,2674,10892,102885,6306,9.5,2013
Saline County,Illinois,73.8951810856333,17,165,19.1,978,86.7,15.0,6640,0.4707,41.8,20.1,2831,364,541,24950,23278,37800,324,590,10174,595,12.8,2013
Sangamon County,Illinois,78.1303434392329,17,167,14.2,24143,91.2,34.3,51964,0.44,39.5,13.5,24827,3798,6264,198269,165471,55449,1533,6650,82807,4261,8.2,2013
Schuyler County,Illinois,78.1236612181131,17,169,15.9,99,88.3,18.0,2166,0.386,44.1,14.9,581,121,99,7490,7242,48138,58,106,3056,101,6.5,2013
Scott County,Illinois,77.6636181810676,17,171,12.3,0,88.4,14.5,1444,0.4171,43.2,12.4,510,7,57,5288,5255,49669,32,115,2113,63,8.2,2013
Shelby County,Illinois,79.4380571242107,17,173,11.8,86,89.0,15.0,6314,0.3883,43.9,13.4,1693,189,282,22266,21976,47188,177,447,8991,258,7.4,2013
Stark County,Illinois,77.3401103687184,17,175,11.1,23,87.8,17.9,1655,0.413,44.8,14.4,436,63,34,5942,5806,54203,57,115,2416,44,8.3,2013
Stephenson County,Illinois,79.0618239107545,17,177,15.9,4205,89.0,17.7,12450,0.4248,43.7,14.8,5477,1444,1262,47315,41201,43472,380,1467,19408,1314,12.3,2013
Tazewell County,Illinois,78.3896848162772,17,179,9.1,1311,92.3,24.7,37329,0.4039,40.1,10.9,13050,2705,1951,135747,130703,56067,685,3485,54428,2023,7.3,2013
Union County,Illinois,76.1736910925894,17,181,19.5,399,82.4,19.3,4672,0.4452,43.2,17.2,1665,871,345,17722,16949,41848,122,350,6852,303,9.5,2013
Vermilion County,Illinois,75.6768567592081,17,183,19.6,10714,85.1,12.6,20166,0.4262,39.8,15.1,9290,3572,2018,81147,67356,41400,878,2550,31575,2441,11.9,2013
Wabash County,Illinois,77.8446652016667,17,185,12.7,3,88.9,16.4,3329,0.4241,42.5,15.9,1020,157,96,11848,11510,47365,136,199,4785,131,8.4,2013
Warren County,Illinois,78.312504260546,17,187,15.8,519,85.5,19.2,4530,0.4185,39.7,11.7,1853,1523,328,17762,16210,43536,112,499,6972,334,10.9,2013
Washington County,Illinois,78.8205093690337,17,189,10.2,100,91.2,21.0,4080,0.3878,42.5,13.2,1144,216,127,14626,14250,52832,123,240,5882,112,5.8,2013
Wayne County,Illinois,77.2241981083123,17,191,14.7,76,87.0,10.6,4952,0.4096,42.5,15.2,1476,198,227,16674,16359,43605,146,505,7063,269,5.0,2013
White County,Illinois,75.709303478797,17,193,15.6,91,85.9,14.3,4253,0.4733,44.5,17.5,1336,168,156,14630,14394,42914,145,347,6240,180,7.9,2013
Whiteside County,Illinois,78.3793677295778,17,195,12.0,819,87.0,16.7,15709,0.4085,42.1,14.2,5694,6555,1122,58150,53933,47667,570,1535,23370,1088,8.8,2013
Will County,Illinois,79.9165237833283,17,197,8.0,74398,89.7,31.9,171130,0.3948,35.8,8.1,38154,107830,9418,679688,518956,76147,3333,14122,222652,5344,9.7,2013
Williamson County,Illinois,76.5616859882523,17,199,15.6,2607,88.8,23.8,17749,0.4377,40.8,15.1,7518,1381,1200,66606,61907,43125,563,2142,26819,1187,9.4,2013
Winnebago County,Illinois,77.3513998156887,17,201,17.5,35979,85.4,21.9,74655,0.4497,38.8,12.5,37582,32948,9511,293384,233936,47072,2074,10601,113449,7158,12.8,2013
Woodford County,Illinois,79.7863792527069,17,203,8.8,297,92.8,27.4,10979,0.4148,40.3,8.8,2637,584,436,38903,37782,66639,204,706,14362,299,6.4,2013
Adams County,Indiana,79.083855716864,18,1,18.1,195,82.5,15.8,8671,0.4006,34.3,11.1,2563,1450,500,34424,33553,46695,1057,615,12127,382,8.7,2013
Allen County,Indiana,77.835101378399,18,3,15.3,42734,88.4,27.4,90579,0.4426,35.5,10.9,41673,23857,9018,358324,286171,49370,2605,11489,138212,7214,9.7,2013
Bartholomew County,Indiana,77.7050513195918,18,5,12.2,1533,89.2,29.5,20674,0.4265,37.9,11.8,8744,4841,1591,77930,68934,54165,356,1841,30041,1047,6.7,2013
Benton County,Indiana,78.110592570653,18,7,11.1,71,88.8,14.5,2336,0.3847,40.2,17.2,881,450,136,8823,8657,48711,64,164,3444,84,6.0,2013
Blackford County,Indiana,75.9862496939416,18,9,16.0,54,86.2,8.6,3625,0.4107,41.9,20.5,1296,151,262,12665,12382,39225,93,430,5190,205,12.7,2013
Boone County,Indiana,78.3492397445355,18,11,7.5,660,93.5,41.2,16166,0.4843,38.7,8.1,5089,1385,891,58009,55100,67255,213,1089,21908,748,4.8,2013
Brown County,Indiana,78.6665559521659,18,13,14.6,28,85.9,18.0,4141,0.4202,48.0,12.1,1000,199,224,15128,14762,51568,76,334,5889,66,8.3,2013
Carroll County,Indiana,79.6479964275868,18,15,10.7,102,87.6,15.0,5551,0.3902,41.3,13.8,1694,765,317,20109,19772,50542,173,414,7995,170,10.1,2013
Cass County,Indiana,77.2534259049709,18,17,16.5,685,82.0,13.0,10077,0.4355,39.0,13.7,3578,5029,805,38802,34353,41940,355,1003,14827,624,10.4,2013
Clark County,Indiana,75.7243615318112,18,19,12.2,7480,85.7,18.2,28306,0.4068,38.3,15.1,12077,5441,2641,111221,98805,50496,738,2773,42502,1788,8.8,2013
Clay County,Indiana,76.0657722145055,18,21,15.8,91,85.1,13.2,7356,0.399,40.8,16.9,2438,320,606,26865,26242,46430,226,577,10230,227,8.7,2013
Clinton County,Indiana,76.8426846835695,18,23,13.9,291,83.3,11.5,8408,0.3875,37.9,13.1,3275,4545,647,33086,31001,48953,150,701,11745,345,9.3,2013
Crawford County,Indiana,75.3090731656955,18,25,19.6,39,75.8,11.9,2889,0.4296,42.1,21.5,763,145,133,10656,10403,39700,96,282,4237,141,10.6,2013
Daviess County,Indiana,76.7231936909506,18,27,12.9,300,75.3,11.6,7936,0.4079,35.5,13.1,2698,1373,399,31928,30908,47165,736,532,11160,521,5.1,2013
Dearborn County,Indiana,77.5953747530896,18,29,9.1,354,87.2,15.8,13262,0.4196,40.9,12.1,4269,538,793,49975,48658,56946,463,942,18556,450,9.1,2013
Decatur County,Indiana,76.9911081310487,18,31,14.1,150,84.7,13.5,6830,0.3855,39.1,13.7,2874,443,326,25939,25130,48047,106,622,9792,304,10.3,2013
DeKalb County,Indiana,77.5356206897947,18,33,12.4,63,87.8,16.7,11486,0.4045,38.0,16.0,3414,1069,624,42253,40972,47247,279,972,16032,538,10.8,2013
Delaware County,Indiana,76.2062467232856,18,35,22.3,5625,85.5,22.0,27873,0.4634,34.8,17.2,16774,2234,5445,117575,104843,37474,899,3503,46325,2754,12.6,2013
Dubois County,Indiana,78.6679199566961,18,37,8.3,160,85.7,18.5,11401,0.3916,40.5,9.3,3467,2617,416,42103,40745,54780,203,770,15890,329,5.4,2013
Elkhart County,Indiana,78.3368917948217,18,39,16.7,11769,80.0,18.7,50812,0.4164,35.1,12.5,19947,28544,4500,198662,170022,45693,1989,5966,70130,3873,11.0,2013
Fayette County,Indiana,74.1547280949175,18,41,23.0,333,75.9,9.3,6461,0.4279,41.5,19.4,2673,244,916,24112,23385,37391,271,666,9536,646,15.2,2013
Floyd County,Indiana,76.8087756448577,18,43,13.3,3500,88.0,22.8,20169,0.4381,39.2,13.4,8207,2080,1642,75120,68313,53961,487,2422,29087,1499,8.8,2013
Fountain County,Indiana,76.5187664231048,18,45,11.9,65,86.1,11.0,4715,0.3872,42.2,15.6,1628,393,211,17108,16628,45884,126,438,6925,119,10.2,2013
Franklin County,Indiana,78.3995014600233,18,47,13.5,42,83.5,16.3,6452,0.4145,40.2,12.5,1765,228,191,23042,22645,49516,132,383,8551,188,7.4,2013
Fulton County,Indiana,76.1308239090773,18,49,15.5,219,82.0,12.2,5796,0.4324,40.7,16.9,1936,928,376,20698,19856,40168,251,371,8221,270,8.3,2013
Gibson County,Indiana,77.4320171246451,18,51,11.5,640,91.3,16.3,9167,0.4033,40.2,13.4,2907,473,558,33514,31857,49329,269,594,13094,282,5.9,2013
Grant County,Indiana,75.7705773831268,18,53,18.6,4732,85.3,14.3,17507,0.4301,39.9,17.1,8180,2610,1743,69671,62025,39747,471,2177,26981,1809,10.1,2013
Greene County,Indiana,76.272876325265,18,55,14.0,87,83.5,12.2,8979,0.4253,41.7,17.4,2789,349,494,33001,32386,43980,352,728,12894,400,8.3,2013
Hamilton County,Indiana,81.5865307305317,18,57,5.1,10003,96.2,58.5,76696,0.431,35.8,7.0,21423,10017,3498,282977,249358,82468,784,5648,103234,1968,5.4,2013
Hancock County,Indiana,78.3499556695363,18,59,7.6,1512,93.2,27.0,19490,0.3856,39.4,12.2,5168,1277,1036,70466,67239,62981,339,1821,26071,368,7.5,2013
Harrison County,Indiana,77.2705961741343,18,61,13.2,224,85.5,14.0,10220,0.3971,41.0,15.4,2730,624,609,39213,38249,50510,247,882,14499,441,9.6,2013
Hendricks County,Indiana,79.5495151943949,18,63,5.0,7766,93.4,32.7,40056,0.374,37.0,8.9,9336,4715,1556,148623,133892,68297,601,2888,52946,567,6.1,2013
Henry County,Indiana,75.9206325784722,18,65,17.0,812,84.8,13.3,12399,0.4309,42.1,15.9,4895,740,1093,49275,47053,40679,336,1192,18367,799,12.7,2013
Howard County,Indiana,76.0013967914436,18,67,16.7,5941,88.9,21.0,22475,0.4363,41.0,15.9,10180,2297,2726,82795,73372,43590,645,2499,34544,2078,11.2,2013
