County,State,mean_life_expectancy,State_FIPS,County_FIPS,High School Degree or Higher (%),Black Population,Poverty Rate,Rent Denominator,Disability Rate,Total Families,Bachelor's Degree or Higher (%),Median Age,Gini Index,No Vehicle (Owner),Median Household Income,Total Families (Single Mother),White Population,Rent Burden Count (+50%),Total Population,Hispanic Population,Total Occupied Households,No Vehicle (Renter),Unemployment Rate,Year
Scott County,Iowa,79.1042692221961,19,163,92.7,13293.0,12.8,21106.0,10.1,42573.0,32.4,37.5,0.4505,1198.0,53704.0,5124.0,145421.0,4537.0,168714.0,10063.0,67325.0,2859.0,5.9,2014
Shelby County,Iowa,80.5517293450223,19,165,89.5,10.0,11.7,1193.0,15.1,3303.0,15.4,46.5,0.4338,72.0,49599.0,259.0,11621.0,232.0,12034.0,246.0,5171.0,162.0,3.4,2014
Sioux County,Iowa,82.8344707502386,19,167,87.4,149.0,8.5,2562.0,6.7,8871.0,25.4,33.2,0.4035,107.0,59272.0,589.0,31754.0,343.0,34261.0,3201.0,11782.0,272.0,1.9,2014
Story County,Iowa,82.2890313677327,19,169,95.4,2250.0,21.9,16464.0,6.9,19001.0,49.9,26.5,0.4594,366.0,51270.0,1160.0,81347.0,5408.0,91939.0,2863.0,35666.0,1721.0,5.7,2014
Tama County,Iowa,79.0344795081693,19,171,89.9,103.0,12.4,1628.0,13.1,4890.0,14.2,42.5,0.4119,136.0,54325.0,459.0,15738.0,247.0,17568.0,1373.0,6815.0,120.0,6.6,2014
Taylor County,Iowa,79.0073054983029,19,173,89.5,20.0,13.8,772.0,14.2,1857.0,13.3,44.4,0.416,35.0,44939.0,169.0,6019.0,99.0,6225.0,432.0,2752.0,120.0,4.1,2014
Union County,Iowa,77.9563930750776,19,175,91.1,166.0,13.3,1403.0,14.9,3294.0,14.9,41.1,0.4166,73.0,44134.0,270.0,12249.0,328.0,12554.0,283.0,5293.0,173.0,6.5,2014
Van Buren County,Iowa,77.7875030444845,19,177,87.6,9.0,14.7,441.0,13.3,2125.0,12.3,44.1,0.4011,110.0,45057.0,88.0,7359.0,52.0,7487.0,93.0,2986.0,43.0,6.6,2014
Wapello County,Iowa,77.2071613604667,19,179,83.7,554.0,19.1,3963.0,15.4,9462.0,15.0,39.8,0.4297,263.0,41519.0,1197.0,32875.0,942.0,35406.0,3406.0,14608.0,741.0,8.9,2014
Warren County,Iowa,79.7539803207371,19,181,94.6,283.0,6.2,3851.0,10.5,12906.0,28.1,38.3,0.3781,243.0,64956.0,1072.0,45614.0,593.0,47058.0,1040.0,17584.0,304.0,5.7,2014
Washington County,Iowa,79.7702503383771,19,183,89.9,185.0,8.5,2412.0,13.1,6059.0,20.0,41.8,0.3863,103.0,55198.0,423.0,20888.0,411.0,21906.0,1177.0,9056.0,314.0,5.0,2014
Wayne County,Iowa,77.7124997172719,19,185,89.5,14.0,13.2,489.0,16.9,1641.0,10.8,45.1,0.4277,84.0,42083.0,114.0,6247.0,55.0,6385.0,57.0,2548.0,59.0,7.3,2014
Webster County,Iowa,77.4472900163535,19,187,89.3,1556.0,15.8,5001.0,14.7,9029.0,17.9,39.9,0.4518,232.0,42112.0,1247.0,34453.0,1023.0,37399.0,1527.0,15397.0,838.0,9.4,2014
Winnebago County,Iowa,80.1279276270312,19,189,92.2,79.0,10.2,1110.0,13.6,3061.0,21.0,44.1,0.4093,52.0,49208.0,143.0,10238.0,185.0,10645.0,381.0,4584.0,163.0,5.6,2014
Winneshiek County,Iowa,82.3521216707271,19,191,93.2,184.0,7.8,1951.0,8.4,5363.0,25.2,40.5,0.3898,91.0,53735.0,283.0,20288.0,192.0,20957.0,421.0,8141.0,230.0,3.1,2014
Woodbury County,Iowa,77.8598867927961,19,193,84.5,2896.0,15.5,12608.0,11.7,25524.0,21.9,35.4,0.4358,688.0,46015.0,3362.0,86770.0,2982.0,102372.0,14892.0,38818.0,2297.0,5.6,2014
Worth County,Iowa,79.3689796744802,19,195,89.1,44.0,13.0,647.0,13.3,2220.0,13.7,44.4,0.399,53.0,49977.0,216.0,7395.0,92.0,7567.0,181.0,3194.0,99.0,5.4,2014
Wright County,Iowa,79.8624189696478,19,197,88.0,44.0,11.4,1305.0,13.0,3281.0,17.0,44.4,0.4556,122.0,43082.0,272.0,12505.0,270.0,13007.0,1278.0,5419.0,182.0,6.7,2014
Allen County,Kansas,75.8550924270962,20,1,88.5,258.0,18.0,1497.0,19.6,3471.0,14.6,41.3,0.4126,78.0,38712.0,318.0,12282.0,308.0,13212.0,402.0,5398.0,235.0,7.4,2014
Anderson County,Kansas,78.1167897336932,20,3,85.8,16.0,14.8,849.0,17.0,2134.0,17.7,42.3,0.4188,180.0,40567.0,218.0,7607.0,206.0,7962.0,58.0,3314.0,103.0,8.3,2014
Atchison County,Kansas,77.1175668795981,20,5,92.2,747.0,18.3,1684.0,16.0,3967.0,14.8,36.5,0.4513,194.0,44648.0,485.0,15217.0,283.0,16737.0,441.0,6180.0,323.0,7.9,2014
Barber County,Kansas,77.0036668605356,20,7,90.6,11.0,11.7,564.0,14.6,1408.0,17.8,45.4,0.4369,31.0,48462.0,137.0,4736.0,43.0,4898.0,144.0,2146.0,50.0,2.5,2014
Barton County,Kansas,77.9569577062512,20,9,85.7,526.0,16.0,3524.0,14.0,7464.0,16.2,39.8,0.4729,130.0,43573.0,897.0,25151.0,630.0,27566.0,3815.0,11480.0,518.0,7.0,2014
Bourbon County,Kansas,76.1845634055233,20,11,87.7,581.0,17.6,1680.0,17.5,3880.0,19.5,37.8,0.4414,133.0,39555.0,411.0,13916.0,223.0,14913.0,330.0,5702.0,247.0,4.8,2014
Brown County,Kansas,76.7849088411477,20,13,90.9,171.0,19.3,1322.0,16.9,2676.0,22.2,42.2,0.4367,51.0,41126.0,276.0,8526.0,188.0,9926.0,352.0,4157.0,252.0,5.7,2014
Butler County,Kansas,77.7183484480688,20,15,92.2,1176.0,9.3,6034.0,12.9,17131.0,26.0,37.6,0.4134,299.0,57474.0,1333.0,61638.0,773.0,65927.0,2780.0,24062.0,884.0,6.7,2014
Chase County,Kansas,78.2231794600284,20,17,90.2,34.0,11.4,310.0,16.2,702.0,19.2,45.4,0.4255,13.0,38633.0,45.0,2633.0,29.0,2746.0,104.0,1139.0,21.0,3.4,2014
Chautauqua County,Kansas,76.3427650287772,20,19,86.1,19.0,16.0,319.0,23.4,1071.0,17.8,49.1,0.4511,60.0,39444.0,66.0,3198.0,36.0,3572.0,98.0,1584.0,15.0,5.9,2014
Cherokee County,Kansas,74.6691932934539,20,21,86.0,103.0,17.9,1925.0,20.0,5808.0,16.7,41.6,0.3919,183.0,40920.0,259.0,19252.0,325.0,21179.0,458.0,8132.0,390.0,6.5,2014
Cheyenne County,Kansas,80.1896725941178,20,23,90.3,0.0,8.8,296.0,15.3,807.0,18.1,49.5,0.3896,7.0,39681.0,60.0,2625.0,29.0,2695.0,167.0,1294.0,7.0,3.0,2014
Clark County,Kansas,78.4507503072335,20,25,95.5,17.0,13.7,278.0,15.9,629.0,33.1,45.0,0.42,4.0,43750.0,48.0,1991.0,29.0,2170.0,267.0,958.0,17.0,1.7,2014
Clay County,Kansas,79.4528630930647,20,27,95.3,77.0,11.1,691.0,15.7,2291.0,20.9,44.1,0.4236,70.0,51375.0,152.0,8177.0,82.0,8460.0,205.0,3398.0,51.0,2.0,2014
Cloud County,Kansas,77.3152066030298,20,29,89.8,32.0,17.3,1071.0,15.7,2395.0,16.4,41.8,0.3847,85.0,39509.0,284.0,9123.0,177.0,9414.0,301.0,3972.0,134.0,6.2,2014
Coffey County,Kansas,77.2080216291678,20,31,91.4,47.0,8.6,888.0,13.1,2416.0,19.2,44.1,0.4142,45.0,56274.0,184.0,8209.0,80.0,8493.0,200.0,3578.0,162.0,6.3,2014
Comanche County,Kansas,75.8014411875248,20,33,90.2,0.0,5.2,184.0,14.9,507.0,21.7,45.0,0.3661,2.0,44417.0,24.0,1847.0,9.0,1911.0,84.0,757.0,14.0,4.0,2014
Cowley County,Kansas,75.7759514520033,20,35,87.3,1081.0,17.6,4198.0,16.5,8818.0,16.6,38.2,0.4365,231.0,42157.0,819.0,31518.0,794.0,36201.0,3507.0,13783.0,481.0,8.3,2014
Crawford County,Kansas,76.105058130513,20,37,89.2,782.0,21.7,6131.0,15.4,9038.0,28.7,32.7,0.4613,194.0,37154.0,1044.0,36317.0,1454.0,39277.0,1893.0,15364.0,618.0,6.2,2014
Decatur County,Kansas,79.2535292989953,20,39,88.9,12.0,14.9,309.0,21.5,803.0,27.0,51.8,0.5123,41.0,37396.0,49.0,2823.0,69.0,2915.0,59.0,1442.0,76.0,5.5,2014
Dickinson County,Kansas,77.7333674208691,20,41,88.8,60.0,11.4,2086.0,15.6,5458.0,18.5,41.7,0.4085,118.0,50123.0,395.0,18636.0,288.0,19641.0,841.0,7838.0,343.0,6.8,2014
Doniphan County,Kansas,78.4071922785004,20,43,90.4,280.0,12.8,800.0,13.7,2156.0,15.2,38.7,0.3928,91.0,48659.0,203.0,7265.0,79.0,7904.0,197.0,3138.0,92.0,5.9,2014
Douglas County,Kansas,80.5342248812015,20,45,93.8,4463.0,18.5,21156.0,9.6,23705.0,47.8,28.7,0.4653,441.0,50732.0,1996.0,96047.0,6609.0,113703.0,6240.0,43834.0,1876.0,6.7,2014
Edwards County,Kansas,76.8749457510433,20,47,82.2,32.0,12.1,306.0,13.3,817.0,20.1,44.3,0.4084,51.0,47101.0,53.0,2818.0,45.0,3006.0,572.0,1287.0,33.0,3.1,2014
Elk County,Kansas,76.2046936876731,20,49,88.5,16.0,15.5,265.0,20.1,852.0,15.6,49.7,0.3782,17.0,38182.0,55.0,2586.0,28.0,2734.0,91.0,1276.0,19.0,4.9,2014
Ellis County,Kansas,79.5886576814097,20,51,92.5,294.0,16.6,4422.0,10.4,6577.0,31.5,32.2,0.458,102.0,45127.0,548.0,27089.0,1072.0,28878.0,1512.0,11859.0,507.0,4.8,2014
Ellsworth County,Kansas,77.7759896409235,20,53,87.8,260.0,8.9,645.0,15.8,1626.0,17.9,44.9,0.4236,84.0,45417.0,136.0,5847.0,67.0,6443.0,367.0,2549.0,81.0,4.7,2014
Finney County,Kansas,79.2938602840067,20,55,68.5,871.0,17.2,4723.0,9.6,9211.0,17.8,30.5,0.4164,47.0,47994.0,984.0,29341.0,601.0,37099.0,17655.0,12670.0,410.0,4.4,2014
Ford County,Kansas,78.5094345363394,20,57,67.7,765.0,18.5,3954.0,10.2,8235.0,15.8,30.7,0.4187,99.0,51374.0,1038.0,30298.0,615.0,34604.0,18058.0,11086.0,478.0,6.6,2014
Franklin County,Kansas,77.4418511903005,20,59,91.4,326.0,13.7,2821.0,14.5,6998.0,19.5,38.8,0.407,49.0,50415.0,548.0,23989.0,687.0,25834.0,986.0,9933.0,333.0,7.2,2014
Geary County,Kansas,76.1125085744501,20,61,92.9,6102.0,13.0,7080.0,10.7,8872.0,17.6,26.4,0.403,100.0,45660.0,1056.0,25289.0,1107.0,36458.0,5028.0,12782.0,603.0,9.3,2014
Gove County,Kansas,79.6696107136769,20,63,93.6,29.0,7.4,248.0,13.1,844.0,20.0,46.4,0.4389,10.0,48276.0,29.0,2702.0,26.0,2786.0,22.0,1212.0,22.0,2.2,2014
Graham County,Kansas,79.4099287796001,20,65,93.7,128.0,12.7,231.0,17.7,727.0,26.8,49.4,0.4645,8.0,45192.0,43.0,2391.0,56.0,2602.0,72.0,1158.0,24.0,2.6,2014
Grant County,Kansas,78.2233740513086,20,67,68.9,2.0,14.0,735.0,7.6,2164.0,17.0,33.1,0.4565,0.0,54478.0,276.0,6103.0,100.0,7856.0,3552.0,2776.0,56.0,7.4,2014
Gray County,Kansas,78.900132187838,20,69,72.1,0.0,9.5,578.0,10.4,1624.0,21.5,35.8,0.3773,7.0,58656.0,71.0,5919.0,52.0,6043.0,875.0,2125.0,34.0,2.9,2014
Greeley County,Kansas,78.078879028332,20,71,88.6,10.0,13.6,106.0,13.4,344.0,22.3,48.5,0.3977,7.0,51023.0,0.0,1071.0,8.0,1223.0,246.0,471.0,6.0,2.5,2014
Greenwood County,Kansas,75.9595774443972,20,73,88.9,12.0,15.0,642.0,17.0,1853.0,15.3,47.6,0.4606,66.0,39286.0,163.0,6232.0,103.0,6495.0,236.0,2860.0,81.0,5.2,2014
Hamilton County,Kansas,76.9594781647281,20,75,75.9,1.0,15.9,260.0,12.5,718.0,12.0,35.8,0.4757,6.0,44274.0,38.0,2361.0,18.0,2632.0,852.0,1008.0,28.0,2.5,2014
Harper County,Kansas,76.1819253657562,20,77,87.8,10.0,15.6,602.0,13.7,1650.0,18.5,43.6,0.4623,48.0,41332.0,126.0,5666.0,161.0,5906.0,350.0,2567.0,59.0,4.4,2014
Harvey County,Kansas,78.6133233127602,20,79,90.1,514.0,13.8,3853.0,12.5,9146.0,25.9,38.7,0.4023,104.0,49576.0,629.0,32201.0,927.0,34797.0,3862.0,13329.0,384.0,5.0,2014
Haskell County,Kansas,79.3135160205487,20,81,67.6,0.0,11.4,369.0,9.4,1078.0,17.5,34.8,0.3984,6.0,55742.0,58.0,3570.0,30.0,4198.0,1176.0,1421.0,19.0,5.2,2014
Hodgeman County,Kansas,79.6342953631852,20,83,88.6,0.0,5.6,204.0,17.6,582.0,22.7,46.8,0.4339,4.0,53190.0,8.0,1915.0,16.0,1941.0,191.0,814.0,6.0,3.4,2014
Jackson County,Kansas,78.2898906284493,20,85,94.2,94.0,9.6,1342.0,13.7,3907.0,16.3,41.4,0.3844,87.0,55296.0,324.0,11798.0,170.0,13464.0,547.0,5288.0,162.0,4.5,2014
Jefferson County,Kansas,78.6251090446727,20,87,93.1,85.0,7.8,1289.0,13.1,5317.0,17.0,43.5,0.3645,123.0,56531.0,288.0,18134.0,236.0,18932.0,421.0,7498.0,69.0,7.0,2014
Jewell County,Kansas,79.2046788740494,20,89,91.0,5.0,13.9,276.0,14.7,936.0,12.3,52.1,0.4085,14.0,41042.0,36.0,2971.0,24.0,3060.0,69.0,1438.0,34.0,2.8,2014
Johnson County,Kansas,81.6177655497744,20,91,95.6,24670.0,6.5,65806.0,8.6,147863.0,54.1,36.6,0.4461,1833.0,75017.0,12141.0,487931.0,12474.0,560025.0,40754.0,217826.0,5867.0,5.0,2014
Kearny County,Kansas,77.5562424108424,20,93,78.7,34.0,8.2,387.0,11.5,984.0,16.0,35.8,0.3864,15.0,54732.0,74.0,3422.0,19.0,3950.0,1158.0,1341.0,21.0,3.2,2014
Kingman County,Kansas,75.9381754440496,20,95,91.4,22.0,12.9,813.0,14.6,2078.0,21.6,45.4,0.3939,56.0,50000.0,150.0,7601.0,134.0,7820.0,218.0,3084.0,68.0,6.0,2014
Kiowa County,Kansas,79.2245692075026,20,97,91.2,17.0,16.0,387.0,18.1,636.0,21.5,41.0,0.4387,20.0,41211.0,59.0,2440.0,47.0,2529.0,132.0,1051.0,95.0,4.3,2014
Labette County,Kansas,75.39080272276,20,99,86.5,717.0,16.3,2497.0,18.2,5657.0,19.8,40.6,0.4069,246.0,41434.0,396.0,18741.0,435.0,21225.0,893.0,8495.0,256.0,6.7,2014
Lane County,Kansas,76.8376357634427,20,101,90.3,7.0,10.0,190.0,16.6,457.0,24.8,45.8,0.4444,5.0,54292.0,34.0,1569.0,24.0,1652.0,124.0,811.0,33.0,3.7,2014
Leavenworth County,Kansas,78.9578017935443,20,103,91.3,6461.0,10.8,8714.0,14.0,18789.0,30.2,37.2,0.3991,357.0,64909.0,1626.0,65238.0,1687.0,77687.0,4936.0,26398.0,690.0,7.1,2014
Lincoln County,Kansas,78.7808668531307,20,105,93.9,20.0,13.0,311.0,13.7,893.0,20.4,46.5,0.4314,28.0,43487.0,55.0,3109.0,38.0,3180.0,76.0,1397.0,21.0,6.8,2014
Linn County,Kansas,77.455114707953,20,107,87.2,66.0,14.5,802.0,19.2,2830.0,12.5,44.7,0.4602,126.0,46448.0,168.0,9203.0,130.0,9551.0,203.0,4140.0,101.0,10.4,2014
Logan County,Kansas,78.6654516553045,20,109,91.5,0.0,9.1,367.0,13.8,786.0,16.7,43.9,0.4445,13.0,47073.0,91.0,2676.0,39.0,2783.0,113.0,1228.0,51.0,4.2,2014
Lyon County,Kansas,78.6097169159648,20,111,88.2,705.0,22.1,5279.0,12.5,7951.0,22.9,32.3,0.4361,234.0,40427.0,954.0,29829.0,1170.0,33510.0,6818.0,13069.0,827.0,7.6,2014
McPherson County,Kansas,78.5553096181351,20,113,88.9,276.0,8.1,2716.0,11.5,8152.0,26.9,41.6,0.4031,120.0,55437.0,612.0,27915.0,278.0,29308.0,1094.0,11726.0,212.0,3.3,2014
Marion County,Kansas,78.4217288098951,20,115,89.4,143.0,12.2,1025.0,16.5,3292.0,20.9,44.7,0.4074,69.0,45964.0,141.0,11913.0,156.0,12401.0,343.0,4845.0,139.0,5.7,2014
Marshall County,Kansas,79.1495268528522,20,117,92.2,35.0,12.9,999.0,14.5,2841.0,14.0,45.0,0.4475,78.0,44615.0,165.0,9742.0,133.0,10042.0,219.0,4289.0,136.0,3.0,2014
Meade County,Kansas,78.8543934201479,20,119,87.0,60.0,11.7,531.0,10.2,1331.0,20.3,39.0,0.3505,24.0,51326.0,120.0,3943.0,76.0,4444.0,617.0,1761.0,39.0,3.3,2014
Miami County,Kansas,79.0320350911059,20,121,93.5,411.0,9.3,2582.0,11.8,8847.0,22.5,40.3,0.4088,165.0,60622.0,763.0,31383.0,905.0,32765.0,930.0,12350.0,313.0,7.0,2014
Mitchell County,Kansas,78.7313374112773,20,123,95.7,10.0,10.4,832.0,13.4,1821.0,24.6,44.2,0.4478,72.0,46836.0,140.0,6177.0,116.0,6324.0,110.0,2795.0,84.0,2.8,2014
Montgomery County,Kansas,75.4195347088302,20,125,89.1,1850.0,18.2,4101.0,18.1,9014.0,17.1,39.7,0.4329,346.0,40716.0,895.0,29451.0,991.0,34602.0,1978.0,13706.0,943.0,10.0,2014
Morris County,Kansas,78.4648638355101,20,127,90.6,15.0,8.4,539.0,15.8,1660.0,13.2,47.9,0.3837,48.0,48072.0,79.0,5589.0,44.0,5808.0,237.0,2437.0,98.0,3.9,2014
Morton County,Kansas,76.8493577424911,20,129,86.3,52.0,10.4,371.0,13.5,845.0,17.4,41.5,0.427,3.0,45638.0,80.0,2583.0,24.0,3159.0,633.0,1199.0,25.0,4.1,2014
Nemaha County,Kansas,79.5221201183035,20,131,92.4,93.0,11.7,942.0,12.4,2787.0,17.4,41.8,0.4313,44.0,47141.0,156.0,9875.0,113.0,10136.0,148.0,4161.0,175.0,1.7,2014
Neosho County,Kansas,76.5906037796993,20,133,91.5,165.0,16.6,1737.0,17.2,4390.0,19.4,40.0,0.43,146.0,44879.0,519.0,15608.0,392.0,16453.0,767.0,6503.0,299.0,5.7,2014
Ness County,Kansas,78.4620160752906,20,135,90.5,17.0,10.5,264.0,15.9,956.0,20.9,50.7,0.4449,22.0,48021.0,72.0,3007.0,20.0,3104.0,291.0,1403.0,45.0,2.8,2014
Norton County,Kansas,78.7528238240797,20,137,81.1,158.0,9.2,569.0,15.2,1395.0,15.7,44.1,0.3935,53.0,45484.0,142.0,5120.0,52.0,5628.0,270.0,2212.0,44.0,1.5,2014
Osage County,Kansas,77.5595857393584,20,139,90.2,28.0,12.1,1572.0,17.1,4549.0,18.1,42.7,0.3993,106.0,49716.0,365.0,15592.0,205.0,16165.0,390.0,6544.0,216.0,8.7,2014
Osborne County,Kansas,78.1257374872182,20,141,87.0,11.0,17.1,420.0,16.2,1070.0,21.3,48.5,0.4945,24.0,38686.0,75.0,3725.0,47.0,3811.0,56.0,1767.0,24.0,3.8,2014
Ottawa County,Kansas,77.3859503290058,20,143,91.3,10.0,9.1,469.0,14.4,1747.0,16.8,42.5,0.3997,38.0,60098.0,72.0,5896.0,54.0,6075.0,154.0,2479.0,97.0,5.4,2014
Pawnee County,Kansas,77.8742223584648,20,145,83.9,319.0,7.2,740.0,16.2,1462.0,17.8,43.1,0.4107,28.0,40791.0,141.0,6304.0,64.0,6959.0,498.0,2525.0,105.0,3.5,2014
Phillips County,Kansas,78.2690728686291,20,147,91.3,9.0,9.6,556.0,14.9,1596.0,20.8,45.5,0.4124,47.0,44292.0,107.0,5352.0,53.0,5560.0,147.0,2414.0,41.0,4.6,2014
Pottawatomie County,Kansas,79.871229555315,20,149,95.9,327.0,9.6,1821.0,9.1,5721.0,30.0,34.5,0.388,99.0,60479.0,308.0,20991.0,273.0,22338.0,1089.0,8109.0,137.0,3.8,2014
Pratt County,Kansas,77.6417851571785,20,151,89.2,77.0,11.7,1285.0,13.8,2674.0,27.7,39.0,0.4534,74.0,49519.0,191.0,9284.0,203.0,9758.0,605.0,4071.0,109.0,4.5,2014
Rawlins County,Kansas,78.9111804644299,20,153,95.8,12.0,11.9,376.0,16.1,763.0,24.0,50.8,0.4269,27.0,43555.0,33.0,2490.0,21.0,2553.0,103.0,1211.0,15.0,1.5,2014
Reno County,Kansas,77.6565154433924,20,155,86.8,1814.0,12.6,8043.0,14.5,16747.0,19.6,39.7,0.4241,390.0,44673.0,1794.0,58596.0,1477.0,64223.0,5458.0,25335.0,1007.0,6.5,2014
Republic County,Kansas,78.2360762916928,20,157,93.4,0.0,13.7,490.0,16.2,1290.0,19.8,50.9,0.4227,54.0,40538.0,67.0,4744.0,53.0,4868.0,67.0,2258.0,64.0,4.0,2014
Rice County,Kansas,76.774098354104,20,159,87.4,121.0,16.5,1009.0,13.9,2503.0,21.8,38.6,0.4356,55.0,46342.0,153.0,9155.0,184.0,10050.0,1074.0,3837.0,191.0,7.0,2014
Riley County,Kansas,81.2359110381864,20,161,95.4,4752.0,22.3,15095.0,7.0,14016.0,45.6,24.6,0.4892,154.0,44522.0,1436.0,62412.0,3764.0,74478.0,5565.0,26162.0,1364.0,5.3,2014
Rooks County,Kansas,78.5113592303185,20,163,92.5,23.0,16.2,593.0,16.3,1459.0,19.3,44.9,0.4201,24.0,43816.0,112.0,4970.0,59.0,5174.0,45.0,2310.0,68.0,4.0,2014
Rush County,Kansas,77.8811748254415,20,165,92.3,29.0,10.3,365.0,16.4,887.0,20.9,49.1,0.4099,11.0,40746.0,47.0,3118.0,77.0,3222.0,34.0,1535.0,44.0,6.8,2014
Russell County,Kansas,78.5675234933109,20,167,91.0,143.0,15.2,891.0,17.0,2038.0,21.2,47.0,0.4793,58.0,40369.0,190.0,6653.0,207.0,6959.0,151.0,3317.0,170.0,5.5,2014
Saline County,Kansas,78.014832492449,20,169,89.3,1606.0,17.6,7468.0,12.1,14435.0,24.8,37.7,0.446,293.0,47745.0,1989.0,49138.0,1710.0,55793.0,5772.0,22497.0,1092.0,5.6,2014
Scott County,Kansas,79.1505887454111,20,171,81.4,0.0,6.2,536.0,11.2,1536.0,24.4,41.2,0.3579,46.0,47079.0,13.0,4819.0,34.0,4965.0,853.0,2157.0,25.0,4.5,2014
Sedgwick County,Kansas,77.6461112640109,20,173,88.2,46296.0,15.1,68056.0,12.0,124990.0,29.2,34.5,0.4468,2295.0,50326.0,15424.0,399555.0,14331.0,503788.0,67855.0,192303.0,9368.0,8.0,2014
Seward County,Kansas,78.4161703266336,20,175,64.1,1091.0,18.3,2545.0,7.9,5553.0,11.6,29.2,0.3957,113.0,48621.0,824.0,13869.0,370.0,23319.0,13503.0,7442.0,271.0,8.5,2014
Shawnee County,Kansas,77.559149974557,20,177,90.0,14338.0,16.3,25584.0,14.5,45501.0,28.5,38.6,0.4468,1126.0,49695.0,5149.0,146429.0,5972.0,178600.0,20123.0,72069.0,4384.0,7.2,2014
Sheridan County,Kansas,79.7665090884878,20,179,89.9,8.0,8.5,249.0,13.9,698.0,20.9,46.6,0.3994,6.0,48750.0,67.0,2436.0,11.0,2540.0,89.0,1130.0,20.0,2.2,2014
Sherman County,Kansas,77.8190566765517,20,181,89.3,130.0,18.5,1204.0,17.5,1615.0,17.3,38.2,0.4024,47.0,38528.0,127.0,5667.0,292.0,6078.0,712.0,2738.0,160.0,6.4,2014
Smith County,Kansas,79.1460429289899,20,183,91.5,20.0,18.4,358.0,17.3,1090.0,17.3,50.4,0.4842,33.0,42174.0,71.0,3652.0,79.0,3779.0,35.0,1690.0,64.0,4.9,2014
Stafford County,Kansas,77.0604092786307,20,185,85.7,38.0,15.0,331.0,14.7,1267.0,15.9,45.2,0.4071,44.0,44180.0,51.0,4141.0,36.0,4363.0,561.0,1877.0,27.0,2.5,2014
Stanton County,Kansas,79.5676009476892,20,187,74.1,21.0,7.1,207.0,10.6,579.0,19.2,36.9,0.4029,11.0,42146.0,76.0,1520.0,26.0,2187.0,795.0,833.0,20.0,2.5,2014
Stevens County,Kansas,78.9337922943347,20,189,80.7,22.0,13.0,430.0,10.6,1523.0,11.9,35.4,0.4438,9.0,57614.0,79.0,4443.0,84.0,5744.0,1915.0,1939.0,17.0,3.0,2014
Sumner County,Kansas,76.7767962984735,20,191,92.1,47.0,12.8,2019.0,14.0,6178.0,17.4,40.5,0.407,143.0,50310.0,440.0,22466.0,348.0,23763.0,1179.0,9053.0,332.0,7.2,2014
Thomas County,Kansas,79.0182759785459,20,193,92.8,123.0,8.6,869.0,11.8,1939.0,28.6,35.6,0.489,52.0,48649.0,83.0,7650.0,148.0,7947.0,400.0,3167.0,56.0,2.5,2014
Trego County,Kansas,78.6358875055024,20,195,92.2,12.0,6.5,322.0,9.6,856.0,19.0,46.8,0.3833,20.0,50670.0,37.0,2844.0,36.0,2959.0,44.0,1250.0,10.0,1.8,2014
Wabaunsee County,Kansas,79.0436251693973,20,197,94.9,40.0,6.3,417.0,13.3,1953.0,20.2,41.8,0.3515,34.0,55018.0,71.0,6796.0,15.0,7034.0,220.0,2701.0,28.0,5.4,2014
Wallace County,Kansas,79.6128134931498,20,199,85.6,2.0,9.7,148.0,16.1,404.0,16.9,43.4,0.4914,8.0,48125.0,9.0,1556.0,11.0,1569.0,63.0,614.0,21.0,5.4,2014
Washington County,Kansas,79.4370322624191,20,201,90.0,35.0,11.1,481.0,15.8,1612.0,13.1,46.4,0.402,29.0,42738.0,95.0,5583.0,60.0,5717.0,165.0,2458.0,37.0,4.3,2014
Wichita County,Kansas,78.926454808282,20,203,76.4,0.0,10.2,221.0,11.1,622.0,19.5,41.1,0.3675,9.0,57266.0,72.0,2133.0,13.0,2220.0,556.0,867.0,22.0,2.9,2014
Wilson County,Kansas,75.8949573651133,20,205,82.8,13.0,18.8,1008.0,22.2,2552.0,11.1,43.8,0.4033,111.0,38811.0,182.0,8717.0,161.0,9177.0,240.0,3836.0,174.0,7.6,2014
Woodson County,Kansas,75.7034578943171,20,207,90.9,19.0,18.8,286.0,18.5,914.0,17.2,48.2,0.448,58.0,36863.0,47.0,3099.0,36.0,3246.0,79.0,1499.0,52.0,5.7,2014
Wyandotte County,Kansas,75.6713020487549,20,209,76.9,39631.0,24.3,23574.0,14.0,37576.0,14.7,33.2,0.4299,1258.0,39326.0,6912.0,98930.0,6528.0,159466.0,42801.0,58057.0,4442.0,12.4,2014
Adair County,Kentucky,76.7818979280234,21,1,71.2,520.0,19.8,1831.0,16.8,4871.0,12.5,39.6,0.4393,240.0,34490.0,293.0,18061.0,278.0,19032.0,342.0,7124.0,277.0,10.6,2014
Allen County,Kentucky,75.422714362056,21,3,76.4,375.0,19.5,2306.0,17.2,5593.0,11.4,39.7,0.4285,341.0,40273.0,487.0,19555.0,343.0,20219.0,339.0,8057.0,312.0,12.1,2014
Anderson County,Kentucky,76.440303927978,21,5,87.7,521.0,12.3,2071.0,14.0,6008.0,15.9,39.0,0.372,111.0,53410.0,510.0,20721.0,367.0,21664.0,316.0,8353.0,184.0,7.6,2014
