County,State,mean_life_expectancy,State_FIPS,County_FIPS,High School Degree or Higher (%),Black Population,Poverty Rate,Rent Denominator,Disability Rate,Median Age,Gini Index,Total Families,Bachelor's Degree or Higher (%),Total Families (Single Mother),No Vehicle (Owner),Median Household Income,White Population,Total Population,Rent Burden Count (+50%),Hispanic Population,Unemployment Rate,No Vehicle (Renter),Total Occupied Households,Year
Cook County,Georgia,74.3093937088097,13,75,78.7,4685.0,24.2,1880.0,17.5,37.0,0.4471,4400.0,14.8,508.0,170.0,35539.0,11910.0,17190.0,359.0,1003.0,5.8,243.0,6065.0,2017
Coweta County,Georgia,78.3648849335877,13,77,89.0,24223.0,11.6,13859.0,10.8,37.9,0.4333,38162.0,29.0,3885.0,659.0,67570.0,106038.0,138015.0,2679.0,9328.0,5.4,1266.0,50531.0,2017
Crawford County,Georgia,75.6561888490683,13,79,84.4,2885.0,18.1,1093.0,16.9,44.2,0.4663,3310.0,13.2,286.0,163.0,41032.0,9144.0,12385.0,104.0,87.0,12.6,57.0,4715.0,2017
Crisp County,Georgia,74.6124945203586,13,81,80.9,9931.0,31.2,3403.0,18.4,38.3,0.5613,5718.0,13.6,958.0,107.0,33194.0,12313.0,23005.0,844.0,745.0,14.8,839.0,8312.0,2017
Dade County,Georgia,75.0924029502412,13,83,79.1,113.0,17.5,1505.0,16.3,41.8,0.4522,4442.0,13.9,246.0,203.0,43163.0,15484.0,16282.0,448.0,355.0,4.8,307.0,6089.0,2017
Dawson County,Georgia,77.8849206643038,13,85,86.8,276.0,11.8,1730.0,15.0,43.3,0.4638,6421.0,31.1,308.0,132.0,62284.0,22609.0,23397.0,367.0,988.0,6.1,57.0,8557.0,2017
Decatur County,Georgia,73.7088647064192,13,87,80.6,11382.0,24.1,4154.0,17.2,37.9,0.5121,6769.0,14.9,1415.0,256.0,36934.0,14159.0,27023.0,700.0,1564.0,6.5,763.0,10311.0,2017
DeKalb County,Georgia,79.8238732978234,13,89,88.7,397343.0,17.6,125704.0,10.6,35.5,0.4907,160589.0,42.1,24309.0,3510.0,55876.0,254989.0,736066.0,30153.0,63842.0,8.5,20576.0,273614.0,2017
Dodge County,Georgia,75.1775460945016,13,91,83.0,5852.0,22.2,2658.0,18.4,41.2,0.4504,5254.0,14.6,517.0,144.0,35290.0,14116.0,21063.0,288.0,722.0,9.0,638.0,7858.0,2017
Dooly County,Georgia,78.2138090959277,13,93,73.0,6986.0,23.2,1846.0,18.3,43.5,0.4456,3446.0,9.9,530.0,136.0,33389.0,6158.0,14053.0,395.0,974.0,10.5,400.0,5171.0,2017
Dougherty County,Georgia,74.3569712282889,13,95,82.7,62752.0,30.5,19114.0,15.3,35.0,0.5051,21503.0,20.7,5206.0,565.0,34541.0,25240.0,91522.0,5374.0,2419.0,15.8,4221.0,34842.0,2017
Douglas County,Georgia,77.3960194322986,13,97,88.2,63019.0,14.2,16542.0,11.6,36.3,0.4092,34797.0,26.7,5165.0,676.0,59333.0,67714.0,140152.0,3801.0,12906.0,7.9,1134.0,48426.0,2017
Early County,Georgia,73.2371558935003,13,99,80.4,5302.0,27.5,1285.0,16.0,40.5,0.4783,2673.0,17.0,421.0,78.0,29493.0,4807.0,10405.0,210.0,224.0,8.7,218.0,4032.0,2017
Echols County,Georgia,77.0599023389516,13,101,69.3,108.0,28.2,570.0,11.2,38.1,0.4855,1085.0,6.9,116.0,26.0,34315.0,3135.0,4011.0,132.0,1069.0,5.5,11.0,1502.0,2017
Effingham County,Georgia,76.3909397434421,13,103,87.0,7617.0,9.6,4556.0,12.9,36.2,0.3848,14727.0,19.2,1429.0,163.0,64279.0,47042.0,57087.0,837.0,2228.0,5.0,323.0,19584.0,2017
Elbert County,Georgia,74.195571787566,13,105,78.6,5891.0,22.4,2150.0,19.7,42.3,0.4933,5096.0,11.1,576.0,212.0,35207.0,13161.0,19288.0,648.0,1067.0,7.7,444.0,7730.0,2017
Emanuel County,Georgia,72.6318304928933,13,107,79.9,7714.0,29.2,2668.0,18.1,37.2,0.4743,5489.0,12.5,977.0,270.0,33089.0,13901.0,22502.0,594.0,1008.0,10.3,570.0,8387.0,2017
Evans County,Georgia,74.7149148196397,13,109,76.3,3250.0,26.0,1425.0,16.9,37.3,0.4819,2885.0,15.5,357.0,82.0,38736.0,6356.0,10757.0,306.0,1266.0,6.6,243.0,4023.0,2017
Fannin County,Georgia,77.0727670886557,13,111,85.8,52.0,15.8,2358.0,23.0,50.8,0.4558,6758.0,19.0,325.0,160.0,43344.0,23753.0,24480.0,291.0,528.0,8.3,285.0,10175.0,2017
Fayette County,Georgia,80.7682924448471,13,113,94.9,23341.0,6.3,7527.0,9.3,43.5,0.42,30530.0,46.7,1932.0,463.0,84861.0,76243.0,110306.0,1455.0,7806.0,5.5,541.0,39604.0,2017
Floyd County,Georgia,75.0581302260989,13,115,80.6,13977.0,18.1,14135.0,15.3,38.3,0.4635,24711.0,20.5,2540.0,623.0,46096.0,75642.0,96471.0,3104.0,10224.0,7.5,2200.0,35506.0,2017
Forsyth County,Georgia,81.674209211008,13,117,92.5,6230.0,6.5,11089.0,7.2,38.2,0.4093,57777.0,50.2,3137.0,713.0,96445.0,175339.0,211300.0,1994.0,20064.0,4.2,725.0,70468.0,2017
Franklin County,Georgia,73.8725746030686,13,119,77.3,2183.0,25.4,2699.0,21.5,41.1,0.4728,5816.0,12.8,430.0,129.0,39246.0,19238.0,22328.0,558.0,987.0,6.3,452.0,8322.0,2017
Fulton County,Georgia,78.867596065924,13,121,91.7,445952.0,16.0,190705.0,10.0,35.2,0.5413,211714.0,50.2,31376.0,5656.0,61336.0,454897.0,1010420.0,44543.0,74574.0,7.7,38846.0,391850.0,2017
Gilmer County,Georgia,77.9602337939812,13,123,81.1,518.0,18.8,2931.0,20.5,46.0,0.4448,8214.0,18.6,618.0,271.0,46211.0,27031.0,29614.0,576.0,3404.0,7.4,320.0,11468.0,2017
Glascock County,Georgia,73.394960919002,13,125,77.6,267.0,11.5,228.0,14.3,42.9,0.3987,698.0,9.4,22.0,33.0,45273.0,2671.0,3027.0,28.0,47.0,3.3,35.0,1083.0,2017
Glynn County,Georgia,77.1335060809149,13,127,88.1,21570.0,19.2,12849.0,16.2,40.8,0.5019,21698.0,29.0,2856.0,618.0,47546.0,56466.0,83467.0,3001.0,5607.0,6.7,1996.0,33200.0,2017
Gordon County,Georgia,75.4706012819472,13,129,76.9,2298.0,18.8,7141.0,18.2,37.0,0.4391,14993.0,13.7,1585.0,130.0,43452.0,50879.0,56424.0,1314.0,8690.0,5.7,869.0,19959.0,2017
Grady County,Georgia,75.5518347037765,13,131,77.7,7203.0,25.4,3544.0,19.5,39.7,0.4663,6610.0,13.7,808.0,108.0,39462.0,16626.0,25048.0,623.0,2771.0,8.0,450.0,9092.0,2017
Greene County,Georgia,77.7512340805882,13,133,82.4,6009.0,21.9,1892.0,15.5,48.9,0.5703,4598.0,25.6,442.0,199.0,45069.0,9877.0,16732.0,420.0,1016.0,6.5,381.0,6793.0,2017
Gwinnett County,Georgia,80.607617253456,13,135,87.5,237488.0,12.1,94727.0,7.2,34.9,0.4264,215104.0,35.3,23388.0,2575.0,64496.0,450971.0,889954.0,22299.0,184621.0,5.8,6892.0,283256.0,2017
Habersham County,Georgia,77.3582989596064,13,137,78.0,1381.0,17.2,3745.0,15.9,39.5,0.437,10410.0,18.4,565.0,466.0,44474.0,37877.0,43878.0,802.0,6210.0,5.5,395.0,15106.0,2017
Hall County,Georgia,78.8960139014754,13,139,78.2,14421.0,16.1,20523.0,11.1,36.0,0.4523,46652.0,23.5,4412.0,673.0,55622.0,162214.0,192865.0,4019.0,53644.0,4.6,2526.0,63095.0,2017
Hancock County,Georgia,75.3903158501469,13,141,69.8,6328.0,30.0,639.0,17.7,44.3,0.4864,1839.0,8.7,166.0,189.0,29268.0,2121.0,8667.0,180.0,156.0,4.0,131.0,2970.0,2017
Haralson County,Georgia,73.2656065600872,13,143,79.0,1237.0,18.0,3498.0,17.5,40.7,0.4576,8043.0,14.1,718.0,167.0,43663.0,26416.0,28722.0,805.0,420.0,7.2,416.0,11033.0,2017
Harris County,Georgia,79.295601776848,13,145,89.1,5318.0,7.3,1848.0,18.5,43.2,0.4377,9676.0,27.4,589.0,208.0,69539.0,26242.0,33198.0,386.0,1098.0,8.5,201.0,12088.0,2017
Hart County,Georgia,76.8248765683369,13,147,81.2,4854.0,18.8,2491.0,18.4,43.0,0.4583,7004.0,13.8,701.0,140.0,41216.0,19636.0,25535.0,554.0,947.0,4.7,353.0,9848.0,2017
Heard County,Georgia,74.7199641903674,13,149,80.3,1162.0,17.4,1333.0,19.4,41.9,0.4169,3028.0,10.8,272.0,54.0,44897.0,9901.0,11607.0,196.0,78.0,9.6,196.0,4379.0,2017
Henry County,Georgia,77.181720507416,13,151,90.1,90021.0,11.4,20360.0,10.7,36.7,0.4029,56318.0,28.0,7509.0,808.0,64752.0,110446.0,217506.0,4760.0,14079.0,7.7,1102.0,72697.0,2017
Houston County,Georgia,77.3383420736599,13,153,90.7,44935.0,16.7,19804.0,12.5,35.1,0.438,39145.0,25.4,5141.0,728.0,55965.0,92820.0,150341.0,4307.0,9895.0,7.8,1659.0,55200.0,2017
Irwin County,Georgia,74.8751692688427,13,155,82.1,2605.0,24.5,816.0,21.9,39.7,0.4984,2133.0,13.1,248.0,100.0,34677.0,6367.0,9278.0,151.0,116.0,7.4,128.0,3323.0,2017
Jackson County,Georgia,76.2832039775414,13,157,82.8,4433.0,12.5,5005.0,13.7,38.7,0.43,16459.0,19.7,1383.0,435.0,57999.0,55968.0,63851.0,1007.0,4516.0,6.5,529.0,21785.0,2017
Jasper County,Georgia,75.7749845245545,13,159,76.1,2858.0,19.4,1353.0,18.1,42.2,0.4327,3687.0,10.5,239.0,74.0,42067.0,10357.0,13732.0,233.0,533.0,7.2,293.0,5100.0,2017
Jeff Davis County,Georgia,73.2268902139052,13,161,77.0,2514.0,20.6,1390.0,17.7,36.3,0.4387,3919.0,10.3,414.0,100.0,37267.0,11511.0,14999.0,228.0,1717.0,5.0,308.0,5210.0,2017
Jefferson County,Georgia,72.5992407627131,13,163,74.5,8667.0,26.9,2071.0,15.6,38.6,0.4796,3664.0,10.6,648.0,241.0,29640.0,6913.0,15954.0,504.0,583.0,8.5,674.0,5797.0,2017
Jenkins County,Georgia,73.3841998147857,13,165,78.7,3193.0,30.7,1058.0,14.2,40.6,0.4391,2105.0,8.3,309.0,131.0,27197.0,5461.0,8929.0,272.0,575.0,6.3,193.0,3375.0,2017
Johnson County,Georgia,76.0287103065729,13,167,75.6,3309.0,21.5,967.0,19.3,41.6,0.4456,2149.0,9.6,138.0,69.0,36423.0,6367.0,9800.0,204.0,228.0,11.4,326.0,3277.0,2017
Jones County,Georgia,77.8374428106185,13,169,88.3,7108.0,14.2,2035.0,14.8,39.7,0.4283,7868.0,20.7,760.0,226.0,55110.0,20846.0,28540.0,379.0,418.0,8.7,252.0,10472.0,2017
Lamar County,Georgia,74.3508731721163,13,171,85.5,5293.0,20.8,1924.0,13.8,38.1,0.4751,3815.0,18.4,354.0,181.0,41157.0,12116.0,18282.0,487.0,415.0,11.4,240.0,6263.0,2017
Lanier County,Georgia,75.3835180951939,13,173,79.9,2499.0,28.7,1438.0,19.3,33.8,0.497,2632.0,15.8,475.0,45.0,31109.0,7679.0,10388.0,451.0,567.0,10.6,371.0,3744.0,2017
Laurens County,Georgia,74.4577525082559,13,175,83.9,17490.0,27.3,6481.0,12.4,38.3,0.5211,11469.0,15.4,1655.0,321.0,35202.0,28363.0,47451.0,1288.0,1217.0,5.1,995.0,17437.0,2017
Lee County,Georgia,76.6914056662725,13,177,88.9,5708.0,11.6,2746.0,10.0,36.9,0.3956,7982.0,25.7,802.0,274.0,65018.0,21774.0,29216.0,500.0,803.0,7.1,84.0,10292.0,2017
Liberty County,Georgia,76.3021109268363,13,179,90.9,25506.0,16.6,12752.0,13.4,27.9,0.4129,16460.0,19.4,2746.0,333.0,43493.0,29100.0,62120.0,2281.0,7734.0,11.9,989.0,23108.0,2017
Lincoln County,Georgia,76.1794942621868,13,181,83.0,2503.0,23.0,942.0,18.2,47.9,0.4878,2154.0,12.1,226.0,92.0,37711.0,5160.0,7768.0,133.0,119.0,6.0,113.0,3438.0,2017
Long County,Georgia,78.4618707054974,13,183,86.5,4308.0,20.0,1691.0,16.3,31.6,0.3724,3964.0,15.6,644.0,80.0,53083.0,11527.0,17857.0,388.0,2032.0,17.2,140.0,5399.0,2017
Lowndes County,Georgia,75.8358035603923,13,185,84.4,41416.0,25.0,19283.0,12.1,30.1,0.5026,25440.0,25.2,3459.0,462.0,39911.0,66027.0,113941.0,4367.0,6179.0,9.2,2763.0,40318.0,2017
Lumpkin County,Georgia,77.7101053772346,13,187,83.3,722.0,20.1,4091.0,16.3,37.3,0.4853,7453.0,26.7,547.0,138.0,43039.0,29645.0,31567.0,1019.0,1489.0,6.0,204.0,11412.0,2017
McDuffie County,Georgia,73.7738203200434,13,189,81.2,8697.0,26.0,3148.0,13.0,37.8,0.4627,5765.0,15.3,963.0,151.0,40469.0,11772.0,21488.0,762.0,617.0,8.1,538.0,8156.0,2017
McIntosh County,Georgia,79.7108099163917,13,191,82.8,4945.0,20.3,1217.0,27.1,49.2,0.481,3858.0,14.0,422.0,142.0,43285.0,8756.0,14061.0,253.0,213.0,9.2,150.0,5730.0,2017
Macon County,Georgia,73.7317039474685,13,193,72.8,8114.0,28.6,1683.0,19.1,40.6,0.4989,2956.0,8.6,446.0,226.0,30851.0,4778.0,13675.0,382.0,581.0,16.8,513.0,4618.0,2017
Madison County,Georgia,75.840925411624,13,195,82.3,2469.0,17.6,2738.0,18.1,41.0,0.4282,7924.0,16.7,532.0,181.0,47653.0,24265.0,28600.0,710.0,1395.0,8.0,159.0,10571.0,2017
Marion County,Georgia,76.2946453096112,13,197,77.1,3059.0,23.1,897.0,17.2,43.3,0.4404,2206.0,12.5,217.0,50.0,39015.0,5099.0,8558.0,88.0,144.0,10.0,144.0,3263.0,2017
Meriwether County,Georgia,74.4847266846964,13,199,77.2,8128.0,22.7,2575.0,20.9,42.0,0.4562,5643.0,10.7,615.0,303.0,36368.0,12215.0,21152.0,772.0,442.0,8.1,630.0,8108.0,2017
Miller County,Georgia,73.0734881813492,13,201,82.1,1788.0,23.3,791.0,12.5,43.1,0.4857,1621.0,11.4,256.0,48.0,37255.0,4034.0,5884.0,162.0,24.0,5.7,140.0,2326.0,2017
Mitchell County,Georgia,74.0885588705262,13,205,76.6,10754.0,27.1,2724.0,17.0,38.8,0.4422,5362.0,12.3,788.0,358.0,34122.0,11125.0,22574.0,442.0,999.0,15.2,644.0,7991.0,2017
Monroe County,Georgia,77.4835874483883,13,207,84.2,6311.0,13.3,2192.0,14.9,43.3,0.538,6626.0,22.7,405.0,252.0,50666.0,19732.0,26795.0,315.0,631.0,9.4,258.0,9590.0,2017
Montgomery County,Georgia,75.0403904752512,13,209,81.3,2345.0,19.5,816.0,19.0,39.4,0.4714,2127.0,15.5,121.0,32.0,40308.0,6067.0,8962.0,125.0,587.0,6.6,162.0,3077.0,2017
Morgan County,Georgia,77.3359048444416,13,211,86.6,4243.0,13.4,1695.0,15.8,44.2,0.4553,5212.0,22.1,492.0,147.0,59572.0,13351.0,18013.0,209.0,565.0,5.7,86.0,6698.0,2017
Murray County,Georgia,74.7984649731187,13,213,67.6,380.0,18.0,4556.0,15.2,37.6,0.4026,10646.0,9.6,855.0,184.0,41617.0,38120.0,39444.0,702.0,5658.0,7.4,551.0,14176.0,2017
Muscogee County,Georgia,74.0661905409308,13,215,87.4,90593.0,21.7,37724.0,18.1,33.7,0.4994,45774.0,26.0,7642.0,1193.0,43239.0,88471.0,198647.0,9431.0,14881.0,10.0,6657.0,73179.0,2017
Newton County,Georgia,76.0968360464372,13,217,85.2,45433.0,16.7,11094.0,15.1,36.2,0.4274,25936.0,19.9,3841.0,499.0,52784.0,54606.0,105042.0,3114.0,5389.0,9.0,1418.0,35823.0,2017
Oconee County,Georgia,80.9648939245257,13,219,94.3,1952.0,6.9,2261.0,9.5,40.1,0.4608,10137.0,48.2,738.0,101.0,77388.0,31909.0,35972.0,309.0,1714.0,4.4,145.0,12693.0,2017
Oglethorpe County,Georgia,77.6363584185965,13,221,77.9,2632.0,17.6,1255.0,16.8,42.5,0.4116,3865.0,15.5,298.0,94.0,43938.0,11532.0,14654.0,273.0,607.0,5.8,142.0,5642.0,2017
Paulding County,Georgia,78.486927311261,13,223,90.1,28271.0,9.7,11458.0,10.1,35.6,0.3909,40428.0,24.4,3968.0,708.0,63669.0,116211.0,152399.0,2412.0,8866.0,5.2,595.0,51397.0,2017
Peach County,Georgia,73.7058392267195,13,225,85.8,12023.0,18.7,3474.0,15.6,35.8,0.449,6453.0,20.3,998.0,241.0,43645.0,13121.0,27027.0,839.0,2029.0,8.6,696.0,10113.0,2017
Pickens County,Georgia,77.0978924166854,13,227,83.7,148.0,9.8,2554.0,15.9,44.9,0.4209,8533.0,24.9,382.0,239.0,61542.0,29025.0,30343.0,421.0,923.0,7.0,277.0,11379.0,2017
Pierce County,Georgia,74.2596164151985,13,229,81.9,1710.0,21.0,1852.0,19.3,39.4,0.5026,5429.0,12.7,732.0,70.0,39863.0,16623.0,19141.0,266.0,978.0,6.2,288.0,6975.0,2017
Pike County,Georgia,75.4989917474708,13,231,89.0,1846.0,12.3,995.0,13.2,40.5,0.4516,4451.0,16.5,158.0,92.0,52377.0,15777.0,17919.0,200.0,273.0,9.0,121.0,5963.0,2017
Polk County,Georgia,73.2748803672115,13,233,76.7,5253.0,19.0,5303.0,16.4,37.1,0.484,10346.0,12.7,1145.0,270.0,40652.0,31246.0,41444.0,1329.0,5403.0,7.2,660.0,14949.0,2017
Pulaski County,Georgia,77.6666373683592,13,235,80.1,3959.0,21.8,1509.0,20.5,43.1,0.4506,2519.0,12.6,265.0,133.0,38750.0,7226.0,11396.0,349.0,406.0,6.7,183.0,3893.0,2017
Putnam County,Georgia,77.4061176357782,13,237,85.9,5587.0,16.2,2172.0,14.3,45.6,0.4674,6304.0,21.4,543.0,163.0,48340.0,14718.0,21430.0,511.0,1406.0,6.5,275.0,8662.0,2017
Quitman County,Georgia,75.3250351764225,13,239,70.3,1086.0,22.8,253.0,24.4,52.6,0.465,571.0,8.3,68.0,45.0,26750.0,909.0,2140.0,82.0,12.0,12.1,47.0,978.0,2017
Rabun County,Georgia,76.9944546576478,13,241,83.8,325.0,20.3,1682.0,17.9,48.8,0.5296,4168.0,25.3,243.0,121.0,39297.0,15081.0,16354.0,354.0,1320.0,5.7,191.0,6506.0,2017
Randolph County,Georgia,75.026721238403,13,243,73.7,4305.0,35.1,1132.0,17.4,44.3,0.5454,1795.0,12.1,277.0,187.0,30640.0,2646.0,7206.0,139.0,120.0,8.9,419.0,2864.0,2017
Richmond County,Georgia,73.6808084874035,13,245,83.0,112896.0,24.2,33927.0,16.7,33.7,0.4836,43382.0,21.0,8018.0,1099.0,39430.0,77064.0,201568.0,9417.0,9645.0,11.6,6080.0,72361.0,2017
Rockdale County,Georgia,77.6033875048851,13,247,86.9,45865.0,16.3,9417.0,9.5,37.3,0.4159,21913.0,25.8,3290.0,366.0,54175.0,37221.0,88482.0,2426.0,9030.0,8.7,989.0,29937.0,2017
Schley County,Georgia,76.9446934911318,13,249,81.3,1448.0,22.2,657.0,17.1,36.9,0.4537,1467.0,13.7,251.0,30.0,41267.0,3576.0,5168.0,129.0,258.0,14.2,144.0,1925.0,2017
Screven County,Georgia,74.5319377680867,13,251,82.0,5856.0,22.6,1625.0,16.8,41.2,0.4627,3454.0,14.7,471.0,174.0,36556.0,7829.0,14037.0,327.0,255.0,5.5,350.0,5268.0,2017
Seminole County,Georgia,73.47471546866,13,253,84.0,2878.0,25.5,973.0,16.2,44.0,0.5185,2327.0,15.1,306.0,130.0,33999.0,5282.0,8549.0,226.0,253.0,7.3,152.0,3353.0,2017
Spalding County,Georgia,74.2476675171375,13,255,80.6,21402.0,21.6,9071.0,16.4,38.9,0.4537,16119.0,16.2,2318.0,318.0,42398.0,40377.0,64192.0,2344.0,2791.0,8.3,1800.0,23475.0,2017
Stephens County,Georgia,73.3838160708526,13,257,81.6,3006.0,18.1,2807.0,19.7,42.3,0.4894,6496.0,19.6,403.0,144.0,39756.0,21528.0,25625.0,633.0,809.0,11.7,499.0,9427.0,2017
Stewart County,Georgia,74.2587420264588,13,259,65.7,2932.0,41.5,569.0,22.3,37.0,0.5026,1064.0,12.4,186.0,135.0,22413.0,1618.0,5832.0,127.0,1182.0,11.8,149.0,1780.0,2017
Sumter County,Georgia,74.3351110608217,13,261,78.7,16085.0,33.4,5245.0,13.7,35.2,0.484,7750.0,16.8,1488.0,257.0,34219.0,12955.0,30687.0,1424.0,1626.0,10.6,1133.0,11871.0,2017
Talbot County,Georgia,74.577238903621,13,263,79.2,3635.0,16.9,539.0,19.8,49.9,0.4716,1870.0,12.5,130.0,55.0,37226.0,2702.0,6423.0,73.0,150.0,8.2,126.0,2801.0,2017
Taliaferro County,Georgia,74.243707404434,13,265,69.1,1140.0,31.0,215.0,22.5,43.3,0.4836,441.0,6.8,58.0,37.0,30500.0,683.0,1844.0,38.0,78.0,9.5,55.0,710.0,2017
Tattnall County,Georgia,74.8428091996403,13,267,74.4,7430.0,23.7,2557.0,17.7,36.9,0.4549,5767.0,12.3,714.0,288.0,36355.0,15232.0,25402.0,321.0,2734.0,4.0,310.0,8044.0,2017
Taylor County,Georgia,74.7072893839871,13,269,76.8,3340.0,28.2,1083.0,17.9,43.8,0.4679,2428.0,11.4,236.0,126.0,29875.0,4753.0,8267.0,190.0,79.0,14.1,227.0,3554.0,2017
Telfair County,Georgia,77.1154103933062,13,271,70.4,7016.0,27.7,1976.0,13.8,41.0,0.424,3395.0,8.1,346.0,161.0,28044.0,8914.0,16339.0,264.0,1901.0,4.1,239.0,5167.0,2017
Terrell County,Georgia,73.8546304959187,13,273,75.8,5565.0,35.3,1365.0,14.4,40.7,0.4696,2229.0,10.8,468.0,121.0,32219.0,3268.0,8978.0,362.0,243.0,10.4,304.0,3290.0,2017
Thomas County,Georgia,75.1690114260441,13,275,82.5,16096.0,19.5,6138.0,17.7,39.6,0.4909,11936.0,22.2,1645.0,349.0,41336.0,26958.0,44909.0,1489.0,1570.0,9.3,883.0,17254.0,2017
Tift County,Georgia,74.5509325356242,13,277,82.2,11932.0,27.8,6454.0,16.5,35.5,0.4839,10681.0,16.8,1714.0,448.0,38728.0,25782.0,40531.0,1085.0,4618.0,3.9,1368.0,14999.0,2017
Toombs County,Georgia,74.0099217198226,13,279,80.6,6932.0,24.4,4150.0,16.0,36.1,0.5175,6931.0,15.9,1017.0,200.0,35750.0,17039.0,27160.0,683.0,3140.0,10.3,908.0,10521.0,2017
Towns County,Georgia,77.7915154476499,13,281,89.1,135.0,14.7,880.0,18.3,53.3,0.4341,3039.0,25.6,127.0,65.0,41182.0,10691.0,11173.0,200.0,163.0,6.8,113.0,4588.0,2017
Treutlen County,Georgia,74.9031831148421,13,283,76.3,2007.0,21.0,763.0,19.9,40.8,0.4641,1784.0,15.5,121.0,28.0,39375.0,4707.0,6752.0,116.0,143.0,5.6,103.0,2633.0,2017
Troup County,Georgia,75.0199708516939,13,285,83.6,24472.0,21.3,10605.0,16.5,36.2,0.4759,16728.0,18.5,2800.0,535.0,43597.0,40955.0,69433.0,2525.0,2563.0,8.9,2074.0,24679.0,2017
Turner County,Georgia,72.8469366146032,13,287,76.5,3449.0,27.9,934.0,18.6,40.2,0.4423,2276.0,13.5,290.0,35.0,42622.0,4449.0,8036.0,254.0,368.0,6.5,227.0,3103.0,2017
Twiggs County,Georgia,73.9903104118999,13,289,68.6,3547.0,27.3,632.0,21.6,46.3,0.5002,2004.0,9.2,222.0,137.0,30629.0,4602.0,8323.0,67.0,30.0,6.3,130.0,2943.0,2017
Union County,Georgia,78.3191047382087,13,291,88.7,185.0,12.8,1747.0,20.4,53.8,0.474,6205.0,22.0,457.0,198.0,42767.0,21612.0,22262.0,288.0,680.0,5.5,224.0,8788.0,2017
Upson County,Georgia,73.0634454812341,13,293,79.2,7470.0,22.7,3663.0,16.6,41.5,0.4731,6218.0,12.9,570.0,198.0,35375.0,18300.0,26241.0,794.0,604.0,11.2,1001.0,10263.0,2017
Walker County,Georgia,74.8726755445435,13,295,81.3,2952.0,17.2,7089.0,18.2,41.4,0.4503,18163.0,15.5,1266.0,428.0,43581.0,63292.0,68609.0,1419.0,1364.0,7.0,818.0,25564.0,2017
Walton County,Georgia,76.3500790906022,13,297,86.8,14692.0,12.8,8245.0,12.4,38.9,0.4263,23807.0,19.0,2238.0,257.0,55876.0,70069.0,88695.0,2023.0,3557.0,6.9,800.0,30488.0,2017
Ware County,Georgia,73.6841856458992,13,299,82.4,10596.0,24.8,5126.0,18.7,38.9,0.4546,9498.0,13.5,1052.0,342.0,36962.0,23305.0,35688.0,1035.0,1425.0,4.6,917.0,13903.0,2017
Warren County,Georgia,74.1341486349798,13,301,75.1,3278.0,26.8,748.0,12.4,44.2,0.5095,1387.0,13.7,203.0,87.0,32860.0,2012.0,5410.0,219.0,31.0,8.2,295.0,2274.0,2017
Washington County,Georgia,75.2417260624277,13,303,78.7,10880.0,27.1,2304.0,16.9,40.3,0.476,5220.0,13.1,678.0,242.0,38097.0,9218.0,20506.0,606.0,474.0,9.3,349.0,7384.0,2017
Wayne County,Georgia,73.9333969783465,13,305,81.3,5966.0,21.3,3825.0,17.5,38.2,0.4533,7139.0,12.7,543.0,314.0,41534.0,22294.0,29833.0,733.0,1857.0,9.5,780.0,10362.0,2017
Webster County,Georgia,78.3816983844406,13,307,80.9,1283.0,19.5,240.0,16.5,43.5,0.4707,735.0,11.3,93.0,46.0,36658.0,1299.0,2627.0,31.0,54.0,4.0,41.0,1091.0,2017
Wheeler County,Georgia,77.2642870472334,13,309,76.9,3358.0,29.3,713.0,14.0,38.2,0.4412,1336.0,8.1,83.0,88.0,28490.0,4556.0,7952.0,98.0,131.0,9.1,197.0,1972.0,2017
White County,Georgia,78.6709389268035,13,311,85.2,586.0,17.7,3023.0,17.0,45.1,0.4346,7988.0,20.2,442.0,261.0,43944.0,26930.0,28509.0,595.0,875.0,4.3,86.0,11250.0,2017
Whitfield County,Georgia,77.0741142029924,13,313,68.9,4103.0,19.2,13549.0,10.5,35.4,0.4734,25486.0,14.6,2483.0,550.0,43871.0,91949.0,103963.0,2299.0,35516.0,8.0,1780.0,35384.0,2017
Wilcox County,Georgia,75.185232662392,13,315,80.7,3156.0,21.8,720.0,18.1,39.4,0.4646,1726.0,10.5,163.0,78.0,35457.0,5562.0,8896.0,131.0,386.0,7.6,74.0,2676.0,2017
Wilkes County,Georgia,74.4532028572855,13,317,78.6,4205.0,26.5,1282.0,17.4,45.5,0.505,2456.0,14.3,336.0,230.0,34234.0,5231.0,9905.0,263.0,453.0,7.5,292.0,3971.0,2017
Wilkinson County,Georgia,73.899468948531,13,319,82.6,3491.0,23.3,770.0,16.4,42.5,0.4458,2215.0,9.0,187.0,108.0,38711.0,5380.0,9147.0,129.0,248.0,8.8,161.0,3288.0,2017
Worth County,Georgia,75.3756021723824,13,321,78.1,5870.0,21.5,2556.0,18.4,42.1,0.4472,5800.0,11.0,828.0,158.0,40369.0,14332.0,20809.0,712.0,418.0,9.7,388.0,7899.0,2017
Hawaii County,Hawaii,79.9425284447821,15,1,92.3,1212.0,17.4,22112.0,13.3,42.1,0.4712,44937.0,28.6,3792.0,1072.0,56395.0,66492.0,196325.0,5117.0,24523.0,6.8,1980.0,67054.0,2017
