County,State,mean_life_expectancy,State_FIPS,County_FIPS,Unemployment Rate,No Vehicle (Renter),Total Occupied Households,White Population,Total Population,Rent Burden Count (+50%),Hispanic Population,Total Families (Single Mother),No Vehicle (Owner),Median Household Income,Median Age,Gini Index,Total Families,Bachelor's Degree or Higher (%),Rent Denominator,Disability Rate,Poverty Rate,High School Degree or Higher (%),Black Population,Year
Gordon County,Georgia,75.5910815019174,13,129,4.6,1112.0,20294.0,50658.0,56790.0,1302.0,8864.0,1660.0,212.0,44313.0,37.8,0.454,15096.0,14.4,7307.0,18.7,20.0,77.7,2255.0,2018
Grady County,Georgia,75.6390967986397,13,131,6.6,445.0,9037.0,16529.0,24926.0,660.0,2774.0,787.0,73.0,42348.0,39.7,0.4705,6441.0,14.1,3112.0,20.8,23.5,80.3,7163.0,2018
Greene County,Georgia,78.0771638862825,13,133,4.9,346.0,7004.0,9924.0,16976.0,483.0,1018.0,482.0,198.0,49755.0,49.4,0.573,4828.0,25.8,2009.0,15.0,22.3,83.2,6028.0,2018
Gwinnett County,Georgia,80.8576416981151,13,135,4.7,6946.0,288724.0,448155.0,902298.0,23079.0,188608.0,24165.0,2768.0,67769.0,35.1,0.43,217852.0,36.1,97546.0,6.9,11.4,87.7,245748.0,2018
Habersham County,Georgia,77.4621360966414,13,137,4.0,353.0,15195.0,38359.0,44289.0,588.0,6401.0,626.0,464.0,49140.0,39.5,0.4307,10364.0,18.7,3528.0,16.5,14.5,78.2,1358.0,2018
Hall County,Georgia,79.0513221599094,13,139,3.7,2517.0,63931.0,166426.0,195961.0,3940.0,55153.0,4367.0,819.0,59898.0,36.3,0.4486,47761.0,24.0,20060.0,11.0,14.6,78.4,14540.0,2018
Hancock County,Georgia,75.4561378964738,13,141,4.0,134.0,2991.0,2094.0,8535.0,205.0,164.0,185.0,198.0,31984.0,46.5,0.4923,1736.0,8.8,803.0,16.0,24.1,71.5,6178.0,2018
Haralson County,Georgia,73.4638395369125,13,143,4.8,326.0,11128.0,26752.0,28956.0,712.0,455.0,682.0,193.0,46353.0,40.8,0.4509,8059.0,14.0,3523.0,18.3,15.5,80.7,1347.0,2018
Harris County,Georgia,79.4514638028953,13,145,7.1,155.0,12158.0,26584.0,33590.0,298.0,1155.0,573.0,202.0,74261.0,43.1,0.4352,9667.0,29.9,1701.0,18.2,6.8,90.8,5417.0,2018
Hart County,Georgia,77.0465029717568,13,147,4.9,430.0,10019.0,19823.0,25631.0,541.0,952.0,642.0,105.0,41358.0,43.8,0.459,6950.0,15.1,2386.0,20.2,17.4,80.4,4730.0,2018
Heard County,Georgia,74.935041415743,13,149,7.7,207.0,4489.0,10145.0,11677.0,204.0,312.0,265.0,38.0,48094.0,41.5,0.4098,3177.0,9.8,1357.0,19.4,15.6,79.3,1085.0,2018
Henry County,Georgia,77.4629291963644,13,151,6.7,1023.0,73826.0,109034.0,221307.0,4868.0,14739.0,7561.0,628.0,68609.0,36.9,0.3963,57307.0,28.3,20994.0,10.4,10.4,90.4,93814.0,2018
Houston County,Georgia,77.4534964434465,13,153,7.0,1852.0,56146.0,92943.0,151682.0,4282.0,9976.0,5226.0,749.0,58770.0,35.3,0.4368,40223.0,27.3,19990.0,13.2,15.7,90.9,46232.0,2018
Irwin County,Georgia,74.9026897719718,13,155,9.2,162.0,3291.0,6318.0,9268.0,125.0,135.0,291.0,102.0,32339.0,39.9,0.4842,2070.0,14.3,849.0,20.5,26.5,81.6,2759.0,2018
Jackson County,Georgia,76.5773842944624,13,157,4.8,600.0,22034.0,57489.0,65755.0,810.0,4850.0,1354.0,416.0,62495.0,38.5,0.4194,16840.0,21.0,4949.0,13.6,11.0,83.7,4393.0,2018
Jasper County,Georgia,75.8994510443067,13,159,6.6,213.0,5087.0,10380.0,13784.0,231.0,539.0,206.0,78.0,43284.0,42.4,0.4199,3734.0,10.8,1289.0,17.6,17.8,78.6,2881.0,2018
Jeff Davis County,Georgia,73.3471646371562,13,161,5.9,442.0,5270.0,11392.0,14991.0,271.0,1754.0,406.0,31.0,36531.0,36.7,0.4429,3906.0,10.0,1678.0,16.6,20.6,77.7,2465.0,2018
Jefferson County,Georgia,72.7895471617176,13,163,6.9,550.0,5609.0,6826.0,15772.0,457.0,576.0,519.0,195.0,34300.0,39.3,0.4742,3575.0,11.0,1910.0,15.4,24.8,75.1,8515.0,2018
Jenkins County,Georgia,73.4074632261848,13,165,4.0,198.0,3409.0,5363.0,8827.0,289.0,747.0,324.0,184.0,27311.0,43.7,0.4413,2093.0,9.3,1015.0,14.4,29.3,79.3,2955.0,2018
Johnson County,Georgia,76.0443954513394,13,167,9.0,307.0,3361.0,6281.0,9730.0,192.0,229.0,173.0,73.0,39813.0,41.0,0.4361,2282.0,10.4,1068.0,18.0,22.6,77.2,3256.0,2018
Jones County,Georgia,77.942514638968,13,169,7.4,299.0,10510.0,20790.0,28548.0,585.0,445.0,754.0,209.0,53155.0,40.1,0.4248,7723.0,20.1,2090.0,14.8,15.0,87.4,7082.0,2018
Lamar County,Georgia,74.6480848746682,13,171,11.1,269.0,6368.0,12186.0,18513.0,403.0,438.0,274.0,126.0,41464.0,37.5,0.4788,3844.0,17.1,1944.0,14.3,20.2,86.7,5392.0,2018
Lanier County,Georgia,75.5741908250113,13,173,8.7,281.0,3724.0,7669.0,10366.0,425.0,574.0,323.0,60.0,39104.0,35.4,0.4906,2571.0,16.4,1342.0,17.9,23.8,79.4,2507.0,2018
Laurens County,Georgia,74.6415276577823,13,175,4.8,1016.0,17183.0,28020.0,47418.0,1266.0,1241.0,1700.0,323.0,37369.0,38.3,0.4952,11374.0,15.6,6411.0,13.4,26.7,85.1,17645.0,2018
Lee County,Georgia,76.6576573244205,13,177,7.4,124.0,10354.0,21735.0,29348.0,588.0,839.0,826.0,225.0,65420.0,37.2,0.4005,8044.0,25.6,2861.0,10.4,13.8,90.6,5956.0,2018
Liberty County,Georgia,76.4063478776102,13,179,11.4,1069.0,23232.0,28881.0,62108.0,2628.0,7845.0,2802.0,369.0,45959.0,28.1,0.3993,16618.0,18.3,12900.0,13.6,16.8,90.9,25503.0,2018
Lincoln County,Georgia,76.4608108585207,13,181,4.6,88.0,3424.0,5217.0,7799.0,176.0,129.0,275.0,98.0,41014.0,47.3,0.481,2111.0,13.5,947.0,18.4,19.5,82.4,2462.0,2018
Long County,Georgia,78.6678466420593,13,183,15.1,139.0,5601.0,11752.0,18156.0,293.0,2043.0,715.0,82.0,55439.0,32.7,0.381,4090.0,15.5,1703.0,17.2,20.0,85.2,4299.0,2018
Lowndes County,Georgia,75.9053554729163,13,185,7.6,2670.0,40472.0,66261.0,114582.0,4091.0,6345.0,3512.0,487.0,41390.0,30.2,0.531,25370.0,25.6,19312.0,11.8,25.2,85.1,41718.0,2018
Lumpkin County,Georgia,77.8193013989251,13,187,4.5,246.0,11649.0,29981.0,31951.0,936.0,1530.0,507.0,133.0,47488.0,37.2,0.4582,7710.0,26.2,3737.0,15.8,17.2,83.7,605.0,2018
McDuffie County,Georgia,73.9498156118123,13,189,8.3,703.0,8103.0,11746.0,21498.0,704.0,637.0,1064.0,166.0,39199.0,37.6,0.4714,5605.0,13.7,3173.0,13.9,24.9,82.2,8692.0,2018
McIntosh County,Georgia,79.9990111330534,13,191,7.9,105.0,6033.0,8832.0,14120.0,220.0,139.0,437.0,163.0,47114.0,49.7,0.4562,4221.0,15.6,1342.0,21.9,19.9,86.3,4840.0,2018
Macon County,Georgia,73.723715857393,13,193,12.0,441.0,4673.0,4705.0,13480.0,367.0,569.0,391.0,233.0,31999.0,40.2,0.4729,3019.0,8.6,1636.0,17.1,27.2,72.8,8171.0,2018
Madison County,Georgia,76.1066582067992,13,195,8.5,164.0,10712.0,24483.0,28900.0,600.0,1495.0,565.0,168.0,51701.0,41.2,0.4277,8140.0,18.0,2583.0,18.1,17.4,83.3,2534.0,2018
Marion County,Georgia,76.443197414621,13,197,10.3,163.0,3331.0,5288.0,8484.0,88.0,603.0,219.0,52.0,44309.0,45.2,0.4385,2318.0,13.1,874.0,14.6,21.0,76.9,2576.0,2018
Meriwether County,Georgia,74.5741063488475,13,199,5.9,589.0,8151.0,12062.0,21113.0,569.0,449.0,681.0,313.0,36351.0,41.6,0.4608,5542.0,11.5,2681.0,21.2,21.5,79.1,8169.0,2018
Miller County,Georgia,73.2470191384742,13,201,5.0,116.0,2300.0,3989.0,5836.0,99.0,34.0,191.0,60.0,42927.0,43.8,0.4555,1595.0,12.3,757.0,13.0,23.0,82.3,1780.0,2018
Mitchell County,Georgia,74.0620100864053,13,205,13.7,626.0,7889.0,11106.0,22432.0,490.0,1016.0,878.0,303.0,37027.0,38.9,0.4672,5363.0,11.1,2913.0,17.6,24.0,74.7,10461.0,2018
Monroe County,Georgia,77.7871454148834,13,207,7.9,165.0,9803.0,19829.0,27010.0,250.0,631.0,444.0,316.0,54050.0,43.1,0.5408,6498.0,26.3,2040.0,14.3,13.9,85.0,6302.0,2018
Montgomery County,Georgia,75.0883350470393,13,209,7.2,182.0,3039.0,6156.0,9036.0,169.0,589.0,155.0,27.0,40728.0,40.0,0.5234,2108.0,14.1,842.0,18.1,20.7,81.7,2374.0,2018
Morgan County,Georgia,77.5186789574759,13,211,5.7,193.0,6656.0,13482.0,18235.0,252.0,587.0,350.0,123.0,62530.0,44.5,0.4544,5057.0,20.8,1682.0,15.2,10.5,86.5,4258.0,2018
Murray County,Georgia,74.9700556257629,13,213,7.8,361.0,14081.0,38261.0,39557.0,563.0,5837.0,814.0,217.0,45238.0,38.2,0.4054,10513.0,9.4,4338.0,14.5,15.4,69.3,424.0,2018
Muscogee County,Georgia,74.2394264544026,13,215,9.2,6711.0,72924.0,86552.0,196670.0,9504.0,14858.0,7530.0,1196.0,45389.0,33.9,0.4916,45097.0,26.2,37908.0,17.6,21.1,87.3,90001.0,2018
Newton County,Georgia,76.2607976221268,13,217,7.7,1441.0,36626.0,54326.0,106497.0,3219.0,5733.0,3677.0,546.0,53309.0,36.2,0.4384,26098.0,19.6,11831.0,15.3,17.9,85.8,46869.0,2018
Oconee County,Georgia,81.2570674760447,13,219,3.5,206.0,13093.0,32796.0,37017.0,289.0,1804.0,814.0,92.0,88308.0,40.4,0.4529,10503.0,51.1,2266.0,9.9,5.9,94.5,2005.0,2018
Oglethorpe County,Georgia,77.8557806138768,13,221,4.7,109.0,5621.0,11610.0,14784.0,236.0,647.0,290.0,95.0,44927.0,42.1,0.4137,3878.0,16.9,1190.0,15.8,15.1,79.4,2623.0,2018
Paulding County,Georgia,78.7395615987406,13,223,4.3,671.0,52389.0,117516.0,155840.0,2450.0,9491.0,3988.0,568.0,66467.0,35.8,0.3858,40722.0,24.1,12376.0,9.8,9.4,90.1,29448.0,2018
Peach County,Georgia,73.6937146784614,13,225,9.2,771.0,10103.0,13152.0,26966.0,719.0,2018.0,1122.0,283.0,42802.0,36.9,0.4707,6471.0,19.4,3716.0,17.6,21.5,84.0,12047.0,2018
Pickens County,Georgia,77.29387497581,13,227,6.1,330.0,11841.0,27688.0,30832.0,466.0,945.0,396.0,214.0,64512.0,45.1,0.4275,8820.0,23.7,2854.0,16.1,9.6,84.9,409.0,2018
Pierce County,Georgia,74.3784226065327,13,229,5.8,247.0,7072.0,16402.0,19164.0,241.0,966.0,668.0,67.0,44167.0,39.4,0.456,5404.0,11.9,1684.0,17.0,21.7,83.7,1832.0,2018
Pike County,Georgia,75.618283423444,13,231,6.4,115.0,6106.0,15903.0,18082.0,155.0,279.0,154.0,92.0,58765.0,40.7,0.4545,4490.0,15.9,1049.0,12.7,13.1,87.0,1811.0,2018
Polk County,Georgia,73.3637862551743,13,233,5.9,863.0,15011.0,32159.0,41621.0,1349.0,5463.0,1049.0,298.0,43491.0,37.1,0.4879,10290.0,12.2,5251.0,15.5,17.9,79.1,5091.0,2018
Pulaski County,Georgia,77.923376389831,13,235,4.8,203.0,3817.0,7133.0,11295.0,413.0,463.0,407.0,103.0,38770.0,43.0,0.4597,2607.0,12.4,1416.0,20.4,25.9,80.4,3929.0,2018
Putnam County,Georgia,77.7080975315866,13,237,4.6,205.0,8660.0,14830.0,21503.0,469.0,1381.0,425.0,182.0,51245.0,46.0,0.4768,6132.0,22.2,1913.0,14.3,16.0,85.4,5633.0,2018
Quitman County,Georgia,75.7151571732725,13,239,11.1,49.0,934.0,882.0,2276.0,101.0,6.0,91.0,43.0,30000.0,48.4,0.458,602.0,9.1,292.0,22.0,22.7,67.6,1192.0,2018
Rabun County,Georgia,77.1270289914812,13,241,4.2,216.0,6563.0,15119.0,16457.0,416.0,1331.0,258.0,130.0,40902.0,48.8,0.5261,4144.0,24.8,1653.0,20.0,19.4,84.2,393.0,2018
Randolph County,Georgia,74.8773742416869,13,243,7.8,325.0,2616.0,2492.0,7087.0,161.0,96.0,327.0,158.0,30914.0,40.0,0.5508,1655.0,11.7,1114.0,16.4,37.0,75.8,4406.0,2018
Richmond County,Georgia,73.8895818653717,13,245,10.3,5837.0,72165.0,76073.0,201463.0,9462.0,9759.0,7949.0,1027.0,40644.0,33.9,0.4761,43129.0,21.3,33723.0,16.8,23.4,83.4,113881.0,2018
Rockdale County,Georgia,77.6928428558949,13,247,7.6,924.0,30521.0,35556.0,89011.0,2258.0,9038.0,3294.0,285.0,57049.0,37.7,0.4209,22412.0,26.5,9736.0,9.9,15.2,88.2,47414.0,2018
Schley County,Georgia,77.058150222235,13,249,12.7,108.0,1877.0,3454.0,5211.0,138.0,268.0,198.0,26.0,41276.0,37.8,0.4679,1452.0,12.9,568.0,16.6,21.3,84.3,1558.0,2018
Screven County,Georgia,74.6085022351091,13,251,6.2,317.0,5257.0,7775.0,13990.0,277.0,276.0,382.0,243.0,37588.0,41.5,0.4697,3458.0,14.2,1479.0,16.6,22.3,83.1,5868.0,2018
Seminole County,Georgia,73.5921597026236,13,253,7.7,145.0,3325.0,5215.0,8437.0,188.0,260.0,219.0,129.0,34338.0,44.0,0.5647,2284.0,14.4,1049.0,17.7,24.4,85.5,2790.0,2018
Spalding County,Georgia,74.3781789988297,13,255,6.9,1998.0,24137.0,40745.0,64719.0,2440.0,2860.0,2566.0,352.0,42671.0,39.1,0.4503,16513.0,16.4,9614.0,16.1,21.6,81.9,21697.0,2018
Stephens County,Georgia,73.7027569889285,13,257,9.1,493.0,9468.0,21558.0,25676.0,632.0,843.0,481.0,208.0,43416.0,41.5,0.4629,6668.0,22.1,2861.0,19.5,16.2,83.5,2876.0,2018
Stewart County,Georgia,74.37185142151,13,259,8.9,141.0,1826.0,1590.0,6042.0,116.0,1040.0,153.0,158.0,25385.0,36.4,0.5029,1107.0,11.2,535.0,19.1,37.0,71.6,3269.0,2018
Sumter County,Georgia,74.3526146490998,13,261,9.2,960.0,11758.0,12924.0,30352.0,1184.0,1644.0,1402.0,272.0,36205.0,35.5,0.4792,7391.0,18.6,5197.0,13.7,27.8,80.7,15974.0,2018
Talbot County,Georgia,74.5787742587229,13,263,7.9,128.0,2766.0,2622.0,6378.0,80.0,48.0,175.0,112.0,36213.0,49.2,0.4579,1804.0,12.0,591.0,19.4,19.1,80.5,3687.0,2018
Taliaferro County,Georgia,74.5090321508796,13,265,9.4,45.0,612.0,568.0,1665.0,33.0,26.0,49.0,27.0,31797.0,46.3,0.4814,409.0,7.0,189.0,22.5,28.0,71.2,1085.0,2018
Tattnall County,Georgia,75.0787450048277,13,267,3.8,265.0,8237.0,15157.0,25353.0,294.0,2779.0,769.0,306.0,38034.0,37.4,0.4679,5830.0,13.2,2809.0,17.2,22.5,75.4,7403.0,2018
Taylor County,Georgia,74.826413782212,13,269,11.7,213.0,3437.0,4692.0,8193.0,189.0,208.0,164.0,64.0,33442.0,44.4,0.463,2265.0,11.2,987.0,18.6,26.3,78.2,3150.0,2018
Telfair County,Georgia,77.4118023700194,13,271,2.6,188.0,4931.0,8651.0,16115.0,316.0,1893.0,396.0,158.0,30288.0,41.0,0.4343,3294.0,8.4,1892.0,11.8,28.2,70.3,6725.0,2018
Terrell County,Georgia,74.047856156973,13,273,8.6,271.0,3247.0,3262.0,8859.0,298.0,242.0,401.0,119.0,38015.0,40.9,0.4633,2300.0,12.3,1406.0,15.0,31.9,76.6,5272.0,2018
Thomas County,Georgia,75.1637298975083,13,275,8.1,938.0,17352.0,26869.0,44730.0,1567.0,1651.0,1689.0,318.0,40112.0,40.3,0.5078,11735.0,23.1,6389.0,17.6,20.8,82.6,16302.0,2018
Tift County,Georgia,74.6252663476572,13,277,2.9,1370.0,15058.0,26243.0,40510.0,1195.0,4661.0,1450.0,372.0,42790.0,35.5,0.4615,10322.0,16.5,6175.0,15.0,24.7,81.8,12200.0,2018
Toombs County,Georgia,74.1398277610655,13,279,10.3,792.0,10403.0,16920.0,27048.0,822.0,3133.0,1097.0,116.0,36575.0,36.4,0.5548,6716.0,15.8,4288.0,16.6,23.7,80.9,6968.0,2018
Towns County,Georgia,77.9839741536435,13,281,5.5,102.0,4777.0,10887.0,11417.0,171.0,140.0,166.0,62.0,43927.0,53.7,0.4485,3142.0,26.2,917.0,18.6,15.8,89.2,135.0,2018
Treutlen County,Georgia,75.0736767341149,13,283,5.7,153.0,2641.0,4900.0,6777.0,93.0,122.0,159.0,84.0,37606.0,39.7,0.5227,1772.0,13.6,768.0,21.2,21.2,74.5,1840.0,2018
Troup County,Georgia,75.2128793509429,13,285,7.9,1899.0,24843.0,40993.0,69774.0,2750.0,2563.0,2724.0,451.0,43850.0,36.3,0.4681,16947.0,18.5,10611.0,16.6,20.5,82.9,24934.0,2018
Turner County,Georgia,72.8231013731621,13,287,6.1,171.0,3023.0,4371.0,7962.0,391.0,131.0,350.0,58.0,38341.0,38.8,0.4823,2215.0,12.5,982.0,17.8,35.3,82.4,3423.0,2018
Twiggs County,Georgia,74.0962727293491,13,289,6.9,104.0,3031.0,4605.0,8284.0,36.0,40.0,216.0,182.0,33037.0,46.2,0.4918,1925.0,9.4,626.0,21.3,26.1,70.8,3510.0,2018
Union County,Georgia,78.5498245366418,13,291,3.7,211.0,9070.0,22076.0,22775.0,343.0,728.0,532.0,222.0,44978.0,53.9,0.4698,6425.0,22.4,2001.0,18.1,14.4,88.9,148.0,2018
Upson County,Georgia,73.1031799879218,13,293,8.2,856.0,10204.0,18160.0,26216.0,761.0,600.0,648.0,203.0,36529.0,41.7,0.4835,6304.0,13.7,3489.0,15.7,22.3,79.9,7369.0,2018
Walker County,Georgia,75.0218016901729,13,295,6.4,733.0,25709.0,63382.0,68824.0,1536.0,1439.0,1452.0,413.0,43650.0,41.4,0.4598,18448.0,15.9,7216.0,18.3,17.7,81.9,2817.0,2018
Walton County,Georgia,76.6433835473526,13,297,6.0,677.0,31133.0,70380.0,90132.0,2154.0,3784.0,2194.0,312.0,58370.0,38.7,0.4277,24158.0,19.9,8311.0,12.2,12.9,87.3,15327.0,2018
Ware County,Georgia,73.6383080835926,13,299,3.5,791.0,13901.0,22986.0,35599.0,1004.0,1460.0,1110.0,380.0,39887.0,38.4,0.4574,9254.0,13.9,4864.0,17.4,23.7,82.9,10621.0,2018
Warren County,Georgia,74.5589380253612,13,301,8.0,276.0,2332.0,1996.0,5346.0,193.0,23.0,206.0,97.0,34730.0,45.2,0.5242,1440.0,13.4,754.0,13.2,26.3,73.5,3267.0,2018
Washington County,Georgia,75.3804160644681,13,303,7.4,344.0,7359.0,9123.0,20461.0,521.0,496.0,660.0,247.0,38092.0,40.6,0.462,5172.0,14.0,2452.0,17.9,26.6,80.2,10845.0,2018
Wayne County,Georgia,73.9559274718921,13,305,7.6,656.0,10353.0,22340.0,29767.0,530.0,1853.0,601.0,252.0,44869.0,38.2,0.4679,7110.0,12.9,3739.0,16.3,19.6,81.9,5935.0,2018
Webster County,Georgia,78.50575430382,13,307,2.2,44.0,1101.0,1327.0,2613.0,23.0,250.0,106.0,38.0,35755.0,45.0,0.4813,721.0,11.7,230.0,15.2,25.3,77.5,1045.0,2018
Wheeler County,Georgia,77.5803002823704,13,309,11.0,192.0,1937.0,4516.0,7939.0,83.0,101.0,62.0,44.0,27626.0,38.2,0.4435,1172.0,12.8,747.0,14.5,26.8,78.0,3379.0,2018
White County,Georgia,78.8922112158044,13,311,4.2,83.0,11588.0,27274.0,28928.0,464.0,909.0,427.0,194.0,46288.0,46.1,0.426,8398.0,21.4,2875.0,16.4,13.8,85.1,417.0,2018
Whitfield County,Georgia,77.3776211235376,13,313,6.3,1697.0,36043.0,92143.0,103849.0,2060.0,35864.0,2383.0,535.0,46970.0,36.0,0.4651,25806.0,15.7,13302.0,10.9,17.8,69.4,4110.0,2018
Wilcox County,Georgia,75.3781742309209,13,315,7.0,57.0,2606.0,5556.0,8846.0,110.0,399.0,161.0,70.0,36077.0,39.5,0.4481,1730.0,11.4,626.0,15.7,22.0,82.3,3122.0,2018
Wilkes County,Georgia,74.6975332268248,13,317,4.3,269.0,3879.0,5284.0,9884.0,289.0,475.0,323.0,229.0,35106.0,46.1,0.507,2416.0,12.6,1331.0,17.6,23.9,80.5,4198.0,2018
Wilkinson County,Georgia,74.0332879546364,13,319,7.2,145.0,3237.0,5355.0,9078.0,122.0,251.0,202.0,113.0,37583.0,41.8,0.4885,2156.0,10.6,799.0,15.0,25.0,84.5,3567.0,2018
Worth County,Georgia,75.5140896562059,13,321,6.5,358.0,8038.0,14104.0,20656.0,580.0,431.0,918.0,159.0,46076.0,41.1,0.4406,5977.0,10.4,2699.0,17.5,20.8,81.3,5833.0,2018
Hawaii County,Hawaii,80.0262975905518,15,1,5.9,2046.0,68412.0,66145.0,197658.0,5122.0,25014.0,3808.0,1369.0,59297.0,42.3,0.4742,45716.0,29.5,22645.0,13.7,16.6,92.4,1342.0,2018
Honolulu County,Hawaii,81.6669639071556,15,3,4.3,22547.0,311525.0,207525.0,987638.0,38841.0,96562.0,13691.0,7812.0,82906.0,37.6,0.4318,219572.0,34.3,137828.0,10.9,8.7,91.7,23472.0,2018
Kauai County,Hawaii,81.579885664621,15,7,4.0,588.0,22524.0,23219.0,71377.0,1440.0,7802.0,841.0,395.0,78482.0,42.4,0.4206,15711.0,29.5,8313.0,9.9,8.5,91.8,482.0,2018
Kalawao County,Hawaii,81.8844793956315,15,5,0.0,10.0,47.0,16.0,75.0,0.0,2.0,0.0,0.0,61875.0,57.1,0.3589,8.0,24.6,45.0,24.3,10.6,87.0,2.0,2018
Maui County,Hawaii,81.8844793956315,15,9,4.4,2112.0,54274.0,58707.0,165281.0,4659.0,18582.0,2885.0,700.0,77117.0,41.1,0.443,38062.0,26.6,21589.0,10.8,9.7,92.0,968.0,2018
Ada County,Idaho,80.7694769978456,16,1,3.8,4644.0,168741.0,404644.0,446052.0,11353.0,35838.0,8064.0,1787.0,63137.0,36.7,0.4659,106718.0,37.8,53372.0,10.2,11.0,95.1,6204.0,2018
Adams County,Idaho,80.5140845182445,16,3,11.1,41.0,1675.0,3852.0,4019.0,29.0,141.0,81.0,14.0,45319.0,54.2,0.4228,1115.0,19.1,325.0,22.9,11.4,89.6,11.0,2018
Bannock County,Idaho,77.1614821139865,16,5,6.2,1254.0,30841.0,76402.0,85065.0,2168.0,7191.0,1677.0,482.0,49739.0,33.3,0.4473,20369.0,27.2,9797.0,16.2,17.0,91.9,568.0,2018
Bear Lake County,Idaho,78.9404788606559,16,7,3.1,65.0,2350.0,5644.0,5962.0,74.0,249.0,112.0,25.0,54265.0,39.3,0.3919,1762.0,20.3,547.0,13.6,16.9,93.8,21.0,2018
Benewah County,Idaho,76.1593876081303,16,9,8.8,116.0,3346.0,7893.0,9086.0,102.0,321.0,175.0,57.0,46507.0,46.1,0.4253,2213.0,15.1,899.0,20.0,16.7,88.3,6.0,2018
Bingham County,Idaho,77.7202562915435,16,11,4.3,265.0,14772.0,37653.0,45551.0,517.0,8186.0,848.0,82.0,51288.0,33.5,0.3951,10920.0,20.7,3598.0,14.0,12.5,87.5,122.0,2018
Blaine County,Idaho,83.6103577262114,16,13,1.9,217.0,8190.0,20924.0,21994.0,426.0,4798.0,623.0,49.0,51968.0,43.2,0.4853,4994.0,38.2,2481.0,9.5,14.0,88.4,81.0,2018
Boise County,Idaho,81.7291404884041,16,15,6.4,20.0,3110.0,6769.0,7163.0,73.0,310.0,106.0,97.0,53942.0,53.0,0.4139,2176.0,27.2,502.0,14.4,13.1,93.7,16.0,2018
Bonner County,Idaho,79.4441967824983,16,17,3.7,516.0,17584.0,40713.0,42711.0,1064.0,1282.0,780.0,250.0,48710.0,47.8,0.4564,11880.0,23.1,4507.0,16.6,14.7,90.8,127.0,2018
Bonneville County,Idaho,78.2502720007639,16,19,3.8,1297.0,39000.0,99868.0,112397.0,2331.0,14482.0,2390.0,497.0,56609.0,32.7,0.4539,28273.0,30.1,11709.0,14.2,12.1,91.7,608.0,2018
Boundary County,Idaho,79.229849021604,16,21,3.9,35.0,4605.0,10863.0,11549.0,157.0,567.0,121.0,84.0,43507.0,43.5,0.4811,2850.0,19.0,1149.0,14.3,16.8,92.0,33.0,2018
Butte County,Idaho,78.8272499122227,16,23,5.8,24.0,1050.0,2581.0,2602.0,10.0,71.0,41.0,13.0,42250.0,48.1,0.4672,705.0,18.2,166.0,16.1,16.2,95.0,4.0,2018
Camas County,Idaho,80.5430590963083,16,25,3.0,3.0,357.0,884.0,886.0,17.0,8.0,8.0,0.0,38393.0,46.3,0.5543,213.0,19.5,89.0,14.6,23.3,93.6,0.0,2018
Canyon County,Idaho,79.0079948992091,16,27,6.5,1811.0,70847.0,180454.0,212230.0,3764.0,53357.0,4854.0,799.0,49143.0,33.4,0.41,49562.0,18.3,22557.0,13.9,15.2,84.6,715.0,2018
Caribou County,Idaho,78.036370392902,16,29,2.1,53.0,2618.0,6611.0,6918.0,24.0,387.0,70.0,98.0,59611.0,36.9,0.41,1879.0,19.9,531.0,13.0,8.5,92.2,0.0,2018
Cassia County,Idaho,77.9808446471502,16,31,3.2,217.0,7904.0,21998.0,23615.0,317.0,6417.0,529.0,89.0,50918.0,32.2,0.4133,6142.0,18.6,2396.0,13.7,14.3,82.5,46.0,2018
Clearwater County,Idaho,78.6461240911162,16,35,5.5,84.0,3707.0,8033.0,8640.0,136.0,356.0,110.0,38.0,42348.0,50.2,0.4285,2287.0,16.9,881.0,21.9,13.4,89.5,33.0,2018
Custer County,Idaho,80.1625621970769,16,37,4.7,9.0,1761.0,3834.0,4141.0,83.0,184.0,85.0,0.0,39957.0,53.3,0.4582,1140.0,23.0,444.0,22.7,20.6,89.4,4.0,2018
Elmore County,Idaho,78.1026082997708,16,39,7.0,308.0,10285.0,22911.0,26433.0,587.0,4406.0,579.0,183.0,46715.0,31.9,0.4138,7054.0,16.4,4313.0,13.9,13.8,89.4,687.0,2018
Franklin County,Idaho,79.2699814741995,16,41,1.4,70.0,4294.0,12778.0,13279.0,125.0,891.0,210.0,24.0,56613.0,33.4,0.3703,3498.0,18.1,824.0,14.2,11.8,91.2,32.0,2018
Fremont County,Idaho,79.6161181213554,16,43,6.4,32.0,4309.0,12253.0,12965.0,105.0,1628.0,152.0,42.0,53311.0,36.8,0.3859,3484.0,20.9,806.0,13.0,12.7,87.7,40.0,2018
Gem County,Idaho,77.8100875126734,16,45,4.5,280.0,6583.0,15358.0,17052.0,385.0,1418.0,568.0,56.0,43001.0,45.1,0.4184,4441.0,14.8,1747.0,19.6,18.3,87.9,0.0,2018
Gooding County,Idaho,78.616613440821,16,47,4.4,151.0,5419.0,14032.0,15169.0,133.0,4413.0,295.0,65.0,48638.0,37.8,0.4027,3851.0,15.2,1720.0,13.2,15.9,79.8,15.0,2018
Idaho County,Idaho,79.7105919313918,16,49,4.9,79.0,6466.0,15256.0,16337.0,266.0,540.0,209.0,183.0,39113.0,50.0,0.4223,4244.0,20.2,1426.0,22.9,14.6,90.6,33.0,2018
