County,State,mean_life_expectancy,State_FIPS,County_FIPS,Black Population,High School Degree or Higher (%),Poverty Rate,Disability Rate,Rent Denominator,Gini Index,Median Age,Bachelor's Degree or Higher (%),Total Families,Total Families (Single Mother),Median Household Income,No Vehicle (Owner),Hispanic Population,Rent Burden Count (+50%),Total Population,White Population,No Vehicle (Renter),Unemployment Rate,Total Occupied Households,Year
Boone County,Illinois,79.5114723099561,17,7,1149.0,86.1,11.1,10.4,3856.0,0.4342,38.3,21.5,13866.0,1465.0,60063.0,300.0,11020.0,724.0,53656.0,46967.0,550.0,8.4,18405.0,2016
Brown County,Illinois,78.0586273250647,17,9,1262.0,85.9,11.7,11.3,480.0,0.4286,37.4,14.3,1346.0,118.0,52500.0,29.0,249.0,23.0,6836.0,5441.0,101.0,5.1,2130.0,2016
Bureau County,Illinois,78.4850004015145,17,11,236.0,90.7,13.1,13.4,3415.0,0.4246,43.6,18.8,9470.0,934.0,51425.0,230.0,2874.0,667.0,33822.0,32130.0,611.0,6.9,14017.0,2016
Calhoun County,Illinois,78.7872842736101,17,13,7.0,91.8,12.4,17.0,355.0,0.4025,46.7,15.0,1368.0,56.0,52949.0,31.0,52.0,60.0,4962.0,4892.0,78.0,5.7,1936.0,2016
Carroll County,Illinois,78.5419586257175,17,15,191.0,90.7,11.4,14.5,1624.0,0.4195,47.7,16.4,4198.0,287.0,50052.0,87.0,503.0,271.0,14793.0,14193.0,283.0,6.1,6649.0,2016
Cass County,Illinois,76.7163352786374,17,17,577.0,85.6,13.9,13.1,1417.0,0.4237,40.1,13.8,3372.0,351.0,48887.0,97.0,2411.0,184.0,13068.0,11748.0,230.0,8.8,5124.0,2016
Champaign County,Illinois,80.4425235584885,17,19,25974.0,94.7,21.6,8.5,36180.0,0.5,29.5,43.9,42766.0,5103.0,48899.0,1010.0,11579.0,11000.0,206420.0,150806.0,8346.0,5.4,80442.0,2016
Christian County,Illinois,76.9221215038543,17,21,524.0,88.0,13.6,14.3,3512.0,0.4182,42.5,15.1,8951.0,994.0,47417.0,315.0,512.0,438.0,33888.0,32714.0,491.0,5.0,13901.0,2016
Clark County,Illinois,76.5410816166663,17,23,72.0,89.8,16.3,16.7,1696.0,0.4302,43.1,16.5,4505.0,439.0,48693.0,94.0,227.0,204.0,16089.0,15646.0,138.0,8.9,6673.0,2016
Clay County,Illinois,76.6835522550341,17,25,84.0,88.5,14.1,19.0,1253.0,0.4092,43.1,14.8,3844.0,411.0,45984.0,85.0,182.0,129.0,13466.0,13173.0,184.0,5.9,5588.0,2016
Clinton County,Illinois,79.20363790919,17,27,1283.0,89.4,9.5,13.4,2469.0,0.4105,40.1,21.2,9511.0,628.0,63929.0,286.0,1154.0,495.0,37858.0,35539.0,318.0,4.8,14012.0,2016
Coles County,Illinois,77.981866044557,17,29,1940.0,90.2,21.9,13.5,8160.0,0.5001,33.6,25.3,12451.0,1386.0,38800.0,306.0,1224.0,2320.0,52802.0,49104.0,1121.0,7.4,21094.0,2016
Cook County,Illinois,79.177654597965,17,31,1248948.0,85.8,16.7,10.3,846438.0,0.5048,36.1,36.5,1185605.0,142349.0,56902.0,72714.0,1300843.0,217445.0,5227575.0,2965530.0,275484.0,9.7,1951606.0,2016
Crawford County,Illinois,77.1045974700904,17,33,818.0,89.0,12.3,16.3,1571.0,0.4552,42.5,17.2,4983.0,365.0,47364.0,161.0,415.0,295.0,19441.0,18055.0,231.0,6.7,7597.0,2016
Cumberland County,Illinois,78.4085527012416,17,35,20.0,88.8,16.3,18.2,853.0,0.3989,41.6,14.8,2874.0,269.0,44281.0,112.0,155.0,105.0,10890.0,10709.0,127.0,6.2,4208.0,2016
DeKalb County,Illinois,79.5824526610323,17,37,7187.0,92.6,18.2,9.7,15899.0,0.4311,30.5,30.8,22883.0,2666.0,56076.0,481.0,11166.0,4535.0,104458.0,87701.0,1793.0,9.4,37367.0,2016
De Witt County,Illinois,76.8337015871046,17,39,55.0,91.7,12.0,12.1,1446.0,0.417,43.3,20.4,4399.0,292.0,53510.0,83.0,393.0,172.0,16322.0,15686.0,160.0,7.2,6721.0,2016
Douglas County,Illinois,78.578043057421,17,41,58.0,84.0,11.4,10.7,1998.0,0.4254,38.0,19.1,5072.0,355.0,52984.0,385.0,1399.0,300.0,19770.0,19096.0,384.0,5.3,7562.0,2016
DuPage County,Illinois,82.0692152925835,17,43,43791.0,92.4,7.0,8.2,91832.0,0.4563,38.9,47.3,238201.0,15817.0,81521.0,5017.0,129964.0,19454.0,930514.0,734032.0,9067.0,6.1,338987.0,2016
Edgar County,Illinois,76.4832830443027,17,45,80.0,87.8,16.2,15.9,1976.0,0.4399,44.1,18.0,5367.0,498.0,46440.0,209.0,198.0,434.0,17828.0,17479.0,338.0,9.4,7644.0,2016
Edwards County,Illinois,76.7342311362719,17,47,25.0,89.0,11.7,15.5,476.0,0.4259,43.6,12.0,1783.0,171.0,47035.0,58.0,61.0,37.0,6612.0,6442.0,72.0,7.2,2768.0,2016
Effingham County,Illinois,77.9767885635955,17,49,151.0,91.1,10.8,13.1,2888.0,0.4401,39.2,22.5,8849.0,658.0,52977.0,283.0,648.0,292.0,34356.0,33551.0,378.0,4.9,13316.0,2016
Fayette County,Illinois,78.106699152885,17,51,985.0,82.5,16.1,16.9,1366.0,0.4266,40.4,13.6,5343.0,334.0,44745.0,179.0,461.0,245.0,22025.0,20590.0,229.0,8.0,7650.0,2016
Ford County,Illinois,76.3461784370539,17,53,115.0,88.8,14.0,16.7,1527.0,0.416,43.4,17.4,3618.0,387.0,49257.0,153.0,394.0,158.0,13758.0,13403.0,143.0,7.5,5666.0,2016
Franklin County,Illinois,74.6773649119244,17,55,241.0,87.7,19.2,19.7,4455.0,0.4443,41.9,15.3,10074.0,1096.0,39507.0,482.0,603.0,849.0,39503.0,38420.0,913.0,10.7,16180.0,2016
Fulton County,Illinois,76.6405488919485,17,57,1291.0,87.6,15.6,14.9,3290.0,0.416,42.4,16.4,9311.0,1007.0,46183.0,314.0,982.0,668.0,36047.0,34017.0,618.0,7.8,14131.0,2016
Gallatin County,Illinois,73.9122499854368,17,59,17.0,86.2,16.2,22.1,509.0,0.4345,44.7,11.5,1529.0,167.0,41269.0,37.0,35.0,51.0,5325.0,5131.0,80.0,9.1,2295.0,2016
Greene County,Illinois,76.7695015391874,17,61,147.0,86.1,17.4,15.8,1215.0,0.4228,42.5,11.2,3536.0,299.0,42880.0,115.0,149.0,151.0,13390.0,13038.0,179.0,7.9,5278.0,2016
Grundy County,Illinois,78.2178257938286,17,63,808.0,92.9,9.8,10.9,4855.0,0.4064,37.2,21.8,13431.0,1036.0,67162.0,344.0,4584.0,1068.0,50338.0,47309.0,381.0,7.5,18509.0,2016
Hamilton County,Illinois,76.9865488951621,17,65,41.0,89.8,15.0,16.3,706.0,0.4368,43.0,15.7,2336.0,147.0,45076.0,55.0,22.0,129.0,8251.0,8192.0,90.0,4.3,3394.0,2016
Hancock County,Illinois,79.4812074748106,17,67,91.0,92.5,11.5,13.5,1618.0,0.4005,46.4,19.6,5331.0,333.0,50077.0,185.0,253.0,159.0,18633.0,18195.0,170.0,6.8,7726.0,2016
Hardin County,Illinois,74.2768899187106,17,69,115.0,83.2,18.8,27.2,275.0,0.472,46.1,11.3,980.0,39.0,39926.0,29.0,71.0,47.0,4173.0,3904.0,93.0,18.1,1506.0,2016
Henderson County,Illinois,78.3259201419375,17,71,7.0,88.9,10.6,17.0,651.0,0.4194,49.2,13.3,2036.0,243.0,46216.0,53.0,101.0,66.0,6966.0,6796.0,43.0,7.5,3054.0,2016
Henry County,Illinois,78.859616056202,17,73,908.0,88.9,12.3,12.3,4493.0,0.4205,42.3,21.3,13864.0,1021.0,54757.0,284.0,2706.0,650.0,49681.0,46507.0,748.0,5.3,20131.0,2016
Iroquois County,Illinois,76.1965274414115,17,75,359.0,88.7,16.1,14.4,2810.0,0.4301,44.3,14.6,7973.0,680.0,47823.0,166.0,1827.0,476.0,28814.0,27048.0,361.0,6.7,11899.0,2016
Jackson County,Illinois,78.2164627314215,17,77,8510.0,92.3,28.3,13.1,11378.0,0.5375,30.8,35.9,12051.0,1388.0,33845.0,392.0,2460.0,3769.0,59188.0,45785.0,2267.0,9.0,23663.0,2016
Jasper County,Illinois,78.6356563559491,17,79,64.0,90.1,8.2,16.3,621.0,0.3814,42.8,18.3,2605.0,144.0,56305.0,72.0,123.0,175.0,9592.0,9461.0,24.0,4.0,3719.0,2016
Jefferson County,Illinois,76.4753562627206,17,81,3200.0,85.9,17.7,18.4,4100.0,0.4496,40.9,16.4,9756.0,1072.0,43467.0,436.0,898.0,719.0,38523.0,33797.0,829.0,9.4,15189.0,2016
Jersey County,Illinois,76.9875632086643,17,83,64.0,91.2,9.1,13.2,1811.0,0.4125,42.4,18.4,6156.0,595.0,52738.0,176.0,285.0,271.0,22441.0,21806.0,202.0,7.9,8760.0,2016
Jo Daviess County,Illinois,80.7306385693572,17,85,89.0,92.0,9.3,12.2,2083.0,0.4259,48.6,24.1,6441.0,492.0,54702.0,149.0,652.0,340.0,22186.0,21648.0,397.0,4.9,9611.0,2016
Johnson County,Illinois,77.8516000485313,17,87,1245.0,83.4,12.6,17.3,771.0,0.4275,42.9,16.7,3057.0,185.0,44179.0,82.0,436.0,117.0,12866.0,11439.0,162.0,8.9,4503.0,2016
Kane County,Illinois,81.1607006643239,17,89,29545.0,83.1,11.0,8.2,46643.0,0.4417,36.2,32.1,129475.0,10996.0,71602.0,2756.0,165114.0,11334.0,526615.0,381666.0,5503.0,6.9,173718.0,2016
Kankakee County,Illinois,76.9855990463622,17,91,16908.0,87.3,15.7,16.5,12607.0,0.4194,37.4,19.0,27263.0,3495.0,54697.0,950.0,10975.0,3234.0,111493.0,89149.0,2035.0,8.4,40480.0,2016
Kendall County,Illinois,81.0831301128255,17,93,7933.0,93.2,5.4,7.2,7123.0,0.3532,34.4,34.3,31251.0,2866.0,85736.0,225.0,20608.0,1376.0,121452.0,100946.0,355.0,5.3,39275.0,2016
Knox County,Illinois,76.5282102063254,17,95,4400.0,88.0,17.6,16.4,7317.0,0.4467,42.1,18.1,12020.0,1359.0,40605.0,380.0,2778.0,1377.0,51752.0,44825.0,1649.0,6.8,21146.0,2016
Lake County,Illinois,81.2638943061807,17,97,48091.0,89.8,8.9,8.5,64469.0,0.4844,37.8,43.7,178965.0,15395.0,79886.0,3079.0,146608.0,13557.0,702890.0,560871.0,8083.0,7.0,243276.0,2016
LaSalle County,Illinois,77.0637020119413,17,99,2732.0,88.4,13.9,13.2,12127.0,0.4253,41.8,17.0,29340.0,2603.0,51684.0,747.0,10126.0,2745.0,111935.0,105539.0,1972.0,9.6,44368.0,2016
Lawrence County,Illinois,75.5270625661644,17,101,2706.0,78.1,16.0,21.2,1553.0,0.4044,39.6,10.1,3817.0,350.0,42650.0,130.0,806.0,237.0,16582.0,13351.0,167.0,5.6,5557.0,2016
Lee County,Illinois,77.9727745680027,17,103,1767.0,88.3,12.0,13.7,3613.0,0.4332,42.7,17.7,8851.0,743.0,55067.0,238.0,1989.0,612.0,34718.0,31520.0,544.0,6.4,13506.0,2016
Livingston County,Illinois,76.8591643161108,17,105,1641.0,88.3,12.8,14.6,4089.0,0.4328,41.2,15.2,9648.0,946.0,54074.0,213.0,1602.0,815.0,37278.0,34466.0,731.0,6.1,14525.0,2016
Logan County,Illinois,77.3058681515721,17,107,3056.0,87.4,12.5,15.2,3462.0,0.4114,40.0,18.4,7211.0,744.0,52676.0,279.0,995.0,429.0,29820.0,24020.0,434.0,7.1,11016.0,2016
McDonough County,Illinois,78.6507974340575,17,109,1709.0,92.8,23.5,12.3,4052.0,0.4807,30.7,33.5,6542.0,661.0,41484.0,213.0,847.0,1105.0,31727.0,28665.0,756.0,9.3,11841.0,2016
McHenry County,Illinois,80.2794500597363,17,111,4007.0,92.6,7.8,8.6,23187.0,0.4004,39.6,33.2,82034.0,5857.0,79836.0,1646.0,37727.0,4918.0,307083.0,283564.0,1970.0,6.5,110109.0,2016
McLean County,Illinois,79.8233846113779,17,113,14247.0,95.6,14.2,9.2,23131.0,0.4497,32.6,44.5,40841.0,3367.0,63420.0,916.0,8107.0,6012.0,173254.0,144534.0,3143.0,4.7,65956.0,2016
Macon County,Illinois,77.0315948840164,17,115,15319.0,89.6,18.7,15.1,13884.0,0.466,40.7,22.8,27612.0,3825.0,47477.0,1211.0,2285.0,3100.0,108404.0,84943.0,3199.0,10.1,44860.0,2016
Macoupin County,Illinois,77.1909889818966,17,117,254.0,90.0,13.0,15.8,4232.0,0.4158,43.0,18.2,12854.0,1065.0,52337.0,331.0,486.0,1002.0,46482.0,45088.0,645.0,9.4,18754.0,2016
Madison County,Illinois,76.6833049966821,17,119,22009.0,92.6,13.2,12.5,31228.0,0.4396,39.7,25.7,69843.0,7027.0,54573.0,1928.0,8133.0,6528.0,266759.0,235054.0,5042.0,8.2,107014.0,2016
Marion County,Illinois,74.968913889049,17,121,1354.0,88.5,18.3,17.8,3974.0,0.428,41.6,15.0,10468.0,1236.0,43427.0,454.0,687.0,856.0,38503.0,35800.0,717.0,9.1,15841.0,2016
Marshall County,Illinois,76.8052116331298,17,123,44.0,91.8,9.9,13.0,820.0,0.4022,46.4,16.1,3222.0,186.0,54189.0,128.0,370.0,141.0,12060.0,11718.0,75.0,5.9,4953.0,2016
Mason County,Illinois,76.3262280785189,17,125,104.0,87.3,15.5,15.8,1465.0,0.4312,45.1,14.3,3958.0,426.0,43125.0,153.0,140.0,236.0,13931.0,13610.0,236.0,10.1,6084.0,2016
Massac County,Illinois,74.8319035581934,17,127,955.0,85.0,18.8,20.1,1458.0,0.451,44.0,13.3,3774.0,365.0,42706.0,208.0,381.0,420.0,14883.0,13541.0,336.0,7.8,5951.0,2016
Menard County,Illinois,78.316351851309,17,129,87.0,91.9,12.7,13.1,1247.0,0.4349,42.6,23.9,3681.0,302.0,60420.0,52.0,173.0,231.0,12576.0,12227.0,166.0,5.7,5219.0,2016
Mercer County,Illinois,78.450379280445,17,131,87.0,91.9,10.3,12.5,1452.0,0.3994,44.8,17.5,4551.0,345.0,55750.0,114.0,336.0,217.0,15971.0,15583.0,235.0,6.1,6567.0,2016
Monroe County,Illinois,80.5515356141449,17,133,99.0,95.4,4.4,10.1,2200.0,0.4133,42.3,29.8,9904.0,458.0,72956.0,198.0,495.0,374.0,33703.0,32907.0,268.0,4.6,13030.0,2016
Montgomery County,Illinois,77.1588109164219,17,135,2347.0,86.0,15.4,14.5,2555.0,0.4421,42.4,13.9,7483.0,826.0,45173.0,300.0,498.0,440.0,29301.0,26345.0,382.0,5.7,11287.0,2016
Morgan County,Illinois,77.264868465187,17,137,2067.0,90.8,15.0,14.5,4185.0,0.4343,41.1,20.6,8878.0,1050.0,47760.0,253.0,795.0,837.0,34801.0,31708.0,680.0,7.2,13797.0,2016
Moultrie County,Illinois,77.4396263799289,17,139,54.0,84.1,12.1,11.1,1418.0,0.4005,40.7,17.1,3962.0,359.0,51432.0,327.0,170.0,212.0,14915.0,14656.0,279.0,4.0,5804.0,2016
Ogle County,Illinois,78.7558134573112,17,141,540.0,88.3,10.9,12.3,5020.0,0.4152,41.8,19.8,13849.0,1144.0,55832.0,457.0,4990.0,891.0,52034.0,49110.0,640.0,6.5,20782.0,2016
Peoria County,Illinois,77.3137639343974,17,143,32531.0,90.3,16.5,11.3,26483.0,0.4662,36.9,29.8,45735.0,6139.0,51632.0,1299.0,8356.0,5907.0,186818.0,137377.0,6087.0,8.2,75406.0,2016
Perry County,Illinois,76.8986080238477,17,145,1823.0,84.9,16.1,16.0,2024.0,0.4669,41.6,13.4,5124.0,591.0,43308.0,140.0,638.0,540.0,21595.0,19236.0,293.0,6.6,8089.0,2016
Piatt County,Illinois,79.0893781017308,17,147,65.0,95.2,5.7,11.2,1112.0,0.3966,43.3,29.9,4840.0,284.0,69160.0,70.0,207.0,208.0,16469.0,16036.0,85.0,6.3,6658.0,2016
Pike County,Illinois,77.5391374004315,17,149,208.0,87.9,14.4,16.3,1469.0,0.4184,42.5,15.3,4311.0,346.0,40157.0,154.0,202.0,206.0,16054.0,15531.0,219.0,6.6,6615.0,2016
Pope County,Illinois,77.791777764723,17,151,206.0,87.2,14.9,27.3,246.0,0.4138,50.6,13.7,1019.0,63.0,39243.0,49.0,84.0,34.0,4255.0,3915.0,45.0,8.5,1589.0,2016
Pulaski County,Illinois,74.3373625202228,17,153,1808.0,82.7,18.3,24.3,598.0,0.4569,43.5,11.0,1323.0,121.0,32538.0,107.0,113.0,108.0,5792.0,3763.0,180.0,11.9,2285.0,2016
Putnam County,Illinois,78.9806875406341,17,155,20.0,91.6,10.4,11.8,491.0,0.4136,46.4,14.4,1655.0,115.0,64085.0,42.0,287.0,68.0,5746.0,5595.0,16.0,5.8,2440.0,2016
Randolph County,Illinois,77.3287862451738,17,157,3456.0,84.5,11.1,15.2,2792.0,0.4205,41.4,13.0,7683.0,641.0,48343.0,254.0,984.0,481.0,32934.0,28765.0,340.0,5.2,11907.0,2016
Richland County,Illinois,77.319225987809,17,159,91.0,87.3,14.7,17.8,1741.0,0.4289,42.1,20.6,3981.0,326.0,45597.0,104.0,245.0,297.0,16072.0,15604.0,333.0,5.6,6452.0,2016
Rock Island County,Illinois,78.0116277482826,17,161,14066.0,88.6,15.1,13.0,18576.0,0.4351,40.1,22.0,37467.0,4811.0,50208.0,1222.0,18092.0,3959.0,146536.0,120109.0,3635.0,7.7,60098.0,2016
Saint Clair County,Illinois,76.3596825304911,17,163,79402.0,90.5,17.6,12.9,35532.0,0.4782,37.8,26.1,67542.0,9900.0,50006.0,2617.0,10008.0,8519.0,265569.0,172396.0,7169.0,8.3,102672.0,2016
Saline County,Illinois,73.7691044182752,17,165,831.0,86.1,22.3,20.9,2827.0,0.4621,42.0,16.0,6696.0,765.0,40290.0,242.0,405.0,507.0,24659.0,22975.0,638.0,12.4,10010.0,2016
Sangamon County,Illinois,77.7580162846626,17,167,25155.0,92.2,15.2,13.8,25226.0,0.4565,39.9,34.3,50485.0,6527.0,56742.0,1717.0,4217.0,6393.0,198639.0,163815.0,4824.0,7.5,82952.0,2016
Schuyler County,Illinois,77.7696985363822,17,169,349.0,88.8,20.1,17.4,540.0,0.3976,45.5,18.9,1914.0,144.0,48396.0,64.0,21.0,19.0,7205.0,6785.0,19.0,6.2,2962.0,2016
Scott County,Illinois,77.5001435607922,17,171,0.0,92.3,14.9,11.1,505.0,0.4508,43.3,12.1,1400.0,145.0,46210.0,48.0,60.0,62.0,5169.0,5078.0,75.0,9.7,2092.0,2016
Shelby County,Illinois,79.2590346745143,17,173,143.0,92.3,12.9,12.3,1807.0,0.3889,44.4,15.2,6424.0,504.0,48572.0,135.0,211.0,200.0,22011.0,21656.0,266.0,5.4,9213.0,2016
Stark County,Illinois,76.8639705887918,17,175,42.0,87.7,13.4,16.2,422.0,0.4421,46.2,16.7,1574.0,108.0,52058.0,73.0,74.0,58.0,5840.0,5697.0,29.0,6.9,2381.0,2016
Stephenson County,Illinois,78.8250729716074,17,177,4310.0,90.7,15.9,14.2,5954.0,0.4265,44.6,17.9,12517.0,1608.0,45624.0,462.0,1588.0,1207.0,46283.0,39890.0,1312.0,8.5,19573.0,2016
Tazewell County,Illinois,78.3046000362719,17,179,1630.0,92.8,7.9,11.3,12984.0,0.4164,40.6,25.0,37309.0,3236.0,60178.0,792.0,2995.0,1873.0,135400.0,129963.0,1906.0,5.1,54612.0,2016
Union County,Illinois,75.9474691504219,17,181,124.0,85.6,15.5,17.7,1416.0,0.445,43.7,21.3,4652.0,293.0,45464.0,144.0,863.0,224.0,17458.0,16412.0,206.0,6.3,6771.0,2016
Vermilion County,Illinois,75.274542600159,17,183,10946.0,87.2,19.7,15.4,9775.0,0.4349,40.1,14.0,19967.0,2538.0,43552.0,759.0,3744.0,2162.0,79613.0,65911.0,2486.0,9.7,31540.0,2016
Wabash County,Illinois,77.8103306210694,17,185,117.0,89.4,12.0,18.1,1276.0,0.4268,42.6,17.2,3155.0,243.0,46871.0,120.0,200.0,215.0,11587.0,11192.0,230.0,8.6,4846.0,2016
Warren County,Illinois,78.052970113434,17,187,493.0,87.2,15.5,12.4,1767.0,0.4274,39.9,21.9,4530.0,436.0,44067.0,90.0,1595.0,208.0,17611.0,15836.0,291.0,8.1,6811.0,2016
Washington County,Illinois,78.6238004731137,17,189,115.0,90.7,11.2,12.3,1201.0,0.4241,42.8,20.9,3929.0,275.0,54936.0,80.0,208.0,182.0,14369.0,13896.0,69.0,5.4,5809.0,2016
Wayne County,Illinois,77.0058885735229,17,191,110.0,87.2,15.6,17.2,1502.0,0.4209,42.7,14.0,4684.0,283.0,46903.0,175.0,126.0,184.0,16517.0,16070.0,257.0,5.2,7037.0,2016
White County,Illinois,75.3174096816897,17,193,47.0,87.7,14.0,19.8,1510.0,0.4502,44.5,13.7,3996.0,360.0,43678.0,225.0,188.0,187.0,14410.0,14133.0,264.0,8.5,6183.0,2016
Whiteside County,Illinois,77.9962917333154,17,195,1135.0,88.7,11.4,15.4,5801.0,0.4185,42.8,17.3,15327.0,1332.0,49151.0,549.0,6669.0,1141.0,57155.0,52983.0,1168.0,6.8,23511.0,2016
Will County,Illinois,79.7280418889056,17,197,76513.0,90.8,7.7,8.8,42618.0,0.4097,37.0,33.5,170326.0,14260.0,77507.0,3065.0,113180.0,10212.0,685378.0,508499.0,5417.0,6.8,224959.0,2016
Williamson County,Illinois,76.6401081151474,17,199,2916.0,90.2,14.9,16.8,7535.0,0.4456,40.9,22.1,17937.0,2000.0,45902.0,523.0,1632.0,1368.0,67336.0,62148.0,1291.0,7.6,26711.0,2016
Winnebago County,Illinois,76.8256290913658,17,201,36120.0,87.4,15.5,13.8,39464.0,0.449,39.3,22.4,74799.0,10608.0,49468.0,1926.0,34439.0,9083.0,288896.0,227040.0,7489.0,10.5,114299.0,2016
Woodford County,Illinois,79.7635162804493,17,203,215.0,94.0,7.7,9.5,2611.0,0.4162,40.0,30.4,10700.0,619.0,68040.0,210.0,667.0,458.0,39123.0,37882.0,467.0,5.3,14489.0,2016
Adams County,Indiana,78.6099265181178,18,1,247.0,84.2,18.0,12.6,2893.0,0.4281,33.7,15.6,8537.0,740.0,47572.0,917.0,1533.0,560.0,34813.0,33743.0,402.0,5.5,12260.0,2016
Allen County,Indiana,77.2878082640271,18,3,42168.0,89.2,15.2,12.2,44688.0,0.4509,35.6,27.4,91811.0,11814.0,49574.0,2397.0,25810.0,9259.0,365565.0,290987.0,7212.0,7.0,141483.0,2016
Bartholomew County,Indiana,77.6073451562475,18,5,1522.0,90.3,12.6,12.6,9294.0,0.4285,37.9,29.7,20727.0,1883.0,55874.0,392.0,5079.0,1475.0,80203.0,69108.0,1015.0,5.2,31073.0,2016
Benton County,Indiana,77.5469173477013,18,7,80.0,89.7,12.8,17.5,927.0,0.3792,40.5,17.1,2316.0,171.0,48069.0,60.0,449.0,148.0,8709.0,8516.0,44.0,4.6,3388.0,2016
Blackford County,Indiana,75.5888736905433,18,9,75.0,87.0,12.0,20.5,1361.0,0.4147,43.4,11.0,3493.0,385.0,38791.0,112.0,176.0,228.0,12364.0,12036.0,327.0,8.3,5207.0,2016
Boone County,Indiana,78.4554827399822,18,11,807.0,93.2,6.1,10.3,5619.0,0.4816,38.9,44.5,17210.0,1250.0,72774.0,244.0,1603.0,1024.0,61884.0,58207.0,710.0,3.3,23427.0,2016
Brown County,Indiana,78.8506720563162,18,13,41.0,89.6,12.7,12.2,1202.0,0.4503,48.3,23.5,4201.0,307.0,56323.0,65.0,230.0,313.0,14965.0,14542.0,100.0,5.6,5953.0,2016
Carroll County,Indiana,79.2139932325925,18,15,90.0,88.0,10.8,15.5,1477.0,0.391,42.3,17.4,5423.0,335.0,54140.0,175.0,788.0,148.0,20007.0,19407.0,212.0,6.9,7770.0,2016
Cass County,Indiana,76.6051064309118,18,17,562.0,82.8,15.1,14.9,3542.0,0.4249,40.5,13.9,9580.0,925.0,43918.0,532.0,5391.0,568.0,38324.0,32533.0,593.0,7.6,14536.0,2016
Clark County,Indiana,75.1812411054194,18,19,7917.0,87.9,9.9,15.4,12339.0,0.4108,38.8,20.2,28370.0,2444.0,51844.0,721.0,5833.0,2535.0,113993.0,100506.0,1910.0,6.2,43074.0,2016
Clay County,Indiana,75.9353146182707,18,21,64.0,89.7,16.7,18.1,2621.0,0.406,40.4,16.9,7565.0,592.0,49735.0,315.0,344.0,605.0,26568.0,25848.0,297.0,6.4,10541.0,2016
Clinton County,Indiana,76.5071277999508,18,23,357.0,86.1,12.7,13.2,3252.0,0.3974,38.6,14.9,8203.0,665.0,50096.0,196.0,4812.0,439.0,32692.0,30571.0,415.0,6.0,11769.0,2016
Crawford County,Indiana,75.0800107708371,18,25,19.0,82.7,19.5,20.1,769.0,0.3955,43.3,9.8,2768.0,231.0,41173.0,64.0,154.0,115.0,10582.0,10322.0,131.0,6.3,4076.0,2016
Daviess County,Indiana,76.3032968127297,18,27,583.0,74.7,13.5,13.7,3042.0,0.4202,34.6,14.0,8310.0,593.0,47939.0,1056.0,1508.0,529.0,32583.0,31171.0,594.0,5.5,11483.0,2016
Dearborn County,Indiana,77.2870586893728,18,29,417.0,90.6,9.3,11.7,3919.0,0.4059,42.3,20.0,13673.0,908.0,60834.0,272.0,584.0,728.0,49552.0,48123.0,382.0,7.1,18639.0,2016
Decatur County,Indiana,76.6247351715522,18,31,149.0,89.1,13.0,14.0,2953.0,0.3806,39.1,18.2,7217.0,680.0,51185.0,165.0,486.0,338.0,26340.0,25387.0,206.0,5.3,10120.0,2016
DeKalb County,Indiana,77.0378053198773,18,33,153.0,89.7,12.8,15.4,3815.0,0.4212,38.9,17.4,11136.0,1041.0,50398.0,284.0,1144.0,538.0,42489.0,41184.0,564.0,6.2,16221.0,2016
Delaware County,Indiana,75.4997514237695,18,35,7124.0,89.5,22.0,16.5,16643.0,0.4583,35.1,23.3,27501.0,3324.0,39537.0,956.0,2481.0,5192.0,116463.0,103243.0,2581.0,9.4,46104.0,2016
Dubois County,Indiana,78.6895019771062,18,37,177.0,88.0,8.5,10.2,3792.0,0.4174,40.9,19.7,11490.0,660.0,55154.0,239.0,2831.0,531.0,42345.0,40218.0,356.0,2.9,16311.0,2016
Elkhart County,Indiana,78.2499079431819,18,39,11296.0,80.5,14.9,13.4,22142.0,0.416,35.3,18.3,50709.0,5810.0,49692.0,2348.0,30252.0,4630.0,201640.0,176160.0,4011.0,6.5,70822.0,2016
Fayette County,Indiana,73.3953876065298,18,41,578.0,81.2,19.3,18.9,2903.0,0.4405,42.4,10.7,6533.0,664.0,40851.0,301.0,231.0,642.0,23608.0,22721.0,597.0,9.2,9420.0,2016
Floyd County,Indiana,76.3538739785115,18,43,3937.0,89.4,12.1,13.6,8171.0,0.4495,40.0,26.9,19524.0,2164.0,57494.0,461.0,2270.0,1667.0,76290.0,68841.0,1381.0,6.4,29034.0,2016
Fountain County,Indiana,76.0295612675845,18,45,67.0,88.0,12.7,17.6,1823.0,0.438,42.5,14.5,4491.0,315.0,45924.0,145.0,395.0,202.0,16741.0,16356.0,148.0,8.0,6963.0,2016
Franklin County,Indiana,77.9516329836839,18,47,76.0,87.4,11.4,13.6,1843.0,0.4067,42.1,19.1,6584.0,447.0,52128.0,164.0,250.0,206.0,22887.0,22410.0,165.0,6.0,8710.0,2016
Fulton County,Indiana,75.7269390916714,18,49,184.0,84.9,14.0,16.3,1778.0,0.43,41.5,13.7,5278.0,289.0,46310.0,210.0,994.0,296.0,20412.0,19256.0,287.0,6.0,7962.0,2016
Gibson County,Indiana,77.2974658951101,18,51,614.0,90.1,11.0,15.2,3048.0,0.4213,40.3,15.6,9180.0,704.0,49669.0,266.0,483.0,472.0,33684.0,32046.0,305.0,3.9,13297.0,2016
