County,State,mean_life_expectancy,State_FIPS,County_FIPS,total_population
Matanuska-Susitna Borough,Alaska,78.3611817093364,02,170,93843.0
Nome Census Area,Alaska,71.1118591784878,02,180,9792.0
North Slope Borough,Alaska,75.4534450228025,02,185,9618.0
Sitka City and Borough,Alaska,79.8800680903336,02,220,8957.0
Southeast Fairbanks Census Area,Alaska,77.5604698374025,02,240,7044.0
Valdez-Cordova Census Area,Alaska,78.5290646419212,02,261,9685.0
Wade Hampton Census Area,Alaska,69.0577479184401,02,270,7778.0
Northwest Arctic Borough,Alaska,73.3054263814092,02,188,7672.0
Aleutians East Borough,Alaska,83.6895218542177,02,013,3296.0
Aleutians West Census Area,Alaska,83.6895218542177,02,016,5650.0
Dillingham Census Area,Alaska,74.0829453697083,02,070,4956.0
Lake and Peninsula Borough,Alaska,74.0829453697083,02,164,1490.0
Denali Borough,Alaska,73.8895242313275,02,068,2048.0
Yukon-Koyukuk Census Area,Alaska,73.8895242313275,02,290,5651.0
Hoonah-Angoon Census Area,Alaska,80.6002714993476,02,105,2126.0
Skagway Municipality,Alaska,80.6002714993476,02,230,996.0
Yakutat City and Borough,Alaska,80.6002714993476,02,282,635.0
Ketchikan Gateway Borough,Alaska,78.483859022547,02,130,13676.0
Petersburg Borough,Alaska,78.483859022547,02,195,3212.0
Prince of Wales-Hyder Census Area,Alaska,78.483859022547,02,198,6356.0
Wrangell City and Borough,Alaska,78.483859022547,02,275,2383.0
Apache County,Arizona,73.5730101249103,04,001,72142.0
Cochise County,Arizona,78.4493453995009,04,003,130807.0
Coconino County,Arizona,79.1262342389113,04,005,135817.0
Gila County,Arizona,75.2769023094933,04,007,53242.0
Graham County,Arizona,77.4673057827607,04,009,37311.0
Greenlee County,Arizona,78.8069444314949,04,011,8800.0
Maricopa County,Arizona,80.1983661565339,04,013,3947382.0
Mohave County,Arizona,75.4575819953017,04,015,202482.0
Navajo County,Arizona,74.9438441304313,04,017,107489.0
Pima County,Arizona,79.1994643325826,04,019,993144.0
Pinal County,Arizona,81.00600317497,04,021,390160.0
Santa Cruz County,Arizona,82.1001879296229,04,023,47250.0
Yavapai County,Arizona,78.6665178423471,04,025,213689.0
La Paz County,Arizona,81.3387718155153,04,012,20348.0
Yuma County,Arizona,81.3387718155153,04,027,201453.0
Arkansas County,Arkansas,73.8595673933612,05,001,18861.0
Ashley County,Arkansas,74.4883652123264,05,003,21437.0
Baxter County,Arkansas,76.2516267748183,05,005,41154.0
Benton County,Arkansas,79.4059652057882,05,007,232611.0
Boone County,Arkansas,76.5795522414594,05,009,37169.0
Bradley County,Arkansas,74.0452396036787,05,011,11316.0
Calhoun County,Arkansas,75.0978238246715,05,013,5266.0
Carroll County,Arkansas,77.1207588475348,05,015,27626.0
Chicot County,Arkansas,73.7092556075907,05,017,11489.0
Clark County,Arkansas,75.5507566291671,05,019,22800.0
Clay County,Arkansas,73.4648065193879,05,021,15577.0
Cleburne County,Arkansas,76.2661790660477,05,023,25793.0
Cleveland County,Arkansas,75.3480894669705,05,025,8597.0
Columbia County,Arkansas,74.6838399967277,05,027,24400.0
Conway County,Arkansas,75.4448351198573,05,029,21175.0
Craighead County,Arkansas,76.2131160171002,05,031,99835.0
Crawford County,Arkansas,75.743439597931,05,033,61825.0
Crittenden County,Arkansas,73.0028156081488,05,035,50172.0
Cross County,Arkansas,73.6777390034632,05,037,17595.0
Dallas County,Arkansas,73.9263258901165,05,039,7954.0
Desha County,Arkansas,73.4276736608831,05,041,12602.0
Drew County,Arkansas,75.5138970499214,05,043,18705.0
Faulkner County,Arkansas,76.9073679000959,05,045,117804.0
Franklin County,Arkansas,75.0304629963768,05,047,17960.0
Fulton County,Arkansas,75.4479638785258,05,049,12218.0
Garland County,Arkansas,75.0910563247615,05,051,96804.0
Grant County,Arkansas,75.8549997601848,05,053,18014.0
Greene County,Arkansas,74.5883419533341,05,055,42970.0
Hempstead County,Arkansas,75.0816457515582,05,057,22419.0
Hot Spring County,Arkansas,74.674457659159,05,059,33277.0
Howard County,Arkansas,74.5248817797813,05,061,13685.0
Independence County,Arkansas,75.818962809451,05,063,36861.0
Izard County,Arkansas,75.5224554466382,05,065,13522.0
Jackson County,Arkansas,73.4906835570058,05,067,17746.0
Jefferson County,Arkansas,73.7452633122832,05,069,74655.0
Johnson County,Arkansas,76.0184647706335,05,071,25791.0
Lafayette County,Arkansas,74.2310473910241,05,073,7391.0
Lawrence County,Arkansas,74.1199788657354,05,075,17163.0
Lee County,Arkansas,73.7502943427827,05,077,10151.0
Lincoln County,Arkansas,75.4553403866795,05,079,14113.0
Little River County,Arkansas,74.1885922604194,05,081,12852.0
Logan County,Arkansas,74.7690105799881,05,083,22129.0
Lonoke County,Arkansas,75.2359220612144,05,085,70118.0
Madison County,Arkansas,75.6663513769671,05,087,15696.0
Marion County,Arkansas,75.5962916062646,05,089,16534.0
Miller County,Arkansas,74.8835906326357,05,091,43537.0
Mississippi County,Arkansas,72.1102865682895,05,093,45385.0
Monroe County,Arkansas,72.8831990296179,05,095,7855.0
Montgomery County,Arkansas,76.3127945367472,05,097,9296.0
Nevada County,Arkansas,74.2558254291586,05,099,8877.0
Newton County,Arkansas,77.256810854711,05,101,8131.0
Ouachita County,Arkansas,73.4859440403868,05,103,25421.0
Perry County,Arkansas,75.2161291747456,05,105,10350.0
Phillips County,Arkansas,71.3295020847569,05,107,20847.0
Pike County,Arkansas,75.3612335128047,05,109,11187.0
Poinsett County,Arkansas,71.8549037872847,05,111,24359.0
Polk County,Arkansas,75.2614485975633,05,113,20454.0
Pope County,Arkansas,76.6058991104863,05,115,62687.0
Prairie County,Arkansas,75.782559047161,05,117,8475.0
Pulaski County,Arkansas,76.1795129989355,05,119,388752.0
Randolph County,Arkansas,74.9895162117781,05,121,17794.0
Saint Francis County,Arkansas,74.2474039903728,05,123,27642.0
Saline County,Arkansas,77.3960857547918,05,125,111811.0
Scott County,Arkansas,75.2749649430301,05,127,11024.0
Searcy County,Arkansas,76.0184922982395,05,129,8036.0
Sebastian County,Arkansas,75.8356293882159,05,131,126801.0
Sevier County,Arkansas,75.1099628253174,05,133,17250.0
Sharp County,Arkansas,74.3655114172071,05,135,17117.0
Stone County,Arkansas,76.4680154726822,05,137,12531.0
Union County,Arkansas,73.531738985156,05,139,40954.0
Van Buren County,Arkansas,76.3230678398837,05,141,17090.0
Washington County,Arkansas,78.0525791787306,05,143,212238.0
White County,Arkansas,75.3684739400756,05,145,78275.0
Woodruff County,Arkansas,72.9691657863222,05,147,7094.0
Yell County,Arkansas,74.9489492833161,05,149,21934.0
Alameda County,California,81.9574601824784,06,001,1559308.0
Alpine County,California,79.1446091671374,06,003,1202.0
Amador County,California,79.8676286856863,06,005,37159.0
Butte County,California,77.9166897330305,06,007,221578.0
Calaveras County,California,79.7392007377838,06,009,44921.0
Colusa County,California,80.0718304385206,06,011,21424.0
Contra Costa County,California,81.7294599306854,06,013,1081232.0
Del Norte County,California,75.9903836947179,06,015,28066.0
El Dorado County,California,81.4213825961216,06,017,181465.0
Fresno County,California,78.6231883737308,06,019,948844.0
Glenn County,California,77.838340878587,06,021,28019.0
Humboldt County,California,77.0034274971952,06,023,134876.0
Imperial County,California,80.9437764733412,06,025,177026.0
Inyo County,California,79.4013711406659,06,027,18439.0
Kern County,California,77.4155560118422,06,029,857730.0
Kings County,California,79.3394443531957,06,031,151390.0
Lake County,California,75.2601471981006,06,033,64209.0
Lassen County,California,78.5878680298779,06,035,33356.0
Los Angeles County,California,81.6088919970855,06,037,9974203.0
Madera County,California,79.0356091221892,06,039,152452.0
Marin County,California,84.3889101013875,06,041,256802.0
Mariposa County,California,80.4146626674398,06,043,17946.0
Mendocino County,California,78.7539965198557,06,045,87612.0
Merced County,California,78.7699495167401,06,047,261609.0
Modoc County,California,77.9703785616707,06,049,9335.0
Mono County,California,85.1387867187453,06,051,14193.0
Monterey County,California,82.0187429129939,06,053,424927.0
Napa County,California,81.1951616905384,06,055,139253.0
Nevada County,California,81.3087317219083,06,057,98606.0
Orange County,California,82.5275699941024,06,059,3086331.0
Placer County,California,81.5788607115974,06,061,361518.0
Plumas County,California,78.5240261319388,06,063,19286.0
Riverside County,California,80.5356107538776,06,065,2266899.0
Sacramento County,California,79.2359862466345,06,067,1450277.0
San Benito County,California,81.8447025218421,06,069,56888.0
San Bernardino County,California,78.6008851539483,06,071,2078586.0
San Diego County,California,81.6354754382568,06,073,3183143.0
San Francisco County,California,82.7273768509478,06,075,829072.0
San Joaquin County,California,78.2052741778494,06,077,701050.0
San Luis Obispo County,California,81.4165855283812,06,079,274184.0
San Mateo County,California,83.8167556579334,06,081,739837.0
Santa Barbara County,California,81.762921966888,06,083,431555.0
Santa Clara County,California,83.7459727060519,06,085,1841569.0
Santa Cruz County,California,81.7431879819541,06,087,267203.0
Shasta County,California,76.1366803244793,06,089,178520.0
Sierra County,California,79.1154203499916,06,091,3019.0
Siskiyou County,California,76.7123533175491,06,093,44261.0
Solano County,California,79.7765697132744,06,095,421624.0
Sonoma County,California,81.3537531397856,06,097,491790.0
Stanislaus County,California,78.0404081273513,06,099,522794.0
Sutter County,California,78.8647497761071,06,101,95067.0
Tehama County,California,77.6815646677451,06,103,63284.0
Trinity County,California,76.9779522244668,06,105,13515.0
Tulare County,California,78.2919831279741,06,107,451108.0
Tuolumne County,California,78.9180681770885,06,109,54347.0
Ventura County,California,81.8702489506106,06,111,835790.0
Yolo County,California,80.8212815975969,06,113,204162.0
Yuba County,California,75.9620177615393,06,115,73059.0
Alamosa County,Colorado,76.4520030136314,08,003,16111.0
Archuleta County,Colorado,81.4521899731809,08,007,12132.0
Baca County,Colorado,77.5486412990339,08,009,3735.0
Bent County,Colorado,76.1374880821443,08,011,6000.0
Chaffee County,Colorado,81.4775538864323,08,015,18121.0
Cheyenne County,Colorado,79.6909457212359,08,017,2153.0
Clear Creek County,Colorado,82.2544295673685,08,019,9114.0
Conejos County,Colorado,76.7644631976601,08,021,8276.0
Costilla County,Colorado,77.5800045007178,08,023,3578.0
Crowley County,Colorado,77.741052629939,08,025,5558.0
Custer County,Colorado,80.6307957604002,08,027,4274.0
Delta County,Colorado,78.5163413913364,08,029,30378.0
Dolores County,Colorado,79.5945138917714,08,033,1736.0
Douglas County,Colorado,83.5549156528537,08,035,299794.0
Eagle County,Colorado,87.8550573815851,08,037,52233.0
Elbert County,Colorado,81.5265627610726,08,039,23545.0
El Paso County,Colorado,79.4766379407405,08,041,645707.0
Fremont County,Colorado,77.3282759106017,08,043,46879.0
Garfield County,Colorado,80.7129313494244,08,045,56684.0
Gilpin County,Colorado,80.8402892278279,08,047,5557.0
Grand County,Colorado,83.6104349800547,08,049,14478.0
Gunnison County,Colorado,82.4615975701476,08,051,15503.0
Huerfano County,Colorado,76.7370310001646,08,055,6550.0
Jackson County,Colorado,80.019428596651,08,057,1389.0
Kiowa County,Colorado,77.8060630934981,08,061,1407.0
Kit Carson County,Colorado,79.0396680266366,08,063,8122.0
Lake County,Colorado,81.2812841315244,08,065,7311.0
La Plata County,Colorado,81.9139056024152,08,067,52547.0
Larimer County,Colorado,81.5911095993052,08,069,311435.0
Las Animas County,Colorado,76.936758041852,08,071,14789.0
Lincoln County,Colorado,79.2238693329103,08,073,5462.0
Logan County,Colorado,79.1604272540649,08,075,22604.0
Mesa County,Colorado,78.7432925415044,08,077,147509.0
Moffat County,Colorado,78.7540045777934,08,081,13286.0
Montezuma County,Colorado,77.577101117793,08,083,25569.0
Montrose County,Colorado,79.6478445531103,08,085,40885.0
Morgan County,Colorado,78.4127327674347,08,087,28342.0
Otero County,Colorado,75.5779720298771,08,089,18712.0
Ouray County,Colorado,84.5850561128476,08,091,4532.0
Park County,Colorado,82.7525162279221,08,093,16174.0
Phillips County,Colorado,79.9467802658477,08,095,4385.0
Pitkin County,Colorado,90.0864739901917,08,097,17303.0
Prowers County,Colorado,76.9893465934096,08,099,12359.0
Pueblo County,Colorado,76.9509448414404,08,101,160757.0
Rio Blanco County,Colorado,79.3997581000084,08,103,6739.0
Rio Grande County,Colorado,77.1572524407443,08,105,11840.0
Routt County,Colorado,83.0836598314748,08,107,23428.0
Saguache County,Colorado,80.0823053595073,08,109,6211.0
San Miguel County,Colorado,85.7011161631391,08,113,7597.0
Sedgwick County,Colorado,78.2075550504511,08,115,2365.0
Summit County,Colorado,90.4822708175061,08,117,28482.0
Teller County,Colorado,80.5790656291349,08,119,23363.0
Washington County,Colorado,79.9836857094953,08,121,4781.0
Yuma County,Colorado,79.1855876209467,08,125,10131.0
Adams County,Colorado,80.2789722027987,08,001,461558.0
Arapahoe County,Colorado,80.2789722027987,08,005,596684.0
Boulder County,Colorado,80.2789722027987,08,013,305166.0
Broomfield County,Colorado,80.2789722027987,08,014,59027.0
Denver County,Colorado,80.2789722027987,08,031,633777.0
Jefferson County,Colorado,80.2789722027987,08,059,546162.0
Weld County,Colorado,80.2789722027987,08,123,265066.0
Fairfield County,Connecticut,82.5631925306583,09,001,934215.0
Hartford County,Connecticut,80.5005165160435,09,003,897374.0
Litchfield County,Connecticut,80.6656905163656,09,005,187542.0
Middlesex County,Connecticut,81.2879575376129,09,007,165534.0
New Haven County,Connecticut,80.2317578296903,09,009,863148.0
New London County,Connecticut,80.1746538713983,09,011,274071.0
Tolland County,Connecticut,81.8740724057526,09,013,152251.0
Windham County,Connecticut,79.2213286863835,09,015,117918.0
Kent County,Delaware,77.6582126117263,10,001,167477.0
New Castle County,Delaware,78.7574531834631,10,003,545846.0
Sussex County,Delaware,78.7388341774585,10,005,203737.0
Alachua County,Florida,78.8446436145488,12,001,251759.0
Baker County,Florida,75.5067173660575,12,003,27057.0
Bay County,Florida,76.361815494481,12,005,172988.0
Bradford County,Florida,76.0629032158072,12,007,27552.0
Brevard County,Florida,78.154786052417,12,009,548891.0
Broward County,Florida,80.6074711604382,12,011,1815269.0
Calhoun County,Florida,75.5785348350231,12,013,14657.0
Charlotte County,Florida,80.4388130091559,12,015,163151.0
Citrus County,Florida,76.2201643609441,12,017,139771.0
Clay County,Florida,77.8317980418307,12,019,194868.0
Collier County,Florida,84.4836600504725,12,021,334474.0
Columbia County,Florida,75.4379875293089,12,023,67662.0
Miami-Dade County,Florida,81.1399928541069,12,086,2600861.0
DeSoto County,Florida,79.8065989131509,12,027,34785.0
Dixie County,Florida,74.9283501697955,12,029,16137.0
Duval County,Florida,76.3662413048127,12,031,880750.0
Escambia County,Florida,75.8265429872147,12,033,304099.0
Flagler County,Florida,79.5181062926383,12,035,98843.0
Franklin County,Florida,76.406957616415,12,037,11636.0
Gadsden County,Florida,75.8057940796264,12,039,46865.0
Gilchrist County,Florida,76.9721949862259,12,041,16948.0
Glades County,Florida,80.9082704676563,12,043,13190.0
Gulf County,Florida,76.6223858301363,12,045,15781.0
Hamilton County,Florida,76.0213829513191,12,047,14466.0
Hardee County,Florida,78.7962643023069,12,049,27549.0
Hendry County,Florida,77.7970458894187,12,051,38360.0
Hernando County,Florida,77.2131242626512,12,053,173792.0
Highlands County,Florida,79.179271786199,12,055,98261.0
Hillsborough County,Florida,78.8066512790219,12,057,1279668.0
Holmes County,Florida,74.345279901364,12,059,19741.0
Indian River County,Florida,80.5310223845662,12,061,140918.0
Jackson County,Florida,75.5087459649011,12,063,49105.0
Jefferson County,Florida,77.0795832677861,12,065,14335.0
Lafayette County,Florida,77.0212732340539,12,067,8821.0
Lake County,Florida,79.2621560630153,12,069,305010.0
Lee County,Florida,81.7426837998132,12,071,647554.0
Leon County,Florida,79.3960410363991,12,073,280882.0
Levy County,Florida,75.3349797824728,12,075,40057.0
Liberty County,Florida,76.400954234728,12,077,8302.0
Madison County,Florida,75.4161304834043,12,079,18901.0
Manatee County,Florida,80.6948049167801,12,081,335840.0
Marion County,Florida,77.0658729461655,12,083,334771.0
Martin County,Florida,81.7022342824242,12,085,149658.0
Monroe County,Florida,79.7820552632832,12,087,75208.0
Nassau County,Florida,77.5913421377193,12,089,74918.0
Okaloosa County,Florida,77.9811575177656,12,091,188984.0
Okeechobee County,Florida,76.5984963130413,12,093,39398.0
Orange County,Florida,79.8803026532843,12,095,1200241.0
Osceola County,Florida,79.3776245905727,12,097,289449.0
Palm Beach County,Florida,81.8994870289193,12,099,1359074.0
Pasco County,Florida,77.7506120972686,12,101,472745.0
Pinellas County,Florida,78.6728919990013,12,103,925030.0
Polk County,Florida,78.3392589820842,12,105,617323.0
Putnam County,Florida,74.6807451280498,12,107,73191.0
Saint Johns County,Florida,81.0040923398974,12,109,203402.0
Saint Lucie County,Florida,79.7137483124112,12,111,283988.0
Santa Rosa County,Florida,77.924490088113,12,113,158240.0
Sarasota County,Florida,81.5159280206738,12,115,386944.0
Seminole County,Florida,80.3542107587214,12,117,432135.0
Sumter County,Florida,81.2792040618854,12,119,103708.0
Suwannee County,Florida,75.5908740871612,12,121,43404.0
Taylor County,Florida,75.7787599842218,12,123,22690.0
Union County,Florida,68.804653768535,12,125,15258.0
Volusia County,Florida,77.2470119324166,12,127,498981.0
Wakulla County,Florida,76.637763031087,12,129,31015.0
Walton County,Florida,77.7392867649656,12,131,57821.0
Washington County,Florida,74.1699775225144,12,133,24660.0
Appling County,Georgia,74.7913877143402,13,001,18421.0
Atkinson County,Georgia,73.7714960390043,13,003,8297.0
Bacon County,Georgia,73.5222086041657,13,005,11196.0
Baker County,Georgia,77.9683934012373,13,007,3342.0
Baldwin County,Georgia,76.3383996487831,13,009,45854.0
Banks County,Georgia,76.9101211936386,13,011,18317.0
Barrow County,Georgia,76.517230702492,13,013,70873.0
Bartow County,Georgia,76.4533100393887,13,015,100771.0
Ben Hill County,Georgia,73.6096800245677,13,017,17547.0
Berrien County,Georgia,75.190867400244,13,019,19091.0
Bibb County,Georgia,73.9294345070761,13,021,155237.0
Bleckley County,Georgia,76.187085449615,13,023,12912.0
Brantley County,Georgia,74.9365531299157,13,025,18463.0
Brooks County,Georgia,75.2397600148768,13,027,15766.0
Bryan County,Georgia,76.3639290976648,13,029,32185.0
Bulloch County,Georgia,77.0368004262305,13,031,71940.0
Burke County,Georgia,73.7898930278459,13,033,23136.0
Butts County,Georgia,74.0565385862956,13,035,23469.0
Calhoun County,Georgia,75.2943589362578,13,037,6549.0
Camden County,Georgia,78.0008189410582,13,039,51193.0
Candler County,Georgia,73.882180330007,13,043,11056.0
Carroll County,Georgia,75.0924295103043,13,045,111872.0
Catoosa County,Georgia,78.0009537512239,13,047,64955.0
Charlton County,Georgia,76.5710378110187,13,049,13098.0
Chatham County,Georgia,77.720211150539,13,051,275303.0
Chattahoochee County,Georgia,77.2468365236423,13,053,11846.0
Chattooga County,Georgia,73.8516363427106,13,055,25484.0
Cherokee County,Georgia,79.9067687559501,13,057,221951.0
Clarke County,Georgia,78.2921794435612,13,059,119681.0
Clay County,Georgia,74.6488916925777,13,061,3110.0
Clayton County,Georgia,76.880309592685,13,063,264221.0
Clinch County,Georgia,73.4584259976083,13,065,6777.0
Cobb County,Georgia,80.1366382597769,13,067,708920.0
Coffee County,Georgia,75.0163716195189,13,069,42947.0
Colquitt County,Georgia,74.9122018657446,13,071,45987.0
Columbia County,Georgia,80.0676296378463,13,073,132362.0
Cook County,Georgia,74.7320855084491,13,075,17061.0
Coweta County,Georgia,78.285359699771,13,077,131419.0
Crawford County,Georgia,76.5621078535087,13,079,12536.0
Crisp County,Georgia,75.609384748844,13,081,23403.0
Dade County,Georgia,75.3960009690029,13,083,16533.0
Dawson County,Georgia,78.1336508154396,13,085,22500.0
Decatur County,Georgia,74.7007199893853,13,087,27508.0
DeKalb County,Georgia,79.4962305308697,13,089,707185.0
Dodge County,Georgia,75.4421725381297,13,091,21365.0
Dooly County,Georgia,78.5144079303595,13,093,14443.0
Dougherty County,Georgia,75.038542335195,13,095,93890.0
Douglas County,Georgia,77.4032014471524,13,097,135037.0
Early County,Georgia,73.978063106976,13,099,10662.0
Echols County,Georgia,77.5417724006261,13,101,4018.0
Effingham County,Georgia,76.5731690017895,13,103,53673.0
Elbert County,Georgia,75.0164188271286,13,105,19694.0
Emanuel County,Georgia,73.1718202483777,13,107,22731.0
Evans County,Georgia,75.1580822990035,13,109,10868.0
Fannin County,Georgia,76.9013426301904,13,111,23632.0
Fayette County,Georgia,80.9425991889622,13,113,107930.0
Floyd County,Georgia,75.5586411421325,13,115,96146.0
Forsyth County,Georgia,81.4700212970869,13,117,189314.0
Franklin County,Georgia,74.3539985940726,13,119,22051.0
Fulton County,Georgia,78.5987701241935,13,121,967100.0
Gilmer County,Georgia,78.2712613586073,13,123,28441.0
Glascock County,Georgia,74.0095727000035,13,125,3086.0
Glynn County,Georgia,77.3454296677488,13,127,80937.0
Gordon County,Georgia,75.7664983217768,13,129,55666.0
Grady County,Georgia,75.9708134350991,13,131,25239.0
Greene County,Georgia,77.7291789565482,13,133,16190.0
Gwinnett County,Georgia,80.5413606378106,13,135,842091.0
Habersham County,Georgia,77.6403397782881,13,137,43342.0
Hall County,Georgia,78.8999066045999,13,139,185318.0
Hancock County,Georgia,76.1807363127476,13,141,9043.0
Haralson County,Georgia,73.5619730006166,13,143,28563.0
Harris County,Georgia,79.372928241056,13,145,32539.0
Hart County,Georgia,77.0624660385596,13,147,25406.0
Heard County,Georgia,75.267737833288,13,149,11674.0
Henry County,Georgia,77.3049999830077,13,151,209069.0
Houston County,Georgia,77.5027345951035,13,153,145622.0
Irwin County,Georgia,75.4290585130566,13,155,9482.0
Jackson County,Georgia,76.1830898877838,13,157,60928.0
Jasper County,Georgia,76.0796020621275,13,159,13647.0
Jeff Davis County,Georgia,73.8214311853932,13,161,15028.0
Jefferson County,Georgia,73.1652202685591,13,163,16554.0
Jenkins County,Georgia,74.3679832068187,13,165,8794.0
Johnson County,Georgia,76.381728931759,13,167,9850.0
Jones County,Georgia,78.252880160435,13,169,28783.0
Lamar County,Georgia,74.8970962853556,13,171,18128.0
Lanier County,Georgia,75.8132703022645,13,173,10356.0
Laurens County,Georgia,74.9950661049002,13,175,48028.0
Lee County,Georgia,77.4356523334636,13,177,28805.0
Liberty County,Georgia,76.903539545897,13,179,64489.0
Lincoln County,Georgia,76.4916448181181,13,181,7800.0
Long County,Georgia,78.5196020317748,13,183,15967.0
Lowndes County,Georgia,76.2643690452204,13,185,112515.0
Lumpkin County,Georgia,78.0146664866746,13,187,30719.0
McDuffie County,Georgia,74.3231824430064,13,189,21563.0
McIntosh County,Georgia,79.6443775538217,13,191,14172.0
Macon County,Georgia,74.3214975662633,13,193,14232.0
Madison County,Georgia,75.9164119646493,13,195,28142.0
Marion County,Georgia,76.5565655971449,13,197,8751.0
Meriwether County,Georgia,74.9750751980501,13,199,21434.0
Miller County,Georgia,73.9357844275489,13,201,6017.0
Mitchell County,Georgia,75.0734144121862,13,205,23175.0
Monroe County,Georgia,77.4296681097743,13,207,26788.0
Montgomery County,Georgia,75.6422874814565,13,209,9000.0
Morgan County,Georgia,77.5413475560736,13,211,17866.0
Murray County,Georgia,75.2496113616646,13,213,39416.0
Muscogee County,Georgia,74.8788732502681,13,215,198247.0
Newton County,Georgia,76.2508476547503,13,217,101503.0
Oconee County,Georgia,80.7201006294958,13,219,33769.0
Oglethorpe County,Georgia,78.2015427852691,13,221,14695.0
Paulding County,Georgia,78.7263186693695,13,223,145565.0
Peach County,Georgia,74.3109147998361,13,225,27337.0
Pickens County,Georgia,77.4804361140647,13,227,29550.0
Pierce County,Georgia,75.0941998698357,13,229,18860.0
Pike County,Georgia,75.8421997692356,13,231,17821.0
