County,State,mean_life_expectancy,State_FIPS,County_FIPS,per_capita_income
Marengo County,Alabama,73.4699638933891,01,091,22996.0
Marion County,Alabama,74.0260626515723,01,093,21835.0
Marshall County,Alabama,74.044529414402,01,095,22710.0
Mobile County,Alabama,74.832531869489,01,097,24347.0
Monroe County,Alabama,74.6472436418514,01,099,17264.0
Montgomery County,Alabama,75.8639742828833,01,101,26712.0
Morgan County,Alabama,75.2271704532966,01,103,25013.0
Perry County,Alabama,72.388930405107,01,105,13449.0
Pickens County,Alabama,74.4608285703048,01,107,20089.0
Pike County,Alabama,74.9526888282757,01,109,20808.0
Randolph County,Alabama,74.2303989397729,01,111,20983.0
Russell County,Alabama,73.5167015561246,01,113,21279.0
Saint Clair County,Alabama,74.7414911385038,01,115,24686.0
Shelby County,Alabama,79.9439409572104,01,117,35330.0
Sumter County,Alabama,74.3379744715151,01,119,14739.0
Talladega County,Alabama,73.3972425657916,01,121,21382.0
Tallapoosa County,Alabama,74.8751981595403,01,123,22430.0
Tuscaloosa County,Alabama,76.2628239560412,01,125,24895.0
Walker County,Alabama,70.3120931463706,01,127,21217.0
Washington County,Alabama,74.379913964713,01,129,23239.0
Wilcox County,Alabama,71.4192185766012,01,131,15774.0
Winston County,Alabama,74.31731572053,01,133,20580.0
Anchorage Municipality,Alaska,78.8427395859197,02,020,38977.0
Bethel Census Area,Alaska,72.3773195918739,02,050,18654.0
Bristol Bay Borough,Alaska,75.8312576360195,02,060,42002.0
Fairbanks North Star Borough,Alaska,79.8531882449376,02,090,35328.0
Haines Borough,Alaska,81.6301311834033,02,100,35907.0
Juneau City and Borough,Alaska,80.4330971073059,02,110,41904.0
Kenai Peninsula Borough,Alaska,78.3677604150779,02,122,33336.0
Kodiak Island Borough,Alaska,79.8324510978969,02,150,32625.0
Matanuska-Susitna Borough,Alaska,78.4961228596649,02,170,30409.0
Nome Census Area,Alaska,70.4964319256222,02,180,20952.0
North Slope Borough,Alaska,75.4604638102837,02,185,48777.0
Sitka City and Borough,Alaska,80.0877625456278,02,220,36617.0
Southeast Fairbanks Census Area,Alaska,77.3779098522792,02,240,31051.0
Valdez-Cordova Census Area,Alaska,78.9328153281328,02,261,37935.0
Wade Hampton Census Area,Alaska,67.9859126754132,02,270,
Northwest Arctic Borough,Alaska,72.237114207438,02,188,21879.0
Aleutians East Borough,Alaska,84.1950647120622,02,013,31254.0
Aleutians West Census Area,Alaska,84.1950647120622,02,016,35998.0
Dillingham Census Area,Alaska,73.937488710631,02,070,24647.0
Lake and Peninsula Borough,Alaska,73.937488710631,02,164,23434.0
Denali Borough,Alaska,73.9553492576129,02,068,33084.0
Yukon-Koyukuk Census Area,Alaska,73.9553492576129,02,290,21057.0
Hoonah-Angoon Census Area,Alaska,80.749870087287,02,105,33704.0
Skagway Municipality,Alaska,80.749870087287,02,230,39376.0
Yakutat City and Borough,Alaska,80.749870087287,02,282,32393.0
Ketchikan Gateway Borough,Alaska,78.870520839502,02,130,33771.0
Petersburg Borough,Alaska,78.870520839502,02,195,35044.0
Prince of Wales-Hyder Census Area,Alaska,78.870520839502,02,198,26695.0
Wrangell City and Borough,Alaska,78.870520839502,02,275,29943.0
Apache County,Arizona,72.2408515337713,04,001,13865.0
Cochise County,Arizona,77.7961940778469,04,003,24896.0
Coconino County,Arizona,78.5702279856415,04,005,25722.0
Gila County,Arizona,74.1269913666399,04,007,22433.0
Graham County,Arizona,76.9440705172127,04,009,17874.0
Greenlee County,Arizona,78.1978326048683,04,011,24935.0
Maricopa County,Arizona,79.6563218537266,04,013,30186.0
Mohave County,Arizona,74.9338228939162,04,015,23527.0
Navajo County,Arizona,73.8300467164729,04,017,17685.0
Pima County,Arizona,78.6548008107775,04,019,27323.0
Pinal County,Arizona,80.8637745945733,04,021,22944.0
Santa Cruz County,Arizona,81.5659007827293,04,023,19482.0
Yavapai County,Arizona,78.0019889385203,04,025,27504.0
La Paz County,Arizona,81.1244263390012,04,012,21707.0
Yuma County,Arizona,81.1244263390012,04,027,20600.0
Arkansas County,Arkansas,73.5043452669212,05,001,23766.0
Ashley County,Arkansas,73.9253722421542,05,003,20703.0
Baxter County,Arkansas,75.9597914129396,05,005,24737.0
Benton County,Arkansas,79.3162674700135,05,007,30611.0
Boone County,Arkansas,76.1204721411668,05,009,22288.0
Bradley County,Arkansas,73.6787408686852,05,011,21575.0
Calhoun County,Arkansas,74.5306926339902,05,013,22866.0
Carroll County,Arkansas,76.8382013939385,05,015,21754.0
Chicot County,Arkansas,73.3117463375035,05,017,20560.0
Clark County,Arkansas,75.5224420894244,05,019,20382.0
Clay County,Arkansas,72.8559680875974,05,021,19171.0
Cleburne County,Arkansas,75.7051992678076,05,023,26189.0
Cleveland County,Arkansas,74.8589626853021,05,025,23171.0
Columbia County,Arkansas,74.1079710416384,05,027,20296.0
Conway County,Arkansas,74.695878166784,05,029,22365.0
Craighead County,Arkansas,76.2037097312571,05,031,25594.0
Crawford County,Arkansas,75.7157396241204,05,033,22104.0
Crittenden County,Arkansas,72.6251939385932,05,035,20721.0
Cross County,Arkansas,73.1602124341335,05,037,22894.0
Dallas County,Arkansas,73.3735532648729,05,039,18309.0
Desha County,Arkansas,72.4752962604024,05,041,18187.0
Drew County,Arkansas,75.0673773726032,05,043,20300.0
Faulkner County,Arkansas,76.4182309752644,05,045,25240.0
Franklin County,Arkansas,74.4373222870369,05,047,19988.0
Fulton County,Arkansas,74.9193229812661,05,049,19674.0
Garland County,Arkansas,74.6309366391751,05,051,25690.0
Grant County,Arkansas,75.3698091973697,05,053,25814.0
Greene County,Arkansas,74.0996452052536,05,055,22094.0
Hempstead County,Arkansas,75.1266368361279,05,057,18817.0
Hot Spring County,Arkansas,74.2281769368533,05,059,20868.0
Howard County,Arkansas,73.8919511396459,05,061,23627.0
Independence County,Arkansas,75.5988097794403,05,063,23056.0
Izard County,Arkansas,75.2554983306065,05,065,19737.0
Jackson County,Arkansas,73.2398331665973,05,067,19458.0
Jefferson County,Arkansas,73.2238480770967,05,069,20371.0
Johnson County,Arkansas,75.7108320235838,05,071,18757.0
Lafayette County,Arkansas,74.2582687145754,05,073,25140.0
Lawrence County,Arkansas,73.9055411200017,05,075,19422.0
Lee County,Arkansas,73.2670721314187,05,077,15610.0
Lincoln County,Arkansas,75.0420292899519,05,079,13142.0
Little River County,Arkansas,73.9743483215101,05,081,23412.0
Logan County,Arkansas,74.1726732947248,05,083,19708.0
Lonoke County,Arkansas,74.7455691325912,05,085,25184.0
Madison County,Arkansas,75.378985437541,05,087,23203.0
Marion County,Arkansas,75.3737129535053,05,089,19200.0
Miller County,Arkansas,74.5960792199951,05,091,22227.0
Mississippi County,Arkansas,71.5351089249095,05,093,20378.0
Monroe County,Arkansas,72.3393690870887,05,095,20486.0
Montgomery County,Arkansas,75.5774666116489,05,097,21480.0
Nevada County,Arkansas,74.3732482286084,05,099,18644.0
Newton County,Arkansas,76.8726224396483,05,101,18053.0
Ouachita County,Arkansas,73.0094683982827,05,103,19780.0
Perry County,Arkansas,74.861123428865,05,105,21781.0
Phillips County,Arkansas,70.8005258788541,05,107,17287.0
Pike County,Arkansas,74.8235342597713,05,109,20180.0
Poinsett County,Arkansas,71.2947589568639,05,111,18361.0
Polk County,Arkansas,74.9129378159319,05,113,18735.0
Pope County,Arkansas,76.4551101144576,05,115,21650.0
Prairie County,Arkansas,75.6587388048142,05,117,22653.0
Pulaski County,Arkansas,75.9533402339039,05,119,29855.0
Randolph County,Arkansas,74.2064157916112,05,121,20932.0
Saint Francis County,Arkansas,73.8843994351379,05,123,16518.0
Saline County,Arkansas,77.0482054817958,05,125,28410.0
Scott County,Arkansas,74.5707790005597,05,127,18077.0
Searcy County,Arkansas,75.1238268500902,05,129,21475.0
Sebastian County,Arkansas,75.7092329887143,05,131,23916.0
Sevier County,Arkansas,75.1584300484602,05,133,18388.0
Sharp County,Arkansas,73.7064588321029,05,135,20078.0
Stone County,Arkansas,75.9079573999317,05,137,19881.0
Union County,Arkansas,73.1884317266028,05,139,23463.0
Van Buren County,Arkansas,75.8846063202913,05,141,20568.0
Washington County,Arkansas,77.8764673272239,05,143,26371.0
White County,Arkansas,75.2058017632126,05,145,23120.0
Woodruff County,Arkansas,72.5933855023363,05,147,19987.0
Yell County,Arkansas,74.3862031980413,05,149,20209.0
Alameda County,California,82.2321212212249,06,001,41363.0
Alpine County,California,78.482947059558,06,003,27448.0
Amador County,California,79.561891234368,06,005,29628.0
Butte County,California,77.4463014291207,06,007,26304.0
Calaveras County,California,79.2676567852879,06,009,31652.0
Colusa County,California,79.6638098917847,06,011,25676.0
Contra Costa County,California,81.8386853778645,06,013,42898.0
Del Norte County,California,75.224334811417,06,015,20809.0
El Dorado County,California,81.4568941950275,06,017,38156.0
Fresno County,California,78.4585384790352,06,019,22234.0
Glenn County,California,77.3696017734108,06,021,21029.0
Humboldt County,California,76.7555796001307,06,023,25208.0
Imperial County,California,80.687419950022,06,025,17303.0
Inyo County,California,79.1997381604918,06,027,30323.0
Kern County,California,77.0176146674043,06,029,21716.0
Kings County,California,79.3358097827458,06,031,19835.0
Lake County,California,74.8494787542705,06,033,23345.0
Lassen County,California,78.2363152612242,06,035,20974.0
Los Angeles County,California,81.5691962087237,06,037,30798.0
Madera County,California,78.9228141273425,06,039,19975.0
Marin County,California,84.670403001944,06,041,66748.0
Mariposa County,California,79.9818431293211,06,043,28241.0
Mendocino County,California,78.6518521214148,06,045,27093.0
Merced County,California,78.3750954459993,06,047,20120.0
Modoc County,California,77.1077065159972,06,049,22052.0
Mono County,California,84.9580737678398,06,051,30888.0
Monterey County,California,81.9472905883429,06,053,27168.0
Napa County,California,81.2829692549916,06,055,40632.0
Nevada County,California,81.0166977108918,06,057,35581.0
Orange County,California,82.5543904647591,06,059,37603.0
Placer County,California,81.548378960557,06,061,39734.0
Plumas County,California,78.2532986991761,06,063,32056.0
Riverside County,California,80.3363218283084,06,065,25700.0
Sacramento County,California,79.0940358645218,06,067,29693.0
San Benito County,California,81.6550155032969,06,069,30012.0
San Bernardino County,California,78.317187547423,06,071,22867.0
San Diego County,California,81.6258744799118,06,073,34350.0
San Francisco County,California,83.0357041460174,06,075,59508.0
San Joaquin County,California,78.0359896860733,06,077,24694.0
San Luis Obispo County,California,81.2020517524637,06,079,33972.0
San Mateo County,California,84.1096902566921,06,081,53516.0
Santa Barbara County,California,81.5801518841513,06,083,32872.0
Santa Clara County,California,83.9917895786546,06,085,48689.0
Santa Cruz County,California,82.0605857508508,06,087,36388.0
Shasta County,California,75.806788638393,06,089,26455.0
Sierra County,California,78.5719149965786,06,091,31750.0
Siskiyou County,California,76.1862354494511,06,093,24605.0
Solano County,California,79.6451278217147,06,095,31934.0
Sonoma County,California,81.5679359147788,06,097,37767.0
Stanislaus County,California,77.7149198210095,06,099,24007.0
Sutter County,California,78.3763386412633,06,101,24849.0
Tehama County,California,76.9976036049311,06,103,22631.0
Trinity County,California,76.3456287127584,06,105,23575.0
Tulare County,California,77.9753506021237,06,107,18962.0
Tuolumne County,California,78.5900358024682,06,109,31570.0
Ventura County,California,81.841533815838,06,111,35771.0
Yolo County,California,80.9056635823379,06,113,30615.0
Yuba County,California,75.8408352670592,06,115,22814.0
Alamosa County,Colorado,75.8311324798402,08,003,19217.0
Archuleta County,Colorado,81.6145512749235,08,007,29344.0
Baca County,Colorado,77.0260592657618,08,009,22853.0
Bent County,Colorado,75.8224499656267,08,011,14028.0
Chaffee County,Colorado,81.2092487110115,08,015,28907.0
Cheyenne County,Colorado,78.6333421783932,08,017,23698.0
Clear Creek County,Colorado,82.3124381664765,08,019,41257.0
Conejos County,Colorado,76.2573666245659,08,021,19047.0
Costilla County,Colorado,76.8592293656779,08,023,20737.0
Crowley County,Colorado,76.9641943181852,08,025,14393.0
Custer County,Colorado,81.092782954152,08,027,26032.0
Delta County,Colorado,77.8313362534641,08,029,25546.0
Dolores County,Colorado,79.1893045710591,08,033,23190.0
Douglas County,Colorado,83.4025879459957,08,035,48725.0
Eagle County,Colorado,88.4392672602876,08,037,40450.0
Elbert County,Colorado,81.6581733388672,08,039,42522.0
El Paso County,Colorado,78.7742109882968,08,041,31217.0
Fremont County,Colorado,77.0933471771635,08,043,20919.0
Garfield County,Colorado,80.4969076123098,08,045,31483.0
Gilpin County,Colorado,81.4969326961949,08,047,45110.0
Grand County,Colorado,83.5333558735278,08,049,32919.0
Gunnison County,Colorado,82.5366935871018,08,051,27669.0
Huerfano County,Colorado,75.4892545704702,08,055,25547.0
Jackson County,Colorado,79.4480965120346,08,057,24299.0
Kiowa County,Colorado,77.3252924655834,08,061,23621.0
Kit Carson County,Colorado,79.2392184006058,08,063,26125.0
Lake County,Colorado,81.6061753881909,08,065,28492.0
La Plata County,Colorado,81.6864546006773,08,067,34501.0
Larimer County,Colorado,81.4508729730401,08,069,34087.0
Las Animas County,Colorado,76.2626774559932,08,071,24268.0
Lincoln County,Colorado,78.5091614921194,08,073,14765.0
Logan County,Colorado,79.1781984236642,08,075,24595.0
Mesa County,Colorado,78.3133657029401,08,077,27612.0
Moffat County,Colorado,78.1807357406007,08,081,27331.0
Montezuma County,Colorado,77.2643320455981,08,083,24440.0
Montrose County,Colorado,79.379514628823,08,085,24308.0
Morgan County,Colorado,78.04532580758,08,087,24077.0
Otero County,Colorado,75.0071650698003,08,089,20358.0
Ouray County,Colorado,83.8987068625614,08,091,35544.0
Park County,Colorado,82.6462895795416,08,093,34377.0
Phillips County,Colorado,80.1789952228355,08,095,27790.0
Pitkin County,Colorado,90.704592150593,08,097,65800.0
Prowers County,Colorado,76.7197991902101,08,099,22033.0
Pueblo County,Colorado,76.2368027257113,08,101,23110.0
Rio Blanco County,Colorado,78.6915559197346,08,103,28185.0
Rio Grande County,Colorado,76.5723480456952,08,105,22412.0
Routt County,Colorado,83.137600225356,08,107,38111.0
Saguache County,Colorado,79.5112275070078,08,109,22267.0
San Miguel County,Colorado,86.0178704274716,08,113,42015.0
Sedgwick County,Colorado,77.5401451830135,08,115,24666.0
Summit County,Colorado,91.044579954477,08,117,37192.0
Teller County,Colorado,80.4232362556622,08,119,34974.0
Washington County,Colorado,79.4007814134676,08,121,26279.0
Yuma County,Colorado,78.8003703636188,08,125,24789.0
Adams County,Colorado,80.2868507759135,08,001,27487.0
Arapahoe County,Colorado,80.2868507759135,08,005,36951.0
Boulder County,Colorado,80.2868507759135,08,013,42119.0
Broomfield County,Colorado,80.2868507759135,08,014,43736.0
Denver County,Colorado,80.2868507759135,08,031,38991.0
Jefferson County,Colorado,80.2868507759135,08,059,40187.0
Weld County,Colorado,80.2868507759135,08,123,29226.0
Fairfield County,Connecticut,82.5946872177968,09,001,53433.0
Hartford County,Connecticut,80.0972707575589,09,003,37817.0
Litchfield County,Connecticut,80.2933334667025,09,005,40619.0
Middlesex County,Connecticut,81.0203125170856,09,007,43695.0
New Haven County,Connecticut,79.9816945680513,09,009,35085.0
New London County,Connecticut,79.8089429093262,09,011,36881.0
Tolland County,Connecticut,81.5167123037912,09,013,37830.0
Windham County,Connecticut,78.7003951043393,09,015,29993.0
Kent County,Delaware,77.1563248845642,10,001,27420.0
New Castle County,Delaware,78.1368239340031,10,003,34541.0
Sussex County,Delaware,78.4659649042153,10,005,31874.0
Alachua County,Florida,78.280773345389,12,001,26431.0
Baker County,Florida,74.8631741870423,12,003,22440.0
Bay County,Florida,75.6776481016893,12,005,26742.0
Bradford County,Florida,75.0591892268178,12,007,19656.0
Brevard County,Florida,77.2150847771434,12,009,29405.0
Broward County,Florida,80.3317307609575,12,011,30109.0
Calhoun County,Florida,74.6772354135484,12,013,15927.0
Charlotte County,Florida,80.03383445763,12,015,29243.0
Citrus County,Florida,75.2399918924409,12,017,25034.0
Clay County,Florida,77.188860994767,12,019,28599.0
Collier County,Florida,84.595444361758,12,021,41239.0
Columbia County,Florida,74.7773936232838,12,023,22855.0
Miami-Dade County,Florida,80.9425605320856,12,086,25481.0
DeSoto County,Florida,79.1444636027855,12,027,17892.0
Dixie County,Florida,74.5575346674888,12,029,19342.0
Duval County,Florida,75.6156823037129,12,031,28593.0
Escambia County,Florida,74.9177305679025,12,033,25666.0
Flagler County,Florida,78.664439632624,12,035,25741.0
Franklin County,Florida,75.8945940583455,12,037,23524.0
Gadsden County,Florida,75.1015247970268,12,039,19252.0
Gilchrist County,Florida,76.5403282898351,12,041,21145.0
Glades County,Florida,80.3593819027898,12,043,20476.0
Gulf County,Florida,76.1867572155153,12,045,21085.0
Hamilton County,Florida,75.20250890304,12,047,16109.0
Hardee County,Florida,78.2845185703614,12,049,18643.0
Hendry County,Florida,76.8823667223551,12,051,18426.0
Hernando County,Florida,76.4093994711709,12,053,23495.0
Highlands County,Florida,78.1939608334697,12,055,23020.0
Hillsborough County,Florida,78.5404586829892,12,057,29806.0
Holmes County,Florida,73.2084521422928,12,059,18402.0
Indian River County,Florida,79.907697163534,12,061,33122.0
Jackson County,Florida,74.6358394836189,12,063,18126.0
Jefferson County,Florida,76.8845831245796,12,065,22452.0
Lafayette County,Florida,76.6581957641507,12,067,21955.0
Lake County,Florida,78.2864216245771,12,069,25991.0
Lee County,Florida,81.3739581271401,12,071,30233.0
Leon County,Florida,79.030358739809,12,073,28548.0
Levy County,Florida,74.6229846286448,12,075,21043.0
Liberty County,Florida,75.7518222351327,12,077,16937.0
Madison County,Florida,74.8388882546744,12,079,17192.0
Manatee County,Florida,80.1910648097431,12,081,30477.0
Marion County,Florida,75.9623016853633,12,083,23598.0
Martin County,Florida,81.1568203073339,12,085,38021.0
Monroe County,Florida,79.6005221210364,12,087,39176.0
Nassau County,Florida,77.2759370761858,12,089,33337.0
Okaloosa County,Florida,77.3889246282456,12,091,30775.0
Okeechobee County,Florida,75.9457097645825,12,093,18611.0
Orange County,Florida,79.5269054955863,12,095,27394.0
Osceola County,Florida,78.8810610995138,12,097,20165.0
Palm Beach County,Florida,81.3829024333588,12,099,36303.0
Pasco County,Florida,77.098851734423,12,101,26624.0
Pinellas County,Florida,78.2987745279353,12,103,32120.0
Polk County,Florida,77.7020921564756,12,105,22579.0
Putnam County,Florida,73.635254100304,12,107,18950.0
Saint Johns County,Florida,80.5809996179964,12,109,39563.0
Saint Lucie County,Florida,79.2977622741057,12,111,24940.0
Santa Rosa County,Florida,77.3193290919895,12,113,28908.0
Sarasota County,Florida,80.9350383168968,12,115,37054.0
Seminole County,Florida,79.8402255658359,12,117,31363.0
Sumter County,Florida,80.4806227609364,12,119,33168.0
Suwannee County,Florida,75.2150765992341,12,121,21565.0
Taylor County,Florida,74.7442078191434,12,123,16979.0
Union County,Florida,67.8919995760419,12,125,13485.0
Volusia County,Florida,76.2981063923098,12,127,25871.0
Wakulla County,Florida,76.2724538807062,12,129,22846.0
Walton County,Florida,77.3545360296973,12,131,30853.0
Washington County,Florida,72.8960237830396,12,133,18718.0
Appling County,Georgia,74.0084605365612,13,001,19936.0
Atkinson County,Georgia,73.4390527880296,13,003,19904.0
Bacon County,Georgia,72.5321912655798,13,005,18856.0
Baker County,Georgia,77.1226977730015,13,007,22270.0
Baldwin County,Georgia,75.885623089803,13,009,20114.0
Banks County,Georgia,76.5761341138381,13,011,19451.0
Barrow County,Georgia,76.4531171029684,13,013,22978.0
Bartow County,Georgia,76.2159238347912,13,015,24931.0
Ben Hill County,Georgia,72.9889666208592,13,017,16635.0
Berrien County,Georgia,74.439001968007,13,019,18064.0
Bibb County,Georgia,73.6270349335338,13,021,23426.0
Bleckley County,Georgia,75.6767775470061,13,023,20667.0
Brantley County,Georgia,74.2535435032282,13,025,18220.0
Brooks County,Georgia,74.7365498889901,13,027,20964.0
Bryan County,Georgia,75.9644967649488,13,029,29880.0
Bulloch County,Georgia,76.8294282235662,13,031,20526.0
Burke County,Georgia,73.7095855538626,13,033,19720.0
Butts County,Georgia,73.7983435794374,13,035,21236.0
Calhoun County,Georgia,74.4920251011037,13,037,13865.0
Camden County,Georgia,77.8072993071322,13,039,26854.0
Candler County,Georgia,73.3882320641854,13,043,18233.0
Carroll County,Georgia,75.1232865117092,13,045,23139.0
Catoosa County,Georgia,77.5910778852834,13,047,25643.0
Charlton County,Georgia,76.3359105899648,13,049,19102.0
Chatham County,Georgia,77.490102718577,13,051,28765.0
Chattahoochee County,Georgia,77.0231781510592,13,053,22774.0
Chattooga County,Georgia,73.4170928402242,13,055,17716.0
Cherokee County,Georgia,79.8435454979864,13,057,33466.0
Clarke County,Georgia,78.6318913183763,13,059,21203.0
Clay County,Georgia,73.9493638446073,13,061,14559.0
Clayton County,Georgia,76.5508691906889,13,063,19498.0
Clinch County,Georgia,72.4247234455474,13,065,17145.0
Cobb County,Georgia,80.2177640812596,13,067,36587.0
Coffee County,Georgia,74.4295289710942,13,069,18945.0
Colquitt County,Georgia,74.0379120198679,13,071,18121.0
Columbia County,Georgia,79.8999326107972,13,073,31720.0
Cook County,Georgia,74.3093937088097,13,075,17587.0
Coweta County,Georgia,78.3648849335877,13,077,31548.0
Crawford County,Georgia,75.6561888490683,13,079,22212.0
Crisp County,Georgia,74.6124945203586,13,081,21225.0
Dade County,Georgia,75.0924029502412,13,083,23184.0
Dawson County,Georgia,77.8849206643038,13,085,31954.0
Decatur County,Georgia,73.7088647064192,13,087,19650.0
DeKalb County,Georgia,79.8238732978234,13,089,32110.0
Dodge County,Georgia,75.1775460945016,13,091,18563.0
Dooly County,Georgia,78.2138090959277,13,093,16867.0
Dougherty County,Georgia,74.3569712282889,13,095,20292.0
Douglas County,Georgia,77.3960194322986,13,097,25449.0
Early County,Georgia,73.2371558935003,13,099,17972.0
Echols County,Georgia,77.0599023389516,13,101,20589.0
Effingham County,Georgia,76.3909397434421,13,103,26765.0
Elbert County,Georgia,74.195571787566,13,105,21138.0
Emanuel County,Georgia,72.6318304928933,13,107,17944.0
Evans County,Georgia,74.7149148196397,13,109,20736.0
Fannin County,Georgia,77.0727670886557,13,111,24845.0
Fayette County,Georgia,80.7682924448471,13,113,39936.0
Floyd County,Georgia,75.0581302260989,13,115,23929.0
Forsyth County,Georgia,81.674209211008,13,117,39896.0
Franklin County,Georgia,73.8725746030686,13,119,19663.0
Fulton County,Georgia,78.867596065924,13,121,41041.0
Gilmer County,Georgia,77.9602337939812,13,123,23688.0
Glascock County,Georgia,73.394960919002,13,125,19815.0
Glynn County,Georgia,77.1335060809149,13,127,29209.0
Gordon County,Georgia,75.4706012819472,13,129,21208.0
Grady County,Georgia,75.5518347037765,13,131,20864.0
Greene County,Georgia,77.7512340805882,13,133,32890.0
Gwinnett County,Georgia,80.607617253456,13,135,27945.0
Habersham County,Georgia,77.3582989596064,13,137,20656.0
Hall County,Georgia,78.8960139014754,13,139,26283.0
Hancock County,Georgia,75.3903158501469,13,141,15454.0
Haralson County,Georgia,73.2656065600872,13,143,23141.0
Harris County,Georgia,79.295601776848,13,145,32373.0
Hart County,Georgia,76.8248765683369,13,147,21668.0
Heard County,Georgia,74.7199641903674,13,149,20946.0
Henry County,Georgia,77.181720507416,13,151,26924.0
Houston County,Georgia,77.3383420736599,13,153,26305.0
Irwin County,Georgia,74.8751692688427,13,155,19429.0
Jackson County,Georgia,76.2832039775414,13,157,25598.0
Jasper County,Georgia,75.7749845245545,13,159,19784.0
Jeff Davis County,Georgia,73.2268902139052,13,161,18550.0
Jefferson County,Georgia,72.5992407627131,13,163,17485.0
Jenkins County,Georgia,73.3841998147857,13,165,15149.0
Johnson County,Georgia,76.0287103065729,13,167,19706.0
Jones County,Georgia,77.8374428106185,13,169,26098.0
Lamar County,Georgia,74.3508731721163,13,171,20458.0
Lanier County,Georgia,75.3835180951939,13,173,17739.0
Laurens County,Georgia,74.4577525082559,13,175,20687.0
Lee County,Georgia,76.6914056662725,13,177,28061.0
Liberty County,Georgia,76.3021109268363,13,179,20966.0
Lincoln County,Georgia,76.1794942621868,13,181,24529.0
Long County,Georgia,78.4618707054974,13,183,20321.0
Lowndes County,Georgia,75.8358035603923,13,185,21199.0
Lumpkin County,Georgia,77.7101053772346,13,187,23364.0
McDuffie County,Georgia,73.7738203200434,13,189,20436.0
McIntosh County,Georgia,79.7108099163917,13,191,25226.0
Macon County,Georgia,73.7317039474685,13,193,15919.0
Madison County,Georgia,75.840925411624,13,195,22885.0
Marion County,Georgia,76.2946453096112,13,197,20154.0
Meriwether County,Georgia,74.4847266846964,13,199,19679.0
Miller County,Georgia,73.0734881813492,13,201,21002.0
Mitchell County,Georgia,74.0885588705262,13,205,16088.0
Monroe County,Georgia,77.4835874483883,13,207,30359.0
Montgomery County,Georgia,75.0403904752512,13,209,20114.0
Morgan County,Georgia,77.3359048444416,13,211,28830.0
Murray County,Georgia,74.7984649731187,13,213,19084.0
Muscogee County,Georgia,74.0661905409308,13,215,24604.0
Newton County,Georgia,76.0968360464372,13,217,23611.0
Oconee County,Georgia,80.9648939245257,13,219,38639.0
Oglethorpe County,Georgia,77.6363584185965,13,221,21858.0
Paulding County,Georgia,78.486927311261,13,223,26636.0
Peach County,Georgia,73.7058392267195,13,225,22388.0
Pickens County,Georgia,77.0978924166854,13,227,29460.0
Pierce County,Georgia,74.2596164151985,13,229,23754.0
Pike County,Georgia,75.4989917474708,13,231,25176.0
Polk County,Georgia,73.2748803672115,13,233,22314.0
