County,State,mean_life_expectancy,State_FIPS,County_FIPS,disability_rate
Arkansas County,Arkansas,74.0251497586038,05,001,22.1
Ashley County,Arkansas,74.2895051923306,05,003,20.7
Baxter County,Arkansas,76.2501239643624,05,005,20.5
Benton County,Arkansas,79.69562751172,05,007,10.1
Boone County,Arkansas,76.4606951241037,05,009,18.6
Bradley County,Arkansas,74.0787319215763,05,011,22.6
Calhoun County,Arkansas,75.0215094185301,05,013,22.0
Carroll County,Arkansas,77.2842160355692,05,015,15.1
Chicot County,Arkansas,73.6861573372926,05,017,25.5
Clark County,Arkansas,76.0630306037432,05,019,21.3
Clay County,Arkansas,73.1902475268155,05,021,22.8
Cleburne County,Arkansas,75.9718803756163,05,023,18.5
Cleveland County,Arkansas,75.1716757513491,05,025,20.4
Columbia County,Arkansas,74.5558798297109,05,027,19.1
Conway County,Arkansas,74.9230500819947,05,029,23.0
Craighead County,Arkansas,76.4586434664692,05,031,17.6
Crawford County,Arkansas,76.0994700780118,05,033,19.9
Crittenden County,Arkansas,73.0267848799303,05,035,16.8
Cross County,Arkansas,73.4524804330144,05,037,19.9
Dallas County,Arkansas,73.9958868828713,05,039,24.8
Desha County,Arkansas,72.7220178284176,05,041,19.4
Drew County,Arkansas,75.3221847381784,05,043,19.9
Faulkner County,Arkansas,76.6906424011415,05,045,14.3
Franklin County,Arkansas,74.8382795580183,05,047,22.8
Fulton County,Arkansas,75.0356374627702,05,049,23.5
Garland County,Arkansas,74.8562256903252,05,051,20.2
Grant County,Arkansas,75.6041085997915,05,053,19.2
Greene County,Arkansas,74.3358069408924,05,055,22.9
Hempstead County,Arkansas,75.5311036861403,05,057,17.0
Hot Spring County,Arkansas,74.4833685843654,05,059,23.8
Howard County,Arkansas,74.3708884718481,05,061,17.6
Independence County,Arkansas,76.1679910478133,05,063,20.1
Izard County,Arkansas,75.6157370549392,05,065,26.8
Jackson County,Arkansas,73.4717805117145,05,067,23.5
Jefferson County,Arkansas,73.4261899123358,05,069,18.0
Johnson County,Arkansas,75.9836214076058,05,071,20.2
Lafayette County,Arkansas,74.9707697442814,05,073,25.2
Lawrence County,Arkansas,74.1619647316862,05,075,23.4
Lee County,Arkansas,73.6550632062585,05,077,24.2
Lincoln County,Arkansas,75.1174601445946,05,079,21.1
Little River County,Arkansas,74.2296480855239,05,081,20.9
Logan County,Arkansas,74.5390519713844,05,083,22.0
Lonoke County,Arkansas,75.1530127524346,05,085,14.1
Madison County,Arkansas,75.8570084978955,05,087,18.1
Marion County,Arkansas,75.6545986398168,05,089,23.3
Miller County,Arkansas,75.0245849048596,05,091,18.7
Mississippi County,Arkansas,71.6047392412473,05,093,20.0
Monroe County,Arkansas,72.5085008717615,05,095,23.6
Montgomery County,Arkansas,75.8260867646292,05,097,25.9
Nevada County,Arkansas,74.3619052994291,05,099,20.9
Newton County,Arkansas,77.4202686543232,05,101,22.1
Ouachita County,Arkansas,73.4591112390394,05,103,19.9
Perry County,Arkansas,75.1914833175535,05,105,23.9
Phillips County,Arkansas,71.3872806812049,05,107,22.2
Pike County,Arkansas,75.2543244823106,05,109,26.9
Poinsett County,Arkansas,71.448323467462,05,111,22.3
Polk County,Arkansas,75.318879330763,05,113,23.3
Pope County,Arkansas,76.7648866733951,05,115,17.7
Prairie County,Arkansas,76.3100595930086,05,117,21.2
Pulaski County,Arkansas,76.2703323632758,05,119,15.7
Randolph County,Arkansas,74.5934682592182,05,121,22.2
Saint Francis County,Arkansas,74.2825629644221,05,123,18.5
Saline County,Arkansas,77.3055666277896,05,125,16.6
Scott County,Arkansas,74.8636036332918,05,127,24.5
Searcy County,Arkansas,75.4159073702129,05,129,20.6
Sebastian County,Arkansas,76.1656763127211,05,131,19.8
Sevier County,Arkansas,75.6975365722476,05,133,14.2
Sharp County,Arkansas,73.8715952603263,05,135,27.1
Stone County,Arkansas,76.3093521708669,05,137,22.6
Union County,Arkansas,73.5506121344898,05,139,17.4
Van Buren County,Arkansas,76.0940936040922,05,141,25.4
Washington County,Arkansas,78.0991138391832,05,143,10.6
White County,Arkansas,75.5567414461608,05,145,16.2
Woodruff County,Arkansas,72.9480766180175,05,147,23.8
Yell County,Arkansas,74.9235318658026,05,149,19.7
Alameda County,California,82.7575999201849,06,001,9.2
Alpine County,California,78.6485788538821,06,003,16.0
Amador County,California,79.8862333173767,06,005,19.0
Butte County,California,77.74205624894,06,007,17.2
Calaveras County,California,79.652233484278,06,009,21.1
Colusa County,California,79.8519517516367,06,011,12.2
Contra Costa County,California,82.3343582015746,06,013,11.2
Del Norte County,California,75.6423735250373,06,015,20.0
El Dorado County,California,81.9417323021439,06,017,13.2
Fresno County,California,78.7315724036983,06,019,13.2
Glenn County,California,77.4985091634692,06,021,15.2
Humboldt County,California,77.103231884233,06,023,16.5
Imperial County,California,81.0043587502323,06,025,14.4
Inyo County,California,79.7078188792565,06,027,14.2
Kern County,California,77.2937032261976,06,029,11.1
Kings County,California,79.6146493630519,06,031,12.2
Lake County,California,74.991217511911,06,033,20.0
Lassen County,California,78.2284119036475,06,035,18.4
Los Angeles County,California,81.972558307764,06,037,9.9
Madera County,California,79.3974531940033,06,039,13.0
Marin County,California,85.1494474193505,06,041,9.1
Mariposa County,California,80.1801056836494,06,043,20.4
Mendocino County,California,79.077233019805,06,045,17.0
Merced County,California,78.8420147049498,06,047,13.0
Modoc County,California,77.2373424971755,06,049,18.3
Mono County,California,85.4852438391621,06,051,5.3
Monterey County,California,82.2537544267071,06,053,8.8
Napa County,California,81.66511692599,06,055,11.8
Nevada County,California,81.3041858848551,06,057,14.3
Orange County,California,82.9944118033005,06,059,8.5
Placer County,California,82.0887926135161,06,061,10.6
Plumas County,California,78.6325377024891,06,063,16.5
Riverside County,California,80.7191290565484,06,065,11.6
Sacramento County,California,79.4935137170957,06,067,11.8
San Benito County,California,81.9286772500934,06,069,9.0
San Bernardino County,California,78.5801556964033,06,071,11.0
San Diego County,California,82.0170756619688,06,073,9.9
San Francisco County,California,83.5138158609691,06,075,10.2
San Joaquin County,California,78.3915151066575,06,077,12.5
San Luis Obispo County,California,81.5052105883313,06,079,11.6
San Mateo County,California,84.7023442849213,06,081,8.2
Santa Barbara County,California,81.8166907378361,06,083,9.9
Santa Clara County,California,84.5063120740832,06,085,8.0
Santa Cruz County,California,82.7177673079809,06,087,12.0
Shasta County,California,76.2390119338471,06,089,18.3
Sierra County,California,78.8775588444232,06,091,15.6
Siskiyou County,California,76.2690959628399,06,093,18.6
Solano County,California,80.0436361786558,06,095,12.3
Sonoma County,California,82.0820448341027,06,097,11.9
Stanislaus County,California,77.8966215595777,06,099,13.1
Sutter County,California,78.6026819687963,06,101,13.6
Tehama County,California,77.3220982796968,06,103,18.9
Trinity County,California,76.6003438081553,06,105,20.9
Tulare County,California,78.4413170202644,06,107,12.1
Tuolumne County,California,78.8406628636061,06,109,19.6
Ventura County,California,82.2820614093944,06,111,10.9
Yolo County,California,81.315994065652,06,113,9.6
Yuba County,California,76.0772917446634,06,115,15.0
Alamosa County,Colorado,75.8122663850422,08,003,17.5
Archuleta County,Colorado,82.1853597930904,08,007,14.7
Baca County,Colorado,77.5452423013832,08,009,20.2
Bent County,Colorado,76.0410177047456,08,011,26.1
Chaffee County,Colorado,81.6805627048081,08,015,17.1
Cheyenne County,Colorado,78.6241739187883,08,017,12.2
Clear Creek County,Colorado,83.0032467314909,08,019,9.9
Conejos County,Colorado,76.5610928960289,08,021,20.3
Costilla County,Colorado,77.3234917081086,08,023,27.6
Crowley County,Colorado,76.9118821750115,08,025,24.6
Custer County,Colorado,81.5940275715944,08,027,16.1
Delta County,Colorado,78.1426822131909,08,029,18.9
Dolores County,Colorado,79.6458320998059,08,033,19.2
Douglas County,Colorado,83.798242865611,08,035,6.7
Eagle County,Colorado,89.037765865798,08,037,5.0
Elbert County,Colorado,82.0085057703699,08,039,8.9
El Paso County,Colorado,78.8629762838757,08,041,12.4
Fremont County,Colorado,77.3840109100534,08,043,18.9
Garfield County,Colorado,80.7747188112076,08,045,7.8
Gilpin County,Colorado,82.1469482912617,08,047,9.6
Grand County,Colorado,84.3255281528647,08,049,5.0
Gunnison County,Colorado,83.0109717359124,08,051,8.0
Huerfano County,Colorado,75.3764961797006,08,055,23.0
Jackson County,Colorado,79.7053619586582,08,057,8.0
Kiowa County,Colorado,77.4317406302941,08,061,15.5
Kit Carson County,Colorado,79.5711867594791,08,063,16.0
Lake County,Colorado,82.5092432798499,08,065,13.1
La Plata County,Colorado,82.2831673739764,08,067,9.0
Larimer County,Colorado,81.7409917944594,08,069,9.7
Las Animas County,Colorado,76.7842621659841,08,071,24.1
Lincoln County,Colorado,78.3588326706885,08,073,15.9
Logan County,Colorado,79.6749551479201,08,075,14.2
Mesa County,Colorado,78.6479463380801,08,077,15.0
Moffat County,Colorado,78.6065465646204,08,081,11.3
Montezuma County,Colorado,77.6362624458917,08,083,17.3
Montrose County,Colorado,79.6282118450066,08,085,15.8
Morgan County,Colorado,78.3683962833378,08,087,11.2
Otero County,Colorado,75.2461381669673,08,089,21.0
Ouray County,Colorado,84.4945402093033,08,091,11.5
Park County,Colorado,83.1413359768179,08,093,12.9
Phillips County,Colorado,80.83770234646,08,095,12.4
Pitkin County,Colorado,91.9533771503941,08,097,6.5
Prowers County,Colorado,77.0828492749894,08,099,16.9
Pueblo County,Colorado,76.4359209535187,08,101,19.5
Rio Blanco County,Colorado,78.9294619320974,08,103,12.1
Rio Grande County,Colorado,76.9744549124682,08,105,20.2
Routt County,Colorado,83.7251626952226,08,107,6.2
Saguache County,Colorado,79.7395365629359,08,109,15.6
San Miguel County,Colorado,86.8405002420409,08,113,5.5
Sedgwick County,Colorado,78.0042385836866,08,115,18.2
Summit County,Colorado,92.2538583558184,08,117,5.7
Teller County,Colorado,80.8594227143916,08,119,13.8
Washington County,Colorado,79.579162477447,08,121,11.1
Yuma County,Colorado,79.1819910265769,08,125,11.6
Adams County,Colorado,80.7776770732522,08,001,10.4
Arapahoe County,Colorado,80.7776770732522,08,005,9.0
Boulder County,Colorado,80.7776770732522,08,013,8.1
Broomfield County,Colorado,80.7776770732522,08,014,8.1
Denver County,Colorado,80.7776770732522,08,031,9.6
Jefferson County,Colorado,80.7776770732522,08,059,10.0
Weld County,Colorado,80.7776770732522,08,123,10.3
Fairfield County,Connecticut,83.06367075044,09,001,9.6
Hartford County,Connecticut,80.3245705571959,09,003,11.8
Litchfield County,Connecticut,80.4782806087235,09,005,11.8
Middlesex County,Connecticut,81.2555672072746,09,007,11.0
New Haven County,Connecticut,80.238661322463,09,009,11.6
New London County,Connecticut,80.0120060973127,09,011,12.9
Tolland County,Connecticut,81.8506213159263,09,013,10.2
Windham County,Connecticut,78.8137553417168,09,015,13.6
Kent County,Delaware,77.3566080866732,10,001,15.3
New Castle County,Delaware,78.4233453623627,10,003,11.3
Sussex County,Delaware,78.7243267092783,10,005,14.0
Alachua County,Florida,78.4340931262536,12,001,10.9
Baker County,Florida,75.128460017376,12,003,15.9
Bay County,Florida,75.8516440862453,12,005,19.5
Bradford County,Florida,74.9471636217274,12,007,19.4
Brevard County,Florida,77.1535095933838,12,009,15.8
Broward County,Florida,80.6456883184715,12,011,10.8
Calhoun County,Florida,74.745562315166,12,013,23.7
Charlotte County,Florida,80.2028826550715,12,015,22.5
Citrus County,Florida,75.2265593412728,12,017,21.7
Clay County,Florida,77.3186239719444,12,019,13.5
Collier County,Florida,85.3006274853414,12,021,11.5
Columbia County,Florida,75.0076209421469,12,023,19.7
Miami-Dade County,Florida,81.2133398870448,12,086,10.1
DeSoto County,Florida,79.353923606622,12,027,14.6
Dixie County,Florida,74.5628919091959,12,029,23.3
Duval County,Florida,75.6810672794633,12,031,13.3
Escambia County,Florida,74.8858720184732,12,033,15.4
Flagler County,Florida,78.8047744405017,12,035,14.8
Franklin County,Florida,76.2443544791436,12,037,22.5
Gadsden County,Florida,75.4408844419078,12,039,19.4
Gilchrist County,Florida,76.8041546429204,12,041,21.2
Glades County,Florida,80.4422155675543,12,043,18.2
Gulf County,Florida,76.6890535995694,12,045,20.2
Hamilton County,Florida,75.1405417872033,12,047,23.7
Hardee County,Florida,78.3664151371352,12,049,11.4
Hendry County,Florida,77.1024946420314,12,051,12.0
Hernando County,Florida,76.4707870919015,12,053,19.6
Highlands County,Florida,78.4611947135149,12,055,19.8
Hillsborough County,Florida,78.9068329546551,12,057,11.6
Holmes County,Florida,72.8524921555009,12,059,23.4
Indian River County,Florida,80.0866066846368,12,061,16.3
Jackson County,Florida,74.3833609589623,12,063,20.2
Jefferson County,Florida,77.0612988493261,12,065,17.9
Lafayette County,Florida,77.1306853774472,12,067,15.7
Lake County,Florida,78.231313487883,12,069,16.6
Lee County,Florida,81.8202975262275,12,071,13.9
Leon County,Florida,79.1165379077494,12,073,11.2
Levy County,Florida,74.8204356383303,12,075,20.9
Liberty County,Florida,75.7841247471328,12,077,23.5
Madison County,Florida,75.0209773080767,12,079,18.3
Manatee County,Florida,80.5582354410051,12,081,14.1
Marion County,Florida,75.8588184778582,12,083,17.9
Martin County,Florida,81.5458024946645,12,085,15.6
Monroe County,Florida,80.0453706124074,12,087,10.3
Nassau County,Florida,77.3506959508971,12,089,16.4
Okaloosa County,Florida,77.4527229824993,12,091,15.5
Okeechobee County,Florida,76.0476015281269,12,093,16.3
Orange County,Florida,79.8001708637047,12,095,11.0
Osceola County,Florida,78.8994587406866,12,097,14.3
Palm Beach County,Florida,81.5903769096319,12,099,12.3
Pasco County,Florida,77.2485204856939,12,101,16.1
Pinellas County,Florida,78.586674870322,12,103,15.4
Polk County,Florida,77.8084507732582,12,105,15.4
Putnam County,Florida,73.8294207855765,12,107,16.9
Saint Johns County,Florida,80.8265760794815,12,109,11.2
Saint Lucie County,Florida,79.5825368083965,12,111,15.1
Santa Rosa County,Florida,77.2818335841508,12,113,15.8
Sarasota County,Florida,81.1962314153777,12,115,15.4
Seminole County,Florida,79.9067588033048,12,117,10.6
Sumter County,Florida,80.6404891289786,12,119,20.0
Suwannee County,Florida,75.5232667907986,12,121,20.6
Taylor County,Florida,74.640605259606,12,123,21.0
Union County,Florida,67.7776529585801,12,125,15.4
Volusia County,Florida,76.2744848258596,12,127,17.6
Wakulla County,Florida,76.390708716639,12,129,14.7
Walton County,Florida,77.7803937214357,12,131,17.3
Washington County,Florida,72.6685066903205,12,133,18.5
Appling County,Georgia,74.1299840083705,13,001,15.5
Atkinson County,Georgia,73.6106428460459,13,003,16.2
Bacon County,Georgia,72.7153851629149,13,005,19.7
Baker County,Georgia,77.2265523808269,13,007,21.4
Baldwin County,Georgia,75.958726877356,13,009,15.5
Banks County,Georgia,76.7747953820731,13,011,18.4
Barrow County,Georgia,76.8906956716554,13,013,13.9
Bartow County,Georgia,76.6574000836464,13,015,14.0
Ben Hill County,Georgia,73.1077252518848,13,017,15.2
Berrien County,Georgia,74.4030446681557,13,019,18.6
Bibb County,Georgia,74.0479230862072,13,021,15.7
Bleckley County,Georgia,76.0332417443827,13,023,16.1
Brantley County,Georgia,74.6044083049542,13,025,19.0
Brooks County,Georgia,74.901508755282,13,027,15.7
Bryan County,Georgia,76.2530588035402,13,029,12.6
Bulloch County,Georgia,77.2098952039386,13,031,13.3
Burke County,Georgia,73.9960548058811,13,033,13.7
Butts County,Georgia,74.1990085559535,13,035,15.1
Calhoun County,Georgia,74.4427083560295,13,037,16.4
Camden County,Georgia,78.2590427705682,13,039,12.9
Candler County,Georgia,73.7650410440072,13,043,16.6
Carroll County,Georgia,75.5638951544728,13,045,14.4
Catoosa County,Georgia,77.9344541792589,13,047,16.4
Charlton County,Georgia,76.4868454884365,13,049,20.1
Chatham County,Georgia,77.8888660442048,13,051,14.4
Chattahoochee County,Georgia,77.4040253799594,13,053,10.9
Chattooga County,Georgia,73.6686753247581,13,055,17.0
Cherokee County,Georgia,80.2625671216918,13,057,10.1
Clarke County,Georgia,79.0362591976606,13,059,11.5
Clay County,Georgia,73.8111217920828,13,061,20.4
Clayton County,Georgia,76.8990515639018,13,063,10.8
Clinch County,Georgia,72.551746901677,13,065,16.7
Cobb County,Georgia,80.6407684417505,13,067,8.7
Coffee County,Georgia,74.5050115025747,13,069,19.6
Colquitt County,Georgia,74.1561281823738,13,071,14.7
Columbia County,Georgia,80.3603128042985,13,073,11.8
Cook County,Georgia,74.5026987480474,13,075,18.5
Coweta County,Georgia,78.8038123093466,13,077,11.0
Crawford County,Georgia,75.6724806214399,13,079,17.9
Crisp County,Georgia,74.7220937268816,13,081,16.6
Dade County,Georgia,75.3114701564565,13,083,17.7
Dawson County,Georgia,78.3033662471657,13,085,15.4
Decatur County,Georgia,73.6601562217573,13,087,15.8
DeKalb County,Georgia,80.4448353783483,13,089,10.2
Dodge County,Georgia,75.5468666139455,13,091,20.2
Dooly County,Georgia,78.5020483004188,13,093,19.7
Dougherty County,Georgia,74.3390713154805,13,095,16.2
Douglas County,Georgia,77.8467664649048,13,097,11.2
Early County,Georgia,73.5795568978364,13,099,15.7
Echols County,Georgia,77.4904865671423,13,101,14.6
Effingham County,Georgia,76.7115741558666,13,103,11.1
Elbert County,Georgia,74.483630029281,13,105,21.2
Emanuel County,Georgia,72.8820410119048,13,107,20.0
Evans County,Georgia,75.2129516041769,13,109,16.9
Fannin County,Georgia,77.7982430579873,13,111,25.2
Fayette County,Georgia,81.1591964534197,13,113,10.4
Floyd County,Georgia,75.3084423705215,13,115,15.4
Forsyth County,Georgia,82.1629515233153,13,117,7.3
Franklin County,Georgia,74.074368213478,13,119,19.6
Fulton County,Georgia,79.6229445774038,13,121,10.0
Gilmer County,Georgia,78.3697821362563,13,123,20.8
Glascock County,Georgia,73.556073913624,13,125,13.9
Glynn County,Georgia,77.6513857604345,13,127,15.4
Gordon County,Georgia,75.7777192557876,13,129,17.2
Grady County,Georgia,75.6745096058627,13,131,21.4
Greene County,Georgia,78.4712900431319,13,133,14.2
Gwinnett County,Georgia,81.0167761555968,13,135,6.9
Habersham County,Georgia,77.4525536461943,13,137,16.5
Hall County,Georgia,79.2450646509743,13,139,11.5
Hancock County,Georgia,75.381368510092,13,141,15.0
Haralson County,Georgia,73.5774524409532,13,143,18.6
Harris County,Georgia,79.5625776557608,13,145,18.1
Hart County,Georgia,77.164437570065,13,147,21.2
Heard County,Georgia,75.0756227800294,13,149,21.0
Henry County,Georgia,77.5779659535645,13,151,9.8
Houston County,Georgia,77.5879454126882,13,153,13.4
Irwin County,Georgia,75.0602816749064,13,155,18.3
Jackson County,Georgia,76.6407832284404,13,157,14.0
Jasper County,Georgia,76.1353765239125,13,159,17.3
Jeff Davis County,Georgia,73.5009861495751,13,161,18.6
Jefferson County,Georgia,72.6459562949125,13,163,15.2
Jenkins County,Georgia,73.4732476527202,13,165,15.0
Johnson County,Georgia,76.1942124683175,13,167,18.4
Jones County,Georgia,78.0617806492275,13,169,15.6
Lamar County,Georgia,74.9593700097731,13,171,16.0
Lanier County,Georgia,75.6935233496723,13,173,16.1
Laurens County,Georgia,74.6579676717434,13,175,14.3
Lee County,Georgia,76.7743295827364,13,177,11.6
Liberty County,Georgia,76.4874651261938,13,179,14.2
Lincoln County,Georgia,76.5255941801173,13,181,16.0
Long County,Georgia,79.0586846862287,13,183,17.0
Lowndes County,Georgia,76.1271047440151,13,185,11.2
Lumpkin County,Georgia,77.9066523957369,13,187,15.0
McDuffie County,Georgia,74.0298601677061,13,189,12.7
McIntosh County,Georgia,80.4104185456372,13,191,22.9
Macon County,Georgia,73.7464509823897,13,193,16.0
Madison County,Georgia,76.2644253282229,13,195,18.8
Marion County,Georgia,76.5979928578085,13,197,13.4
Meriwether County,Georgia,74.8212349638533,13,199,20.9
Miller County,Georgia,73.123478698754,13,201,11.7
Mitchell County,Georgia,73.9757811247242,13,205,16.2
Monroe County,Georgia,78.2585017790917,13,207,16.3
Montgomery County,Georgia,75.1853790614533,13,209,17.1
Morgan County,Georgia,77.8007938168183,13,211,15.7
Murray County,Georgia,75.1219487694679,13,213,13.1
Muscogee County,Georgia,74.2296849653059,13,215,18.4
Newton County,Georgia,76.4384532126195,13,217,14.9
Oconee County,Georgia,81.4613369282058,13,219,9.7
Oglethorpe County,Georgia,77.9479609720703,13,221,15.8
Paulding County,Georgia,78.9241895570538,13,223,10.7
Peach County,Georgia,73.8047058848866,13,225,17.7
Pickens County,Georgia,77.3860957156484,13,227,17.8
Pierce County,Georgia,74.4341947507242,13,229,15.6
Pike County,Georgia,75.7634647722075,13,231,12.1
Polk County,Georgia,73.5988039563983,13,233,15.6
Pulaski County,Georgia,78.2225246953724,13,235,22.4
Putnam County,Georgia,78.1286067826551,13,237,15.4
Quitman County,Georgia,76.2445068416415,13,239,20.2
Rabun County,Georgia,77.2156800094562,13,241,21.2
Randolph County,Georgia,75.0894837271813,13,243,16.9
Richmond County,Georgia,74.0629670568665,13,245,17.0
Rockdale County,Georgia,77.7222836148183,13,247,10.6
Schley County,Georgia,77.279661862851,13,249,17.0
Screven County,Georgia,74.7823602905223,13,251,15.9
Seminole County,Georgia,73.6092805430089,13,253,18.8
Spalding County,Georgia,74.6017277015724,13,255,15.0
Stephens County,Georgia,73.7753654217199,13,257,20.6
Stewart County,Georgia,74.4562707570844,13,259,21.5
Sumter County,Georgia,74.3226006260793,13,261,13.6
Talbot County,Georgia,74.7648988477763,13,263,17.1
Taliaferro County,Georgia,74.7025631630207,13,265,21.4
