County,State,mean_life_expectancy,State_FIPS,County_FIPS,high_school_only_percentage
Macon County,Alabama,73.090134567349,01,087,31.2
Madison County,Alabama,77.5122550397981,01,089,20.9
Marengo County,Alabama,73.54245764648,01,091,40.2
Marion County,Alabama,74.0145601745605,01,093,35.0
Marshall County,Alabama,74.0554552221729,01,095,31.9
Mobile County,Alabama,74.8448680449495,01,097,32.6
Monroe County,Alabama,74.7048197454091,01,099,45.1
Montgomery County,Alabama,75.9247713547993,01,101,25.4
Morgan County,Alabama,75.2816176346909,01,103,30.1
Perry County,Alabama,72.2207426684408,01,105,39.5
Pickens County,Alabama,74.3841278449026,01,107,39.9
Pike County,Alabama,74.9075976437267,01,109,32.7
Randolph County,Alabama,74.1995203731576,01,111,36.4
Russell County,Alabama,73.8166201926909,01,113,31.2
Saint Clair County,Alabama,74.931099486946,01,115,36.1
Shelby County,Alabama,79.9329869213868,01,117,21.0
Sumter County,Alabama,74.3710053760309,01,119,41.6
Talladega County,Alabama,73.4265194965138,01,121,35.7
Tallapoosa County,Alabama,74.8367340685609,01,123,35.3
Tuscaloosa County,Alabama,76.1222396683925,01,125,30.3
Walker County,Alabama,70.313647599106,01,127,36.6
Washington County,Alabama,74.2666042086814,01,129,45.8
Wilcox County,Alabama,71.4893330327934,01,131,44.9
Winston County,Alabama,74.3483369616355,01,133,34.3
Anchorage Municipality,Alaska,78.9414080782189,02,020,24.0
Bethel Census Area,Alaska,72.4470915674431,02,050,45.4
Bristol Bay Borough,Alaska,75.6282235384974,02,060,34.8
Fairbanks North Star Borough,Alaska,79.6767828494726,02,090,22.2
Haines Borough,Alaska,81.3439033397237,02,100,25.7
Juneau City and Borough,Alaska,80.1511541046263,02,110,21.2
Kenai Peninsula Borough,Alaska,78.4498058809908,02,122,32.2
Kodiak Island Borough,Alaska,79.6808969333594,02,150,27.3
Matanuska-Susitna Borough,Alaska,78.425444432157,02,170,31.8
Nome Census Area,Alaska,70.7266373275761,02,180,43.1
North Slope Borough,Alaska,75.2944708808568,02,185,37.8
Sitka City and Borough,Alaska,80.0851648320793,02,220,25.7
Southeast Fairbanks Census Area,Alaska,77.453426696203,02,240,33.4
Valdez-Cordova Census Area,Alaska,78.4894852204936,02,261,27.3
Wade Hampton Census Area,Alaska,68.2374433774828,02,270,
Northwest Arctic Borough,Alaska,72.3150672257676,02,188,45.0
Aleutians East Borough,Alaska,83.9668552562973,02,013,42.0
Aleutians West Census Area,Alaska,83.9668552562973,02,016,40.3
Dillingham Census Area,Alaska,73.902430273866,02,070,36.9
Lake and Peninsula Borough,Alaska,73.902430273866,02,164,42.5
Denali Borough,Alaska,73.7545978405956,02,068,23.4
Yukon-Koyukuk Census Area,Alaska,73.7545978405956,02,290,39.9
Hoonah-Angoon Census Area,Alaska,80.6333971268856,02,105,33.9
Skagway Municipality,Alaska,80.6333971268856,02,230,24.9
Yakutat City and Borough,Alaska,80.6333971268856,02,282,40.8
Ketchikan Gateway Borough,Alaska,78.7599035617588,02,130,31.7
Petersburg Borough,Alaska,78.7599035617588,02,195,33.7
Prince of Wales-Hyder Census Area,Alaska,78.7599035617588,02,198,39.1
Wrangell City and Borough,Alaska,78.7599035617588,02,275,34.3
Apache County,Arizona,72.5861795747435,04,001,33.5
Cochise County,Arizona,77.8381814457557,04,003,23.2
Coconino County,Arizona,78.7310637809859,04,005,21.6
Gila County,Arizona,74.5194372043746,04,007,28.7
Graham County,Arizona,77.0588505436379,04,009,32.9
Greenlee County,Arizona,78.2700423686553,04,011,36.8
Maricopa County,Arizona,79.7975632543799,04,013,22.9
Mohave County,Arizona,75.0984277272029,04,015,36.0
Navajo County,Arizona,74.0172421905699,04,017,30.3
Pima County,Arizona,78.7473891386961,04,019,22.6
Pinal County,Arizona,80.8872234047816,04,021,29.2
Santa Cruz County,Arizona,81.6928524316121,04,023,26.2
Yavapai County,Arizona,78.2013767088911,04,025,25.8
La Paz County,Arizona,81.1323584179148,04,012,36.4
Yuma County,Arizona,81.1323584179148,04,027,25.6
Arkansas County,Arkansas,73.5078340747071,05,001,40.6
Ashley County,Arkansas,74.1018929294341,05,003,39.7
Baxter County,Arkansas,75.9668160004689,05,005,34.4
Benton County,Arkansas,79.3662392360665,05,007,30.5
Boone County,Arkansas,76.2052538764821,05,009,34.6
Bradley County,Arkansas,73.6321012263139,05,011,41.5
Calhoun County,Arkansas,74.2742607709339,05,013,49.6
Carroll County,Arkansas,76.8819075049595,05,015,34.9
Chicot County,Arkansas,73.3238474544558,05,017,42.0
Clark County,Arkansas,75.3882863851655,05,019,30.9
Clay County,Arkansas,72.9811894014708,05,021,42.4
Cleburne County,Arkansas,75.8127585008705,05,023,38.2
Cleveland County,Arkansas,74.8939886154834,05,025,43.9
Columbia County,Arkansas,74.0855795655613,05,027,39.2
Conway County,Arkansas,74.754414371743,05,029,42.3
Craighead County,Arkansas,76.0817250967884,05,031,34.2
Crawford County,Arkansas,75.6766406592927,05,033,40.0
Crittenden County,Arkansas,72.5637861678559,05,035,35.6
Cross County,Arkansas,73.2244878594942,05,037,44.0
Dallas County,Arkansas,73.4422555480321,05,039,48.9
Desha County,Arkansas,72.6462159118589,05,041,39.7
Drew County,Arkansas,75.1951468080834,05,043,36.9
Faulkner County,Arkansas,76.4874032503551,05,045,30.7
Franklin County,Arkansas,74.4845723172756,05,047,40.8
Fulton County,Arkansas,74.9094662928843,05,049,40.7
Garland County,Arkansas,74.6472657226993,05,051,31.3
Grant County,Arkansas,75.4770090781045,05,053,41.6
Greene County,Arkansas,74.1589164965496,05,055,43.0
Hempstead County,Arkansas,75.1979646501176,05,057,38.0
Hot Spring County,Arkansas,74.4999020548917,05,059,41.6
Howard County,Arkansas,73.932743414837,05,061,33.8
Independence County,Arkansas,75.597642844104,05,063,37.5
Izard County,Arkansas,75.3232023880092,05,065,40.7
Jackson County,Arkansas,73.2755006173174,05,067,42.1
Jefferson County,Arkansas,73.3573657986794,05,069,38.4
Johnson County,Arkansas,75.708328154088,05,071,43.1
Lafayette County,Arkansas,74.1087285476435,05,073,42.7
Lawrence County,Arkansas,73.8666511091755,05,075,41.2
Lee County,Arkansas,73.2898101789483,05,077,38.6
Lincoln County,Arkansas,74.8737212942846,05,079,50.2
Little River County,Arkansas,74.0887659563583,05,081,40.6
Logan County,Arkansas,74.3392486202055,05,083,43.9
Lonoke County,Arkansas,74.8597538055158,05,085,33.9
Madison County,Arkansas,75.3760684364268,05,087,47.1
Marion County,Arkansas,75.2302699143187,05,089,39.4
Miller County,Arkansas,74.464750313759,05,091,39.2
Mississippi County,Arkansas,71.5808568937905,05,093,36.8
Monroe County,Arkansas,72.5512464018065,05,095,41.7
Montgomery County,Arkansas,75.7333292628795,05,097,35.4
Nevada County,Arkansas,74.1305169224004,05,099,45.0
Newton County,Arkansas,76.8481553354379,05,101,40.7
Ouachita County,Arkansas,72.9330993978912,05,103,42.6
Perry County,Arkansas,74.9408602678681,05,105,43.0
Phillips County,Arkansas,71.0370074249924,05,107,31.4
Pike County,Arkansas,74.8391656898764,05,109,35.6
Poinsett County,Arkansas,71.2771472412706,05,111,42.5
Polk County,Arkansas,74.8970397900164,05,113,36.9
Pope County,Arkansas,76.4300136434993,05,115,33.8
Prairie County,Arkansas,75.5071739186967,05,117,43.4
Pulaski County,Arkansas,75.8807017523375,05,119,27.1
Randolph County,Arkansas,74.4503944893886,05,121,38.3
Saint Francis County,Arkansas,74.2814678477732,05,123,38.7
Saline County,Arkansas,77.1945795984751,05,125,33.4
Scott County,Arkansas,74.7762367047787,05,127,38.5
Searcy County,Arkansas,75.209341850468,05,129,42.1
Sebastian County,Arkansas,75.7412578528108,05,131,31.9
Sevier County,Arkansas,75.0335734317659,05,133,34.6
Sharp County,Arkansas,73.8718009909941,05,135,43.2
Stone County,Arkansas,75.9810049570156,05,137,35.1
Union County,Arkansas,73.1547114216788,05,139,36.0
Van Buren County,Arkansas,76.1235890134709,05,141,45.2
Washington County,Arkansas,77.842915624892,05,143,27.5
White County,Arkansas,75.2602189004461,05,145,38.2
Woodruff County,Arkansas,72.6191345768075,05,147,45.4
Yell County,Arkansas,74.3789291508417,05,149,40.9
Alameda County,California,82.1501481156434,06,001,18.0
Alpine County,California,78.7141694777777,06,003,32.5
Amador County,California,79.6289913494107,06,005,26.8
Butte County,California,77.5105736588065,06,007,22.7
Calaveras County,California,79.3962210334918,06,009,27.2
Colusa County,California,79.8683726910953,06,011,21.8
Contra Costa County,California,81.820905224195,06,013,18.2
Del Norte County,California,75.3686655248315,06,015,30.7
El Dorado County,California,81.4317611841157,06,017,21.8
Fresno County,California,78.4598027402172,06,019,22.7
Glenn County,California,77.4678250112228,06,021,27.9
Humboldt County,California,76.7743480124378,06,023,24.7
Imperial County,California,80.7733344280559,06,025,22.5
Inyo County,California,79.2496428941011,06,027,31.2
Kern County,California,77.1131579275637,06,029,27.2
Kings County,California,79.3576346699736,06,031,26.4
Lake County,California,74.8583185356204,06,033,27.8
Lassen County,California,78.1832914319916,06,035,30.9
Los Angeles County,California,81.5672419912865,06,037,20.7
Madera County,California,78.9932943575827,06,039,25.9
Marin County,California,84.5696953393942,06,041,11.3
Mariposa County,California,80.0692648230514,06,043,28.4
Mendocino County,California,78.5297725160372,06,045,26.2
Merced County,California,78.5160140959399,06,047,25.2
Modoc County,California,77.3676287645249,06,049,27.1
Mono County,California,84.9099794657506,06,051,18.0
Monterey County,California,81.9215612488998,06,053,20.4
Napa County,California,81.1717905624185,06,055,18.8
Nevada County,California,81.0737790934898,06,057,19.6
Orange County,California,82.5515884259936,06,059,17.4
Placer County,California,81.6415657950364,06,061,19.2
Plumas County,California,78.4309252153192,06,063,23.9
Riverside County,California,80.3460832691874,06,065,25.9
Sacramento County,California,79.0908345914297,06,067,22.4
San Benito County,California,81.7030195794554,06,069,24.6
San Bernardino County,California,78.3619715863638,06,071,26.2
San Diego County,California,81.6053443891293,06,073,18.8
San Francisco County,California,82.9715287689956,06,075,12.5
San Joaquin County,California,78.1059218431169,06,077,26.6
San Luis Obispo County,California,81.2878144166655,06,079,19.4
San Mateo County,California,84.0123323762231,06,081,15.9
Santa Barbara County,California,81.6454722199999,06,083,17.9
Santa Clara County,California,83.9160943086229,06,085,14.8
Santa Cruz County,California,81.9961564120804,06,087,15.5
Shasta County,California,75.8154731112947,06,089,25.5
Sierra County,California,78.6673415441736,06,091,26.5
Siskiyou County,California,76.2815852028519,06,093,25.4
Solano County,California,79.6679789808252,06,095,23.5
Sonoma County,California,81.4949042107213,06,097,19.4
Stanislaus County,California,77.7558204850156,06,099,28.1
Sutter County,California,78.425992865714,06,101,24.4
Tehama County,California,77.156038711692,06,103,31.1
Trinity County,California,76.476377604325,06,105,32.4
Tulare County,California,78.0600422756,06,107,25.4
Tuolumne County,California,78.5207303713631,06,109,28.6
Ventura County,California,81.8451328376878,06,111,18.8
Yolo County,California,80.902034743803,06,113,19.2
Yuba County,California,75.7450257040619,06,115,24.3
Alamosa County,Colorado,75.771887610673,08,003,24.4
Archuleta County,Colorado,81.6414378243916,08,007,25.6
Baca County,Colorado,76.9965655550903,08,009,29.6
Bent County,Colorado,75.7641542661414,08,011,45.5
Chaffee County,Colorado,81.2002092122488,08,015,26.2
Cheyenne County,Colorado,78.8841561398334,08,017,34.0
Clear Creek County,Colorado,82.2134532225974,08,019,20.3
Conejos County,Colorado,76.3307341255663,08,021,31.7
Costilla County,Colorado,76.7769601558707,08,023,26.4
Crowley County,Colorado,77.1719431023493,08,025,40.4
Custer County,Colorado,81.0944165093847,08,027,21.8
Delta County,Colorado,77.9358229078402,08,029,36.9
Dolores County,Colorado,79.3628695960052,08,033,38.7
Douglas County,Colorado,83.4601212130212,08,035,12.3
Eagle County,Colorado,88.2928566275646,08,037,17.9
Elbert County,Colorado,81.4849215372713,08,039,26.1
El Paso County,Colorado,78.9786695180627,08,041,20.6
Fremont County,Colorado,77.137998463904,08,043,39.2
Garfield County,Colorado,80.5212296945579,08,045,28.7
Gilpin County,Colorado,81.1262138403668,08,047,24.3
Grand County,Colorado,83.5860252464151,08,049,25.7
Gunnison County,Colorado,82.632977713167,08,051,18.1
Huerfano County,Colorado,75.6325634414296,08,055,27.4
Jackson County,Colorado,79.6337211914158,08,057,37.2
Kiowa County,Colorado,77.5284594449532,08,061,35.2
Kit Carson County,Colorado,79.2319755865927,08,063,38.1
Lake County,Colorado,81.4714622277775,08,065,33.6
La Plata County,Colorado,81.6596562998791,08,067,19.3
Larimer County,Colorado,81.5083109395379,08,069,19.4
Las Animas County,Colorado,76.3309843460437,08,071,29.6
Lincoln County,Colorado,78.6842812775749,08,073,49.7
Logan County,Colorado,79.2200596051251,08,075,34.2
Mesa County,Colorado,78.3937721412894,08,077,29.3
Moffat County,Colorado,78.1221748148496,08,081,39.9
Montezuma County,Colorado,77.1367714339189,08,083,29.5
Montrose County,Colorado,79.2461641337684,08,085,32.1
Morgan County,Colorado,78.13439908772,08,087,31.8
Otero County,Colorado,75.1401575306602,08,089,28.4
Ouray County,Colorado,84.0203909090915,08,091,18.2
Park County,Colorado,82.7078121177392,08,093,26.0
Phillips County,Colorado,80.0902373229648,08,095,32.4
Pitkin County,Colorado,90.470655000783,08,097,13.8
Prowers County,Colorado,76.7338690354723,08,099,27.6
Pueblo County,Colorado,76.4534159713537,08,101,29.3
Rio Blanco County,Colorado,78.8510030730045,08,103,33.6
Rio Grande County,Colorado,76.7006333576077,08,105,27.4
Routt County,Colorado,83.0859439169025,08,107,21.6
Saguache County,Colorado,79.549357835051,08,109,26.3
San Miguel County,Colorado,85.8934808652553,08,113,14.8
Sedgwick County,Colorado,77.6908466567926,08,115,33.8
Summit County,Colorado,90.7599342440293,08,117,17.0
Teller County,Colorado,80.4060865096973,08,119,25.4
Washington County,Colorado,79.5359214085342,08,121,34.1
Yuma County,Colorado,78.8699502657181,08,125,33.1
Adams County,Colorado,80.2432338592034,08,001,28.5
Arapahoe County,Colorado,80.2432338592034,08,005,20.6
Boulder County,Colorado,80.2432338592034,08,013,12.9
Broomfield County,Colorado,80.2432338592034,08,014,15.0
Denver County,Colorado,80.2432338592034,08,031,17.6
Jefferson County,Colorado,80.2432338592034,08,059,20.9
Weld County,Colorado,80.2432338592034,08,123,27.0
Fairfield County,Connecticut,82.5933818002003,09,001,22.4
Hartford County,Connecticut,80.2119442590321,09,003,27.2
Litchfield County,Connecticut,80.4021916136219,09,005,29.5
Middlesex County,Connecticut,81.0821212220154,09,007,27.2
New Haven County,Connecticut,80.061944421033,09,009,30.3
New London County,Connecticut,79.9198566902699,09,011,30.8
Tolland County,Connecticut,81.718649046245,09,013,27.1
Windham County,Connecticut,78.8145339848324,09,015,33.3
Kent County,Delaware,77.2142387207649,10,001,33.6
New Castle County,Delaware,78.329504469616,10,003,28.9
Sussex County,Delaware,78.511223894838,10,005,34.7
Alachua County,Florida,78.4485792222787,12,001,21.9
Baker County,Florida,75.0098994703056,12,003,41.5
Bay County,Florida,75.8233176738751,12,005,30.6
Bradford County,Florida,75.281591103258,12,007,34.8
Brevard County,Florida,77.4763904243823,12,009,28.9
Broward County,Florida,80.38591179557,12,011,27.3
Calhoun County,Florida,74.8724377962822,12,013,39.9
Charlotte County,Florida,80.0342861683159,12,015,34.2
Citrus County,Florida,75.4513819875713,12,017,37.5
Clay County,Florida,77.2720166250971,12,019,30.7
Collier County,Florida,84.5508843732645,12,021,26.2
Columbia County,Florida,74.9065889001892,12,023,36.1
Miami-Dade County,Florida,80.9623762730876,12,086,28.4
DeSoto County,Florida,79.2280677265237,12,027,40.7
Dixie County,Florida,74.6214509730913,12,029,43.2
Duval County,Florida,75.8624927005273,12,031,28.0
Escambia County,Florida,75.113067006593,12,033,28.2
Flagler County,Florida,78.902559028605,12,035,33.4
Franklin County,Florida,75.9324842435541,12,037,35.8
Gadsden County,Florida,75.3613788068946,12,039,35.6
Gilchrist County,Florida,76.6292374244165,12,041,39.3
Glades County,Florida,80.4808894980128,12,043,44.0
Gulf County,Florida,76.1199507239587,12,045,35.7
Hamilton County,Florida,75.3710930703004,12,047,38.5
Hardee County,Florida,78.4028121656282,12,049,40.4
Hendry County,Florida,77.1586211178051,12,051,31.7
Hernando County,Florida,76.698885399624,12,053,36.6
Highlands County,Florida,78.4630943919612,12,055,36.9
Hillsborough County,Florida,78.6239373423411,12,057,27.2
Holmes County,Florida,73.5174425326516,12,059,37.6
Indian River County,Florida,80.0878689742647,12,061,30.1
Jackson County,Florida,74.7530884871818,12,063,35.5
Jefferson County,Florida,76.8534552788289,12,065,32.6
Lafayette County,Florida,76.6907511322574,12,067,37.3
Lake County,Florida,78.590205121082,12,069,33.5
Lee County,Florida,81.4778140042049,12,071,30.7
Leon County,Florida,79.1669529782412,12,073,18.6
Levy County,Florida,74.6523472464417,12,075,41.3
Liberty County,Florida,75.8738053602364,12,077,46.5
Madison County,Florida,74.8453783699189,12,079,38.6
Manatee County,Florida,80.2599669690005,12,081,30.9
Marion County,Florida,76.1771704219972,12,083,37.2
Martin County,Florida,81.2904164027968,12,085,26.1
Monroe County,Florida,79.7025052428046,12,087,28.8
Nassau County,Florida,77.4137857800555,12,089,34.9
Okaloosa County,Florida,77.5272617741847,12,091,25.5
Okeechobee County,Florida,76.0526843058407,12,093,37.9
Orange County,Florida,79.6229938205538,12,095,25.7
Osceola County,Florida,79.1287941677334,12,097,33.6
Palm Beach County,Florida,81.5435098991609,12,099,25.1
Pasco County,Florida,77.1762844629969,12,101,33.2
Pinellas County,Florida,78.395681342823,12,103,29.1
Polk County,Florida,77.8620845497436,12,105,35.9
Putnam County,Florida,74.090780438707,12,107,38.2
Saint Johns County,Florida,80.7873785548533,12,109,21.2
Saint Lucie County,Florida,79.3208079937143,12,111,33.2
Santa Rosa County,Florida,77.4755310649387,12,113,27.3
Sarasota County,Florida,81.0536216072404,12,115,29.8
Seminole County,Florida,80.0229363433933,12,117,23.4
Sumter County,Florida,80.6805603758586,12,119,30.4
Suwannee County,Florida,75.2518438739817,12,121,40.0
Taylor County,Florida,75.0117232413597,12,123,41.1
Union County,Florida,68.1022321435241,12,125,39.6
Volusia County,Florida,76.5873174711124,12,127,33.5
Wakulla County,Florida,76.4257876549123,12,129,37.4
Walton County,Florida,77.5629641542452,12,131,26.5
Washington County,Florida,73.1869831493123,12,133,41.8
Appling County,Georgia,74.1433448346722,13,001,40.8
Atkinson County,Georgia,73.4957386486268,13,003,40.0
Bacon County,Georgia,72.7359964465048,13,005,41.0
Baker County,Georgia,77.1856340859936,13,007,41.5
Baldwin County,Georgia,76.09619616506,13,009,37.0
Banks County,Georgia,76.5450676909754,13,011,42.9
Barrow County,Georgia,76.411888155461,13,013,33.7
Bartow County,Georgia,76.1722834809012,13,015,34.4
Ben Hill County,Georgia,73.1598816340588,13,017,43.1
Berrien County,Georgia,74.6754529151076,13,019,38.8
Bibb County,Georgia,73.6322262198595,13,021,32.2
Bleckley County,Georgia,75.6717690416959,13,023,42.3
Brantley County,Georgia,74.2546400533743,13,025,45.6
Brooks County,Georgia,74.8172682959812,13,027,38.5
Bryan County,Georgia,76.1180906074149,13,029,25.8
Bulloch County,Georgia,76.9215839131574,13,031,27.6
Burke County,Georgia,73.6021263366518,13,033,38.2
Butts County,Georgia,73.8736433128169,13,035,44.5
Calhoun County,Georgia,74.7431979128518,13,037,40.2
Camden County,Georgia,77.7910556071849,13,039,32.5
Candler County,Georgia,73.5173794672618,13,043,35.9
Carroll County,Georgia,75.1905636320048,13,045,35.2
Catoosa County,Georgia,77.6873163555651,13,047,31.8
Charlton County,Georgia,76.4126485763899,13,049,46.3
Chatham County,Georgia,77.495475731078,13,051,25.0
Chattahoochee County,Georgia,77.0407510773315,13,053,26.7
Chattooga County,Georgia,73.4795878806539,13,055,39.2
Cherokee County,Georgia,79.8919212910128,13,057,24.1
Clarke County,Georgia,78.5390655519176,13,059,21.4
Clay County,Georgia,74.0565024724032,13,061,46.0
Clayton County,Georgia,76.5867255823059,13,063,31.8
Clinch County,Georgia,72.5941347103603,13,065,38.6
Cobb County,Georgia,80.1632391745068,13,067,19.0
Coffee County,Georgia,74.6415935021983,13,069,39.5
Colquitt County,Georgia,74.2395419909798,13,071,37.0
Columbia County,Georgia,79.9446528000494,13,073,24.5
Cook County,Georgia,74.3816861362536,13,075,39.0
Coweta County,Georgia,78.3629639007777,13,077,31.2
Crawford County,Georgia,75.7700017855094,13,079,37.6
Crisp County,Georgia,74.8754728821352,13,081,37.8
Dade County,Georgia,74.9169898375515,13,083,36.1
Dawson County,Georgia,77.8404809399285,13,085,29.0
Decatur County,Georgia,73.7947102183909,13,087,33.9
DeKalb County,Georgia,79.6424407722431,13,089,20.9
Dodge County,Georgia,75.2439111309318,13,091,42.4
Dooly County,Georgia,78.4687087657377,13,093,40.1
Dougherty County,Georgia,74.5138416570881,13,095,28.4
Douglas County,Georgia,77.3715511881552,13,097,31.4
Early County,Georgia,73.1140819945057,13,099,40.6
Echols County,Georgia,77.1261008355718,13,101,35.3
Effingham County,Georgia,76.3761584292673,13,103,36.9
Elbert County,Georgia,74.4234738881675,13,105,45.3
Emanuel County,Georgia,72.7620593157699,13,107,40.2
Evans County,Georgia,74.8433020894414,13,109,39.7
Fannin County,Georgia,76.9911635316195,13,111,38.8
Fayette County,Georgia,80.7588889119797,13,113,20.7
Floyd County,Georgia,75.2562231958774,13,115,31.0
Forsyth County,Georgia,81.64720509527,13,117,17.6
Franklin County,Georgia,73.9914157726118,13,119,40.0
Fulton County,Georgia,78.7678526769602,13,121,18.1
Gilmer County,Georgia,78.110295381191,13,123,35.9
Glascock County,Georgia,73.5591151643724,13,125,43.3
Glynn County,Georgia,77.1042251846537,13,127,27.6
Gordon County,Georgia,75.5399076199864,13,129,35.3
Grady County,Georgia,75.6781613975346,13,131,37.2
Greene County,Georgia,77.6535983104785,13,133,33.5
Gwinnett County,Georgia,80.5977995974354,13,135,23.3
Habersham County,Georgia,77.41930695738,13,137,34.2
Hall County,Georgia,78.8501578196255,13,139,27.7
Hancock County,Georgia,75.5511526228516,13,141,40.3
Haralson County,Georgia,73.2548609996383,13,143,36.7
Harris County,Georgia,79.3637275024378,13,145,26.9
Hart County,Georgia,76.8943495410448,13,147,37.7
Heard County,Georgia,74.7359238306926,13,149,43.6
Henry County,Georgia,77.2246725220502,13,151,29.9
Houston County,Georgia,77.4957791397741,13,153,29.3
Irwin County,Georgia,74.9700522755473,13,155,43.5
Jackson County,Georgia,76.154219538743,13,157,33.3
Jasper County,Georgia,75.9077043960719,13,159,41.2
Jeff Davis County,Georgia,73.27850301101,13,161,38.5
Jefferson County,Georgia,72.677315464956,13,163,41.4
Jenkins County,Georgia,73.4881821924482,13,165,39.7
Johnson County,Georgia,76.1256460094423,13,167,37.6
Jones County,Georgia,77.9077041501382,13,169,38.1
Lamar County,Georgia,74.5163705283169,13,171,38.7
Lanier County,Georgia,75.3402613596848,13,173,28.7
Laurens County,Georgia,74.6099464490999,13,175,44.0
Lee County,Georgia,76.7932149732719,13,177,28.8
Liberty County,Georgia,76.4775650868514,13,179,31.5
Lincoln County,Georgia,76.1576916943944,13,181,42.5
Long County,Georgia,78.3681666188566,13,183,34.6
Lowndes County,Georgia,75.995529913625,13,185,29.2
Lumpkin County,Georgia,77.6218085990866,13,187,29.0
McDuffie County,Georgia,73.8513564466333,13,189,39.7
McIntosh County,Georgia,79.7602966419833,13,191,35.1
Macon County,Georgia,73.8433801513223,13,193,34.7
Madison County,Georgia,75.8660518401721,13,195,39.7
Marion County,Georgia,76.3753888559576,13,197,38.5
Meriwether County,Georgia,74.4599480502971,13,199,38.9
Miller County,Georgia,73.539483539702,13,201,38.7
Mitchell County,Georgia,74.2252815852118,13,205,40.8
Monroe County,Georgia,77.4615928697148,13,207,35.4
Montgomery County,Georgia,75.1047075175106,13,209,38.6
Morgan County,Georgia,77.4326850024947,13,211,35.0
Murray County,Georgia,74.8101618892847,13,213,35.8
Muscogee County,Georgia,74.2199476837889,13,215,26.8
Newton County,Georgia,76.0155551337021,13,217,31.4
Oconee County,Georgia,80.90554970106,13,219,20.9
Oglethorpe County,Georgia,77.8050173797246,13,221,37.0
Paulding County,Georgia,78.4895950797659,13,223,33.5
Peach County,Georgia,73.7980458639214,13,225,30.9
Pickens County,Georgia,77.1138210119651,13,227,29.7
Pierce County,Georgia,74.4889636156105,13,229,40.4
Pike County,Georgia,75.5700513081301,13,231,41.6
Polk County,Georgia,73.3539926871238,13,233,37.2
Pulaski County,Georgia,77.5360379042965,13,235,42.9
Putnam County,Georgia,77.3546977694882,13,237,38.2
Quitman County,Georgia,75.2221673212216,13,239,42.6
Rabun County,Georgia,77.1527603986146,13,241,33.0
Randolph County,Georgia,75.426296165832,13,243,31.5
Richmond County,Georgia,73.8653991245777,13,245,30.8
Rockdale County,Georgia,77.7038819561169,13,247,32.2
Schley County,Georgia,77.1063445326143,13,249,33.9
Screven County,Georgia,74.4653823162502,13,251,40.5
Seminole County,Georgia,73.7255189590861,13,253,39.3
Spalding County,Georgia,74.2485252754827,13,255,38.0
Stephens County,Georgia,73.3793014301216,13,257,37.3
Stewart County,Georgia,74.0889879344936,13,259,35.3
Sumter County,Georgia,74.507156199642,13,261,31.3
Talbot County,Georgia,74.7719078108227,13,263,44.9
Taliaferro County,Georgia,74.4151345520244,13,265,45.4
Tattnall County,Georgia,74.8066149880787,13,267,38.6
Taylor County,Georgia,74.7090179595822,13,269,35.8
