County,State,mean_life_expectancy,State_FIPS,County_FIPS,poverty_rate
Imperial County,California,80.687419950022,06,025,23.8
Inyo County,California,79.1997381604918,06,027,10.2
Kern County,California,77.0176146674043,06,029,22.6
Kings County,California,79.3358097827458,06,031,20.9
Lake County,California,74.8494787542705,06,033,22.8
Lassen County,California,78.2363152612242,06,035,14.6
Los Angeles County,California,81.5691962087237,06,037,17.0
Madera County,California,78.9228141273425,06,039,22.1
Marin County,California,84.670403001944,06,041,8.1
Mariposa County,California,79.9818431293211,06,043,15.1
Mendocino County,California,78.6518521214148,06,045,19.1
Merced County,California,78.3750954459993,06,047,23.3
Modoc County,California,77.1077065159972,06,049,18.1
Mono County,California,84.9580737678398,06,051,9.9
Monterey County,California,81.9472905883429,06,053,14.7
Napa County,California,81.2829692549916,06,055,8.2
Nevada County,California,81.0166977108918,06,057,12.1
Orange County,California,82.5543904647591,06,059,12.1
Placer County,California,81.548378960557,06,061,8.2
Plumas County,California,78.2532986991761,06,063,13.3
Riverside County,California,80.3363218283084,06,065,15.6
Sacramento County,California,79.0940358645218,06,067,16.7
San Benito County,California,81.6550155032969,06,069,9.7
San Bernardino County,California,78.317187547423,06,071,18.2
San Diego County,California,81.6258744799118,06,073,13.3
San Francisco County,California,83.0357041460174,06,075,11.7
San Joaquin County,California,78.0359896860733,06,077,17.1
San Luis Obispo County,California,81.2020517524637,06,079,13.8
San Mateo County,California,84.1096902566921,06,081,7.3
Santa Barbara County,California,81.5801518841513,06,083,15.4
Santa Clara County,California,83.9917895786546,06,085,8.6
Santa Cruz County,California,82.0605857508508,06,087,14.7
Shasta County,California,75.806788638393,06,089,18.1
Sierra County,California,78.5719149965786,06,091,12.3
Siskiyou County,California,76.1862354494511,06,093,20.7
Solano County,California,79.6451278217147,06,095,11.5
Sonoma County,California,81.5679359147788,06,097,10.7
Stanislaus County,California,77.7149198210095,06,099,17.2
Sutter County,California,78.3763386412633,06,101,16.7
Tehama County,California,76.9976036049311,06,103,20.9
Trinity County,California,76.3456287127584,06,105,19.9
Tulare County,California,77.9753506021237,06,107,27.1
Tuolumne County,California,78.5900358024682,06,109,13.6
Ventura County,California,81.841533815838,06,111,10.3
Yolo County,California,80.9056635823379,06,113,19.4
Yuba County,California,75.8408352670592,06,115,18.5
Alamosa County,Colorado,75.8311324798402,08,003,27.8
Archuleta County,Colorado,81.6145512749235,08,007,11.6
Baca County,Colorado,77.0260592657618,08,009,19.5
Bent County,Colorado,75.8224499656267,08,011,24.5
Chaffee County,Colorado,81.2092487110115,08,015,9.6
Cheyenne County,Colorado,78.6333421783932,08,017,11.8
Clear Creek County,Colorado,82.3124381664765,08,019,6.8
Conejos County,Colorado,76.2573666245659,08,021,21.1
Costilla County,Colorado,76.8592293656779,08,023,29.6
Crowley County,Colorado,76.9641943181852,08,025,24.6
Custer County,Colorado,81.092782954152,08,027,15.7
Delta County,Colorado,77.8313362534641,08,029,16.5
Dolores County,Colorado,79.1893045710591,08,033,14.1
Douglas County,Colorado,83.4025879459957,08,035,3.6
Eagle County,Colorado,88.4392672602876,08,037,7.7
Elbert County,Colorado,81.6581733388672,08,039,4.8
El Paso County,Colorado,78.7742109882968,08,041,11.1
Fremont County,Colorado,77.0933471771635,08,043,15.8
Garfield County,Colorado,80.4969076123098,08,045,9.6
Gilpin County,Colorado,81.4969326961949,08,047,5.6
Grand County,Colorado,83.5333558735278,08,049,13.1
Gunnison County,Colorado,82.5366935871018,08,051,14.1
Huerfano County,Colorado,75.4892545704702,08,055,14.8
Jackson County,Colorado,79.4480965120346,08,057,12.8
Kiowa County,Colorado,77.3252924655834,08,061,10.6
Kit Carson County,Colorado,79.2392184006058,08,063,11.5
Lake County,Colorado,81.6061753881909,08,065,12.8
La Plata County,Colorado,81.6864546006773,08,067,9.6
Larimer County,Colorado,81.4508729730401,08,069,12.4
Las Animas County,Colorado,76.2626774559932,08,071,17.0
Lincoln County,Colorado,78.5091614921194,08,073,14.0
Logan County,Colorado,79.1781984236642,08,075,16.8
Mesa County,Colorado,78.3133657029401,08,077,16.0
Moffat County,Colorado,78.1807357406007,08,081,10.1
Montezuma County,Colorado,77.2643320455981,08,083,16.8
Montrose County,Colorado,79.379514628823,08,085,17.8
Morgan County,Colorado,78.04532580758,08,087,9.3
Otero County,Colorado,75.0071650698003,08,089,22.9
Ouray County,Colorado,83.8987068625614,08,091,10.4
Park County,Colorado,82.6462895795416,08,093,6.6
Phillips County,Colorado,80.1789952228355,08,095,8.1
Pitkin County,Colorado,90.704592150593,08,097,7.1
Prowers County,Colorado,76.7197991902101,08,099,18.3
Pueblo County,Colorado,76.2368027257113,08,101,19.8
Rio Blanco County,Colorado,78.6915559197346,08,103,11.8
Rio Grande County,Colorado,76.5723480456952,08,105,18.1
Routt County,Colorado,83.137600225356,08,107,10.7
Saguache County,Colorado,79.5112275070078,08,109,21.0
San Miguel County,Colorado,86.0178704274716,08,113,10.5
Sedgwick County,Colorado,77.5401451830135,08,115,17.0
Summit County,Colorado,91.044579954477,08,117,10.3
Teller County,Colorado,80.4232362556622,08,119,7.5
Washington County,Colorado,79.4007814134676,08,121,9.9
Yuma County,Colorado,78.8003703636188,08,125,14.3
Adams County,Colorado,80.2868507759135,08,001,12.2
Arapahoe County,Colorado,80.2868507759135,08,005,9.9
Boulder County,Colorado,80.2868507759135,08,013,13.1
Broomfield County,Colorado,80.2868507759135,08,014,5.2
Denver County,Colorado,80.2868507759135,08,031,15.1
Jefferson County,Colorado,80.2868507759135,08,059,7.8
Weld County,Colorado,80.2868507759135,08,123,11.2
Fairfield County,Connecticut,82.5946872177968,09,001,8.8
Hartford County,Connecticut,80.0972707575589,09,003,11.2
Litchfield County,Connecticut,80.2933334667025,09,005,6.8
Middlesex County,Connecticut,81.0203125170856,09,007,7.2
New Haven County,Connecticut,79.9816945680513,09,009,12.1
New London County,Connecticut,79.8089429093262,09,011,9.9
Tolland County,Connecticut,81.5167123037912,09,013,6.5
Windham County,Connecticut,78.7003951043393,09,015,11.1
Kent County,Delaware,77.1563248845642,10,001,13.0
New Castle County,Delaware,78.1368239340031,10,003,11.9
Sussex County,Delaware,78.4659649042153,10,005,12.0
Alachua County,Florida,78.280773345389,12,001,23.3
Baker County,Florida,74.8631741870423,12,003,17.2
Bay County,Florida,75.6776481016893,12,005,15.4
Bradford County,Florida,75.0591892268178,12,007,18.8
Brevard County,Florida,77.2150847771434,12,009,13.4
Broward County,Florida,80.3317307609575,12,011,14.0
Calhoun County,Florida,74.6772354135484,12,013,12.9
Charlotte County,Florida,80.03383445763,12,015,12.0
Citrus County,Florida,75.2399918924409,12,017,17.4
Clay County,Florida,77.188860994767,12,019,10.4
Collier County,Florida,84.595444361758,12,021,12.8
Columbia County,Florida,74.7773936232838,12,023,16.8
Miami-Dade County,Florida,80.9425605320856,12,086,19.0
DeSoto County,Florida,79.1444636027855,12,027,29.9
Dixie County,Florida,74.5575346674888,12,029,23.7
Duval County,Florida,75.6156823037129,12,031,16.0
Escambia County,Florida,74.9177305679025,12,033,14.6
Flagler County,Florida,78.664439632624,12,035,13.3
Franklin County,Florida,75.8945940583455,12,037,20.1
Gadsden County,Florida,75.1015247970268,12,039,24.4
Gilchrist County,Florida,76.5403282898351,12,041,19.8
Glades County,Florida,80.3593819027898,12,043,18.0
Gulf County,Florida,76.1867572155153,12,045,14.9
Hamilton County,Florida,75.20250890304,12,047,26.6
Hardee County,Florida,78.2845185703614,12,049,24.5
Hendry County,Florida,76.8823667223551,12,051,25.5
Hernando County,Florida,76.4093994711709,12,053,14.3
Highlands County,Florida,78.1939608334697,12,055,18.7
Hillsborough County,Florida,78.5404586829892,12,057,15.7
Holmes County,Florida,73.2084521422928,12,059,26.6
Indian River County,Florida,79.907697163534,12,061,12.7
Jackson County,Florida,74.6358394836189,12,063,21.6
Jefferson County,Florida,76.8845831245796,12,065,13.9
Lafayette County,Florida,76.6581957641507,12,067,17.8
Lake County,Florida,78.2864216245771,12,069,12.8
Lee County,Florida,81.3739581271401,12,071,14.9
Leon County,Florida,79.030358739809,12,073,20.5
Levy County,Florida,74.6229846286448,12,075,21.9
Liberty County,Florida,75.7518222351327,12,077,17.8
Madison County,Florida,74.8388882546744,12,079,31.9
Manatee County,Florida,80.1910648097431,12,081,13.4
Marion County,Florida,75.9623016853633,12,083,17.6
Martin County,Florida,81.1568203073339,12,085,10.9
Monroe County,Florida,79.6005221210364,12,087,12.7
Nassau County,Florida,77.2759370761858,12,089,11.4
Okaloosa County,Florida,77.3889246282456,12,091,11.5
Okeechobee County,Florida,75.9457097645825,12,093,22.3
Orange County,Florida,79.5269054955863,12,095,16.7
Osceola County,Florida,78.8810610995138,12,097,17.8
Palm Beach County,Florida,81.3829024333588,12,099,13.4
Pasco County,Florida,77.098851734423,12,101,13.6
Pinellas County,Florida,78.2987745279353,12,103,13.7
Polk County,Florida,77.7020921564756,12,105,17.3
Putnam County,Florida,73.635254100304,12,107,27.6
Saint Johns County,Florida,80.5809996179964,12,109,9.1
Saint Lucie County,Florida,79.2977622741057,12,111,16.6
Santa Rosa County,Florida,77.3193290919895,12,113,11.3
Sarasota County,Florida,80.9350383168968,12,115,10.5
Seminole County,Florida,79.8402255658359,12,117,11.8
Sumter County,Florida,80.4806227609364,12,119,9.2
Suwannee County,Florida,75.2150765992341,12,121,20.4
Taylor County,Florida,74.7442078191434,12,123,16.4
Union County,Florida,67.8919995760419,12,125,21.4
Volusia County,Florida,76.2981063923098,12,127,16.1
Wakulla County,Florida,76.2724538807062,12,129,12.6
Walton County,Florida,77.3545360296973,12,131,17.0
Washington County,Florida,72.8960237830396,12,133,21.0
Appling County,Georgia,74.0084605365612,13,001,24.7
Atkinson County,Georgia,73.4390527880296,13,003,27.4
Bacon County,Georgia,72.5321912655798,13,005,23.2
Baker County,Georgia,77.1226977730015,13,007,19.5
Baldwin County,Georgia,75.885623089803,13,009,27.8
Banks County,Georgia,76.5761341138381,13,011,14.3
Barrow County,Georgia,76.4531171029684,13,013,13.2
Bartow County,Georgia,76.2159238347912,13,015,14.2
Ben Hill County,Georgia,72.9889666208592,13,017,30.4
Berrien County,Georgia,74.439001968007,13,019,23.7
Bibb County,Georgia,73.6270349335338,13,021,26.7
Bleckley County,Georgia,75.6767775470061,13,023,23.0
Brantley County,Georgia,74.2535435032282,13,025,21.8
Brooks County,Georgia,74.7365498889901,13,027,23.6
Bryan County,Georgia,75.9644967649488,13,029,14.1
Bulloch County,Georgia,76.8294282235662,13,031,30.4
Burke County,Georgia,73.7095855538626,13,033,29.2
Butts County,Georgia,73.7983435794374,13,035,23.5
Calhoun County,Georgia,74.4920251011037,13,037,32.2
Camden County,Georgia,77.8072993071322,13,039,12.7
Candler County,Georgia,73.3882320641854,13,043,31.5
Carroll County,Georgia,75.1232865117092,13,045,18.6
Catoosa County,Georgia,77.5910778852834,13,047,10.8
Charlton County,Georgia,76.3359105899648,13,049,23.1
Chatham County,Georgia,77.490102718577,13,051,17.3
Chattahoochee County,Georgia,77.0231781510592,13,053,15.0
Chattooga County,Georgia,73.4170928402242,13,055,22.5
Cherokee County,Georgia,79.8435454979864,13,057,9.4
Clarke County,Georgia,78.6318913183763,13,059,34.1
Clay County,Georgia,73.9493638446073,13,061,41.4
Clayton County,Georgia,76.5508691906889,13,063,21.9
Clinch County,Georgia,72.4247234455474,13,065,39.5
Cobb County,Georgia,80.2177640812596,13,067,10.9
Coffee County,Georgia,74.4295289710942,13,069,23.9
Colquitt County,Georgia,74.0379120198679,13,071,25.4
Columbia County,Georgia,79.8999326107972,13,073,8.6
Cook County,Georgia,74.3093937088097,13,075,24.2
Coweta County,Georgia,78.3648849335877,13,077,11.6
Crawford County,Georgia,75.6561888490683,13,079,18.1
Crisp County,Georgia,74.6124945203586,13,081,31.2
Dade County,Georgia,75.0924029502412,13,083,17.5
Dawson County,Georgia,77.8849206643038,13,085,11.8
Decatur County,Georgia,73.7088647064192,13,087,24.1
DeKalb County,Georgia,79.8238732978234,13,089,17.6
Dodge County,Georgia,75.1775460945016,13,091,22.2
Dooly County,Georgia,78.2138090959277,13,093,23.2
Dougherty County,Georgia,74.3569712282889,13,095,30.5
Douglas County,Georgia,77.3960194322986,13,097,14.2
Early County,Georgia,73.2371558935003,13,099,27.5
Echols County,Georgia,77.0599023389516,13,101,28.2
Effingham County,Georgia,76.3909397434421,13,103,9.6
Elbert County,Georgia,74.195571787566,13,105,22.4
Emanuel County,Georgia,72.6318304928933,13,107,29.2
Evans County,Georgia,74.7149148196397,13,109,26.0
Fannin County,Georgia,77.0727670886557,13,111,15.8
Fayette County,Georgia,80.7682924448471,13,113,6.3
Floyd County,Georgia,75.0581302260989,13,115,18.1
Forsyth County,Georgia,81.674209211008,13,117,6.5
Franklin County,Georgia,73.8725746030686,13,119,25.4
Fulton County,Georgia,78.867596065924,13,121,16.0
Gilmer County,Georgia,77.9602337939812,13,123,18.8
Glascock County,Georgia,73.394960919002,13,125,11.5
Glynn County,Georgia,77.1335060809149,13,127,19.2
Gordon County,Georgia,75.4706012819472,13,129,18.8
Grady County,Georgia,75.5518347037765,13,131,25.4
Greene County,Georgia,77.7512340805882,13,133,21.9
Gwinnett County,Georgia,80.607617253456,13,135,12.1
Habersham County,Georgia,77.3582989596064,13,137,17.2
Hall County,Georgia,78.8960139014754,13,139,16.1
Hancock County,Georgia,75.3903158501469,13,141,30.0
Haralson County,Georgia,73.2656065600872,13,143,18.0
Harris County,Georgia,79.295601776848,13,145,7.3
Hart County,Georgia,76.8248765683369,13,147,18.8
Heard County,Georgia,74.7199641903674,13,149,17.4
Henry County,Georgia,77.181720507416,13,151,11.4
Houston County,Georgia,77.3383420736599,13,153,16.7
Irwin County,Georgia,74.8751692688427,13,155,24.5
Jackson County,Georgia,76.2832039775414,13,157,12.5
Jasper County,Georgia,75.7749845245545,13,159,19.4
Jeff Davis County,Georgia,73.2268902139052,13,161,20.6
Jefferson County,Georgia,72.5992407627131,13,163,26.9
Jenkins County,Georgia,73.3841998147857,13,165,30.7
Johnson County,Georgia,76.0287103065729,13,167,21.5
Jones County,Georgia,77.8374428106185,13,169,14.2
Lamar County,Georgia,74.3508731721163,13,171,20.8
Lanier County,Georgia,75.3835180951939,13,173,28.7
Laurens County,Georgia,74.4577525082559,13,175,27.3
Lee County,Georgia,76.6914056662725,13,177,11.6
Liberty County,Georgia,76.3021109268363,13,179,16.6
Lincoln County,Georgia,76.1794942621868,13,181,23.0
Long County,Georgia,78.4618707054974,13,183,20.0
Lowndes County,Georgia,75.8358035603923,13,185,25.0
Lumpkin County,Georgia,77.7101053772346,13,187,20.1
McDuffie County,Georgia,73.7738203200434,13,189,26.0
McIntosh County,Georgia,79.7108099163917,13,191,20.3
Macon County,Georgia,73.7317039474685,13,193,28.6
Madison County,Georgia,75.840925411624,13,195,17.6
Marion County,Georgia,76.2946453096112,13,197,23.1
Meriwether County,Georgia,74.4847266846964,13,199,22.7
Miller County,Georgia,73.0734881813492,13,201,23.3
Mitchell County,Georgia,74.0885588705262,13,205,27.1
Monroe County,Georgia,77.4835874483883,13,207,13.3
Montgomery County,Georgia,75.0403904752512,13,209,19.5
Morgan County,Georgia,77.3359048444416,13,211,13.4
Murray County,Georgia,74.7984649731187,13,213,18.0
Muscogee County,Georgia,74.0661905409308,13,215,21.7
Newton County,Georgia,76.0968360464372,13,217,16.7
Oconee County,Georgia,80.9648939245257,13,219,6.9
Oglethorpe County,Georgia,77.6363584185965,13,221,17.6
Paulding County,Georgia,78.486927311261,13,223,9.7
Peach County,Georgia,73.7058392267195,13,225,18.7
Pickens County,Georgia,77.0978924166854,13,227,9.8
Pierce County,Georgia,74.2596164151985,13,229,21.0
Pike County,Georgia,75.4989917474708,13,231,12.3
Polk County,Georgia,73.2748803672115,13,233,19.0
Pulaski County,Georgia,77.6666373683592,13,235,21.8
Putnam County,Georgia,77.4061176357782,13,237,16.2
Quitman County,Georgia,75.3250351764225,13,239,22.8
Rabun County,Georgia,76.9944546576478,13,241,20.3
Randolph County,Georgia,75.026721238403,13,243,35.1
Richmond County,Georgia,73.6808084874035,13,245,24.2
Rockdale County,Georgia,77.6033875048851,13,247,16.3
Schley County,Georgia,76.9446934911318,13,249,22.2
Screven County,Georgia,74.5319377680867,13,251,22.6
Seminole County,Georgia,73.47471546866,13,253,25.5
Spalding County,Georgia,74.2476675171375,13,255,21.6
Stephens County,Georgia,73.3838160708526,13,257,18.1
Stewart County,Georgia,74.2587420264588,13,259,41.5
Sumter County,Georgia,74.3351110608217,13,261,33.4
Talbot County,Georgia,74.577238903621,13,263,16.9
