County,State,mean_life_expectancy,State_FIPS,County_FIPS,gini_index
Hot Spring County,Arkansas,74.674457659159,05,059,0.4241
Howard County,Arkansas,74.5248817797813,05,061,0.4683
Independence County,Arkansas,75.818962809451,05,063,0.4578
Izard County,Arkansas,75.5224554466382,05,065,0.4442
Jackson County,Arkansas,73.4906835570058,05,067,0.4469
Jefferson County,Arkansas,73.7452633122832,05,069,0.4732
Johnson County,Arkansas,76.0184647706335,05,071,0.4784
Lafayette County,Arkansas,74.2310473910241,05,073,0.4594
Lawrence County,Arkansas,74.1199788657354,05,075,0.4238
Lee County,Arkansas,73.7502943427827,05,077,0.4856
Lincoln County,Arkansas,75.4553403866795,05,079,0.5077
Little River County,Arkansas,74.1885922604194,05,081,0.4214
Logan County,Arkansas,74.7690105799881,05,083,0.4596
Lonoke County,Arkansas,75.2359220612144,05,085,0.3871
Madison County,Arkansas,75.6663513769671,05,087,0.4481
Marion County,Arkansas,75.5962916062646,05,089,0.4025
Miller County,Arkansas,74.8835906326357,05,091,0.4337
Mississippi County,Arkansas,72.1102865682895,05,093,0.4688
Monroe County,Arkansas,72.8831990296179,05,095,0.4905
Montgomery County,Arkansas,76.3127945367472,05,097,0.4202
Nevada County,Arkansas,74.2558254291586,05,099,0.4563
Newton County,Arkansas,77.256810854711,05,101,0.4478
Ouachita County,Arkansas,73.4859440403868,05,103,0.4582
Perry County,Arkansas,75.2161291747456,05,105,0.4287
Phillips County,Arkansas,71.3295020847569,05,107,0.5069
Pike County,Arkansas,75.3612335128047,05,109,0.4508
Poinsett County,Arkansas,71.8549037872847,05,111,0.4259
Polk County,Arkansas,75.2614485975633,05,113,0.4558
Pope County,Arkansas,76.6058991104863,05,115,0.4377
Prairie County,Arkansas,75.782559047161,05,117,0.4121
Pulaski County,Arkansas,76.1795129989355,05,119,0.481
Randolph County,Arkansas,74.9895162117781,05,121,0.4552
Saint Francis County,Arkansas,74.2474039903728,05,123,0.4704
Saline County,Arkansas,77.3960857547918,05,125,0.3818
Scott County,Arkansas,75.2749649430301,05,127,0.4451
Searcy County,Arkansas,76.0184922982395,05,129,0.4383
Sebastian County,Arkansas,75.8356293882159,05,131,0.4991
Sevier County,Arkansas,75.1099628253174,05,133,0.4064
Sharp County,Arkansas,74.3655114172071,05,135,0.4103
Stone County,Arkansas,76.4680154726822,05,137,0.4937
Union County,Arkansas,73.531738985156,05,139,0.4719
Van Buren County,Arkansas,76.3230678398837,05,141,0.4571
Washington County,Arkansas,78.0525791787306,05,143,0.4924
White County,Arkansas,75.3684739400756,05,145,0.4667
Woodruff County,Arkansas,72.9691657863222,05,147,0.4767
Yell County,Arkansas,74.9489492833161,05,149,0.4342
Alameda County,California,81.9574601824784,06,001,0.4692
Alpine County,California,79.1446091671374,06,003,0.4036
Amador County,California,79.8676286856863,06,005,0.4568
Butte County,California,77.9166897330305,06,007,0.4713
Calaveras County,California,79.7392007377838,06,009,0.4354
Colusa County,California,80.0718304385206,06,011,0.4335
Contra Costa County,California,81.7294599306854,06,013,0.4618
Del Norte County,California,75.9903836947179,06,015,0.4621
El Dorado County,California,81.4213825961216,06,017,0.453
Fresno County,California,78.6231883737308,06,019,0.4726
Glenn County,California,77.838340878587,06,021,0.4897
Humboldt County,California,77.0034274971952,06,023,0.4576
Imperial County,California,80.9437764733412,06,025,0.459
Inyo County,California,79.4013711406659,06,027,0.4315
Kern County,California,77.4155560118422,06,029,0.4562
Kings County,California,79.3394443531957,06,031,0.4479
Lake County,California,75.2601471981006,06,033,0.4604
Lassen County,California,78.5878680298779,06,035,0.421
Los Angeles County,California,81.6088919970855,06,037,0.4992
Madera County,California,79.0356091221892,06,039,0.4441
Marin County,California,84.3889101013875,06,041,0.5218
Mariposa County,California,80.4146626674398,06,043,0.4507
Mendocino County,California,78.7539965198557,06,045,0.4712
Merced County,California,78.7699495167401,06,047,0.4607
Modoc County,California,77.9703785616707,06,049,0.4465
Mono County,California,85.1387867187453,06,051,0.3534
Monterey County,California,82.0187429129939,06,053,0.4579
Napa County,California,81.1951616905384,06,055,0.4585
Nevada County,California,81.3087317219083,06,057,0.4418
Orange County,California,82.5275699941024,06,059,0.4637
Placer County,California,81.5788607115974,06,061,0.4361
Plumas County,California,78.5240261319388,06,063,0.466
Riverside County,California,80.5356107538776,06,065,0.4437
Sacramento County,California,79.2359862466345,06,067,0.4518
San Benito County,California,81.8447025218421,06,069,0.4085
San Bernardino County,California,78.6008851539483,06,071,0.4383
San Diego County,California,81.6354754382568,06,073,0.4654
San Francisco County,California,82.7273768509478,06,075,0.5156
San Joaquin County,California,78.2052741778494,06,077,0.4476
San Luis Obispo County,California,81.4165855283812,06,079,0.4551
San Mateo County,California,83.8167556579334,06,081,0.4829
Santa Barbara County,California,81.762921966888,06,083,0.4851
Santa Clara County,California,83.7459727060519,06,085,0.4627
Santa Cruz County,California,81.7431879819541,06,087,0.4686
Shasta County,California,76.1366803244793,06,089,0.4464
Sierra County,California,79.1154203499916,06,091,0.4618
Siskiyou County,California,76.7123533175491,06,093,0.4535
Solano County,California,79.7765697132744,06,095,0.4194
Sonoma County,California,81.3537531397856,06,097,0.451
Stanislaus County,California,78.0404081273513,06,099,0.4493
Sutter County,California,78.8647497761071,06,101,0.4552
Tehama County,California,77.6815646677451,06,103,0.4269
Trinity County,California,76.9779522244668,06,105,0.4517
Tulare County,California,78.2919831279741,06,107,0.4588
Tuolumne County,California,78.9180681770885,06,109,0.4378
Ventura County,California,81.8702489506106,06,111,0.4429
Yolo County,California,80.8212815975969,06,113,0.4815
Yuba County,California,75.9620177615393,06,115,0.4174
Alamosa County,Colorado,76.4520030136314,08,003,0.5202
Archuleta County,Colorado,81.4521899731809,08,007,0.4281
Baca County,Colorado,77.5486412990339,08,009,0.4474
Bent County,Colorado,76.1374880821443,08,011,0.4481
Chaffee County,Colorado,81.4775538864323,08,015,0.4192
Cheyenne County,Colorado,79.6909457212359,08,017,0.3911
Clear Creek County,Colorado,82.2544295673685,08,019,0.4655
Conejos County,Colorado,76.7644631976601,08,021,0.4257
Costilla County,Colorado,77.5800045007178,08,023,0.4943
Crowley County,Colorado,77.741052629939,08,025,0.4565
Custer County,Colorado,80.6307957604002,08,027,0.497
Delta County,Colorado,78.5163413913364,08,029,0.4819
Dolores County,Colorado,79.5945138917714,08,033,0.4682
Douglas County,Colorado,83.5549156528537,08,035,0.3934
Eagle County,Colorado,87.8550573815851,08,037,0.454
Elbert County,Colorado,81.5265627610726,08,039,0.4055
El Paso County,Colorado,79.4766379407405,08,041,0.4421
Fremont County,Colorado,77.3282759106017,08,043,0.4323
Garfield County,Colorado,80.7129313494244,08,045,0.4089
Gilpin County,Colorado,80.8402892278279,08,047,0.4341
Grand County,Colorado,83.6104349800547,08,049,0.4028
Gunnison County,Colorado,82.4615975701476,08,051,0.4259
Huerfano County,Colorado,76.7370310001646,08,055,0.497
Jackson County,Colorado,80.019428596651,08,057,0.3955
Kiowa County,Colorado,77.8060630934981,08,061,0.4562
Kit Carson County,Colorado,79.0396680266366,08,063,0.4219
Lake County,Colorado,81.2812841315244,08,065,0.3798
La Plata County,Colorado,81.9139056024152,08,067,0.4241
Larimer County,Colorado,81.5911095993052,08,069,0.4497
Las Animas County,Colorado,76.936758041852,08,071,0.437
Lincoln County,Colorado,79.2238693329103,08,073,0.4701
Logan County,Colorado,79.1604272540649,08,075,0.4589
Mesa County,Colorado,78.7432925415044,08,077,0.4559
Moffat County,Colorado,78.7540045777934,08,081,0.4097
Montezuma County,Colorado,77.577101117793,08,083,0.4273
Montrose County,Colorado,79.6478445531103,08,085,0.4153
Morgan County,Colorado,78.4127327674347,08,087,0.4021
Otero County,Colorado,75.5779720298771,08,089,0.4647
Ouray County,Colorado,84.5850561128476,08,091,0.4108
Park County,Colorado,82.7525162279221,08,093,0.3836
Phillips County,Colorado,79.9467802658477,08,095,0.4606
Pitkin County,Colorado,90.0864739901917,08,097,0.5384
Prowers County,Colorado,76.9893465934096,08,099,0.4472
Pueblo County,Colorado,76.9509448414404,08,101,0.4437
Rio Blanco County,Colorado,79.3997581000084,08,103,0.4044
Rio Grande County,Colorado,77.1572524407443,08,105,0.4441
Routt County,Colorado,83.0836598314748,08,107,0.4539
Saguache County,Colorado,80.0823053595073,08,109,0.4858
San Miguel County,Colorado,85.7011161631391,08,113,0.5133
Sedgwick County,Colorado,78.2075550504511,08,115,0.4201
Summit County,Colorado,90.4822708175061,08,117,0.4359
Teller County,Colorado,80.5790656291349,08,119,0.4013
Washington County,Colorado,79.9836857094953,08,121,0.4338
Yuma County,Colorado,79.1855876209467,08,125,0.4176
Adams County,Colorado,80.2789722027987,08,001,0.4047
Arapahoe County,Colorado,80.2789722027987,08,005,0.4623
Boulder County,Colorado,80.2789722027987,08,013,0.4758
Broomfield County,Colorado,80.2789722027987,08,014,0.4232
Denver County,Colorado,80.2789722027987,08,031,0.5058
Jefferson County,Colorado,80.2789722027987,08,059,0.4305
Weld County,Colorado,80.2789722027987,08,123,0.4225
Fairfield County,Connecticut,82.5631925306583,09,001,0.5426
Hartford County,Connecticut,80.5005165160435,09,003,0.4725
Litchfield County,Connecticut,80.6656905163656,09,005,0.4391
Middlesex County,Connecticut,81.2879575376129,09,007,0.4333
New Haven County,Connecticut,80.2317578296903,09,009,0.4675
New London County,Connecticut,80.1746538713983,09,011,0.4297
Tolland County,Connecticut,81.8740724057526,09,013,0.4004
Windham County,Connecticut,79.2213286863835,09,015,0.4158
Kent County,Delaware,77.6582126117263,10,001,0.4087
New Castle County,Delaware,78.7574531834631,10,003,0.4507
Sussex County,Delaware,78.7388341774585,10,005,0.4288
Alachua County,Florida,78.8446436145488,12,001,0.5168
Baker County,Florida,75.5067173660575,12,003,0.4348
Bay County,Florida,76.361815494481,12,005,0.4347
Bradford County,Florida,76.0629032158072,12,007,0.4533
Brevard County,Florida,78.154786052417,12,009,0.4474
Broward County,Florida,80.6074711604382,12,011,0.4782
Calhoun County,Florida,75.5785348350231,12,013,0.4378
Charlotte County,Florida,80.4388130091559,12,015,0.4314
Citrus County,Florida,76.2201643609441,12,017,0.4511
Clay County,Florida,77.8317980418307,12,019,0.407
Collier County,Florida,84.4836600504725,12,021,0.5324
Columbia County,Florida,75.4379875293089,12,023,0.4467
Miami-Dade County,Florida,81.1399928541069,12,086,0.5199
DeSoto County,Florida,79.8065989131509,12,027,0.4222
Dixie County,Florida,74.9283501697955,12,029,0.4071
Duval County,Florida,76.3662413048127,12,031,0.473
Escambia County,Florida,75.8265429872147,12,033,0.4504
Flagler County,Florida,79.5181062926383,12,035,0.4363
Franklin County,Florida,76.406957616415,12,037,0.4904
Gadsden County,Florida,75.8057940796264,12,039,0.4535
Gilchrist County,Florida,76.9721949862259,12,041,0.4572
Glades County,Florida,80.9082704676563,12,043,0.4439
Gulf County,Florida,76.6223858301363,12,045,0.4413
Hamilton County,Florida,76.0213829513191,12,047,0.4664
Hardee County,Florida,78.7962643023069,12,049,0.4835
Hendry County,Florida,77.7970458894187,12,051,0.4594
Hernando County,Florida,77.2131242626512,12,053,0.4201
Highlands County,Florida,79.179271786199,12,055,0.4375
Hillsborough County,Florida,78.8066512790219,12,057,0.4792
Holmes County,Florida,74.345279901364,12,059,0.4458
Indian River County,Florida,80.5310223845662,12,061,0.5251
Jackson County,Florida,75.5087459649011,12,063,0.4511
Jefferson County,Florida,77.0795832677861,12,065,0.448
Lafayette County,Florida,77.0212732340539,12,067,0.4979
Lake County,Florida,79.2621560630153,12,069,0.4326
Lee County,Florida,81.7426837998132,12,071,0.4727
Leon County,Florida,79.3960410363991,12,073,0.4939
Levy County,Florida,75.3349797824728,12,075,0.4556
Liberty County,Florida,76.400954234728,12,077,0.4579
Madison County,Florida,75.4161304834043,12,079,0.452
Manatee County,Florida,80.6948049167801,12,081,0.4626
Marion County,Florida,77.0658729461655,12,083,0.4356
Martin County,Florida,81.7022342824242,12,085,0.516
Monroe County,Florida,79.7820552632832,12,087,0.5037
Nassau County,Florida,77.5913421377193,12,089,0.4471
Okaloosa County,Florida,77.9811575177656,12,091,0.4349
Okeechobee County,Florida,76.5984963130413,12,093,0.4766
Orange County,Florida,79.8803026532843,12,095,0.4762
Osceola County,Florida,79.3776245905727,12,097,0.4175
Palm Beach County,Florida,81.8994870289193,12,099,0.5099
Pasco County,Florida,77.7506120972686,12,101,0.4419
Pinellas County,Florida,78.6728919990013,12,103,0.4791
Polk County,Florida,78.3392589820842,12,105,0.4328
Putnam County,Florida,74.6807451280498,12,107,0.4686
Saint Johns County,Florida,81.0040923398974,12,109,0.4825
Saint Lucie County,Florida,79.7137483124112,12,111,0.4615
Santa Rosa County,Florida,77.924490088113,12,113,0.4229
Sarasota County,Florida,81.5159280206738,12,115,0.4811
Seminole County,Florida,80.3542107587214,12,117,0.453
Sumter County,Florida,81.2792040618854,12,119,0.4185
Suwannee County,Florida,75.5908740871612,12,121,0.448
Taylor County,Florida,75.7787599842218,12,123,0.4075
Union County,Florida,68.804653768535,12,125,0.3982
Volusia County,Florida,77.2470119324166,12,127,0.4592
Wakulla County,Florida,76.637763031087,12,129,0.3965
Walton County,Florida,77.7392867649656,12,131,0.4796
Washington County,Florida,74.1699775225144,12,133,0.4363
Appling County,Georgia,74.7913877143402,13,001,0.4479
Atkinson County,Georgia,73.7714960390043,13,003,0.4834
Bacon County,Georgia,73.5222086041657,13,005,0.4405
Baker County,Georgia,77.9683934012373,13,007,0.4761
Baldwin County,Georgia,76.3383996487831,13,009,0.5123
Banks County,Georgia,76.9101211936386,13,011,0.4094
Barrow County,Georgia,76.517230702492,13,013,0.3726
Bartow County,Georgia,76.4533100393887,13,015,0.4173
Ben Hill County,Georgia,73.6096800245677,13,017,0.4829
Berrien County,Georgia,75.190867400244,13,019,0.4526
Bibb County,Georgia,73.9294345070761,13,021,0.515
Bleckley County,Georgia,76.187085449615,13,023,0.5324
Brantley County,Georgia,74.9365531299157,13,025,0.4061
Brooks County,Georgia,75.2397600148768,13,027,0.4828
Bryan County,Georgia,76.3639290976648,13,029,0.4065
Bulloch County,Georgia,77.0368004262305,13,031,0.4998
Burke County,Georgia,73.7898930278459,13,033,0.4637
Butts County,Georgia,74.0565385862956,13,035,0.4143
Calhoun County,Georgia,75.2943589362578,13,037,0.6064
Camden County,Georgia,78.0008189410582,13,039,0.4048
Candler County,Georgia,73.882180330007,13,043,0.5024
Carroll County,Georgia,75.0924295103043,13,045,0.4543
Catoosa County,Georgia,78.0009537512239,13,047,0.3924
Charlton County,Georgia,76.5710378110187,13,049,0.4529
Chatham County,Georgia,77.720211150539,13,051,0.471
Chattahoochee County,Georgia,77.2468365236423,13,053,0.3433
Chattooga County,Georgia,73.8516363427106,13,055,0.4422
Cherokee County,Georgia,79.9067687559501,13,057,0.4112
Clarke County,Georgia,78.2921794435612,13,059,0.5398
Clay County,Georgia,74.6488916925777,13,061,0.4742
Clayton County,Georgia,76.880309592685,13,063,0.4229
Clinch County,Georgia,73.4584259976083,13,065,0.5403
Cobb County,Georgia,80.1366382597769,13,067,0.4566
Coffee County,Georgia,75.0163716195189,13,069,0.4737
Colquitt County,Georgia,74.9122018657446,13,071,0.4772
Columbia County,Georgia,80.0676296378463,13,073,0.4189
Cook County,Georgia,74.7320855084491,13,075,0.4688
Coweta County,Georgia,78.285359699771,13,077,0.4175
Crawford County,Georgia,76.5621078535087,13,079,0.4181
Crisp County,Georgia,75.609384748844,13,081,0.5032
Dade County,Georgia,75.3960009690029,13,083,0.4207
Dawson County,Georgia,78.1336508154396,13,085,0.4677
Decatur County,Georgia,74.7007199893853,13,087,0.5228
DeKalb County,Georgia,79.4962305308697,13,089,0.4903
Dodge County,Georgia,75.4421725381297,13,091,0.4458
Dooly County,Georgia,78.5144079303595,13,093,0.4639
Dougherty County,Georgia,75.038542335195,13,095,0.5197
Douglas County,Georgia,77.4032014471524,13,097,0.4079
Early County,Georgia,73.978063106976,13,099,0.4844
Echols County,Georgia,77.5417724006261,13,101,0.4583
Effingham County,Georgia,76.5731690017895,13,103,0.3834
Elbert County,Georgia,75.0164188271286,13,105,0.4641
Emanuel County,Georgia,73.1718202483777,13,107,0.4855
Evans County,Georgia,75.1580822990035,13,109,0.4651
Fannin County,Georgia,76.9013426301904,13,111,0.4404
Fayette County,Georgia,80.9425991889622,13,113,0.4196
Floyd County,Georgia,75.5586411421325,13,115,0.4612
Forsyth County,Georgia,81.4700212970869,13,117,0.4168
Franklin County,Georgia,74.3539985940726,13,119,0.4278
Fulton County,Georgia,78.5987701241935,13,121,0.54
Gilmer County,Georgia,78.2712613586073,13,123,0.4577
Glascock County,Georgia,74.0095727000035,13,125,0.3916
Glynn County,Georgia,77.3454296677488,13,127,0.4881
Gordon County,Georgia,75.7664983217768,13,129,0.4362
Grady County,Georgia,75.9708134350991,13,131,0.4735
Greene County,Georgia,77.7291789565482,13,133,0.5503
Gwinnett County,Georgia,80.5413606378106,13,135,0.4248
Habersham County,Georgia,77.6403397782881,13,137,0.4226
Hall County,Georgia,78.8999066045999,13,139,0.4461
Hancock County,Georgia,76.1807363127476,13,141,0.4712
Haralson County,Georgia,73.5619730006166,13,143,0.4388
Harris County,Georgia,79.372928241056,13,145,0.43
Hart County,Georgia,77.0624660385596,13,147,0.4686
Heard County,Georgia,75.267737833288,13,149,0.4092
Henry County,Georgia,77.3049999830077,13,151,0.3976
Houston County,Georgia,77.5027345951035,13,153,0.4163
Irwin County,Georgia,75.4290585130566,13,155,0.4848
Jackson County,Georgia,76.1830898877838,13,157,0.4194
Jasper County,Georgia,76.0796020621275,13,159,0.451
Jeff Davis County,Georgia,73.8214311853932,13,161,0.4245
Jefferson County,Georgia,73.1652202685591,13,163,0.4608
Jenkins County,Georgia,74.3679832068187,13,165,0.4985
Johnson County,Georgia,76.381728931759,13,167,0.4594
Jones County,Georgia,78.252880160435,13,169,0.4378
Lamar County,Georgia,74.8970962853556,13,171,0.4305
Lanier County,Georgia,75.8132703022645,13,173,0.4482
Laurens County,Georgia,74.9950661049002,13,175,0.5039
Lee County,Georgia,77.4356523334636,13,177,0.4193
Liberty County,Georgia,76.903539545897,13,179,0.4224
Lincoln County,Georgia,76.4916448181181,13,181,0.4532
Long County,Georgia,78.5196020317748,13,183,0.367
Lowndes County,Georgia,76.2643690452204,13,185,0.4734
Lumpkin County,Georgia,78.0146664866746,13,187,0.4362
McDuffie County,Georgia,74.3231824430064,13,189,0.4652
McIntosh County,Georgia,79.6443775538217,13,191,0.457
Macon County,Georgia,74.3214975662633,13,193,0.4655
Madison County,Georgia,75.9164119646493,13,195,0.4088
Marion County,Georgia,76.5565655971449,13,197,0.455
Meriwether County,Georgia,74.9750751980501,13,199,0.4537
Miller County,Georgia,73.9357844275489,13,201,0.4872
Mitchell County,Georgia,75.0734144121862,13,205,0.4712
Monroe County,Georgia,77.4296681097743,13,207,0.4318
Montgomery County,Georgia,75.6422874814565,13,209,0.4552
Morgan County,Georgia,77.5413475560736,13,211,0.4438
Murray County,Georgia,75.2496113616646,13,213,0.4066
Muscogee County,Georgia,74.8788732502681,13,215,0.49
Newton County,Georgia,76.2508476547503,13,217,0.4207
Oconee County,Georgia,80.7201006294958,13,219,0.4354
Oglethorpe County,Georgia,78.2015427852691,13,221,0.4011
Paulding County,Georgia,78.7263186693695,13,223,0.3937
Peach County,Georgia,74.3109147998361,13,225,0.4532
Pickens County,Georgia,77.4804361140647,13,227,0.4431
Pierce County,Georgia,75.0941998698357,13,229,0.4682
Pike County,Georgia,75.8421997692356,13,231,0.4204
Polk County,Georgia,73.7361143015121,13,233,0.4311
