County,State,mean_life_expectancy,State_FIPS,County_FIPS,bachelors_and_above_percentage
Cross County,Arkansas,73.1602124341335,05,037,13.8
Dallas County,Arkansas,73.3735532648729,05,039,14.1
Desha County,Arkansas,72.4752962604024,05,041,12.6
Drew County,Arkansas,75.0673773726032,05,043,18.5
Faulkner County,Arkansas,76.4182309752644,05,045,29.7
Franklin County,Arkansas,74.4373222870369,05,047,11.3
Fulton County,Arkansas,74.9193229812661,05,049,12.1
Garland County,Arkansas,74.6309366391751,05,051,20.1
Grant County,Arkansas,75.3698091973697,05,053,19.0
Greene County,Arkansas,74.0996452052536,05,055,16.1
Hempstead County,Arkansas,75.1266368361279,05,057,13.1
Hot Spring County,Arkansas,74.2281769368533,05,059,13.8
Howard County,Arkansas,73.8919511396459,05,061,15.3
Independence County,Arkansas,75.5988097794403,05,063,18.0
Izard County,Arkansas,75.2554983306065,05,065,12.9
Jackson County,Arkansas,73.2398331665973,05,067,9.2
Jefferson County,Arkansas,73.2238480770967,05,069,16.8
Johnson County,Arkansas,75.7108320235838,05,071,15.7
Lafayette County,Arkansas,74.2582687145754,05,073,15.0
Lawrence County,Arkansas,73.9055411200017,05,075,15.5
Lee County,Arkansas,73.2670721314187,05,077,8.4
Lincoln County,Arkansas,75.0420292899519,05,079,7.9
Little River County,Arkansas,73.9743483215101,05,081,10.3
Logan County,Arkansas,74.1726732947248,05,083,12.0
Lonoke County,Arkansas,74.7455691325912,05,085,20.1
Madison County,Arkansas,75.378985437541,05,087,11.6
Marion County,Arkansas,75.3737129535053,05,089,16.0
Miller County,Arkansas,74.5960792199951,05,091,15.8
Mississippi County,Arkansas,71.5351089249095,05,093,12.2
Monroe County,Arkansas,72.3393690870887,05,095,9.3
Montgomery County,Arkansas,75.5774666116489,05,097,12.3
Nevada County,Arkansas,74.3732482286084,05,099,17.0
Newton County,Arkansas,76.8726224396483,05,101,15.7
Ouachita County,Arkansas,73.0094683982827,05,103,15.3
Perry County,Arkansas,74.861123428865,05,105,12.9
Phillips County,Arkansas,70.8005258788541,05,107,11.3
Pike County,Arkansas,74.8235342597713,05,109,14.9
Poinsett County,Arkansas,71.2947589568639,05,111,9.8
Polk County,Arkansas,74.9129378159319,05,113,12.5
Pope County,Arkansas,76.4551101144576,05,115,22.2
Prairie County,Arkansas,75.6587388048142,05,117,13.8
Pulaski County,Arkansas,75.9533402339039,05,119,33.7
Randolph County,Arkansas,74.2064157916112,05,121,14.5
Saint Francis County,Arkansas,73.8843994351379,05,123,9.5
Saline County,Arkansas,77.0482054817958,05,125,25.5
Scott County,Arkansas,74.5707790005597,05,127,10.2
Searcy County,Arkansas,75.1238268500902,05,129,13.1
Sebastian County,Arkansas,75.7092329887143,05,131,19.0
Sevier County,Arkansas,75.1584300484602,05,133,10.6
Sharp County,Arkansas,73.7064588321029,05,135,10.5
Stone County,Arkansas,75.9079573999317,05,137,13.4
Union County,Arkansas,73.1884317266028,05,139,20.1
Van Buren County,Arkansas,75.8846063202913,05,141,12.9
Washington County,Arkansas,77.8764673272239,05,143,31.9
White County,Arkansas,75.2058017632126,05,145,20.8
Woodruff County,Arkansas,72.5933855023363,05,147,11.4
Yell County,Arkansas,74.3862031980413,05,149,13.7
Alameda County,California,82.2321212212249,06,001,44.7
Alpine County,California,78.482947059558,06,003,25.6
Amador County,California,79.561891234368,06,005,22.1
Butte County,California,77.4463014291207,06,007,26.6
Calaveras County,California,79.2676567852879,06,009,19.3
Colusa County,California,79.6638098917847,06,011,15.7
Contra Costa County,California,81.8386853778645,06,013,40.7
Del Norte County,California,75.224334811417,06,015,14.4
El Dorado County,California,81.4568941950275,06,017,33.3
Fresno County,California,78.4585384790352,06,019,20.1
Glenn County,California,77.3696017734108,06,021,13.0
Humboldt County,California,76.7555796001307,06,023,29.4
Imperial County,California,80.687419950022,06,025,14.3
Inyo County,California,79.1997381604918,06,027,25.3
Kern County,California,77.0176146674043,06,029,15.8
Kings County,California,79.3358097827458,06,031,13.0
Lake County,California,74.8494787542705,06,033,15.3
Lassen County,California,78.2363152612242,06,035,12.4
Los Angeles County,California,81.5691962087237,06,037,31.2
Madera County,California,78.9228141273425,06,039,13.8
Marin County,California,84.670403001944,06,041,57.5
Mariposa County,California,79.9818431293211,06,043,24.4
Mendocino County,California,78.6518521214148,06,045,24.8
Merced County,California,78.3750954459993,06,047,13.8
Modoc County,California,77.1077065159972,06,049,16.6
Mono County,California,84.9580737678398,06,051,31.5
Monterey County,California,81.9472905883429,06,053,23.9
Napa County,California,81.2829692549916,06,055,34.6
Nevada County,California,81.0166977108918,06,057,35.8
Orange County,California,82.5543904647591,06,059,39.1
Placer County,California,81.548378960557,06,061,37.5
Plumas County,California,78.2532986991761,06,063,22.6
Riverside County,California,80.3363218283084,06,065,21.5
Sacramento County,California,79.0940358645218,06,067,29.9
San Benito County,California,81.6550155032969,06,069,19.2
San Bernardino County,California,78.317187547423,06,071,19.8
San Diego County,California,81.6258744799118,06,073,37.4
San Francisco County,California,83.0357041460174,06,075,55.8
San Joaquin County,California,78.0359896860733,06,077,18.1
San Luis Obispo County,California,81.2020517524637,06,079,34.0
San Mateo County,California,84.1096902566921,06,081,48.5
Santa Barbara County,California,81.5801518841513,06,083,33.3
Santa Clara County,California,83.9917895786546,06,085,50.0
Santa Cruz County,California,82.0605857508508,06,087,39.8
Shasta County,California,75.806788638393,06,089,21.4
Sierra County,California,78.5719149965786,06,091,21.4
Siskiyou County,California,76.1862354494511,06,093,22.7
Solano County,California,79.6451278217147,06,095,25.6
Sonoma County,California,81.5679359147788,06,097,33.8
Stanislaus County,California,77.7149198210095,06,099,16.7
Sutter County,California,78.3763386412633,06,101,17.5
Tehama County,California,76.9976036049311,06,103,14.4
Trinity County,California,76.3456287127584,06,105,19.5
Tulare County,California,77.9753506021237,06,107,13.8
Tuolumne County,California,78.5900358024682,06,109,20.6
Ventura County,California,81.841533815838,06,111,32.6
Yolo County,California,80.9056635823379,06,113,40.6
Yuba County,California,75.8408352670592,06,115,16.4
Alamosa County,Colorado,75.8311324798402,08,003,26.2
Archuleta County,Colorado,81.6145512749235,08,007,37.0
Baca County,Colorado,77.0260592657618,08,009,21.4
Bent County,Colorado,75.8224499656267,08,011,10.3
Chaffee County,Colorado,81.2092487110115,08,015,32.4
Cheyenne County,Colorado,78.6333421783932,08,017,21.9
Clear Creek County,Colorado,82.3124381664765,08,019,46.4
Conejos County,Colorado,76.2573666245659,08,021,19.2
Costilla County,Colorado,76.8592293656779,08,023,20.9
Crowley County,Colorado,76.9641943181852,08,025,8.1
Custer County,Colorado,81.092782954152,08,027,33.3
Delta County,Colorado,77.8313362534641,08,029,19.4
Dolores County,Colorado,79.1893045710591,08,033,19.8
Douglas County,Colorado,83.4025879459957,08,035,58.0
Eagle County,Colorado,88.4392672602876,08,037,45.1
Elbert County,Colorado,81.6581733388672,08,039,35.0
El Paso County,Colorado,78.7742109882968,08,041,37.3
Fremont County,Colorado,77.0933471771635,08,043,17.1
Garfield County,Colorado,80.4969076123098,08,045,30.2
Gilpin County,Colorado,81.4969326961949,08,047,36.6
Grand County,Colorado,83.5333558735278,08,049,38.4
Gunnison County,Colorado,82.5366935871018,08,051,53.7
Huerfano County,Colorado,75.4892545704702,08,055,23.6
Jackson County,Colorado,79.4480965120346,08,057,16.5
Kiowa County,Colorado,77.3252924655834,08,061,21.0
Kit Carson County,Colorado,79.2392184006058,08,063,15.8
Lake County,Colorado,81.6061753881909,08,065,31.2
La Plata County,Colorado,81.6864546006773,08,067,43.1
Larimer County,Colorado,81.4508729730401,08,069,45.9
Las Animas County,Colorado,76.2626774559932,08,071,20.2
Lincoln County,Colorado,78.5091614921194,08,073,13.2
Logan County,Colorado,79.1781984236642,08,075,19.0
Mesa County,Colorado,78.3133657029401,08,077,27.2
Moffat County,Colorado,78.1807357406007,08,081,17.2
Montezuma County,Colorado,77.2643320455981,08,083,28.0
Montrose County,Colorado,79.379514628823,08,085,23.4
Morgan County,Colorado,78.04532580758,08,087,17.2
Otero County,Colorado,75.0071650698003,08,089,17.7
Ouray County,Colorado,83.8987068625614,08,091,49.4
Park County,Colorado,82.6462895795416,08,093,28.5
Phillips County,Colorado,80.1789952228355,08,095,21.6
Pitkin County,Colorado,90.704592150593,08,097,61.2
Prowers County,Colorado,76.7197991902101,08,099,16.0
Pueblo County,Colorado,76.2368027257113,08,101,21.7
Rio Blanco County,Colorado,78.6915559197346,08,103,20.9
Rio Grande County,Colorado,76.5723480456952,08,105,23.7
Routt County,Colorado,83.137600225356,08,107,51.6
Saguache County,Colorado,79.5112275070078,08,109,26.0
San Miguel County,Colorado,86.0178704274716,08,113,54.1
Sedgwick County,Colorado,77.5401451830135,08,115,20.8
Summit County,Colorado,91.044579954477,08,117,47.8
Teller County,Colorado,80.4232362556622,08,119,34.1
Washington County,Colorado,79.4007814134676,08,121,16.6
Yuma County,Colorado,78.8003703636188,08,125,21.0
Adams County,Colorado,80.2868507759135,08,001,23.1
Arapahoe County,Colorado,80.2868507759135,08,005,41.6
Boulder County,Colorado,80.2868507759135,08,013,60.4
Broomfield County,Colorado,80.2868507759135,08,014,53.4
Denver County,Colorado,80.2868507759135,08,031,46.5
Jefferson County,Colorado,80.2868507759135,08,059,43.1
Weld County,Colorado,80.2868507759135,08,123,27.0
Fairfield County,Connecticut,82.5946872177968,09,001,46.5
Hartford County,Connecticut,80.0972707575589,09,003,37.4
Litchfield County,Connecticut,80.2933334667025,09,005,35.0
Middlesex County,Connecticut,81.0203125170856,09,007,40.8
New Haven County,Connecticut,79.9816945680513,09,009,34.6
New London County,Connecticut,79.8089429093262,09,011,32.9
Tolland County,Connecticut,81.5167123037912,09,013,39.7
Windham County,Connecticut,78.7003951043393,09,015,24.4
Kent County,Delaware,77.1563248845642,10,001,23.5
New Castle County,Delaware,78.1368239340031,10,003,35.7
Sussex County,Delaware,78.4659649042153,10,005,25.1
Alachua County,Florida,78.280773345389,12,001,41.4
Baker County,Florida,74.8631741870423,12,003,13.1
Bay County,Florida,75.6776481016893,12,005,22.4
Bradford County,Florida,75.0591892268178,12,007,10.4
Brevard County,Florida,77.2150847771434,12,009,28.4
Broward County,Florida,80.3317307609575,12,011,31.5
Calhoun County,Florida,74.6772354135484,12,013,9.6
Charlotte County,Florida,80.03383445763,12,015,22.4
Citrus County,Florida,75.2399918924409,12,017,17.8
Clay County,Florida,77.188860994767,12,019,23.7
Collier County,Florida,84.595444361758,12,021,34.9
Columbia County,Florida,74.7773936232838,12,023,16.4
Miami-Dade County,Florida,80.9425605320856,12,086,27.8
DeSoto County,Florida,79.1444636027855,12,027,11.5
Dixie County,Florida,74.5575346674888,12,029,9.1
Duval County,Florida,75.6156823037129,12,031,28.7
Escambia County,Florida,74.9177305679025,12,033,26.0
Flagler County,Florida,78.664439632624,12,035,23.6
Franklin County,Florida,75.8945940583455,12,037,18.4
Gadsden County,Florida,75.1015247970268,12,039,16.3
Gilchrist County,Florida,76.5403282898351,12,041,12.4
Glades County,Florida,80.3593819027898,12,043,10.9
Gulf County,Florida,76.1867572155153,12,045,18.5
Hamilton County,Florida,75.20250890304,12,047,10.2
Hardee County,Florida,78.2845185703614,12,049,10.5
Hendry County,Florida,76.8823667223551,12,051,8.4
Hernando County,Florida,76.4093994711709,12,053,17.1
Highlands County,Florida,78.1939608334697,12,055,17.1
Hillsborough County,Florida,78.5404586829892,12,057,32.0
Holmes County,Florida,73.2084521422928,12,059,11.5
Indian River County,Florida,79.907697163534,12,061,27.8
Jackson County,Florida,74.6358394836189,12,063,14.0
Jefferson County,Florida,76.8845831245796,12,065,21.2
Lafayette County,Florida,76.6581957641507,12,067,14.0
Lake County,Florida,78.2864216245771,12,069,22.4
Lee County,Florida,81.3739581271401,12,071,27.2
Leon County,Florida,79.030358739809,12,073,45.5
Levy County,Florida,74.6229846286448,12,075,11.9
Liberty County,Florida,75.7518222351327,12,077,11.1
Madison County,Florida,74.8388882546744,12,079,12.5
Manatee County,Florida,80.1910648097431,12,081,29.1
Marion County,Florida,75.9623016853633,12,083,19.4
Martin County,Florida,81.1568203073339,12,085,32.3
Monroe County,Florida,79.6005221210364,12,087,31.8
Nassau County,Florida,77.2759370761858,12,089,27.2
Okaloosa County,Florida,77.3889246282456,12,091,29.8
Okeechobee County,Florida,75.9457097645825,12,093,11.0
Orange County,Florida,79.5269054955863,12,095,32.7
Osceola County,Florida,78.8810610995138,12,097,19.0
Palm Beach County,Florida,81.3829024333588,12,099,34.8
Pasco County,Florida,77.098851734423,12,101,22.7
Pinellas County,Florida,78.2987745279353,12,103,30.1
Polk County,Florida,77.7020921564756,12,105,19.5
Putnam County,Florida,73.635254100304,12,107,12.5
Saint Johns County,Florida,80.5809996179964,12,109,43.0
Saint Lucie County,Florida,79.2977622741057,12,111,19.6
Santa Rosa County,Florida,77.3193290919895,12,113,27.1
Sarasota County,Florida,80.9350383168968,12,115,33.9
Seminole County,Florida,79.8402255658359,12,117,37.6
Sumter County,Florida,80.4806227609364,12,119,30.9
Suwannee County,Florida,75.2150765992341,12,121,13.7
Taylor County,Florida,74.7442078191434,12,123,8.6
Union County,Florida,67.8919995760419,12,125,8.3
Volusia County,Florida,76.2981063923098,12,127,22.7
Wakulla County,Florida,76.2724538807062,12,129,17.8
Walton County,Florida,77.3545360296973,12,131,26.7
Washington County,Florida,72.8960237830396,12,133,11.3
Appling County,Georgia,74.0084605365612,13,001,11.5
Atkinson County,Georgia,73.4390527880296,13,003,8.2
Bacon County,Georgia,72.5321912655798,13,005,11.8
Baker County,Georgia,77.1226977730015,13,007,11.0
Baldwin County,Georgia,75.885623089803,13,009,19.4
Banks County,Georgia,76.5761341138381,13,011,11.9
Barrow County,Georgia,76.4531171029684,13,013,17.3
Bartow County,Georgia,76.2159238347912,13,015,19.4
Ben Hill County,Georgia,72.9889666208592,13,017,10.2
Berrien County,Georgia,74.439001968007,13,019,11.7
Bibb County,Georgia,73.6270349335338,13,021,25.4
Bleckley County,Georgia,75.6767775470061,13,023,17.2
Brantley County,Georgia,74.2535435032282,13,025,7.8
Brooks County,Georgia,74.7365498889901,13,027,13.6
Bryan County,Georgia,75.9644967649488,13,029,32.4
Bulloch County,Georgia,76.8294282235662,13,031,27.9
Burke County,Georgia,73.7095855538626,13,033,11.7
Butts County,Georgia,73.7983435794374,13,035,10.5
Calhoun County,Georgia,74.4920251011037,13,037,9.4
Camden County,Georgia,77.8072993071322,13,039,23.6
Candler County,Georgia,73.3882320641854,13,043,14.4
Carroll County,Georgia,75.1232865117092,13,045,19.6
Catoosa County,Georgia,77.5910778852834,13,047,20.3
Charlton County,Georgia,76.3359105899648,13,049,8.6
Chatham County,Georgia,77.490102718577,13,051,33.2
Chattahoochee County,Georgia,77.0231781510592,13,053,33.0
Chattooga County,Georgia,73.4170928402242,13,055,10.1
Cherokee County,Georgia,79.8435454979864,13,057,35.7
Clarke County,Georgia,78.6318913183763,13,059,41.3
Clay County,Georgia,73.9493638446073,13,061,8.9
Clayton County,Georgia,76.5508691906889,13,063,19.1
Clinch County,Georgia,72.4247234455474,13,065,12.3
Cobb County,Georgia,80.2177640812596,13,067,45.5
Coffee County,Georgia,74.4295289710942,13,069,14.1
Colquitt County,Georgia,74.0379120198679,13,071,12.5
Columbia County,Georgia,79.8999326107972,13,073,34.4
Cook County,Georgia,74.3093937088097,13,075,14.8
Coweta County,Georgia,78.3648849335877,13,077,29.0
Crawford County,Georgia,75.6561888490683,13,079,13.2
Crisp County,Georgia,74.6124945203586,13,081,13.6
Dade County,Georgia,75.0924029502412,13,083,13.9
Dawson County,Georgia,77.8849206643038,13,085,31.1
Decatur County,Georgia,73.7088647064192,13,087,14.9
DeKalb County,Georgia,79.8238732978234,13,089,42.1
Dodge County,Georgia,75.1775460945016,13,091,14.6
Dooly County,Georgia,78.2138090959277,13,093,9.9
Dougherty County,Georgia,74.3569712282889,13,095,20.7
Douglas County,Georgia,77.3960194322986,13,097,26.7
Early County,Georgia,73.2371558935003,13,099,17.0
Echols County,Georgia,77.0599023389516,13,101,6.9
Effingham County,Georgia,76.3909397434421,13,103,19.2
Elbert County,Georgia,74.195571787566,13,105,11.1
Emanuel County,Georgia,72.6318304928933,13,107,12.5
Evans County,Georgia,74.7149148196397,13,109,15.5
Fannin County,Georgia,77.0727670886557,13,111,19.0
Fayette County,Georgia,80.7682924448471,13,113,46.7
Floyd County,Georgia,75.0581302260989,13,115,20.5
Forsyth County,Georgia,81.674209211008,13,117,50.2
Franklin County,Georgia,73.8725746030686,13,119,12.8
Fulton County,Georgia,78.867596065924,13,121,50.2
Gilmer County,Georgia,77.9602337939812,13,123,18.6
Glascock County,Georgia,73.394960919002,13,125,9.4
Glynn County,Georgia,77.1335060809149,13,127,29.0
Gordon County,Georgia,75.4706012819472,13,129,13.7
Grady County,Georgia,75.5518347037765,13,131,13.7
Greene County,Georgia,77.7512340805882,13,133,25.6
Gwinnett County,Georgia,80.607617253456,13,135,35.3
Habersham County,Georgia,77.3582989596064,13,137,18.4
Hall County,Georgia,78.8960139014754,13,139,23.5
Hancock County,Georgia,75.3903158501469,13,141,8.7
Haralson County,Georgia,73.2656065600872,13,143,14.1
Harris County,Georgia,79.295601776848,13,145,27.4
Hart County,Georgia,76.8248765683369,13,147,13.8
Heard County,Georgia,74.7199641903674,13,149,10.8
Henry County,Georgia,77.181720507416,13,151,28.0
Houston County,Georgia,77.3383420736599,13,153,25.4
Irwin County,Georgia,74.8751692688427,13,155,13.1
Jackson County,Georgia,76.2832039775414,13,157,19.7
Jasper County,Georgia,75.7749845245545,13,159,10.5
Jeff Davis County,Georgia,73.2268902139052,13,161,10.3
Jefferson County,Georgia,72.5992407627131,13,163,10.6
Jenkins County,Georgia,73.3841998147857,13,165,8.3
Johnson County,Georgia,76.0287103065729,13,167,9.6
Jones County,Georgia,77.8374428106185,13,169,20.7
Lamar County,Georgia,74.3508731721163,13,171,18.4
Lanier County,Georgia,75.3835180951939,13,173,15.8
Laurens County,Georgia,74.4577525082559,13,175,15.4
Lee County,Georgia,76.6914056662725,13,177,25.7
Liberty County,Georgia,76.3021109268363,13,179,19.4
Lincoln County,Georgia,76.1794942621868,13,181,12.1
Long County,Georgia,78.4618707054974,13,183,15.6
Lowndes County,Georgia,75.8358035603923,13,185,25.2
Lumpkin County,Georgia,77.7101053772346,13,187,26.7
McDuffie County,Georgia,73.7738203200434,13,189,15.3
McIntosh County,Georgia,79.7108099163917,13,191,14.0
Macon County,Georgia,73.7317039474685,13,193,8.6
Madison County,Georgia,75.840925411624,13,195,16.7
Marion County,Georgia,76.2946453096112,13,197,12.5
Meriwether County,Georgia,74.4847266846964,13,199,10.7
Miller County,Georgia,73.0734881813492,13,201,11.4
Mitchell County,Georgia,74.0885588705262,13,205,12.3
Monroe County,Georgia,77.4835874483883,13,207,22.7
Montgomery County,Georgia,75.0403904752512,13,209,15.5
Morgan County,Georgia,77.3359048444416,13,211,22.1
Murray County,Georgia,74.7984649731187,13,213,9.6
Muscogee County,Georgia,74.0661905409308,13,215,26.0
Newton County,Georgia,76.0968360464372,13,217,19.9
Oconee County,Georgia,80.9648939245257,13,219,48.2
Oglethorpe County,Georgia,77.6363584185965,13,221,15.5
Paulding County,Georgia,78.486927311261,13,223,24.4
Peach County,Georgia,73.7058392267195,13,225,20.3
Pickens County,Georgia,77.0978924166854,13,227,24.9
Pierce County,Georgia,74.2596164151985,13,229,12.7
Pike County,Georgia,75.4989917474708,13,231,16.5
Polk County,Georgia,73.2748803672115,13,233,12.7
Pulaski County,Georgia,77.6666373683592,13,235,12.6
Putnam County,Georgia,77.4061176357782,13,237,21.4
Quitman County,Georgia,75.3250351764225,13,239,8.3
Rabun County,Georgia,76.9944546576478,13,241,25.3
Randolph County,Georgia,75.026721238403,13,243,12.1
Richmond County,Georgia,73.6808084874035,13,245,21.0
Rockdale County,Georgia,77.6033875048851,13,247,25.8
Schley County,Georgia,76.9446934911318,13,249,13.7
Screven County,Georgia,74.5319377680867,13,251,14.7
Seminole County,Georgia,73.47471546866,13,253,15.1
Spalding County,Georgia,74.2476675171375,13,255,16.2
Stephens County,Georgia,73.3838160708526,13,257,19.6
Stewart County,Georgia,74.2587420264588,13,259,12.4
Sumter County,Georgia,74.3351110608217,13,261,16.8
Talbot County,Georgia,74.577238903621,13,263,12.5
Taliaferro County,Georgia,74.243707404434,13,265,6.8
