County,State,mean_life_expectancy,State_FIPS,County_FIPS,No Vehicle (Renter)
Marengo County,Alabama,74.1333674215399,01,091,692
Marion County,Alabama,74.2996624676483,01,093,475
Marshall County,Alabama,74.2650814854454,01,095,1287
Mobile County,Alabama,75.0140519651065,01,097,8109
Monroe County,Alabama,74.9403376152072,01,099,621
Montgomery County,Alabama,76.0742035748331,01,101,5345
Morgan County,Alabama,75.7687418754051,01,103,1595
Perry County,Alabama,72.4458737373582,01,105,230
Pickens County,Alabama,74.3989386831643,01,107,592
Pike County,Alabama,75.3843799599901,01,109,952
Randolph County,Alabama,74.6272688359767,01,111,399
Russell County,Alabama,74.4625975354371,01,113,1139
Saint Clair County,Alabama,75.1354509099959,01,115,346
Shelby County,Alabama,79.7687496224489,01,117,1110
Sumter County,Alabama,74.3343686399483,01,119,421
Talladega County,Alabama,73.6825216143372,01,121,1325
Tallapoosa County,Alabama,75.2077207940106,01,123,721
Tuscaloosa County,Alabama,76.1412472106416,01,125,3095
Walker County,Alabama,70.8637922877104,01,127,760
Washington County,Alabama,74.6734179457892,01,129,186
Wilcox County,Alabama,72.2374261679305,01,131,199
Winston County,Alabama,74.2153646411101,01,133,253
Anchorage Municipality,Alaska,78.7538192744483,02,020,5042
Bethel Census Area,Alaska,72.9162299270473,02,050,834
Bristol Bay Borough,Alaska,75.4655368308601,02,060,37
Fairbanks North Star Borough,Alaska,79.2875377464225,02,090,1854
Haines Borough,Alaska,80.3402659326086,02,100,53
Juneau City and Borough,Alaska,79.7513085001443,02,110,669
Kenai Peninsula Borough,Alaska,78.3295603866331,02,122,878
Kodiak Island Borough,Alaska,79.2674018916655,02,150,264
Matanuska-Susitna Borough,Alaska,78.1712241323719,02,170,682
Nome Census Area,Alaska,71.0874958002656,02,180,781
North Slope Borough,Alaska,75.2725719185953,02,185,536
Sitka City and Borough,Alaska,79.5125431994159,02,220,407
Southeast Fairbanks Census Area,Alaska,77.1481963302165,02,240,62
Valdez-Cordova Census Area,Alaska,78.0507317723694,02,261,118
Wade Hampton Census Area,Alaska,69.129042588567,02,270,421
Northwest Arctic Borough,Alaska,73.0243042513836,02,188,591
Aleutians East Borough,Alaska,83.5166512642875,02,013,43
Aleutians West Census Area,Alaska,83.5166512642875,02,016,97
Dillingham Census Area,Alaska,73.7920691867546,02,070,245
Lake and Peninsula Borough,Alaska,73.7920691867546,02,164,94
Denali Borough,Alaska,73.5699219653651,02,068,10
Yukon-Koyukuk Census Area,Alaska,73.5699219653651,02,290,340
Hoonah-Angoon Census Area,Alaska,80.374241032238,02,105,106
Skagway Municipality,Alaska,80.374241032238,02,230,27
Yakutat City and Borough,Alaska,80.374241032238,02,282,19
Ketchikan Gateway Borough,Alaska,78.2808420907731,02,130,563
Petersburg Borough,Alaska,78.2808420907731,02,195,115
Prince of Wales-Hyder Census Area,Alaska,78.2808420907731,02,198,121
Wrangell City and Borough,Alaska,78.2808420907731,02,275,74
Apache County,Arizona,73.5831561418625,04,001,386
Cochise County,Arizona,78.5093583618516,04,003,1836
Coconino County,Arizona,79.1783967754568,04,005,1749
Gila County,Arizona,75.4683450305506,04,007,878
Graham County,Arizona,77.4666536416568,04,009,478
Greenlee County,Arizona,78.6626921330292,04,011,75
Maricopa County,Arizona,80.2239065499369,04,013,75466
Mohave County,Arizona,75.5732188036138,04,015,2862
Navajo County,Arizona,75.2513758313513,04,017,1533
Pima County,Arizona,79.2068381779827,04,019,25071
Pinal County,Arizona,80.9037956408188,04,021,3292
Santa Cruz County,Arizona,82.0079464280884,04,023,669
Yavapai County,Arizona,78.6615151890778,04,025,3160
La Paz County,Arizona,81.3901815824637,04,012,477
Yuma County,Arizona,81.3901815824637,04,027,2344
Arkansas County,Arkansas,73.8156973399201,05,001,355
Ashley County,Arkansas,74.527033712992,05,003,302
Baxter County,Arkansas,76.2122281368992,05,005,531
Benton County,Arkansas,79.3617722496715,05,007,2030
Boone County,Arkansas,76.5714079641579,05,009,511
Bradley County,Arkansas,73.9928167351683,05,011,301
Calhoun County,Arkansas,75.0101834551434,05,013,43
Carroll County,Arkansas,76.9212348790936,05,015,365
Chicot County,Arkansas,73.4958825931558,05,017,462
Clark County,Arkansas,75.4277256789478,05,019,330
Clay County,Arkansas,73.4772580278363,05,021,262
Cleburne County,Arkansas,76.4332102428103,05,023,191
Cleveland County,Arkansas,75.3899386050606,05,025,76
Columbia County,Arkansas,74.4778597853245,05,027,574
Conway County,Arkansas,75.3211173537385,05,029,331
Craighead County,Arkansas,76.1849034187585,05,031,2102
Crawford County,Arkansas,75.6323094688717,05,033,782
Crittenden County,Arkansas,73.0807663455022,05,035,1748
Cross County,Arkansas,73.6102929568663,05,037,311
Dallas County,Arkansas,73.9447963982835,05,039,403
Desha County,Arkansas,73.1929803551693,05,041,486
Drew County,Arkansas,75.6142342376879,05,043,334
Faulkner County,Arkansas,76.874980748974,05,045,1613
Franklin County,Arkansas,74.8461541973117,05,047,245
Fulton County,Arkansas,75.4429142733183,05,049,119
Garland County,Arkansas,75.0982760087787,05,051,1995
Grant County,Arkansas,75.6273873667791,05,053,114
Greene County,Arkansas,74.4557946872778,05,055,728
Hempstead County,Arkansas,75.0798934829681,05,057,447
Hot Spring County,Arkansas,74.7699312058851,05,059,426
Howard County,Arkansas,74.3104978429413,05,061,284
Independence County,Arkansas,75.55292051348,05,063,523
Izard County,Arkansas,75.6857060417369,05,065,157
Jackson County,Arkansas,73.5645257013294,05,067,467
Jefferson County,Arkansas,73.8804417043154,05,069,1253
Johnson County,Arkansas,76.0679421315981,05,071,362
Lafayette County,Arkansas,73.9732457610778,05,073,184
Lawrence County,Arkansas,74.1944235430574,05,075,244
Lee County,Arkansas,73.6656526371685,05,077,563
Lincoln County,Arkansas,75.6620100556507,05,079,161
Little River County,Arkansas,74.1904867610063,05,081,232
Logan County,Arkansas,74.7110052677721,05,083,320
Lonoke County,Arkansas,75.2681135595378,05,085,870
Madison County,Arkansas,75.5147457725886,05,087,142
Marion County,Arkansas,75.4990392659523,05,089,184
Miller County,Arkansas,74.9160232473299,05,091,925
Mississippi County,Arkansas,72.3314425790971,05,093,1205
Monroe County,Arkansas,72.9273164936148,05,095,393
Montgomery County,Arkansas,76.1909321334472,05,097,99
Nevada County,Arkansas,74.3108502571174,05,099,285
Newton County,Arkansas,77.0546342078252,05,101,100
Ouachita County,Arkansas,73.4215539603755,05,103,676
Perry County,Arkansas,75.3566377146712,05,105,72
Phillips County,Arkansas,71.143137921812,05,107,957
Pike County,Arkansas,75.3219856286797,05,109,238
Poinsett County,Arkansas,71.7436296549771,05,111,611
Polk County,Arkansas,75.1706027573073,05,113,218
Pope County,Arkansas,76.5312262614872,05,115,768
Prairie County,Arkansas,75.5040076219309,05,117,208
Pulaski County,Arkansas,76.2155838234668,05,119,8891
Randolph County,Arkansas,74.8295050145305,05,121,394
Saint Francis County,Arkansas,74.2143402022178,05,123,824
Saline County,Arkansas,77.2702721854195,05,125,953
Scott County,Arkansas,75.4264942209673,05,127,239
Searcy County,Arkansas,75.8170342561347,05,129,184
Sebastian County,Arkansas,75.9063008139938,05,131,2776
Sevier County,Arkansas,74.8024916114451,05,133,264
Sharp County,Arkansas,74.4068059903225,05,135,217
Stone County,Arkansas,76.4746383103692,05,137,148
Union County,Arkansas,73.3950491276234,05,139,554
Van Buren County,Arkansas,76.3377657708152,05,141,218
Washington County,Arkansas,77.9667709462642,05,143,3641
White County,Arkansas,75.4804389196206,05,145,1224
Woodruff County,Arkansas,72.9704729972146,05,147,363
Yell County,Arkansas,74.6982071723465,05,149,327
Alameda County,California,81.7395666265102,06,001,47864
Alpine County,California,78.7968439851636,06,003,7
Amador County,California,79.7223050305829,06,005,323
Butte County,California,78.0043483458703,06,007,4450
Calaveras County,California,79.7276449490236,06,009,424
Colusa County,California,80.1885672391631,06,011,296
Contra Costa County,California,81.5819673902927,06,013,15490
Del Norte County,California,75.9485446226768,06,015,449
El Dorado County,California,81.1333632533598,06,017,1978
Fresno County,California,78.6280024400332,06,019,22554
Glenn County,California,78.0902335149727,06,021,521
Humboldt County,California,77.0385176745656,06,023,2729
Imperial County,California,81.0040782496188,06,025,3192
Inyo County,California,79.2667613009441,06,027,490
Kern County,California,77.4190857391695,06,029,14653
Kings County,California,79.4568073221703,06,031,2210
Lake County,California,75.3296236176337,06,033,1114
Lassen County,California,78.5887276747557,06,035,547
Los Angeles County,California,81.513727949983,06,037,267987
Madera County,California,78.9675915817164,06,039,1831
Marin County,California,84.1641989359273,06,041,3640
Mariposa County,California,80.3362251688537,06,043,97
Mendocino County,California,78.6500830383081,06,045,1867
Merced County,California,78.6838148179829,06,047,4432
Modoc County,California,77.8998017368993,06,049,215
Mono County,California,85.128377239051,06,051,157
Monterey County,California,81.9185117287455,06,053,5207
Napa County,California,81.0720024251202,06,055,1741
Nevada County,California,81.2593934799348,06,057,1225
Orange County,California,82.3839819579677,06,059,34841
Placer County,California,81.4678387425728,06,061,3531
Plumas County,California,78.5189520450344,06,063,384
Riverside County,California,80.4402769706343,06,065,23613
Sacramento County,California,79.132092350364,06,067,31764
San Benito County,California,81.8444776151262,06,069,424
San Bernardino County,California,78.6487652383866,06,071,24967
San Diego County,California,81.4679164471467,06,073,52210
San Francisco County,California,82.485751145669,06,075,92306
San Joaquin County,California,78.2220036604945,06,077,11728
San Luis Obispo County,California,81.2489637100771,06,079,2902
San Mateo County,California,83.4967990283785,06,081,10066
Santa Barbara County,California,81.7882481086712,06,083,8254
Santa Clara County,California,83.500114935863,06,085,23686
Santa Cruz County,California,81.5626211749038,06,087,4016
Shasta County,California,76.0662043800792,06,089,3310
Sierra County,California,79.0329351185959,06,091,12
Siskiyou County,California,76.7979664249462,06,093,1210
Solano County,California,79.6800244647687,06,095,6025
Sonoma County,California,81.1485223965982,06,097,6862
Stanislaus County,California,77.9770812106916,06,099,9231
Sutter County,California,78.7426896341866,06,101,1721
Tehama County,California,77.9506792628036,06,103,856
Trinity County,California,76.9955672863657,06,105,61
Tulare County,California,78.2025078803788,06,107,6385
Tuolumne County,California,79.044258406196,06,109,666
Ventura County,California,81.7761931721516,06,111,8776
Yolo County,California,80.7386624179938,06,113,4994
Yuba County,California,75.9458062203812,06,115,1152
Alamosa County,Colorado,76.4616841387818,08,003,268
Archuleta County,Colorado,81.4870439008997,08,007,33
Baca County,Colorado,77.2704980116003,08,009,39
Bent County,Colorado,75.9350821641372,08,011,38
Chaffee County,Colorado,81.3491483892739,08,015,109
Cheyenne County,Colorado,79.6023492108261,08,017,3
Clear Creek County,Colorado,81.7821524704633,08,019,39
Conejos County,Colorado,77.0258356905695,08,021,119
Costilla County,Colorado,77.4765309356295,08,023,54
Crowley County,Colorado,77.8467351587918,08,025,27
Custer County,Colorado,81.3160951778407,08,027,33
Delta County,Colorado,78.5857114920751,08,029,347
Dolores County,Colorado,79.6818226875829,08,033,18
Douglas County,Colorado,83.398137452493,08,035,856
Eagle County,Colorado,87.8651173312628,08,037,258
Elbert County,Colorado,81.2848837662553,08,039,25
El Paso County,Colorado,79.5325202986677,08,041,9078
Fremont County,Colorado,77.2534699163747,08,043,572
Garfield County,Colorado,80.6723210779454,08,045,529
Gilpin County,Colorado,80.5058523843539,08,047,18
Grand County,Colorado,83.3911146189488,08,049,72
Gunnison County,Colorado,82.5765389495522,08,051,118
Huerfano County,Colorado,76.886483043344,08,055,93
Jackson County,Colorado,79.8747254930755,08,057,4
Kiowa County,Colorado,77.8278281310628,08,061,7
Kit Carson County,Colorado,78.7539822578827,08,063,116
Lake County,Colorado,80.838132827301,08,065,114
La Plata County,Colorado,81.8467654951257,08,067,475
Larimer County,Colorado,81.5278668733351,08,069,3733
Las Animas County,Colorado,76.7407696975048,08,071,470
Lincoln County,Colorado,79.4178092826071,08,073,83
Logan County,Colorado,79.0949385769402,08,075,419
Mesa County,Colorado,78.7674543057644,08,077,2366
Moffat County,Colorado,78.3930826953069,08,081,130
Montezuma County,Colorado,77.5115724550133,08,083,354
Montrose County,Colorado,79.6067950700064,08,085,581
Morgan County,Colorado,78.3030515948637,08,087,536
Otero County,Colorado,75.7111807102341,08,089,503
Ouray County,Colorado,84.2222044140032,08,091,40
Park County,Colorado,82.4733990891643,08,093,44
Phillips County,Colorado,80.1194776987327,08,095,57
Pitkin County,Colorado,89.6648153256682,08,097,156
Prowers County,Colorado,76.8340804383445,08,099,202
Pueblo County,Colorado,77.094553026069,08,101,3735
Rio Blanco County,Colorado,79.3559610492821,08,103,87
Rio Grande County,Colorado,77.1676477578974,08,105,264
Routt County,Colorado,83.0289544645963,08,107,86
Saguache County,Colorado,80.3484813709541,08,109,86
San Miguel County,Colorado,85.3741700410346,08,113,165
Sedgwick County,Colorado,78.1950772359603,08,115,42
Summit County,Colorado,89.9631891686862,08,117,263
Teller County,Colorado,80.4486314426082,08,119,79
Washington County,Colorado,79.9994991153517,08,121,32
Yuma County,Colorado,79.1559316064511,08,125,214
Adams County,Colorado,80.114402788454,08,001,6200
Arapahoe County,Colorado,80.114402788454,08,005,10358
Boulder County,Colorado,80.114402788454,08,013,5146
Broomfield County,Colorado,80.114402788454,08,014,644
Denver County,Colorado,80.114402788454,08,031,26299
Jefferson County,Colorado,80.114402788454,08,059,7520
Weld County,Colorado,80.114402788454,08,123,2930
Fairfield County,Connecticut,82.361563205464,09,001,21573
Hartford County,Connecticut,80.45268370516,09,003,30844
Litchfield County,Connecticut,80.6126221620776,09,005,2450
Middlesex County,Connecticut,81.2500528358246,09,007,2328
New Haven County,Connecticut,80.1729267704691,09,009,30752
New London County,Connecticut,80.1491336655257,09,011,6000
Tolland County,Connecticut,81.786493464423,09,013,1028
Windham County,Connecticut,79.1337741835024,09,015,2575
Kent County,Delaware,77.6499786880756,10,001,2481
New Castle County,Delaware,78.7647932114062,10,003,10918
Sussex County,Delaware,78.6763072946828,10,005,1667
Alachua County,Florida,78.7919425921797,12,001,6435
Baker County,Florida,75.5212181623326,12,003,146
Bay County,Florida,76.4660813157135,12,005,2661
Bradford County,Florida,76.1902715953288,12,007,468
Brevard County,Florida,78.3330796870858,12,009,6732
Broward County,Florida,80.5650531347463,12,011,30780
Calhoun County,Florida,75.6943342878028,12,013,109
Charlotte County,Florida,80.4284537804809,12,015,2196
Citrus County,Florida,76.4681482910462,12,017,1138
Clay County,Florida,77.9259215123163,12,019,1808
Collier County,Florida,84.3190295276291,12,021,4439
Columbia County,Florida,75.5977790791096,12,023,886
Miami-Dade County,Florida,81.1234565201074,12,086,71987
DeSoto County,Florida,79.7087112323078,12,027,550
Dixie County,Florida,75.2446510785173,12,029,153
Duval County,Florida,76.5390715004831,12,031,20050
Escambia County,Florida,75.8996052771069,12,033,5998
Flagler County,Florida,79.5278588605028,12,035,612
Franklin County,Florida,76.2687045965907,12,037,268
Gadsden County,Florida,75.7781182334425,12,039,1082
Gilchrist County,Florida,76.9549182859829,12,041,182
Glades County,Florida,80.8626224515423,12,043,112
Gulf County,Florida,76.7041030080508,12,045,279
Hamilton County,Florida,76.2504227694229,12,047,250
Hardee County,Florida,79.0372669912688,12,049,370
Hendry County,Florida,77.9010640777765,12,051,505
Hernando County,Florida,77.3010243498065,12,053,1604
Highlands County,Florida,79.3108383100278,12,055,1646
Hillsborough County,Florida,78.7344657791495,12,057,24930
Holmes County,Florida,74.3769076881332,12,059,147
Indian River County,Florida,80.5353504178124,12,061,1711
Jackson County,Florida,75.6572242778723,12,063,841
Jefferson County,Florida,77.105237152819,12,065,268
Lafayette County,Florida,76.9386335655433,12,067,74
Lake County,Florida,79.4075989109908,12,069,3271
Lee County,Florida,81.6434872180073,12,071,7933
Leon County,Florida,79.5046507466643,12,073,5752
Levy County,Florida,75.2648595949867,12,075,617
Liberty County,Florida,76.2864345782619,12,077,88
Madison County,Florida,75.3802096490306,12,079,355
Manatee County,Florida,80.6401375278797,12,081,3911
Marion County,Florida,77.2193842479713,12,083,4237
Martin County,Florida,81.6918626898687,12,085,1786
Monroe County,Florida,79.6572423356517,12,087,1565
Nassau County,Florida,77.6273796286286,12,089,425
Okaloosa County,Florida,78.0243619781617,12,091,2363
Okeechobee County,Florida,76.6928309950686,12,093,279
Orange County,Florida,79.907746185422,12,095,19973
Osceola County,Florida,79.4141527712853,12,097,3649
Palm Beach County,Florida,81.9478048279696,12,099,20809
Pasco County,Florida,77.8138523845587,12,101,5651
Pinellas County,Florida,78.6699666288068,12,103,22967
Polk County,Florida,78.3866007118166,12,105,9371
Putnam County,Florida,74.824728147007,12,107,1279
Saint Johns County,Florida,81.0314147503521,12,109,2034
Saint Lucie County,Florida,79.7759103073056,12,111,3685
Santa Rosa County,Florida,77.9439581693406,12,113,1306
Sarasota County,Florida,81.4743257016792,12,115,6167
Seminole County,Florida,80.4267833401531,12,117,3724
Sumter County,Florida,81.3091282658141,12,119,381
Suwannee County,Florida,75.6351396305189,12,121,716
Taylor County,Florida,75.867327971606,12,123,266
Union County,Florida,69.0842926635716,12,125,195
Volusia County,Florida,77.4474098595231,12,127,8445
Wakulla County,Florida,76.5579235348067,12,129,168
Walton County,Florida,77.7370870344531,12,131,783
Washington County,Florida,74.4336357205743,12,133,219
Appling County,Georgia,74.9345343621424,13,001,288
Atkinson County,Georgia,73.9687683772182,13,003,211
Bacon County,Georgia,73.5924839273872,13,005,212
Baker County,Georgia,77.6093613310299,13,007,76
Baldwin County,Georgia,76.3589481043216,13,009,1186
Banks County,Georgia,76.9206951845027,13,011,103
Barrow County,Georgia,76.568775709694,13,013,470
Bartow County,Georgia,76.2401395708099,13,015,1160
Ben Hill County,Georgia,73.713227095883,13,017,463
Berrien County,Georgia,75.4720784517024,13,019,334
Bibb County,Georgia,73.9123435117015,13,021,5672
Bleckley County,Georgia,76.1132929655014,13,023,155
Brantley County,Georgia,74.8752724973373,13,025,132
Brooks County,Georgia,75.4456931980419,13,027,396
Bryan County,Georgia,76.2090812741944,13,029,216
Bulloch County,Georgia,77.1197815582943,13,031,1196
Burke County,Georgia,73.6781476098738,13,033,433
Butts County,Georgia,74.1140850897095,13,035,132
Calhoun County,Georgia,75.2998074781914,13,037,138
Camden County,Georgia,77.7735434870564,13,039,736
Candler County,Georgia,74.0567782956218,13,043,181
Carroll County,Georgia,75.2022873519906,13,045,1687
Catoosa County,Georgia,77.9247757438196,13,047,628
Charlton County,Georgia,76.7697615807727,13,049,219
Chatham County,Georgia,77.5184797541465,13,051,6194
Chattahoochee County,Georgia,76.84255932623,13,053,39
Chattooga County,Georgia,73.8317108439486,13,055,433
Cherokee County,Georgia,79.7496679472048,13,057,1305
Clarke County,Georgia,78.2615876465466,13,059,2578
Clay County,Georgia,74.8432062452083,13,061,154
Clayton County,Georgia,76.7325719862389,13,063,5323
Clinch County,Georgia,73.408491917808,13,065,279
Cobb County,Georgia,79.9283366661823,13,067,8224
Coffee County,Georgia,75.2157891526563,13,069,765
Colquitt County,Georgia,75.0860049176497,13,071,1148
Columbia County,Georgia,80.1160154662685,13,073,710
Cook County,Georgia,74.7696432807423,13,075,181
Coweta County,Georgia,78.2106345028716,13,077,1064
Crawford County,Georgia,76.58022808544,13,079,158
Crisp County,Georgia,75.6681687717805,13,081,687
Dade County,Georgia,75.3966077791311,13,083,173
Dawson County,Georgia,77.8413801559133,13,085,108
Decatur County,Georgia,74.7688125394424,13,087,680
DeKalb County,Georgia,79.3320318728214,13,089,20824
Dodge County,Georgia,75.6240895589048,13,091,545
Dooly County,Georgia,78.270500402471,13,093,404
Dougherty County,Georgia,75.1444111594597,13,095,3742
Douglas County,Georgia,77.2553994583244,13,097,1008
Early County,Georgia,74.1746109809755,13,099,493
Echols County,Georgia,77.6281901979393,13,101,91
Effingham County,Georgia,76.4578448594999,13,103,435
Elbert County,Georgia,74.9297782306706,13,105,312
Emanuel County,Georgia,73.1875806317402,13,107,474
Evans County,Georgia,75.1835484789051,13,109,243
Fannin County,Georgia,76.688033522143,13,111,277
Fayette County,Georgia,80.7802913886552,13,113,582
Floyd County,Georgia,75.4551048703234,13,115,2026
Forsyth County,Georgia,81.2375145242419,13,117,750
Franklin County,Georgia,74.5581372850625,13,119,477
Fulton County,Georgia,78.4328501920243,13,121,37429
Gilmer County,Georgia,78.1821220728799,13,123,409
Glascock County,Georgia,74.0702002494758,13,125,20
Glynn County,Georgia,77.1794930798449,13,127,1421
Gordon County,Georgia,75.8399271754514,13,129,788
Grady County,Georgia,76.151119404243,13,131,775
Greene County,Georgia,77.7320535995304,13,133,292
Gwinnett County,Georgia,80.4465430438862,13,135,5740
Habersham County,Georgia,77.6419958353258,13,137,466
Hall County,Georgia,78.7457723645131,13,139,2745
Hancock County,Georgia,76.1199783068919,13,141,201
Haralson County,Georgia,73.553644831127,13,143,352
Harris County,Georgia,79.2890077652842,13,145,189
Hart County,Georgia,77.1294577753602,13,147,420
Heard County,Georgia,75.2250279243881,13,149,229
Henry County,Georgia,77.2668197628104,13,151,1023
Houston County,Georgia,77.5707003222215,13,153,1301
Irwin County,Georgia,75.5319125492145,13,155,149
Jackson County,Georgia,76.1779796658862,13,157,561
Jasper County,Georgia,76.2323285378843,13,159,105
Jeff Davis County,Georgia,73.7586459215342,13,161,284
Jefferson County,Georgia,73.2040306163978,13,163,533
Jenkins County,Georgia,74.1817912893906,13,165,269
Johnson County,Georgia,76.4532268359357,13,167,192
Jones County,Georgia,78.2209896513889,13,169,294
Lamar County,Georgia,74.9977890915742,13,171,333
Lanier County,Georgia,75.5325124997842,13,173,364
Laurens County,Georgia,74.949039342625,13,175,1070
Lee County,Georgia,77.5265837874481,13,177,223
Liberty County,Georgia,76.8668130027685,13,179,971
Lincoln County,Georgia,76.2155783286932,13,181,226
Long County,Georgia,78.3991318448588,13,183,220
Lowndes County,Georgia,76.2453956744472,13,185,2249
Lumpkin County,Georgia,78.0597439768539,13,187,222
McDuffie County,Georgia,74.41963111247,13,189,549
McIntosh County,Georgia,79.4457187215119,13,191,74
Macon County,Georgia,74.3211885630731,13,193,351
Madison County,Georgia,75.8992950836721,13,195,271
Marion County,Georgia,76.7225770981052,13,197,291
Meriwether County,Georgia,74.8538276665634,13,199,527
Miller County,Georgia,74.1545691223151,13,201,135
Mitchell County,Georgia,75.188921032314,13,205,594
Monroe County,Georgia,77.4406245257145,13,207,290
Montgomery County,Georgia,75.5819616344513,13,209,123
Morgan County,Georgia,77.5545771533365,13,211,28
Murray County,Georgia,75.1415400042245,13,213,541
Muscogee County,Georgia,74.9242055218078,13,215,6222
Newton County,Georgia,76.388924256193,13,217,836
Oconee County,Georgia,80.4602667100514,13,219,172
Oglethorpe County,Georgia,78.1537582497183,13,221,81
Paulding County,Georgia,78.5126316183096,13,223,662
Peach County,Georgia,74.5309944327822,13,225,709
Pickens County,Georgia,77.550434569024,13,227,204
Pierce County,Georgia,75.1711946674867,13,229,259
Pike County,Georgia,76.0207025888261,13,231,118
Polk County,Georgia,73.7433236411906,13,233,507
Pulaski County,Georgia,77.8146750421041,13,235,181
Putnam County,Georgia,77.2313879034576,13,237,246
Quitman County,Georgia,75.7144452783848,13,239,30
Rabun County,Georgia,77.6420387387985,13,241,132
Randolph County,Georgia,76.2313513334328,13,243,308
Richmond County,Georgia,74.1469853140117,13,245,5598
Rockdale County,Georgia,77.993058268219,13,247,913
Schley County,Georgia,77.7098948093512,13,249,143
Screven County,Georgia,74.8304509951324,13,251,347
Seminole County,Georgia,74.6911176414227,13,253,124
Spalding County,Georgia,74.6289363569151,13,255,1288
Stephens County,Georgia,73.7317044967219,13,257,393
Stewart County,Georgia,75.0193609662896,13,259,197
Sumter County,Georgia,75.156794709651,13,261,1238
Talbot County,Georgia,75.511691587113,13,263,254
Taliaferro County,Georgia,75.3022962480459,13,265,46
Tattnall County,Georgia,75.1143036933765,13,267,540
Taylor County,Georgia,75.260771305812,13,269,165
Telfair County,Georgia,77.4247551182069,13,271,444
Terrell County,Georgia,74.7927648235851,13,273,358
Thomas County,Georgia,75.6966995509426,13,275,1434
Tift County,Georgia,75.5183458913149,13,277,772
Toombs County,Georgia,74.5016680010016,13,279,892
Towns County,Georgia,77.8096190210474,13,281,125
Treutlen County,Georgia,75.5570515870392,13,283,107
Troup County,Georgia,75.5421973131973,13,285,1890
Turner County,Georgia,73.9949974109107,13,287,175
Twiggs County,Georgia,74.7504143091318,13,289,168
Union County,Georgia,78.4431060150389,13,291,496
Upson County,Georgia,73.8239867759287,13,293,769
Walker County,Georgia,75.146113334525,13,295,886
Walton County,Georgia,76.4762884017935,13,297,1043
Ware County,Georgia,74.3664506333277,13,299,1037
Warren County,Georgia,74.6068506784789,13,301,130
Washington County,Georgia,75.9518689818148,13,303,546
Wayne County,Georgia,74.5789591949201,13,305,618
Webster County,Georgia,78.5644449816301,13,307,28
Wheeler County,Georgia,76.6997760319894,13,309,88
White County,Georgia,78.6768410271151,13,311,258
Whitfield County,Georgia,77.1393039770506,13,313,1195
Wilcox County,Georgia,75.4152159689189,13,315,107
Wilkes County,Georgia,75.4420838618787,13,317,233
Wilkinson County,Georgia,74.2698826356033,13,319,165
Worth County,Georgia,76.3997307975324,13,321,320
Hawaii County,Hawaii,80.220476067836,15,001,2061
Honolulu County,Hawaii,81.5098024961717,15,003,23615
Kauai County,Hawaii,81.3406011310605,15,007,647
Kalawao County,Hawaii,81.5307117939943,15,005,4
Maui County,Hawaii,81.5307117939943,15,009,2203
Ada County,Idaho,80.6881503004562,16,001,5247
Adams County,Idaho,80.7777420258914,16,003,12
Bannock County,Idaho,77.4589642648081,16,005,1192
