County,State,mean_life_expectancy,State_FIPS,County_FIPS,Gini Index
Baca County,Colorado,77.3383444138467,08,009,0.4396
Bent County,Colorado,75.9748616124026,08,011,0.4395
Chaffee County,Colorado,81.4641560038579,08,015,0.4266
Cheyenne County,Colorado,78.6879955565073,08,017,0.4233
Clear Creek County,Colorado,82.6610229885307,08,019,0.4127
Conejos County,Colorado,76.4373705834421,08,021,0.4614
Costilla County,Colorado,77.0920679641841,08,023,0.5076
Crowley County,Colorado,76.8847458813323,08,025,0.4185
Custer County,Colorado,81.3761757630446,08,027,0.4389
Delta County,Colorado,78.0299071880757,08,029,0.4669
Dolores County,Colorado,79.4560888187491,08,033,0.4295
Douglas County,Colorado,83.6399311898685,08,035,0.3989
Eagle County,Colorado,88.7167159091399,08,037,0.4335
Elbert County,Colorado,81.8237081925238,08,039,0.4049
El Paso County,Colorado,78.8347552744772,08,041,0.434
Fremont County,Colorado,77.2051035308431,08,043,0.447
Garfield County,Colorado,80.6819634064959,08,045,0.4008
Gilpin County,Colorado,81.7945176234942,08,047,0.4241
Grand County,Colorado,84.0098966721527,08,049,0.4019
Gunnison County,Colorado,82.913042229065,08,051,0.4182
Huerfano County,Colorado,75.4585720983573,08,055,0.4314
Jackson County,Colorado,79.59835257654,08,057,0.3796
Kiowa County,Colorado,77.3704120148078,08,061,0.4383
Kit Carson County,Colorado,79.5622504984928,08,063,0.4691
Lake County,Colorado,82.0248236188546,08,065,0.4349
La Plata County,Colorado,81.9648873514121,08,067,0.4584
Larimer County,Colorado,81.6003124510936,08,069,0.4497
Las Animas County,Colorado,76.5856454888699,08,071,0.4616
Lincoln County,Colorado,78.552506862319,08,073,0.4364
Logan County,Colorado,79.4270063355196,08,075,0.4365
Mesa County,Colorado,78.3834696871957,08,077,0.4413
Moffat County,Colorado,78.3900592917377,08,081,0.4298
Montezuma County,Colorado,77.4763661365105,08,083,0.4247
Montrose County,Colorado,79.5886762336159,08,085,0.4234
Morgan County,Colorado,78.2634199069944,08,087,0.4014
Otero County,Colorado,75.1862520954706,08,089,0.477
Ouray County,Colorado,84.2141800769531,08,091,0.4413
Park County,Colorado,82.8974961064367,08,093,0.4082
Phillips County,Colorado,80.5145148117585,08,095,0.4573
Pitkin County,Colorado,91.3769660058971,08,097,0.5466
Prowers County,Colorado,76.8437289856315,08,099,0.4334
Pueblo County,Colorado,76.4093117151939,08,101,0.4572
Rio Blanco County,Colorado,78.8548637165788,08,103,0.417
Rio Grande County,Colorado,76.8193945628893,08,105,0.4688
Routt County,Colorado,83.4376463460472,08,107,0.453
Saguache County,Colorado,79.6752296378427,08,109,0.5097
San Miguel County,Colorado,86.3598650866599,08,113,0.5273
Sedgwick County,Colorado,77.7498097799942,08,115,0.4462
Summit County,Colorado,91.6203651627367,08,117,0.4098
Teller County,Colorado,80.6009263302177,08,119,0.4104
Washington County,Colorado,79.4354096367131,08,121,0.4135
Yuma County,Colorado,79.0815160968291,08,125,0.4244
Adams County,Colorado,80.5457104115307,08,001,0.4075
Arapahoe County,Colorado,80.5457104115307,08,005,0.4589
Boulder County,Colorado,80.5457104115307,08,013,0.4802
Broomfield County,Colorado,80.5457104115307,08,014,0.4303
Denver County,Colorado,80.5457104115307,08,031,0.4958
Jefferson County,Colorado,80.5457104115307,08,059,0.4337
Weld County,Colorado,80.5457104115307,08,123,0.4156
Fairfield County,Connecticut,82.7977032113756,09,001,0.5432
Hartford County,Connecticut,80.2331635773284,09,003,0.4716
Litchfield County,Connecticut,80.3658992109622,09,005,0.4479
Middlesex County,Connecticut,81.247531185785,09,007,0.4427
New Haven County,Connecticut,80.122180105688,09,009,0.4688
New London County,Connecticut,79.826808998402,09,011,0.4439
Tolland County,Connecticut,81.7788690174239,09,013,0.4315
Windham County,Connecticut,78.8197586759148,09,015,0.4151
Kent County,Delaware,77.2112341918458,10,001,0.4302
New Castle County,Delaware,78.2865084160653,10,003,0.4586
Sussex County,Delaware,78.5673807823887,10,005,0.4496
Alachua County,Florida,78.4535602220354,12,001,0.5138
Baker County,Florida,74.9514582037514,12,003,0.4414
Bay County,Florida,75.7253025508484,12,005,0.4509
Bradford County,Florida,75.0073944133113,12,007,0.4403
Brevard County,Florida,77.2716340365655,12,009,0.455
Broward County,Florida,80.4755284438197,12,011,0.4861
Calhoun County,Florida,74.6914495357496,12,013,0.4523
Charlotte County,Florida,80.1348066988875,12,015,0.4542
Citrus County,Florida,75.1336556402493,12,017,0.4611
Clay County,Florida,77.1640126531372,12,019,0.4191
Collier County,Florida,84.9489435983752,12,021,0.5223
Columbia County,Florida,74.9542147993122,12,023,0.4695
Miami-Dade County,Florida,81.0909251968586,12,086,0.5249
DeSoto County,Florida,79.1692556409631,12,027,0.4526
Dixie County,Florida,74.5193170945958,12,029,0.4751
Duval County,Florida,75.6970284676225,12,031,0.4728
Escambia County,Florida,74.9537469330096,12,033,0.4383
Flagler County,Florida,78.8020239192313,12,035,0.424
Franklin County,Florida,75.9928495625828,12,037,0.5018
Gadsden County,Florida,75.3416140743242,12,039,0.4394
Gilchrist County,Florida,76.6196658152052,12,041,0.4217
Glades County,Florida,80.213599524511,12,043,0.4324
Gulf County,Florida,76.31210239981,12,045,0.4149
Hamilton County,Florida,75.1836206795715,12,047,0.4713
Hardee County,Florida,78.2553790330659,12,049,0.4817
Hendry County,Florida,77.0832219158998,12,051,0.4736
Hernando County,Florida,76.4160896851137,12,053,0.428
Highlands County,Florida,78.2770855206328,12,055,0.4803
Hillsborough County,Florida,78.7539862110352,12,057,0.4799
Holmes County,Florida,72.9734087683611,12,059,0.4474
Indian River County,Florida,80.0688913457515,12,061,0.5283
Jackson County,Florida,74.4322343859382,12,063,0.4463
Jefferson County,Florida,76.9589195702897,12,065,0.4545
Lafayette County,Florida,76.8777569268263,12,067,0.475
Lake County,Florida,78.2469781435388,12,069,0.4272
Lee County,Florida,81.5729772276075,12,071,0.4805
Leon County,Florida,79.0301737876123,12,073,0.4894
Levy County,Florida,74.7957604460706,12,075,0.4544
Liberty County,Florida,75.7134300877082,12,077,0.4288
Madison County,Florida,75.0211610783484,12,079,0.4998
Manatee County,Florida,80.4145051875017,12,081,0.4693
Marion County,Florida,75.9104693910342,12,083,0.4481
Martin County,Florida,81.3154961822022,12,085,0.5273
Monroe County,Florida,79.8589989128447,12,087,0.506
Nassau County,Florida,77.2494441968309,12,089,0.4544
Okaloosa County,Florida,77.4373108710462,12,091,0.4303
Okeechobee County,Florida,75.9744426993115,12,093,0.4429
Orange County,Florida,79.6595177084295,12,095,0.4868
Osceola County,Florida,78.9109833340189,12,097,0.4283
Palm Beach County,Florida,81.4781513545173,12,099,0.5221
Pasco County,Florida,77.209084296734,12,101,0.4517
Pinellas County,Florida,78.4281181387948,12,103,0.4857
Polk County,Florida,77.8067617494822,12,105,0.4423
Putnam County,Florida,73.901215098391,12,107,0.4599
Saint Johns County,Florida,80.7073688844269,12,109,0.4655
Saint Lucie County,Florida,79.4596418043113,12,111,0.4475
Santa Rosa County,Florida,77.3915324879814,12,113,0.4216
Sarasota County,Florida,81.0591538508499,12,115,0.485
Seminole County,Florida,79.9049694273451,12,117,0.46
Sumter County,Florida,80.4754543414289,12,119,0.4278
Suwannee County,Florida,75.1589535656509,12,121,0.4715
Taylor County,Florida,74.7285796616171,12,123,0.4179
Union County,Florida,67.7658357745847,12,125,0.4736
Volusia County,Florida,76.3372145765431,12,127,0.4617
Wakulla County,Florida,76.4018685621857,12,129,0.3787
Walton County,Florida,77.6910869065515,12,131,0.4993
Washington County,Florida,72.8104666515528,12,133,0.4401
Appling County,Georgia,74.1097615751301,13,001,0.4446
Atkinson County,Georgia,73.5443620196483,13,003,0.4765
Bacon County,Georgia,72.6255878368236,13,005,0.4588
Baker County,Georgia,77.2147827275408,13,007,0.4744
Baldwin County,Georgia,75.9591221129701,13,009,0.4897
Banks County,Georgia,76.8075277666983,13,011,0.4035
Barrow County,Georgia,76.6625325239611,13,013,0.3943
Bartow County,Georgia,76.4675113465904,13,015,0.4303
Ben Hill County,Georgia,73.0822171824974,13,017,0.4607
Berrien County,Georgia,74.4055440206896,13,019,0.4471
Bibb County,Georgia,73.8807694893633,13,021,0.5221
Bleckley County,Georgia,75.8889059006946,13,023,0.445
Brantley County,Georgia,74.4239219349596,13,025,0.442
Brooks County,Georgia,74.7858557927481,13,027,0.5321
Bryan County,Georgia,76.1882691853995,13,029,0.4416
Bulloch County,Georgia,77.005128319724,13,031,0.4773
Burke County,Georgia,73.9364629181846,13,033,0.4486
Butts County,Georgia,74.038792732603,13,035,0.4747
Calhoun County,Georgia,74.4490104932185,13,037,0.4947
Camden County,Georgia,78.0381542177322,13,039,0.4366
Candler County,Georgia,73.5454730234984,13,043,0.5137
Carroll County,Georgia,75.3050871542808,13,045,0.4466
Catoosa County,Georgia,77.7463764116626,13,047,0.4156
Charlton County,Georgia,76.401462816314,13,049,0.436
Chatham County,Georgia,77.6961215377425,13,051,0.4804
Chattahoochee County,Georgia,77.3047046244563,13,053,0.4753
Chattooga County,Georgia,73.540698248083,13,055,0.4602
Cherokee County,Georgia,80.0614584461507,13,057,0.411
Clarke County,Georgia,78.885669773019,13,059,0.5271
Clay County,Georgia,74.0815653772769,13,061,0.493
Clayton County,Georgia,76.698286556638,13,063,0.4175
Clinch County,Georgia,72.462441517972,13,065,0.5444
Cobb County,Georgia,80.4588649148347,13,067,0.4518
Coffee County,Georgia,74.4493273658183,13,069,0.5001
Colquitt County,Georgia,74.1088665777009,13,071,0.4732
Columbia County,Georgia,80.1413477711469,13,073,0.4081
Cook County,Georgia,74.4180129870213,13,075,0.4625
Coweta County,Georgia,78.5194372038008,13,077,0.4278
Crawford County,Georgia,75.6413346632261,13,079,0.4397
Crisp County,Georgia,74.6751370900589,13,081,0.5504
Dade County,Georgia,75.3267305299081,13,083,0.4495
Dawson County,Georgia,78.1651309282708,13,085,0.4358
Decatur County,Georgia,73.6932293189229,13,087,0.5091
DeKalb County,Georgia,80.1708909176351,13,089,0.4904
Dodge County,Georgia,75.2115210970033,13,091,0.4665
Dooly County,Georgia,78.3861163186296,13,093,0.4669
Dougherty County,Georgia,74.4307031989871,13,095,0.4948
Douglas County,Georgia,77.6118621931012,13,097,0.4071
Early County,Georgia,73.4100397646834,13,099,0.4698
Echols County,Georgia,77.3138543207156,13,101,0.5039
Effingham County,Georgia,76.5227017348973,13,103,0.4263
Elbert County,Georgia,74.4652122951677,13,105,0.4838
Emanuel County,Georgia,72.8374850896249,13,107,0.468
Evans County,Georgia,74.9623415964071,13,109,0.4738
Fannin County,Georgia,77.3602030871136,13,111,0.4519
Fayette County,Georgia,81.0336445526931,13,113,0.4337
Floyd County,Georgia,75.0961301003414,13,115,0.4768
Forsyth County,Georgia,81.9106821070703,13,117,0.4037
Franklin County,Georgia,73.9741040026346,13,119,0.4927
Fulton County,Georgia,79.2621914216746,13,121,0.5402
Gilmer County,Georgia,78.0716109761037,13,123,0.4486
Glascock County,Georgia,73.4032244860579,13,125,0.4361
Glynn County,Georgia,77.4064219080965,13,127,0.5042
Gordon County,Georgia,75.5910815019174,13,129,0.454
Grady County,Georgia,75.6390967986397,13,131,0.4705
Greene County,Georgia,78.0771638862825,13,133,0.573
Gwinnett County,Georgia,80.8576416981151,13,135,0.43
Habersham County,Georgia,77.4621360966414,13,137,0.4307
Hall County,Georgia,79.0513221599094,13,139,0.4486
Hancock County,Georgia,75.4561378964738,13,141,0.4923
Haralson County,Georgia,73.4638395369125,13,143,0.4509
Harris County,Georgia,79.4514638028953,13,145,0.4352
Hart County,Georgia,77.0465029717568,13,147,0.459
Heard County,Georgia,74.935041415743,13,149,0.4098
Henry County,Georgia,77.4629291963644,13,151,0.3963
Houston County,Georgia,77.4534964434465,13,153,0.4368
Irwin County,Georgia,74.9026897719718,13,155,0.4842
Jackson County,Georgia,76.5773842944624,13,157,0.4194
Jasper County,Georgia,75.8994510443067,13,159,0.4199
Jeff Davis County,Georgia,73.3471646371562,13,161,0.4429
Jefferson County,Georgia,72.7895471617176,13,163,0.4742
Jenkins County,Georgia,73.4074632261848,13,165,0.4413
Johnson County,Georgia,76.0443954513394,13,167,0.4361
Jones County,Georgia,77.942514638968,13,169,0.4248
Lamar County,Georgia,74.6480848746682,13,171,0.4788
Lanier County,Georgia,75.5741908250113,13,173,0.4906
Laurens County,Georgia,74.6415276577823,13,175,0.4952
Lee County,Georgia,76.6576573244205,13,177,0.4005
Liberty County,Georgia,76.4063478776102,13,179,0.3993
Lincoln County,Georgia,76.4608108585207,13,181,0.481
Long County,Georgia,78.6678466420593,13,183,0.381
Lowndes County,Georgia,75.9053554729163,13,185,0.531
Lumpkin County,Georgia,77.8193013989251,13,187,0.4582
McDuffie County,Georgia,73.9498156118123,13,189,0.4714
McIntosh County,Georgia,79.9990111330534,13,191,0.4562
Macon County,Georgia,73.723715857393,13,193,0.4729
Madison County,Georgia,76.1066582067992,13,195,0.4277
Marion County,Georgia,76.443197414621,13,197,0.4385
Meriwether County,Georgia,74.5741063488475,13,199,0.4608
Miller County,Georgia,73.2470191384742,13,201,0.4555
Mitchell County,Georgia,74.0620100864053,13,205,0.4672
Monroe County,Georgia,77.7871454148834,13,207,0.5408
Montgomery County,Georgia,75.0883350470393,13,209,0.5234
Morgan County,Georgia,77.5186789574759,13,211,0.4544
Murray County,Georgia,74.9700556257629,13,213,0.4054
Muscogee County,Georgia,74.2394264544026,13,215,0.4916
Newton County,Georgia,76.2607976221268,13,217,0.4384
Oconee County,Georgia,81.2570674760447,13,219,0.4529
Oglethorpe County,Georgia,77.8557806138768,13,221,0.4137
Paulding County,Georgia,78.7395615987406,13,223,0.3858
Peach County,Georgia,73.6937146784614,13,225,0.4707
Pickens County,Georgia,77.29387497581,13,227,0.4275
Pierce County,Georgia,74.3784226065327,13,229,0.456
Pike County,Georgia,75.618283423444,13,231,0.4545
Polk County,Georgia,73.3637862551743,13,233,0.4879
