County,State,mean_life_expectancy,State_FIPS,County_FIPS,No Vehicle (Owner)
Madison County,Arkansas,75.3760684364268,05,087,129.0
Marion County,Arkansas,75.2302699143187,05,089,133.0
Miller County,Arkansas,74.464750313759,05,091,463.0
Mississippi County,Arkansas,71.5808568937905,05,093,470.0
Monroe County,Arkansas,72.5512464018065,05,095,116.0
Montgomery County,Arkansas,75.7333292628795,05,097,100.0
Nevada County,Arkansas,74.1305169224004,05,099,110.0
Newton County,Arkansas,76.8481553354379,05,101,68.0
Ouachita County,Arkansas,72.9330993978912,05,103,320.0
Perry County,Arkansas,74.9408602678681,05,105,62.0
Phillips County,Arkansas,71.0370074249924,05,107,225.0
Pike County,Arkansas,74.8391656898764,05,109,80.0
Poinsett County,Arkansas,71.2771472412706,05,111,171.0
Polk County,Arkansas,74.8970397900164,05,113,145.0
Pope County,Arkansas,76.4300136434993,05,115,328.0
Prairie County,Arkansas,75.5071739186967,05,117,70.0
Pulaski County,Arkansas,75.8807017523375,05,119,2564.0
Randolph County,Arkansas,74.4503944893886,05,121,135.0
Saint Francis County,Arkansas,74.2814678477732,05,123,249.0
Saline County,Arkansas,77.1945795984751,05,125,586.0
Scott County,Arkansas,74.7762367047787,05,127,77.0
Searcy County,Arkansas,75.209341850468,05,129,101.0
Sebastian County,Arkansas,75.7412578528108,05,131,728.0
Sevier County,Arkansas,75.0335734317659,05,133,124.0
Sharp County,Arkansas,73.8718009909941,05,135,117.0
Stone County,Arkansas,75.9810049570156,05,137,91.0
Union County,Arkansas,73.1547114216788,05,139,373.0
Van Buren County,Arkansas,76.1235890134709,05,141,157.0
Washington County,Arkansas,77.842915624892,05,143,1357.0
White County,Arkansas,75.2602189004461,05,145,516.0
Woodruff County,Arkansas,72.6191345768075,05,147,106.0
Yell County,Arkansas,74.3789291508417,05,149,108.0
Alameda County,California,82.1501481156434,06,001,9112.0
Alpine County,California,78.7141694777777,06,003,11.0
Amador County,California,79.6289913494107,06,005,270.0
Butte County,California,77.5105736588065,06,007,1493.0
Calaveras County,California,79.3962210334918,06,009,366.0
Colusa County,California,79.8683726910953,06,011,121.0
Contra Costa County,California,81.820905224195,06,013,6221.0
Del Norte County,California,75.3686655248315,06,015,347.0
El Dorado County,California,81.4317611841157,06,017,1416.0
Fresno County,California,78.4598027402172,06,019,4320.0
Glenn County,California,77.4678250112228,06,021,176.0
Humboldt County,California,76.7743480124378,06,023,961.0
Imperial County,California,80.7733344280559,06,025,1012.0
Inyo County,California,79.2496428941011,06,027,176.0
Kern County,California,77.1131579275637,06,029,3844.0
Kings County,California,79.3576346699736,06,031,591.0
Lake County,California,74.8583185356204,06,033,668.0
Lassen County,California,78.1832914319916,06,035,179.0
Los Angeles County,California,81.5672419912865,06,037,44568.0
Madera County,California,78.9932943575827,06,039,610.0
Marin County,California,84.5696953393942,06,041,1596.0
Mariposa County,California,80.0692648230514,06,043,63.0
Mendocino County,California,78.5297725160372,06,045,564.0
Merced County,California,78.5160140959399,06,047,1249.0
Modoc County,California,77.3676287645249,06,049,108.0
Mono County,California,84.9099794657506,06,051,32.0
Monterey County,California,81.9215612488998,06,053,1439.0
Napa County,California,81.1717905624185,06,055,750.0
Nevada County,California,81.0737790934898,06,057,596.0
Orange County,California,82.5515884259936,06,059,13296.0
Placer County,California,81.6415657950364,06,061,1653.0
Plumas County,California,78.4309252153192,06,063,192.0
Riverside County,California,80.3460832691874,06,065,10869.0
Sacramento County,California,79.0908345914297,06,067,7186.0
San Benito County,California,81.7030195794554,06,069,112.0
San Bernardino County,California,78.3619715863638,06,071,9823.0
San Diego County,California,81.6053443891293,06,073,13844.0
San Francisco County,California,82.9715287689956,06,075,13936.0
San Joaquin County,California,78.1059218431169,06,077,3006.0
San Luis Obispo County,California,81.2878144166655,06,079,1774.0
San Mateo County,California,84.0123323762231,06,081,3862.0
Santa Barbara County,California,81.6454722199999,06,083,1569.0
Santa Clara County,California,83.9160943086229,06,085,7770.0
Santa Cruz County,California,81.9961564120804,06,087,1422.0
Shasta County,California,75.8154731112947,06,089,1261.0
Sierra County,California,78.6673415441736,06,091,8.0
Siskiyou County,California,76.2815852028519,06,093,289.0
Solano County,California,79.6679789808252,06,095,2123.0
Sonoma County,California,81.4949042107213,06,097,2479.0
Stanislaus County,California,77.7558204850156,06,099,2750.0
Sutter County,California,78.425992865714,06,101,611.0
Tehama County,California,77.156038711692,06,103,578.0
Trinity County,California,76.476377604325,06,105,95.0
Tulare County,California,78.0600422756,06,107,2311.0
Tuolumne County,California,78.5207303713631,06,109,529.0
Ventura County,California,81.8451328376878,06,111,3563.0
Yolo County,California,80.902034743803,06,113,833.0
Yuba County,California,75.7450257040619,06,115,499.0
Alamosa County,Colorado,75.771887610673,08,003,159.0
Archuleta County,Colorado,81.6414378243916,08,007,80.0
Baca County,Colorado,76.9965655550903,08,009,38.0
Bent County,Colorado,75.7641542661414,08,011,47.0
Chaffee County,Colorado,81.2002092122488,08,015,101.0
Cheyenne County,Colorado,78.8841561398334,08,017,3.0
Clear Creek County,Colorado,82.2134532225974,08,019,4.0
Conejos County,Colorado,76.3307341255663,08,021,79.0
Costilla County,Colorado,76.7769601558707,08,023,45.0
Crowley County,Colorado,77.1719431023493,08,025,27.0
Custer County,Colorado,81.0944165093847,08,027,22.0
Delta County,Colorado,77.9358229078402,08,029,170.0
Dolores County,Colorado,79.3628695960052,08,033,11.0
Douglas County,Colorado,83.4601212130212,08,035,912.0
Eagle County,Colorado,88.2928566275646,08,037,92.0
Elbert County,Colorado,81.4849215372713,08,039,197.0
El Paso County,Colorado,78.9786695180627,08,041,2604.0
Fremont County,Colorado,77.137998463904,08,043,230.0
Garfield County,Colorado,80.5212296945579,08,045,311.0
Gilpin County,Colorado,81.1262138403668,08,047,79.0
Grand County,Colorado,83.5860252464151,08,049,25.0
Gunnison County,Colorado,82.632977713167,08,051,64.0
Huerfano County,Colorado,75.6325634414296,08,055,16.0
Jackson County,Colorado,79.6337211914158,08,057,3.0
Kiowa County,Colorado,77.5284594449532,08,061,21.0
Kit Carson County,Colorado,79.2319755865927,08,063,16.0
Lake County,Colorado,81.4714622277775,08,065,23.0
La Plata County,Colorado,81.6596562998791,08,067,247.0
Larimer County,Colorado,81.5083109395379,08,069,1221.0
Las Animas County,Colorado,76.3309843460437,08,071,121.0
Lincoln County,Colorado,78.6842812775749,08,073,27.0
Logan County,Colorado,79.2200596051251,08,075,193.0
Mesa County,Colorado,78.3937721412894,08,077,907.0
Moffat County,Colorado,78.1221748148496,08,081,47.0
Montezuma County,Colorado,77.1367714339189,08,083,125.0
Montrose County,Colorado,79.2461641337684,08,085,382.0
Morgan County,Colorado,78.13439908772,08,087,114.0
Otero County,Colorado,75.1401575306602,08,089,133.0
Ouray County,Colorado,84.0203909090915,08,091,14.0
Park County,Colorado,82.7078121177392,08,093,95.0
Phillips County,Colorado,80.0902373229648,08,095,14.0
Pitkin County,Colorado,90.470655000783,08,097,145.0
Prowers County,Colorado,76.7338690354723,08,099,67.0
Pueblo County,Colorado,76.4534159713537,08,101,1337.0
Rio Blanco County,Colorado,78.8510030730045,08,103,46.0
Rio Grande County,Colorado,76.7006333576077,08,105,113.0
Routt County,Colorado,83.0859439169025,08,107,228.0
Saguache County,Colorado,79.549357835051,08,109,73.0
San Miguel County,Colorado,85.8934808652553,08,113,8.0
Sedgwick County,Colorado,77.6908466567926,08,115,18.0
Summit County,Colorado,90.7599342440293,08,117,6.0
Teller County,Colorado,80.4060865096973,08,119,134.0
Washington County,Colorado,79.5359214085342,08,121,45.0
Yuma County,Colorado,78.8699502657181,08,125,9.0
Adams County,Colorado,80.2432338592034,08,001,2053.0
Arapahoe County,Colorado,80.2432338592034,08,005,2342.0
Boulder County,Colorado,80.2432338592034,08,013,1188.0
Broomfield County,Colorado,80.2432338592034,08,014,184.0
Denver County,Colorado,80.2432338592034,08,031,3982.0
Jefferson County,Colorado,80.2432338592034,08,059,2455.0
Weld County,Colorado,80.2432338592034,08,123,1177.0
Fairfield County,Connecticut,82.5933818002003,09,001,5824.0
Hartford County,Connecticut,80.2119442590321,09,003,6501.0
Litchfield County,Connecticut,80.4021916136219,09,005,1487.0
Middlesex County,Connecticut,81.0821212220154,09,007,1066.0
New Haven County,Connecticut,80.061944421033,09,009,6116.0
New London County,Connecticut,79.9198566902699,09,011,1414.0
Tolland County,Connecticut,81.718649046245,09,013,691.0
Windham County,Connecticut,78.8145339848324,09,015,629.0
Kent County,Delaware,77.2142387207649,10,001,1338.0
New Castle County,Delaware,78.329504469616,10,003,3804.0
Sussex County,Delaware,78.511223894838,10,005,1663.0
Alachua County,Florida,78.4485792222787,12,001,1508.0
Baker County,Florida,75.0098994703056,12,003,129.0
Bay County,Florida,75.8233176738751,12,005,999.0
Bradford County,Florida,75.281591103258,12,007,280.0
Brevard County,Florida,77.4763904243823,12,009,4814.0
Broward County,Florida,80.38591179557,12,011,19325.0
Calhoun County,Florida,74.8724377962822,12,013,215.0
Charlotte County,Florida,80.0342861683159,12,015,1425.0
Citrus County,Florida,75.4513819875713,12,017,1551.0
Clay County,Florida,77.2720166250971,12,019,917.0
Collier County,Florida,84.5508843732645,12,021,2333.0
Columbia County,Florida,74.9065889001892,12,023,522.0
Miami-Dade County,Florida,80.9623762730876,12,086,20741.0
DeSoto County,Florida,79.2280677265237,12,027,259.0
Dixie County,Florida,74.6214509730913,12,029,197.0
Duval County,Florida,75.8624927005273,12,031,6782.0
Escambia County,Florida,75.113067006593,12,033,2077.0
Flagler County,Florida,78.902559028605,12,035,688.0
Franklin County,Florida,75.9324842435541,12,037,114.0
Gadsden County,Florida,75.3613788068946,12,039,801.0
Gilchrist County,Florida,76.6292374244165,12,041,202.0
Glades County,Florida,80.4808894980128,12,043,135.0
Gulf County,Florida,76.1199507239587,12,045,97.0
Hamilton County,Florida,75.3710930703004,12,047,182.0
Hardee County,Florida,78.4028121656282,12,049,172.0
Hendry County,Florida,77.1586211178051,12,051,400.0
Hernando County,Florida,76.698885399624,12,053,1514.0
Highlands County,Florida,78.4630943919612,12,055,1018.0
Hillsborough County,Florida,78.6239373423411,12,057,7675.0
Holmes County,Florida,73.5174425326516,12,059,263.0
Indian River County,Florida,80.0878689742647,12,061,1244.0
Jackson County,Florida,74.7530884871818,12,063,584.0
Jefferson County,Florida,76.8534552788289,12,065,125.0
Lafayette County,Florida,76.6907511322574,12,067,94.0
Lake County,Florida,78.590205121082,12,069,2894.0
Lee County,Florida,81.4778140042049,12,071,4581.0
Leon County,Florida,79.1669529782412,12,073,1382.0
Levy County,Florida,74.6523472464417,12,075,379.0
Liberty County,Florida,75.8738053602364,12,077,78.0
Madison County,Florida,74.8453783699189,12,079,339.0
Manatee County,Florida,80.2599669690005,12,081,2875.0
Marion County,Florida,76.1771704219972,12,083,2959.0
Martin County,Florida,81.2904164027968,12,085,1197.0
Monroe County,Florida,79.7025052428046,12,087,658.0
Nassau County,Florida,77.4137857800555,12,089,655.0
Okaloosa County,Florida,77.5272617741847,12,091,1013.0
Okeechobee County,Florida,76.0526843058407,12,093,286.0
Orange County,Florida,79.6229938205538,12,095,7024.0
Osceola County,Florida,79.1287941677334,12,097,1813.0
Palm Beach County,Florida,81.5435098991609,12,099,13856.0
Pasco County,Florida,77.1762844629969,12,101,4526.0
Pinellas County,Florida,78.395681342823,12,103,11330.0
Polk County,Florida,77.8620845497436,12,105,5290.0
Putnam County,Florida,74.090780438707,12,107,871.0
Saint Johns County,Florida,80.7873785548533,12,109,1056.0
Saint Lucie County,Florida,79.3208079937143,12,111,2553.0
Santa Rosa County,Florida,77.4755310649387,12,113,791.0
Sarasota County,Florida,81.0536216072404,12,115,3493.0
Seminole County,Florida,80.0229363433933,12,117,2053.0
Sumter County,Florida,80.6805603758586,12,119,1093.0
Suwannee County,Florida,75.2518438739817,12,121,276.0
Taylor County,Florida,75.0117232413597,12,123,212.0
Union County,Florida,68.1022321435241,12,125,62.0
Volusia County,Florida,76.5873174711124,12,127,4741.0
Wakulla County,Florida,76.4257876549123,12,129,93.0
Walton County,Florida,77.5629641542452,12,131,585.0
Washington County,Florida,73.1869831493123,12,133,290.0
Appling County,Georgia,74.1433448346722,13,001,224.0
Atkinson County,Georgia,73.4957386486268,13,003,74.0
Bacon County,Georgia,72.7359964465048,13,005,36.0
Baker County,Georgia,77.1856340859936,13,007,54.0
Baldwin County,Georgia,76.09619616506,13,009,280.0
Banks County,Georgia,76.5450676909754,13,011,163.0
Barrow County,Georgia,76.411888155461,13,013,315.0
Bartow County,Georgia,76.1722834809012,13,015,652.0
Ben Hill County,Georgia,73.1598816340588,13,017,426.0
Berrien County,Georgia,74.6754529151076,13,019,219.0
Bibb County,Georgia,73.6322262198595,13,021,953.0
Bleckley County,Georgia,75.6717690416959,13,023,58.0
Brantley County,Georgia,74.2546400533743,13,025,113.0
Brooks County,Georgia,74.8172682959812,13,027,193.0
Bryan County,Georgia,76.1180906074149,13,029,140.0
Bulloch County,Georgia,76.9215839131574,13,031,187.0
Burke County,Georgia,73.6021263366518,13,033,219.0
Butts County,Georgia,73.8736433128169,13,035,309.0
Calhoun County,Georgia,74.7431979128518,13,037,57.0
Camden County,Georgia,77.7910556071849,13,039,148.0
Candler County,Georgia,73.5173794672618,13,043,95.0
Carroll County,Georgia,75.1905636320048,13,045,652.0
Catoosa County,Georgia,77.6873163555651,13,047,282.0
Charlton County,Georgia,76.4126485763899,13,049,115.0
Chatham County,Georgia,77.495475731078,13,051,1636.0
Chattahoochee County,Georgia,77.0407510773315,13,053,70.0
Chattooga County,Georgia,73.4795878806539,13,055,197.0
Cherokee County,Georgia,79.8919212910128,13,057,898.0
Clarke County,Georgia,78.5390655519176,13,059,375.0
Clay County,Georgia,74.0565024724032,13,061,32.0
Clayton County,Georgia,76.5867255823059,13,063,1132.0
Clinch County,Georgia,72.5941347103603,13,065,82.0
Cobb County,Georgia,80.1632391745068,13,067,2183.0
Coffee County,Georgia,74.6415935021983,13,069,483.0
Colquitt County,Georgia,74.2395419909798,13,071,239.0
Columbia County,Georgia,79.9446528000494,13,073,658.0
Cook County,Georgia,74.3816861362536,13,075,215.0
Coweta County,Georgia,78.3629639007777,13,077,646.0
Crawford County,Georgia,75.7700017855094,13,079,179.0
Crisp County,Georgia,74.8754728821352,13,081,102.0
Dade County,Georgia,74.9169898375515,13,083,115.0
Dawson County,Georgia,77.8404809399285,13,085,175.0
Decatur County,Georgia,73.7947102183909,13,087,298.0
DeKalb County,Georgia,79.6424407722431,13,089,3512.0
Dodge County,Georgia,75.2439111309318,13,091,156.0
Dooly County,Georgia,78.4687087657377,13,093,92.0
Dougherty County,Georgia,74.5138416570881,13,095,491.0
Douglas County,Georgia,77.3715511881552,13,097,665.0
Early County,Georgia,73.1140819945057,13,099,106.0
Echols County,Georgia,77.1261008355718,13,101,15.0
Effingham County,Georgia,76.3761584292673,13,103,154.0
Elbert County,Georgia,74.4234738881675,13,105,126.0
Emanuel County,Georgia,72.7620593157699,13,107,265.0
Evans County,Georgia,74.8433020894414,13,109,88.0
Fannin County,Georgia,76.9911635316195,13,111,127.0
Fayette County,Georgia,80.7588889119797,13,113,435.0
Floyd County,Georgia,75.2562231958774,13,115,636.0
Forsyth County,Georgia,81.64720509527,13,117,719.0
Franklin County,Georgia,73.9914157726118,13,119,173.0
Fulton County,Georgia,78.7678526769602,13,121,5531.0
Gilmer County,Georgia,78.110295381191,13,123,208.0
Glascock County,Georgia,73.5591151643724,13,125,23.0
Glynn County,Georgia,77.1042251846537,13,127,512.0
Gordon County,Georgia,75.5399076199864,13,129,151.0
Grady County,Georgia,75.6781613975346,13,131,164.0
Greene County,Georgia,77.6535983104785,13,133,224.0
Gwinnett County,Georgia,80.5977995974354,13,135,2410.0
Habersham County,Georgia,77.41930695738,13,137,413.0
Hall County,Georgia,78.8501578196255,13,139,734.0
Hancock County,Georgia,75.5511526228516,13,141,120.0
Haralson County,Georgia,73.2548609996383,13,143,164.0
Harris County,Georgia,79.3637275024378,13,145,210.0
Hart County,Georgia,76.8943495410448,13,147,123.0
Heard County,Georgia,74.7359238306926,13,149,67.0
Henry County,Georgia,77.2246725220502,13,151,837.0
Houston County,Georgia,77.4957791397741,13,153,764.0
Irwin County,Georgia,74.9700522755473,13,155,113.0
Jackson County,Georgia,76.154219538743,13,157,375.0
Jasper County,Georgia,75.9077043960719,13,159,96.0
Jeff Davis County,Georgia,73.27850301101,13,161,114.0
Jefferson County,Georgia,72.677315464956,13,163,291.0
Jenkins County,Georgia,73.4881821924482,13,165,156.0
Johnson County,Georgia,76.1256460094423,13,167,38.0
Jones County,Georgia,77.9077041501382,13,169,169.0
Lamar County,Georgia,74.5163705283169,13,171,181.0
Lanier County,Georgia,75.3402613596848,13,173,31.0
Laurens County,Georgia,74.6099464490999,13,175,287.0
Lee County,Georgia,76.7932149732719,13,177,194.0
Liberty County,Georgia,76.4775650868514,13,179,349.0
Lincoln County,Georgia,76.1576916943944,13,181,129.0
Long County,Georgia,78.3681666188566,13,183,90.0
Lowndes County,Georgia,75.995529913625,13,185,430.0
Lumpkin County,Georgia,77.6218085990866,13,187,125.0
McDuffie County,Georgia,73.8513564466333,13,189,121.0
McIntosh County,Georgia,79.7602966419833,13,191,53.0
Macon County,Georgia,73.8433801513223,13,193,176.0
Madison County,Georgia,75.8660518401721,13,195,130.0
Marion County,Georgia,76.3753888559576,13,197,85.0
Meriwether County,Georgia,74.4599480502971,13,199,341.0
Miller County,Georgia,73.539483539702,13,201,48.0
Mitchell County,Georgia,74.2252815852118,13,205,358.0
Monroe County,Georgia,77.4615928697148,13,207,277.0
Montgomery County,Georgia,75.1047075175106,13,209,56.0
Morgan County,Georgia,77.4326850024947,13,211,176.0
Murray County,Georgia,74.8101618892847,13,213,195.0
Muscogee County,Georgia,74.2199476837889,13,215,1096.0
Newton County,Georgia,76.0155551337021,13,217,446.0
Oconee County,Georgia,80.90554970106,13,219,122.0
Oglethorpe County,Georgia,77.8050173797246,13,221,142.0
Paulding County,Georgia,78.4895950797659,13,223,590.0
Peach County,Georgia,73.7980458639214,13,225,227.0
Pickens County,Georgia,77.1138210119651,13,227,236.0
Pierce County,Georgia,74.4889636156105,13,229,73.0
Pike County,Georgia,75.5700513081301,13,231,78.0
Polk County,Georgia,73.3539926871238,13,233,398.0
Pulaski County,Georgia,77.5360379042965,13,235,98.0
Putnam County,Georgia,77.3546977694882,13,237,107.0
Quitman County,Georgia,75.2221673212216,13,239,60.0
Rabun County,Georgia,77.1527603986146,13,241,130.0
Randolph County,Georgia,75.426296165832,13,243,167.0
Richmond County,Georgia,73.8653991245777,13,245,1113.0
Rockdale County,Georgia,77.7038819561169,13,247,420.0
Schley County,Georgia,77.1063445326143,13,249,39.0
Screven County,Georgia,74.4653823162502,13,251,177.0
Seminole County,Georgia,73.7255189590861,13,253,136.0
Spalding County,Georgia,74.2485252754827,13,255,317.0
Stephens County,Georgia,73.3793014301216,13,257,189.0
Stewart County,Georgia,74.0889879344936,13,259,146.0
Sumter County,Georgia,74.507156199642,13,261,222.0
