County,State,mean_life_expectancy,State_FIPS,County_FIPS,Disability Rate
Limestone County,Alabama,77.4567118555822,01,083,12.9
Lowndes County,Alabama,72.451572085185,01,085,21.1
Macon County,Alabama,73.4913418644572,01,087,19.2
Madison County,Alabama,77.772209501297,01,089,12.2
Marengo County,Alabama,74.1333674215399,01,091,24.0
Marion County,Alabama,74.2996624676483,01,093,23.5
Marshall County,Alabama,74.2650814854454,01,095,17.0
Mobile County,Alabama,75.0140519651065,01,097,15.7
Monroe County,Alabama,74.9403376152072,01,099,17.1
Montgomery County,Alabama,76.0742035748331,01,101,16.2
Morgan County,Alabama,75.7687418754051,01,103,15.2
Perry County,Alabama,72.4458737373582,01,105,27.7
Pickens County,Alabama,74.3989386831643,01,107,23.7
Pike County,Alabama,75.3843799599901,01,109,14.8
Randolph County,Alabama,74.6272688359767,01,111,18.9
Russell County,Alabama,74.4625975354371,01,113,19.8
Saint Clair County,Alabama,75.1354509099959,01,115,16.8
Shelby County,Alabama,79.7687496224489,01,117,11.4
Sumter County,Alabama,74.3343686399483,01,119,22.9
Talladega County,Alabama,73.6825216143372,01,121,19.8
Tallapoosa County,Alabama,75.2077207940106,01,123,18.8
Tuscaloosa County,Alabama,76.1412472106416,01,125,12.3
Walker County,Alabama,70.8637922877104,01,127,24.5
Washington County,Alabama,74.6734179457892,01,129,22.2
Wilcox County,Alabama,72.2374261679305,01,131,17.3
Winston County,Alabama,74.2153646411101,01,133,24.1
Anchorage Municipality,Alaska,78.7538192744483,02,020,10.3
Bethel Census Area,Alaska,72.9162299270473,02,050,10.3
Bristol Bay Borough,Alaska,75.4655368308601,02,060,10.5
Fairbanks North Star Borough,Alaska,79.2875377464225,02,090,10.3
Haines Borough,Alaska,80.3402659326086,02,100,18.4
Juneau City and Borough,Alaska,79.7513085001443,02,110,9.5
Kenai Peninsula Borough,Alaska,78.3295603866331,02,122,14.8
Kodiak Island Borough,Alaska,79.2674018916655,02,150,10.7
Matanuska-Susitna Borough,Alaska,78.1712241323719,02,170,11.2
Nome Census Area,Alaska,71.0874958002656,02,180,10.8
North Slope Borough,Alaska,75.2725719185953,02,185,9.0
Sitka City and Borough,Alaska,79.5125431994159,02,220,10.3
Southeast Fairbanks Census Area,Alaska,77.1481963302165,02,240,13.8
Valdez-Cordova Census Area,Alaska,78.0507317723694,02,261,9.8
Wade Hampton Census Area,Alaska,69.129042588567,02,270,10.9
Northwest Arctic Borough,Alaska,73.0243042513836,02,188,9.9
Aleutians East Borough,Alaska,83.5166512642875,02,013,6.5
Aleutians West Census Area,Alaska,83.5166512642875,02,016,6.3
Dillingham Census Area,Alaska,73.7920691867546,02,070,12.3
Lake and Peninsula Borough,Alaska,73.7920691867546,02,164,16.8
Denali Borough,Alaska,73.5699219653651,02,068,7.1
Yukon-Koyukuk Census Area,Alaska,73.5699219653651,02,290,17.1
Hoonah-Angoon Census Area,Alaska,80.374241032238,02,105,18.7
Skagway Municipality,Alaska,80.374241032238,02,230,5.7
Yakutat City and Borough,Alaska,80.374241032238,02,282,7.4
Ketchikan Gateway Borough,Alaska,78.2808420907731,02,130,11.9
Petersburg Borough,Alaska,78.2808420907731,02,195,12.0
Prince of Wales-Hyder Census Area,Alaska,78.2808420907731,02,198,14.3
Wrangell City and Borough,Alaska,78.2808420907731,02,275,25.7
Apache County,Arizona,73.5831561418625,04,001,15.2
Cochise County,Arizona,78.5093583618516,04,003,17.0
Coconino County,Arizona,79.1783967754568,04,005,11.1
Gila County,Arizona,75.4683450305506,04,007,18.1
Graham County,Arizona,77.4666536416568,04,009,13.3
Greenlee County,Arizona,78.6626921330292,04,011,11.4
Maricopa County,Arizona,80.2239065499369,04,013,10.0
Mohave County,Arizona,75.5732188036138,04,015,18.4
Navajo County,Arizona,75.2513758313513,04,017,18.8
Pima County,Arizona,79.2068381779827,04,019,13.3
Pinal County,Arizona,80.9037956408188,04,021,12.2
Santa Cruz County,Arizona,82.0079464280884,04,023,8.9
Yavapai County,Arizona,78.6615151890778,04,025,17.7
La Paz County,Arizona,81.3901815824637,04,012,17.4
Yuma County,Arizona,81.3901815824637,04,027,11.2
Arkansas County,Arkansas,73.8156973399201,05,001,19.0
Ashley County,Arkansas,74.527033712992,05,003,19.3
Baxter County,Arkansas,76.2122281368992,05,005,21.8
Benton County,Arkansas,79.3617722496715,05,007,10.0
Boone County,Arkansas,76.5714079641579,05,009,20.4
Bradley County,Arkansas,73.9928167351683,05,011,20.7
Calhoun County,Arkansas,75.0101834551434,05,013,26.4
Carroll County,Arkansas,76.9212348790936,05,015,17.3
Chicot County,Arkansas,73.4958825931558,05,017,27.1
Clark County,Arkansas,75.4277256789478,05,019,18.4
Clay County,Arkansas,73.4772580278363,05,021,23.8
Cleburne County,Arkansas,76.4332102428103,05,023,19.0
Cleveland County,Arkansas,75.3899386050606,05,025,22.0
Columbia County,Arkansas,74.4778597853245,05,027,19.9
Conway County,Arkansas,75.3211173537385,05,029,19.4
Craighead County,Arkansas,76.1849034187585,05,031,15.0
Crawford County,Arkansas,75.6323094688717,05,033,16.3
Crittenden County,Arkansas,73.0807663455022,05,035,16.8
Cross County,Arkansas,73.6102929568663,05,037,21.0
Dallas County,Arkansas,73.9447963982835,05,039,25.1
Desha County,Arkansas,73.1929803551693,05,041,19.2
Drew County,Arkansas,75.6142342376879,05,043,17.7
Faulkner County,Arkansas,76.874980748974,05,045,12.4
Franklin County,Arkansas,74.8461541973117,05,047,19.1
Fulton County,Arkansas,75.4429142733183,05,049,24.8
Garland County,Arkansas,75.0982760087787,05,051,18.5
Grant County,Arkansas,75.6273873667791,05,053,17.4
Greene County,Arkansas,74.4557946872778,05,055,19.0
Hempstead County,Arkansas,75.0798934829681,05,057,19.3
Hot Spring County,Arkansas,74.7699312058851,05,059,22.3
Howard County,Arkansas,74.3104978429413,05,061,18.3
Independence County,Arkansas,75.55292051348,05,063,17.0
Izard County,Arkansas,75.6857060417369,05,065,24.1
Jackson County,Arkansas,73.5645257013294,05,067,20.9
Jefferson County,Arkansas,73.8804417043154,05,069,18.2
Johnson County,Arkansas,76.0679421315981,05,071,16.2
Lafayette County,Arkansas,73.9732457610778,05,073,23.4
Lawrence County,Arkansas,74.1944235430574,05,075,19.5
Lee County,Arkansas,73.6656526371685,05,077,22.7
Lincoln County,Arkansas,75.6620100556507,05,079,19.8
Little River County,Arkansas,74.1904867610063,05,081,17.8
Logan County,Arkansas,74.7110052677721,05,083,21.5
Lonoke County,Arkansas,75.2681135595378,05,085,15.8
Madison County,Arkansas,75.5147457725886,05,087,19.6
Marion County,Arkansas,75.4990392659523,05,089,26.6
Miller County,Arkansas,74.9160232473299,05,091,17.7
Mississippi County,Arkansas,72.3314425790971,05,093,20.8
Monroe County,Arkansas,72.9273164936148,05,095,25.5
Montgomery County,Arkansas,76.1909321334472,05,097,31.3
Nevada County,Arkansas,74.3108502571174,05,099,24.9
Newton County,Arkansas,77.0546342078252,05,101,22.4
Ouachita County,Arkansas,73.4215539603755,05,103,22.5
Perry County,Arkansas,75.3566377146712,05,105,20.5
Phillips County,Arkansas,71.143137921812,05,107,24.3
Pike County,Arkansas,75.3219856286797,05,109,26.0
Poinsett County,Arkansas,71.7436296549771,05,111,20.7
Polk County,Arkansas,75.1706027573073,05,113,25.8
Pope County,Arkansas,76.5312262614872,05,115,17.1
Prairie County,Arkansas,75.5040076219309,05,117,24.3
Pulaski County,Arkansas,76.2155838234668,05,119,12.9
Randolph County,Arkansas,74.8295050145305,05,121,18.8
Saint Francis County,Arkansas,74.2143402022178,05,123,21.1
Saline County,Arkansas,77.2702721854195,05,125,17.2
Scott County,Arkansas,75.4264942209673,05,127,21.3
Searcy County,Arkansas,75.8170342561347,05,129,24.2
Sebastian County,Arkansas,75.9063008139938,05,131,17.3
Sevier County,Arkansas,74.8024916114451,05,133,14.4
Sharp County,Arkansas,74.4068059903225,05,135,19.4
Stone County,Arkansas,76.4746383103692,05,137,24.9
Union County,Arkansas,73.3950491276234,05,139,21.3
Van Buren County,Arkansas,76.3377657708152,05,141,21.3
Washington County,Arkansas,77.9667709462642,05,143,11.6
White County,Arkansas,75.4804389196206,05,145,16.2
Woodruff County,Arkansas,72.9704729972146,05,147,21.1
Yell County,Arkansas,74.6982071723465,05,149,21.5
Alameda County,California,81.7395666265102,06,001,9.1
Alpine County,California,78.7968439851636,06,003,17.9
Amador County,California,79.7223050305829,06,005,17.6
Butte County,California,78.0043483458703,06,007,17.4
Calaveras County,California,79.7276449490236,06,009,17.6
Colusa County,California,80.1885672391631,06,011,12.5
Contra Costa County,California,81.5819673902927,06,013,10.2
Del Norte County,California,75.9485446226768,06,015,21.5
El Dorado County,California,81.1333632533598,06,017,11.5
Fresno County,California,78.6280024400332,06,019,11.6
Glenn County,California,78.0902335149727,06,021,15.8
Humboldt County,California,77.0385176745656,06,023,15.7
Imperial County,California,81.0040782496188,06,025,13.1
Inyo County,California,79.2667613009441,06,027,12.5
Kern County,California,77.4190857391695,06,029,11.8
Kings County,California,79.4568073221703,06,031,10.4
Lake County,California,75.3296236176337,06,033,20.9
Lassen County,California,78.5887276747557,06,035,17.3
Los Angeles County,California,81.513727949983,06,037,9.5
Madera County,California,78.9675915817164,06,039,12.1
Marin County,California,84.1641989359273,06,041,8.9
Mariposa County,California,80.3362251688537,06,043,18.5
Mendocino County,California,78.6500830383081,06,045,16.1
Merced County,California,78.6838148179829,06,047,15.5
Modoc County,California,77.8998017368993,06,049,21.1
Mono County,California,85.128377239051,06,051,7.8
Monterey County,California,81.9185117287455,06,053,8.4
Napa County,California,81.0720024251202,06,055,10.8
Nevada County,California,81.2593934799348,06,057,13.4
Orange County,California,82.3839819579677,06,059,7.8
Placer County,California,81.4678387425728,06,061,10.7
Plumas County,California,78.5189520450344,06,063,19.4
Riverside County,California,80.4402769706343,06,065,10.7
Sacramento County,California,79.132092350364,06,067,12.7
San Benito County,California,81.8444776151262,06,069,8.7
San Bernardino County,California,78.6487652383866,06,071,10.9
San Diego County,California,81.4679164471467,06,073,9.4
San Francisco County,California,82.485751145669,06,075,10.6
San Joaquin County,California,78.2220036604945,06,077,11.7
San Luis Obispo County,California,81.2489637100771,06,079,10.8
San Mateo County,California,83.4967990283785,06,081,7.8
Santa Barbara County,California,81.7882481086712,06,083,10.0
Santa Clara County,California,83.500114935863,06,085,7.7
Santa Cruz County,California,81.5626211749038,06,087,8.8
Shasta County,California,76.0662043800792,06,089,17.9
Sierra County,California,79.0329351185959,06,091,20.3
Siskiyou County,California,76.7979664249462,06,093,19.1
Solano County,California,79.6800244647687,06,095,10.9
Sonoma County,California,81.1485223965982,06,097,10.7
Stanislaus County,California,77.9770812106916,06,099,13.1
Sutter County,California,78.7426896341866,06,101,13.6
Tehama County,California,77.9506792628036,06,103,18.2
Trinity County,California,76.9955672863657,06,105,22.7
Tulare County,California,78.2025078803788,06,107,10.7
Tuolumne County,California,79.044258406196,06,109,18.4
Ventura County,California,81.7761931721516,06,111,9.9
Yolo County,California,80.7386624179938,06,113,10.3
Yuba County,California,75.9458062203812,06,115,16.5
Alamosa County,Colorado,76.4616841387818,08,003,16.6
Archuleta County,Colorado,81.4870439008997,08,007,13.9
Baca County,Colorado,77.2704980116003,08,009,21.5
Bent County,Colorado,75.9350821641372,08,011,23.8
Chaffee County,Colorado,81.3491483892739,08,015,13.4
Cheyenne County,Colorado,79.6023492108261,08,017,18.4
Clear Creek County,Colorado,81.7821524704633,08,019,11.5
Conejos County,Colorado,77.0258356905695,08,021,20.7
Costilla County,Colorado,77.4765309356295,08,023,29.4
Crowley County,Colorado,77.8467351587918,08,025,23.8
Custer County,Colorado,81.3160951778407,08,027,15.7
Delta County,Colorado,78.5857114920751,08,029,15.9
Dolores County,Colorado,79.6818226875829,08,033,20.0
Douglas County,Colorado,83.398137452493,08,035,6.1
Eagle County,Colorado,87.8651173312628,08,037,4.6
Elbert County,Colorado,81.2848837662553,08,039,9.5
El Paso County,Colorado,79.5325202986677,08,041,11.0
Fremont County,Colorado,77.2534699163747,08,043,18.1
Garfield County,Colorado,80.6723210779454,08,045,9.2
Gilpin County,Colorado,80.5058523843539,08,047,11.9
Grand County,Colorado,83.3911146189488,08,049,8.9
Gunnison County,Colorado,82.5765389495522,08,051,6.1
Huerfano County,Colorado,76.886483043344,08,055,21.6
Jackson County,Colorado,79.8747254930755,08,057,10.8
Kiowa County,Colorado,77.8278281310628,08,061,13.4
Kit Carson County,Colorado,78.7539822578827,08,063,17.3
Lake County,Colorado,80.838132827301,08,065,5.5
La Plata County,Colorado,81.8467654951257,08,067,9.5
Larimer County,Colorado,81.5278668733351,08,069,9.3
Las Animas County,Colorado,76.7407696975048,08,071,18.9
Lincoln County,Colorado,79.4178092826071,08,073,19.1
Logan County,Colorado,79.0949385769402,08,075,14.1
Mesa County,Colorado,78.7674543057644,08,077,13.1
Moffat County,Colorado,78.3930826953069,08,081,11.0
Montezuma County,Colorado,77.5115724550133,08,083,14.9
Montrose County,Colorado,79.6067950700064,08,085,14.1
Morgan County,Colorado,78.3030515948637,08,087,11.4
Otero County,Colorado,75.7111807102341,08,089,19.2
Ouray County,Colorado,84.2222044140032,08,091,8.1
Park County,Colorado,82.4733990891643,08,093,9.4
Phillips County,Colorado,80.1194776987327,08,095,13.6
Pitkin County,Colorado,89.6648153256682,08,097,6.8
Prowers County,Colorado,76.8340804383445,08,099,17.5
Pueblo County,Colorado,77.094553026069,08,101,16.9
Rio Blanco County,Colorado,79.3559610492821,08,103,14.0
Rio Grande County,Colorado,77.1676477578974,08,105,16.5
Routt County,Colorado,83.0289544645963,08,107,7.3
Saguache County,Colorado,80.3484813709541,08,109,17.6
San Miguel County,Colorado,85.3741700410346,08,113,8.0
Sedgwick County,Colorado,78.1950772359603,08,115,14.8
Summit County,Colorado,89.9631891686862,08,117,3.9
Teller County,Colorado,80.4486314426082,08,119,14.1
Washington County,Colorado,79.9994991153517,08,121,12.1
Yuma County,Colorado,79.1559316064511,08,125,10.1
Adams County,Colorado,80.114402788454,08,001,9.9
Arapahoe County,Colorado,80.114402788454,08,005,9.0
Boulder County,Colorado,80.114402788454,08,013,7.7
Broomfield County,Colorado,80.114402788454,08,014,7.8
Denver County,Colorado,80.114402788454,08,031,9.6
Jefferson County,Colorado,80.114402788454,08,059,9.6
Weld County,Colorado,80.114402788454,08,123,10.7
Fairfield County,Connecticut,82.361563205464,09,001,9.0
Hartford County,Connecticut,80.45268370516,09,003,11.6
Litchfield County,Connecticut,80.6126221620776,09,005,9.7
Middlesex County,Connecticut,81.2500528358246,09,007,9.5
New Haven County,Connecticut,80.1729267704691,09,009,11.3
New London County,Connecticut,80.1491336655257,09,011,12.1
Tolland County,Connecticut,81.786493464423,09,013,8.6
Windham County,Connecticut,79.1337741835024,09,015,12.6
Kent County,Delaware,77.6499786880756,10,001,13.3
New Castle County,Delaware,78.7647932114062,10,003,11.1
Sussex County,Delaware,78.6763072946828,10,005,14.8
Alachua County,Florida,78.7919425921797,12,001,10.5
Baker County,Florida,75.5212181623326,12,003,13.7
Bay County,Florida,76.4660813157135,12,005,15.6
Bradford County,Florida,76.1902715953288,12,007,18.7
Brevard County,Florida,78.3330796870858,12,009,15.1
Broward County,Florida,80.5650531347463,12,011,11.2
Calhoun County,Florida,75.6943342878028,12,013,25.9
Charlotte County,Florida,80.4284537804809,12,015,19.6
Citrus County,Florida,76.4681482910462,12,017,19.8
Clay County,Florida,77.9259215123163,12,019,13.1
Collier County,Florida,84.3190295276291,12,021,11.5
Columbia County,Florida,75.5977790791096,12,023,19.5
Miami-Dade County,Florida,81.1234565201074,12,086,10.2
DeSoto County,Florida,79.7087112323078,12,027,15.2
Dixie County,Florida,75.2446510785173,12,029,24.8
Duval County,Florida,76.5390715004831,12,031,12.3
Escambia County,Florida,75.8996052771069,12,033,15.3
Flagler County,Florida,79.5278588605028,12,035,15.4
Franklin County,Florida,76.2687045965907,12,037,23.4
Gadsden County,Florida,75.7781182334425,12,039,15.4
Gilchrist County,Florida,76.9549182859829,12,041,21.3
Glades County,Florida,80.8626224515423,12,043,18.5
Gulf County,Florida,76.7041030080508,12,045,20.4
Hamilton County,Florida,76.2504227694229,12,047,22.6
Hardee County,Florida,79.0372669912688,12,049,11.8
Hendry County,Florida,77.9010640777765,12,051,14.9
Hernando County,Florida,77.3010243498065,12,053,19.1
Highlands County,Florida,79.3108383100278,12,055,19.6
Hillsborough County,Florida,78.7344657791495,12,057,11.7
Holmes County,Florida,74.3769076881332,12,059,24.0
Indian River County,Florida,80.5353504178124,12,061,15.5
Jackson County,Florida,75.6572242778723,12,063,21.2
Jefferson County,Florida,77.105237152819,12,065,19.8
Lafayette County,Florida,76.9386335655433,12,067,16.6
Lake County,Florida,79.4075989109908,12,069,15.2
Lee County,Florida,81.6434872180073,12,071,13.5
Leon County,Florida,79.5046507466643,12,073,9.1
Levy County,Florida,75.2648595949867,12,075,21.9
Liberty County,Florida,76.2864345782619,12,077,19.8
Madison County,Florida,75.3802096490306,12,079,21.7
Manatee County,Florida,80.6401375278797,12,081,13.3
Marion County,Florida,77.2193842479713,12,083,17.0
Martin County,Florida,81.6918626898687,12,085,14.4
Monroe County,Florida,79.6572423356517,12,087,12.8
Nassau County,Florida,77.6273796286286,12,089,14.6
Okaloosa County,Florida,78.0243619781617,12,091,14.1
Okeechobee County,Florida,76.6928309950686,12,093,18.0
Orange County,Florida,79.907746185422,12,095,9.8
Osceola County,Florida,79.4141527712853,12,097,13.8
Palm Beach County,Florida,81.9478048279696,12,099,11.6
Pasco County,Florida,77.8138523845587,12,101,15.9
Pinellas County,Florida,78.6699666288068,12,103,14.3
Polk County,Florida,78.3866007118166,12,105,14.9
Putnam County,Florida,74.824728147007,12,107,16.5
Saint Johns County,Florida,81.0314147503521,12,109,10.5
Saint Lucie County,Florida,79.7759103073056,12,111,15.0
Santa Rosa County,Florida,77.9439581693406,12,113,13.9
Sarasota County,Florida,81.4743257016792,12,115,15.2
Seminole County,Florida,80.4267833401531,12,117,10.1
Sumter County,Florida,81.3091282658141,12,119,18.7
Suwannee County,Florida,75.6351396305189,12,121,18.2
Taylor County,Florida,75.867327971606,12,123,23.2
Union County,Florida,69.0842926635716,12,125,13.9
Volusia County,Florida,77.4474098595231,12,127,15.2
Wakulla County,Florida,76.5579235348067,12,129,17.9
Walton County,Florida,77.7370870344531,12,131,17.1
Washington County,Florida,74.4336357205743,12,133,20.3
Appling County,Georgia,74.9345343621424,13,001,15.6
Atkinson County,Georgia,73.9687683772182,13,003,16.5
Bacon County,Georgia,73.5924839273872,13,005,17.7
Baker County,Georgia,77.6093613310299,13,007,19.1
Baldwin County,Georgia,76.3589481043216,13,009,12.8
Banks County,Georgia,76.9206951845027,13,011,15.2
Barrow County,Georgia,76.568775709694,13,013,12.6
Bartow County,Georgia,76.2401395708099,13,015,13.1
Ben Hill County,Georgia,73.713227095883,13,017,26.6
Berrien County,Georgia,75.4720784517024,13,019,17.6
Bibb County,Georgia,73.9123435117015,13,021,14.2
Bleckley County,Georgia,76.1132929655014,13,023,18.0
Brantley County,Georgia,74.8752724973373,13,025,24.1
Brooks County,Georgia,75.4456931980419,13,027,21.3
Bryan County,Georgia,76.2090812741944,13,029,10.3
Bulloch County,Georgia,77.1197815582943,13,031,12.0
Burke County,Georgia,73.6781476098738,13,033,18.2
Butts County,Georgia,74.1140850897095,13,035,14.2
Calhoun County,Georgia,75.2998074781914,13,037,14.4
Camden County,Georgia,77.7735434870564,13,039,10.0
Candler County,Georgia,74.0567782956218,13,043,17.0
Carroll County,Georgia,75.2022873519906,13,045,15.5
Catoosa County,Georgia,77.9247757438196,13,047,15.8
Charlton County,Georgia,76.7697615807727,13,049,14.4
Chatham County,Georgia,77.5184797541465,13,051,11.5
Chattahoochee County,Georgia,76.84255932623,13,053,16.0
Chattooga County,Georgia,73.8317108439486,13,055,16.3
Cherokee County,Georgia,79.7496679472048,13,057,9.3
Clarke County,Georgia,78.2615876465466,13,059,10.5
Clay County,Georgia,74.8432062452083,13,061,25.2
Clayton County,Georgia,76.7325719862389,13,063,10.9
Clinch County,Georgia,73.408491917808,13,065,21.8
Cobb County,Georgia,79.9283366661823,13,067,7.9
Coffee County,Georgia,75.2157891526563,13,069,14.7
Colquitt County,Georgia,75.0860049176497,13,071,14.5
Columbia County,Georgia,80.1160154662685,13,073,9.6
Cook County,Georgia,74.7696432807423,13,075,14.3
Coweta County,Georgia,78.2106345028716,13,077,9.8
Crawford County,Georgia,76.58022808544,13,079,14.1
Crisp County,Georgia,75.6681687717805,13,081,18.5
Dade County,Georgia,75.3966077791311,13,083,18.6
Dawson County,Georgia,77.8413801559133,13,085,11.5
Decatur County,Georgia,74.7688125394424,13,087,14.8
DeKalb County,Georgia,79.3320318728214,13,089,9.5
Dodge County,Georgia,75.6240895589048,13,091,17.2
Dooly County,Georgia,78.270500402471,13,093,11.5
Dougherty County,Georgia,75.1444111594597,13,095,14.4
Douglas County,Georgia,77.2553994583244,13,097,11.0
Early County,Georgia,74.1746109809755,13,099,18.3
Echols County,Georgia,77.6281901979393,13,101,16.4
Effingham County,Georgia,76.4578448594999,13,103,11.8
Elbert County,Georgia,74.9297782306706,13,105,16.7
Emanuel County,Georgia,73.1875806317402,13,107,17.8
Evans County,Georgia,75.1835484789051,13,109,16.8
Fannin County,Georgia,76.688033522143,13,111,21.6
Fayette County,Georgia,80.7802913886552,13,113,9.3
Floyd County,Georgia,75.4551048703234,13,115,16.6
Forsyth County,Georgia,81.2375145242419,13,117,7.2
Franklin County,Georgia,74.5581372850625,13,119,18.5
Fulton County,Georgia,78.4328501920243,13,121,9.0
Gilmer County,Georgia,78.1821220728799,13,123,18.5
Glascock County,Georgia,74.0702002494758,13,125,12.2
Glynn County,Georgia,77.1794930798449,13,127,14.7
Gordon County,Georgia,75.8399271754514,13,129,13.3
Grady County,Georgia,76.151119404243,13,131,17.5
Greene County,Georgia,77.7320535995304,13,133,12.3
Gwinnett County,Georgia,80.4465430438862,13,135,7.3
Habersham County,Georgia,77.6419958353258,13,137,15.4
Hall County,Georgia,78.7457723645131,13,139,10.4
Hancock County,Georgia,76.1199783068919,13,141,15.4
Haralson County,Georgia,73.553644831127,13,143,19.7
Harris County,Georgia,79.2890077652842,13,145,15.1
Hart County,Georgia,77.1294577753602,13,147,16.7
Heard County,Georgia,75.2250279243881,13,149,20.9
Henry County,Georgia,77.2668197628104,13,151,9.7
Houston County,Georgia,77.5707003222215,13,153,11.6
Irwin County,Georgia,75.5319125492145,13,155,18.8
Jackson County,Georgia,76.1779796658862,13,157,13.0
Jasper County,Georgia,76.2323285378843,13,159,12.5
Jeff Davis County,Georgia,73.7586459215342,13,161,15.3
Jefferson County,Georgia,73.2040306163978,13,163,15.6
Jenkins County,Georgia,74.1817912893906,13,165,18.3
Johnson County,Georgia,76.4532268359357,13,167,21.1
Jones County,Georgia,78.2209896513889,13,169,13.5
Lamar County,Georgia,74.9977890915742,13,171,16.7
Lanier County,Georgia,75.5325124997842,13,173,19.1
Laurens County,Georgia,74.949039342625,13,175,12.8
Lee County,Georgia,77.5265837874481,13,177,11.8
Liberty County,Georgia,76.8668130027685,13,179,12.1
Lincoln County,Georgia,76.2155783286932,13,181,15.5
Long County,Georgia,78.3991318448588,13,183,12.9
Lowndes County,Georgia,76.2453956744472,13,185,12.7
Lumpkin County,Georgia,78.0597439768539,13,187,13.8
McDuffie County,Georgia,74.41963111247,13,189,17.3
McIntosh County,Georgia,79.4457187215119,13,191,22.3
Macon County,Georgia,74.3211885630731,13,193,20.0
Madison County,Georgia,75.8992950836721,13,195,15.9
Marion County,Georgia,76.7225770981052,13,197,20.7
Meriwether County,Georgia,74.8538276665634,13,199,18.6
Miller County,Georgia,74.1545691223151,13,201,15.6
Mitchell County,Georgia,75.188921032314,13,205,16.8
Monroe County,Georgia,77.4406245257145,13,207,15.0
Montgomery County,Georgia,75.5819616344513,13,209,14.6
Morgan County,Georgia,77.5545771533365,13,211,12.1
Murray County,Georgia,75.1415400042245,13,213,14.8
Muscogee County,Georgia,74.9242055218078,13,215,18.7
Newton County,Georgia,76.388924256193,13,217,13.1
Oconee County,Georgia,80.4602667100514,13,219,10.0
Oglethorpe County,Georgia,78.1537582497183,13,221,16.6
Paulding County,Georgia,78.5126316183096,13,223,9.9
Peach County,Georgia,74.5309944327822,13,225,12.9
Pickens County,Georgia,77.550434569024,13,227,14.8
Pierce County,Georgia,75.1711946674867,13,229,21.2
Pike County,Georgia,76.0207025888261,13,231,13.2
Polk County,Georgia,73.7433236411906,13,233,16.7
Pulaski County,Georgia,77.8146750421041,13,235,16.7
Putnam County,Georgia,77.2313879034576,13,237,14.3
Quitman County,Georgia,75.7144452783848,13,239,26.4
Rabun County,Georgia,77.6420387387985,13,241,16.6
Randolph County,Georgia,76.2313513334328,13,243,20.9
Richmond County,Georgia,74.1469853140117,13,245,17.6
Rockdale County,Georgia,77.993058268219,13,247,11.0
Schley County,Georgia,77.7098948093512,13,249,17.2
Screven County,Georgia,74.8304509951324,13,251,18.7
Seminole County,Georgia,74.6911176414227,13,253,17.0
Spalding County,Georgia,74.6289363569151,13,255,15.9
Stephens County,Georgia,73.7317044967219,13,257,19.5
Stewart County,Georgia,75.0193609662896,13,259,28.8
Sumter County,Georgia,75.156794709651,13,261,15.3
Talbot County,Georgia,75.511691587113,13,263,21.9
Taliaferro County,Georgia,75.3022962480459,13,265,20.5
Tattnall County,Georgia,75.1143036933765,13,267,19.5
Taylor County,Georgia,75.260771305812,13,269,14.6
