County,State,mean_life_expectancy,State_FIPS,County_FIPS,Median Household Income
Walton County,Florida,77.7370870344531,12,131,43640
Washington County,Florida,74.4336357205743,12,133,38501
Appling County,Georgia,74.9345343621424,13,001,36786
Atkinson County,Georgia,73.9687683772182,13,003,30049
Bacon County,Georgia,73.5924839273872,13,005,33757
Baker County,Georgia,77.6093613310299,13,007,27353
Baldwin County,Georgia,76.3589481043216,13,009,32751
Banks County,Georgia,76.9206951845027,13,011,41141
Barrow County,Georgia,76.568775709694,13,013,53274
Bartow County,Georgia,76.2401395708099,13,015,47197
Ben Hill County,Georgia,73.713227095883,13,017,28547
Berrien County,Georgia,75.4720784517024,13,019,32258
Bibb County,Georgia,73.9123435117015,13,021,37550
Bleckley County,Georgia,76.1132929655014,13,023,36073
Brantley County,Georgia,74.8752724973373,13,025,36070
Brooks County,Georgia,75.4456931980419,13,027,34419
Bryan County,Georgia,76.2090812741944,13,029,64707
Bulloch County,Georgia,77.1197815582943,13,031,35840
Burke County,Georgia,73.6781476098738,13,033,31494
Butts County,Georgia,74.1140850897095,13,035,49754
Calhoun County,Georgia,75.2998074781914,13,037,26986
Camden County,Georgia,77.7735434870564,13,039,51990
Candler County,Georgia,74.0567782956218,13,043,35070
Carroll County,Georgia,75.2022873519906,13,045,46147
Catoosa County,Georgia,77.9247757438196,13,047,47087
Charlton County,Georgia,76.7697615807727,13,049,40111
Chatham County,Georgia,77.5184797541465,13,051,45794
Chattahoochee County,Georgia,76.84255932623,13,053,48758
Chattooga County,Georgia,73.8317108439486,13,055,33228
Cherokee County,Georgia,79.7496679472048,13,057,67261
Clarke County,Georgia,78.2615876465466,13,059,33060
Clay County,Georgia,74.8432062452083,13,061,21192
Clayton County,Georgia,76.7325719862389,13,063,40606
Clinch County,Georgia,73.408491917808,13,065,30345
Cobb County,Georgia,79.9283366661823,13,067,63920
Coffee County,Georgia,75.2157891526563,13,069,35693
Colquitt County,Georgia,75.0860049176497,13,071,32484
Columbia County,Georgia,80.1160154662685,13,073,69306
Cook County,Georgia,74.7696432807423,13,075,34985
Coweta County,Georgia,78.2106345028716,13,077,60813
Crawford County,Georgia,76.58022808544,13,079,41586
Crisp County,Georgia,75.6681687717805,13,081,35240
Dade County,Georgia,75.3966077791311,13,083,43205
Dawson County,Georgia,77.8413801559133,13,085,53525
Decatur County,Georgia,74.7688125394424,13,087,30619
DeKalb County,Georgia,79.3320318728214,13,089,50856
Dodge County,Georgia,75.6240895589048,13,091,37292
Dooly County,Georgia,78.270500402471,13,093,29012
Dougherty County,Georgia,75.1444111594597,13,095,31671
Douglas County,Georgia,77.2553994583244,13,097,52691
Early County,Georgia,74.1746109809755,13,099,28853
Echols County,Georgia,77.6281901979393,13,101,31375
Effingham County,Georgia,76.4578448594999,13,103,63030
Elbert County,Georgia,74.9297782306706,13,105,35817
Emanuel County,Georgia,73.1875806317402,13,107,32046
Evans County,Georgia,75.1835484789051,13,109,36788
Fannin County,Georgia,76.688033522143,13,111,34239
Fayette County,Georgia,80.7802913886552,13,113,79977
Floyd County,Georgia,75.4551048703234,13,115,40821
Forsyth County,Georgia,81.2375145242419,13,117,86569
Franklin County,Georgia,74.5581372850625,13,119,34830
Fulton County,Georgia,78.4328501920243,13,121,56857
Gilmer County,Georgia,78.1821220728799,13,123,39140
Glascock County,Georgia,74.0702002494758,13,125,37760
Glynn County,Georgia,77.1794930798449,13,127,46407
Gordon County,Georgia,75.8399271754514,13,129,40926
Grady County,Georgia,76.151119404243,13,131,30571
Greene County,Georgia,77.7320535995304,13,133,42565
Gwinnett County,Georgia,80.4465430438862,13,135,60445
Habersham County,Georgia,77.6419958353258,13,137,39306
Hall County,Georgia,78.7457723645131,13,139,50853
Hancock County,Georgia,76.1199783068919,13,141,25000
Haralson County,Georgia,73.553644831127,13,143,39993
Harris County,Georgia,79.2890077652842,13,145,69223
Hart County,Georgia,77.1294577753602,13,147,35615
Heard County,Georgia,75.2250279243881,13,149,39909
Henry County,Georgia,77.2668197628104,13,151,60781
Houston County,Georgia,77.5707003222215,13,153,54893
Irwin County,Georgia,75.5319125492145,13,155,40771
Jackson County,Georgia,76.1779796658862,13,157,53179
Jasper County,Georgia,76.2323285378843,13,159,42192
Jeff Davis County,Georgia,73.7586459215342,13,161,36296
Jefferson County,Georgia,73.2040306163978,13,163,26968
Jenkins County,Georgia,74.1817912893906,13,165,26104
Johnson County,Georgia,76.4532268359357,13,167,36722
Jones County,Georgia,78.2209896513889,13,169,51497
Lamar County,Georgia,74.9977890915742,13,171,41016
Lanier County,Georgia,75.5325124997842,13,173,39452
Laurens County,Georgia,74.949039342625,13,175,34793
Lee County,Georgia,77.5265837874481,13,177,60104
Liberty County,Georgia,76.8668130027685,13,179,43832
Lincoln County,Georgia,76.2155783286932,13,181,35625
Long County,Georgia,78.3991318448588,13,183,42651
Lowndes County,Georgia,76.2453956744472,13,185,37365
Lumpkin County,Georgia,78.0597439768539,13,187,43775
McDuffie County,Georgia,74.41963111247,13,189,37487
McIntosh County,Georgia,79.4457187215119,13,191,39068
Macon County,Georgia,74.3211885630731,13,193,30240
Madison County,Georgia,75.8992950836721,13,195,42549
Marion County,Georgia,76.7225770981052,13,197,33301
Meriwether County,Georgia,74.8538276665634,13,199,37333
Miller County,Georgia,74.1545691223151,13,201,32260
Mitchell County,Georgia,75.188921032314,13,205,32054
Monroe County,Georgia,77.4406245257145,13,207,48630
Montgomery County,Georgia,75.5819616344513,13,209,32702
Morgan County,Georgia,77.5545771533365,13,211,47729
Murray County,Georgia,75.1415400042245,13,213,34888
Muscogee County,Georgia,74.9242055218078,13,215,41339
Newton County,Georgia,76.388924256193,13,217,50580
Oconee County,Georgia,80.4602667100514,13,219,75004
Oglethorpe County,Georgia,78.1537582497183,13,221,45729
Paulding County,Georgia,78.5126316183096,13,223,61837
Peach County,Georgia,74.5309944327822,13,225,39844
Pickens County,Georgia,77.550434569024,13,227,51383
Pierce County,Georgia,75.1711946674867,13,229,39067
Pike County,Georgia,76.0207025888261,13,231,53865
Polk County,Georgia,73.7433236411906,13,233,39208
Pulaski County,Georgia,77.8146750421041,13,235,41550
Putnam County,Georgia,77.2313879034576,13,237,44764
Quitman County,Georgia,75.7144452783848,13,239,31068
Rabun County,Georgia,77.6420387387985,13,241,35423
Randolph County,Georgia,76.2313513334328,13,243,30023
Richmond County,Georgia,74.1469853140117,13,245,37749
Rockdale County,Georgia,77.993058268219,13,247,52579
Schley County,Georgia,77.7098948093512,13,249,38425
Screven County,Georgia,74.8304509951324,13,251,34848
Seminole County,Georgia,74.6911176414227,13,253,30521
Spalding County,Georgia,74.6289363569151,13,255,41534
Stephens County,Georgia,73.7317044967219,13,257,37898
Stewart County,Georgia,75.0193609662896,13,259,23451
Sumter County,Georgia,75.156794709651,13,261,33796
Talbot County,Georgia,75.511691587113,13,263,32424
Taliaferro County,Georgia,75.3022962480459,13,265,25465
Tattnall County,Georgia,75.1143036933765,13,267,37587
Taylor County,Georgia,75.260771305812,13,269,27455
Telfair County,Georgia,77.4247551182069,13,271,26634
Terrell County,Georgia,74.7927648235851,13,273,32628
Thomas County,Georgia,75.6966995509426,13,275,34035
Tift County,Georgia,75.5183458913149,13,277,34591
Toombs County,Georgia,74.5016680010016,13,279,31189
Towns County,Georgia,77.8096190210474,13,281,36570
Treutlen County,Georgia,75.5570515870392,13,283,37894
Troup County,Georgia,75.5421973131973,13,285,41161
Turner County,Georgia,73.9949974109107,13,287,28326
Twiggs County,Georgia,74.7504143091318,13,289,31234
Union County,Georgia,78.4431060150389,13,291,40009
Upson County,Georgia,73.8239867759287,13,293,35329
Walker County,Georgia,75.146113334525,13,295,39963
Walton County,Georgia,76.4762884017935,13,297,52369
Ware County,Georgia,74.3664506333277,13,299,34572
Warren County,Georgia,74.6068506784789,13,301,27796
Washington County,Georgia,75.9518689818148,13,303,33652
Wayne County,Georgia,74.5789591949201,13,305,35830
Webster County,Georgia,78.5644449816301,13,307,35718
