County,State,mean_life_expectancy,State_FIPS,County_FIPS,Disability Rate
Craighead County,Arkansas,76.2037097312571,05,031,17.2
Crawford County,Arkansas,75.7157396241204,05,033,19.4
Crittenden County,Arkansas,72.6251939385932,05,035,17.2
Cross County,Arkansas,73.1602124341335,05,037,20.5
Dallas County,Arkansas,73.3735532648729,05,039,23.4
Desha County,Arkansas,72.4752962604024,05,041,20.0
Drew County,Arkansas,75.0673773726032,05,043,22.2
Faulkner County,Arkansas,76.4182309752644,05,045,13.9
Franklin County,Arkansas,74.4373222870369,05,047,20.0
Fulton County,Arkansas,74.9193229812661,05,049,24.4
Garland County,Arkansas,74.6309366391751,05,051,19.9
Grant County,Arkansas,75.3698091973697,05,053,18.1
Greene County,Arkansas,74.0996452052536,05,055,20.9
Hempstead County,Arkansas,75.1266368361279,05,057,19.1
Hot Spring County,Arkansas,74.2281769368533,05,059,23.8
Howard County,Arkansas,73.8919511396459,05,061,18.2
Independence County,Arkansas,75.5988097794403,05,063,19.5
Izard County,Arkansas,75.2554983306065,05,065,23.7
Jackson County,Arkansas,73.2398331665973,05,067,21.7
Jefferson County,Arkansas,73.2238480770967,05,069,18.2
Johnson County,Arkansas,75.7108320235838,05,071,18.9
Lafayette County,Arkansas,74.2582687145754,05,073,23.5
Lawrence County,Arkansas,73.9055411200017,05,075,23.5
Lee County,Arkansas,73.2670721314187,05,077,24.3
Lincoln County,Arkansas,75.0420292899519,05,079,23.9
Little River County,Arkansas,73.9743483215101,05,081,21.3
Logan County,Arkansas,74.1726732947248,05,083,21.1
Lonoke County,Arkansas,74.7455691325912,05,085,14.1
Madison County,Arkansas,75.378985437541,05,087,18.2
Marion County,Arkansas,75.3737129535053,05,089,24.8
Miller County,Arkansas,74.5960792199951,05,091,18.7
Mississippi County,Arkansas,71.5351089249095,05,093,19.8
Monroe County,Arkansas,72.3393690870887,05,095,25.3
Montgomery County,Arkansas,75.5774666116489,05,097,28.0
Nevada County,Arkansas,74.3732482286084,05,099,21.5
Newton County,Arkansas,76.8726224396483,05,101,22.2
Ouachita County,Arkansas,73.0094683982827,05,103,19.8
Perry County,Arkansas,74.861123428865,05,105,22.2
Phillips County,Arkansas,70.8005258788541,05,107,22.6
Pike County,Arkansas,74.8235342597713,05,109,26.1
Poinsett County,Arkansas,71.2947589568639,05,111,22.8
Polk County,Arkansas,74.9129378159319,05,113,23.5
Pope County,Arkansas,76.4551101144576,05,115,16.3
Prairie County,Arkansas,75.6587388048142,05,117,22.2
Pulaski County,Arkansas,75.9533402339039,05,119,15.0
Randolph County,Arkansas,74.2064157916112,05,121,21.8
Saint Francis County,Arkansas,73.8843994351379,05,123,20.3
Saline County,Arkansas,77.0482054817958,05,125,16.9
Scott County,Arkansas,74.5707790005597,05,127,21.0
Searcy County,Arkansas,75.1238268500902,05,129,21.0
Sebastian County,Arkansas,75.7092329887143,05,131,18.9
Sevier County,Arkansas,75.1584300484602,05,133,13.3
Sharp County,Arkansas,73.7064588321029,05,135,24.9
Stone County,Arkansas,75.9079573999317,05,137,22.8
Union County,Arkansas,73.1884317266028,05,139,18.3
Van Buren County,Arkansas,75.8846063202913,05,141,23.4
Washington County,Arkansas,77.8764673272239,05,143,10.3
White County,Arkansas,75.2058017632126,05,145,16.1
Woodruff County,Arkansas,72.5933855023363,05,147,25.1
Yell County,Arkansas,74.3862031980413,05,149,19.7
Alameda County,California,82.2321212212249,06,001,9.6
Alpine County,California,78.482947059558,06,003,24.3
Amador County,California,79.561891234368,06,005,17.5
Butte County,California,77.4463014291207,06,007,17.2
Calaveras County,California,79.2676567852879,06,009,20.2
Colusa County,California,79.6638098917847,06,011,12.1
Contra Costa County,California,81.8386853778645,06,013,11.3
Del Norte County,California,75.224334811417,06,015,22.5
El Dorado County,California,81.4568941950275,06,017,13.2
Fresno County,California,78.4585384790352,06,019,13.1
Glenn County,California,77.3696017734108,06,021,17.5
Humboldt County,California,76.7555796001307,06,023,16.7
Imperial County,California,80.687419950022,06,025,14.4
Inyo County,California,79.1997381604918,06,027,13.7
Kern County,California,77.0176146674043,06,029,11.1
Kings County,California,79.3358097827458,06,031,12.1
Lake County,California,74.8494787542705,06,033,21.1
Lassen County,California,78.2363152612242,06,035,17.0
Los Angeles County,California,81.5691962087237,06,037,9.9
Madera County,California,78.9228141273425,06,039,12.7
Marin County,California,84.670403001944,06,041,9.2
Mariposa County,California,79.9818431293211,06,043,18.1
Mendocino County,California,78.6518521214148,06,045,16.7
Merced County,California,78.3750954459993,06,047,14.7
Modoc County,California,77.1077065159972,06,049,19.0
Mono County,California,84.9580737678398,06,051,7.3
Monterey County,California,81.9472905883429,06,053,8.9
Napa County,California,81.2829692549916,06,055,11.6
Nevada County,California,81.0166977108918,06,057,15.1
Orange County,California,82.5543904647591,06,059,8.6
Placer County,California,81.548378960557,06,061,10.9
Plumas County,California,78.2532986991761,06,063,20.1
Riverside County,California,80.3363218283084,06,065,11.5
Sacramento County,California,79.0940358645218,06,067,12.5
San Benito County,California,81.6550155032969,06,069,9.5
San Bernardino County,California,78.317187547423,06,071,11.0
San Diego County,California,81.6258744799118,06,073,9.8
San Francisco County,California,83.0357041460174,06,075,10.6
San Joaquin County,California,78.0359896860733,06,077,12.4
San Luis Obispo County,California,81.2020517524637,06,079,11.1
San Mateo County,California,84.1096902566921,06,081,8.4
Santa Barbara County,California,81.5801518841513,06,083,9.6
Santa Clara County,California,83.9917895786546,06,085,7.9
Santa Cruz County,California,82.0605857508508,06,087,10.5
Shasta County,California,75.806788638393,06,089,17.8
Sierra County,California,78.5719149965786,06,091,13.8
Siskiyou County,California,76.1862354494511,06,093,19.3
Solano County,California,79.6451278217147,06,095,12.3
Sonoma County,California,81.5679359147788,06,097,12.0
Stanislaus County,California,77.7149198210095,06,099,13.3
Sutter County,California,78.3763386412633,06,101,13.8
Tehama County,California,76.9976036049311,06,103,20.6
Trinity County,California,76.3456287127584,06,105,23.2
Tulare County,California,77.9753506021237,06,107,12.3
Tuolumne County,California,78.5900358024682,06,109,19.0
Ventura County,California,81.841533815838,06,111,10.9
Yolo County,California,80.9056635823379,06,113,9.9
Yuba County,California,75.8408352670592,06,115,16.6
Alamosa County,Colorado,75.8311324798402,08,003,19.3
Archuleta County,Colorado,81.6145512749235,08,007,13.9
Baca County,Colorado,77.0260592657618,08,009,21.9
Bent County,Colorado,75.8224499656267,08,011,25.9
Chaffee County,Colorado,81.2092487110115,08,015,17.2
Cheyenne County,Colorado,78.6333421783932,08,017,13.8
Clear Creek County,Colorado,82.3124381664765,08,019,9.4
Conejos County,Colorado,76.2573666245659,08,021,21.4
Costilla County,Colorado,76.8592293656779,08,023,30.4
Crowley County,Colorado,76.9641943181852,08,025,25.4
Custer County,Colorado,81.092782954152,08,027,20.6
Delta County,Colorado,77.8313362534641,08,029,18.0
Dolores County,Colorado,79.1893045710591,08,033,22.5
Douglas County,Colorado,83.4025879459957,08,035,6.5
Eagle County,Colorado,88.4392672602876,08,037,4.6
Elbert County,Colorado,81.6581733388672,08,039,9.9
El Paso County,Colorado,78.7742109882968,08,041,12.2
Fremont County,Colorado,77.0933471771635,08,043,18.6
Garfield County,Colorado,80.4969076123098,08,045,8.3
Gilpin County,Colorado,81.4969326961949,08,047,8.4
Grand County,Colorado,83.5333558735278,08,049,5.4
Gunnison County,Colorado,82.5366935871018,08,051,7.8
Huerfano County,Colorado,75.4892545704702,08,055,25.7
Jackson County,Colorado,79.4480965120346,08,057,6.2
Kiowa County,Colorado,77.3252924655834,08,061,15.2
Kit Carson County,Colorado,79.2392184006058,08,063,16.4
Lake County,Colorado,81.6061753881909,08,065,11.1
La Plata County,Colorado,81.6864546006773,08,067,8.8
Larimer County,Colorado,81.4508729730401,08,069,9.8
Las Animas County,Colorado,76.2626774559932,08,071,20.9
Lincoln County,Colorado,78.5091614921194,08,073,17.9
Logan County,Colorado,79.1781984236642,08,075,14.6
Mesa County,Colorado,78.3133657029401,08,077,14.7
Moffat County,Colorado,78.1807357406007,08,081,10.8
Montezuma County,Colorado,77.2643320455981,08,083,16.8
Montrose County,Colorado,79.379514628823,08,085,17.1
Morgan County,Colorado,78.04532580758,08,087,11.7
Otero County,Colorado,75.0071650698003,08,089,20.6
Ouray County,Colorado,83.8987068625614,08,091,11.8
Park County,Colorado,82.6462895795416,08,093,10.6
Phillips County,Colorado,80.1789952228355,08,095,11.5
Pitkin County,Colorado,90.704592150593,08,097,4.5
Prowers County,Colorado,76.7197991902101,08,099,17.2
Pueblo County,Colorado,76.2368027257113,08,101,19.3
Rio Blanco County,Colorado,78.6915559197346,08,103,10.2
Rio Grande County,Colorado,76.5723480456952,08,105,17.2
Routt County,Colorado,83.137600225356,08,107,5.7
Saguache County,Colorado,79.5112275070078,08,109,18.3
San Miguel County,Colorado,86.0178704274716,08,113,9.6
Sedgwick County,Colorado,77.5401451830135,08,115,15.9
Summit County,Colorado,91.044579954477,08,117,6.1
Teller County,Colorado,80.4232362556622,08,119,13.9
Washington County,Colorado,79.4007814134676,08,121,12.2
Yuma County,Colorado,78.8003703636188,08,125,13.4
Adams County,Colorado,80.2868507759135,08,001,10.7
Arapahoe County,Colorado,80.2868507759135,08,005,9.0
Boulder County,Colorado,80.2868507759135,08,013,8.3
Broomfield County,Colorado,80.2868507759135,08,014,8.3
Denver County,Colorado,80.2868507759135,08,031,9.6
Jefferson County,Colorado,80.2868507759135,08,059,9.9
Weld County,Colorado,80.2868507759135,08,123,10.2
Fairfield County,Connecticut,82.5946872177968,09,001,9.2
Hartford County,Connecticut,80.0972707575589,09,003,11.9
Litchfield County,Connecticut,80.2933334667025,09,005,10.8
Middlesex County,Connecticut,81.0203125170856,09,007,10.6
New Haven County,Connecticut,79.9816945680513,09,009,11.3
New London County,Connecticut,79.8089429093262,09,011,12.9
Tolland County,Connecticut,81.5167123037912,09,013,10.1
Windham County,Connecticut,78.7003951043393,09,015,14.1
Kent County,Delaware,77.1563248845642,10,001,14.2
New Castle County,Delaware,78.1368239340031,10,003,10.7
Sussex County,Delaware,78.4659649042153,10,005,13.8
Alachua County,Florida,78.280773345389,12,001,10.7
Baker County,Florida,74.8631741870423,12,003,17.3
Bay County,Florida,75.6776481016893,12,005,18.4
Bradford County,Florida,75.0591892268178,12,007,19.0
Brevard County,Florida,77.2150847771434,12,009,15.3
Broward County,Florida,80.3317307609575,12,011,11.1
Calhoun County,Florida,74.6772354135484,12,013,22.3
Charlotte County,Florida,80.03383445763,12,015,21.5
Citrus County,Florida,75.2399918924409,12,017,21.2
Clay County,Florida,77.188860994767,12,019,13.3
Collier County,Florida,84.595444361758,12,021,11.5
Columbia County,Florida,74.7773936232838,12,023,19.0
Miami-Dade County,Florida,80.9425605320856,12,086,10.2
DeSoto County,Florida,79.1444636027855,12,027,13.8
Dixie County,Florida,74.5575346674888,12,029,26.4
Duval County,Florida,75.6156823037129,12,031,13.5
Escambia County,Florida,74.9177305679025,12,033,15.0
Flagler County,Florida,78.664439632624,12,035,15.9
Franklin County,Florida,75.8945940583455,12,037,20.4
Gadsden County,Florida,75.1015247970268,12,039,19.8
Gilchrist County,Florida,76.5403282898351,12,041,20.1
Glades County,Florida,80.3593819027898,12,043,19.3
Gulf County,Florida,76.1867572155153,12,045,19.1
Hamilton County,Florida,75.20250890304,12,047,22.8
Hardee County,Florida,78.2845185703614,12,049,10.8
Hendry County,Florida,76.8823667223551,12,051,13.2
Hernando County,Florida,76.4093994711709,12,053,19.1
Highlands County,Florida,78.1939608334697,12,055,19.8
Hillsborough County,Florida,78.5404586829892,12,057,11.6
Holmes County,Florida,73.2084521422928,12,059,24.0
Indian River County,Florida,79.907697163534,12,061,16.7
Jackson County,Florida,74.6358394836189,12,063,19.8
Jefferson County,Florida,76.8845831245796,12,065,16.5
Lafayette County,Florida,76.6581957641507,12,067,18.0
Lake County,Florida,78.2864216245771,12,069,16.3
Lee County,Florida,81.3739581271401,12,071,13.8
Leon County,Florida,79.030358739809,12,073,11.1
Levy County,Florida,74.6229846286448,12,075,20.0
Liberty County,Florida,75.7518222351327,12,077,21.9
Madison County,Florida,74.8388882546744,12,079,20.5
Manatee County,Florida,80.1910648097431,12,081,14.1
Marion County,Florida,75.9623016853633,12,083,18.2
Martin County,Florida,81.1568203073339,12,085,14.9
Monroe County,Florida,79.6005221210364,12,087,11.7
Nassau County,Florida,77.2759370761858,12,089,15.8
Okaloosa County,Florida,77.3889246282456,12,091,14.8
Okeechobee County,Florida,75.9457097645825,12,093,15.2
Orange County,Florida,79.5269054955863,12,095,10.6
Osceola County,Florida,78.8810610995138,12,097,14.5
Palm Beach County,Florida,81.3829024333588,12,099,12.3
Pasco County,Florida,77.098851734423,12,101,16.5
Pinellas County,Florida,78.2987745279353,12,103,15.1
Polk County,Florida,77.7020921564756,12,105,15.5
Putnam County,Florida,73.635254100304,12,107,18.2
Saint Johns County,Florida,80.5809996179964,12,109,11.5
Saint Lucie County,Florida,79.2977622741057,12,111,15.8
Santa Rosa County,Florida,77.3193290919895,12,113,16.2
Sarasota County,Florida,80.9350383168968,12,115,16.0
Seminole County,Florida,79.8402255658359,12,117,10.1
Sumter County,Florida,80.4806227609364,12,119,20.2
Suwannee County,Florida,75.2150765992341,12,121,18.0
Taylor County,Florida,74.7442078191434,12,123,22.5
Union County,Florida,67.8919995760419,12,125,16.8
Volusia County,Florida,76.2981063923098,12,127,16.7
Wakulla County,Florida,76.2724538807062,12,129,16.4
Walton County,Florida,77.3545360296973,12,131,16.6
Washington County,Florida,72.8960237830396,12,133,19.3
Appling County,Georgia,74.0084605365612,13,001,20.2
Atkinson County,Georgia,73.4390527880296,13,003,14.6
Bacon County,Georgia,72.5321912655798,13,005,17.8
Baker County,Georgia,77.1226977730015,13,007,21.3
Baldwin County,Georgia,75.885623089803,13,009,15.4
Banks County,Georgia,76.5761341138381,13,011,16.4
Barrow County,Georgia,76.4531171029684,13,013,13.0
Bartow County,Georgia,76.2159238347912,13,015,14.8
Ben Hill County,Georgia,72.9889666208592,13,017,18.0
Berrien County,Georgia,74.439001968007,13,019,20.2
Bibb County,Georgia,73.6270349335338,13,021,15.5
Bleckley County,Georgia,75.6767775470061,13,023,17.2
Brantley County,Georgia,74.2535435032282,13,025,23.8
Brooks County,Georgia,74.7365498889901,13,027,18.6
Bryan County,Georgia,75.9644967649488,13,029,11.4
Bulloch County,Georgia,76.8294282235662,13,031,12.5
Burke County,Georgia,73.7095855538626,13,033,15.3
Butts County,Georgia,73.7983435794374,13,035,16.9
Calhoun County,Georgia,74.4920251011037,13,037,17.0
Camden County,Georgia,77.8072993071322,13,039,12.1
Candler County,Georgia,73.3882320641854,13,043,19.2
Carroll County,Georgia,75.1232865117092,13,045,15.2
Catoosa County,Georgia,77.5910778852834,13,047,14.0
Charlton County,Georgia,76.3359105899648,13,049,18.7
Chatham County,Georgia,77.490102718577,13,051,13.5
Chattahoochee County,Georgia,77.0231781510592,13,053,12.5
Chattooga County,Georgia,73.4170928402242,13,055,18.1
Cherokee County,Georgia,79.8435454979864,13,057,9.9
Clarke County,Georgia,78.6318913183763,13,059,10.5
Clay County,Georgia,73.9493638446073,13,061,21.7
Clayton County,Georgia,76.5508691906889,13,063,10.6
Clinch County,Georgia,72.4247234455474,13,065,16.3
Cobb County,Georgia,80.2177640812596,13,067,8.5
Coffee County,Georgia,74.4295289710942,13,069,18.8
Colquitt County,Georgia,74.0379120198679,13,071,14.5
Columbia County,Georgia,79.8999326107972,13,073,11.2
Cook County,Georgia,74.3093937088097,13,075,17.5
Coweta County,Georgia,78.3648849335877,13,077,10.8
Crawford County,Georgia,75.6561888490683,13,079,16.9
Crisp County,Georgia,74.6124945203586,13,081,18.4
Dade County,Georgia,75.0924029502412,13,083,16.3
Dawson County,Georgia,77.8849206643038,13,085,15.0
Decatur County,Georgia,73.7088647064192,13,087,17.2
DeKalb County,Georgia,79.8238732978234,13,089,10.6
Dodge County,Georgia,75.1775460945016,13,091,18.4
Dooly County,Georgia,78.2138090959277,13,093,18.3
Dougherty County,Georgia,74.3569712282889,13,095,15.3
Douglas County,Georgia,77.3960194322986,13,097,11.6
Early County,Georgia,73.2371558935003,13,099,16.0
Echols County,Georgia,77.0599023389516,13,101,11.2
Effingham County,Georgia,76.3909397434421,13,103,12.9
Elbert County,Georgia,74.195571787566,13,105,19.7
Emanuel County,Georgia,72.6318304928933,13,107,18.1
Evans County,Georgia,74.7149148196397,13,109,16.9
Fannin County,Georgia,77.0727670886557,13,111,23.0
Fayette County,Georgia,80.7682924448471,13,113,9.3
Floyd County,Georgia,75.0581302260989,13,115,15.3
Forsyth County,Georgia,81.674209211008,13,117,7.2
Franklin County,Georgia,73.8725746030686,13,119,21.5
Fulton County,Georgia,78.867596065924,13,121,10.0
Gilmer County,Georgia,77.9602337939812,13,123,20.5
Glascock County,Georgia,73.394960919002,13,125,14.3
Glynn County,Georgia,77.1335060809149,13,127,16.2
Gordon County,Georgia,75.4706012819472,13,129,18.2
Grady County,Georgia,75.5518347037765,13,131,19.5
Greene County,Georgia,77.7512340805882,13,133,15.5
Gwinnett County,Georgia,80.607617253456,13,135,7.2
Habersham County,Georgia,77.3582989596064,13,137,15.9
Hall County,Georgia,78.8960139014754,13,139,11.1
Hancock County,Georgia,75.3903158501469,13,141,17.7
Haralson County,Georgia,73.2656065600872,13,143,17.5
Harris County,Georgia,79.295601776848,13,145,18.5
Hart County,Georgia,76.8248765683369,13,147,18.4
Heard County,Georgia,74.7199641903674,13,149,19.4
Henry County,Georgia,77.181720507416,13,151,10.7
Houston County,Georgia,77.3383420736599,13,153,12.5
Irwin County,Georgia,74.8751692688427,13,155,21.9
Jackson County,Georgia,76.2832039775414,13,157,13.7
Jasper County,Georgia,75.7749845245545,13,159,18.1
Jeff Davis County,Georgia,73.2268902139052,13,161,17.7
Jefferson County,Georgia,72.5992407627131,13,163,15.6
Jenkins County,Georgia,73.3841998147857,13,165,14.2
Johnson County,Georgia,76.0287103065729,13,167,19.3
Jones County,Georgia,77.8374428106185,13,169,14.8
Lamar County,Georgia,74.3508731721163,13,171,13.8
Lanier County,Georgia,75.3835180951939,13,173,19.3
Laurens County,Georgia,74.4577525082559,13,175,12.4
Lee County,Georgia,76.6914056662725,13,177,10.0
Liberty County,Georgia,76.3021109268363,13,179,13.4
Lincoln County,Georgia,76.1794942621868,13,181,18.2
Long County,Georgia,78.4618707054974,13,183,16.3
Lowndes County,Georgia,75.8358035603923,13,185,12.1
Lumpkin County,Georgia,77.7101053772346,13,187,16.3
McDuffie County,Georgia,73.7738203200434,13,189,13.0
McIntosh County,Georgia,79.7108099163917,13,191,27.1
Macon County,Georgia,73.7317039474685,13,193,19.1
Madison County,Georgia,75.840925411624,13,195,18.1
Marion County,Georgia,76.2946453096112,13,197,17.2
Meriwether County,Georgia,74.4847266846964,13,199,20.9
Miller County,Georgia,73.0734881813492,13,201,12.5
Mitchell County,Georgia,74.0885588705262,13,205,17.0
Monroe County,Georgia,77.4835874483883,13,207,14.9
Montgomery County,Georgia,75.0403904752512,13,209,19.0
Morgan County,Georgia,77.3359048444416,13,211,15.8
Murray County,Georgia,74.7984649731187,13,213,15.2
Muscogee County,Georgia,74.0661905409308,13,215,18.1
Newton County,Georgia,76.0968360464372,13,217,15.1
Oconee County,Georgia,80.9648939245257,13,219,9.5
Oglethorpe County,Georgia,77.6363584185965,13,221,16.8
Paulding County,Georgia,78.486927311261,13,223,10.1
Peach County,Georgia,73.7058392267195,13,225,15.6
Pickens County,Georgia,77.0978924166854,13,227,15.9
Pierce County,Georgia,74.2596164151985,13,229,19.3
Pike County,Georgia,75.4989917474708,13,231,13.2
Polk County,Georgia,73.2748803672115,13,233,16.4
Pulaski County,Georgia,77.6666373683592,13,235,20.5
Putnam County,Georgia,77.4061176357782,13,237,14.3
Quitman County,Georgia,75.3250351764225,13,239,24.4
Rabun County,Georgia,76.9944546576478,13,241,17.9
Randolph County,Georgia,75.026721238403,13,243,17.4
Richmond County,Georgia,73.6808084874035,13,245,16.7
Rockdale County,Georgia,77.6033875048851,13,247,9.5
Schley County,Georgia,76.9446934911318,13,249,17.1
Screven County,Georgia,74.5319377680867,13,251,16.8
Seminole County,Georgia,73.47471546866,13,253,16.2
Spalding County,Georgia,74.2476675171375,13,255,16.4
Stephens County,Georgia,73.3838160708526,13,257,19.7
Stewart County,Georgia,74.2587420264588,13,259,22.3
Sumter County,Georgia,74.3351110608217,13,261,13.7
Talbot County,Georgia,74.577238903621,13,263,19.8
Taliaferro County,Georgia,74.243707404434,13,265,22.5
Tattnall County,Georgia,74.8428091996403,13,267,17.7
