County,State,mean_life_expectancy,State_FIPS,County_FIPS,Median Age
Benton County,Arkansas,79.4131254615631,05,007,34.5
Boone County,Arkansas,76.6663467075271,05,009,41.4
Bradley County,Arkansas,73.9859323033062,05,011,40.2
Calhoun County,Arkansas,75.1966838611123,05,013,42.4
Carroll County,Arkansas,77.1456627462798,05,015,44.2
Chicot County,Arkansas,73.5503670607376,05,017,42.5
Clark County,Arkansas,75.3636248057106,05,019,33.6
Clay County,Arkansas,73.5541248348346,05,021,42.9
Cleburne County,Arkansas,76.6484655444559,05,023,46.4
Cleveland County,Arkansas,75.4329581994689,05,025,40.2
Columbia County,Arkansas,74.6943200936668,05,027,36.1
Conway County,Arkansas,75.4217186668425,05,029,40.4
Craighead County,Arkansas,76.2385197940168,05,031,33.1
Crawford County,Arkansas,75.686590417868,05,033,38.0
Crittenden County,Arkansas,72.9401979057682,05,035,33.8
Cross County,Arkansas,73.6904796145758,05,037,39.4
Dallas County,Arkansas,73.8830173656563,05,039,42.9
Desha County,Arkansas,73.3796780724682,05,041,39.1
Drew County,Arkansas,75.6904108101973,05,043,37.5
Faulkner County,Arkansas,76.9619590048966,05,045,31.4
Franklin County,Arkansas,75.1411510297566,05,047,40.8
Fulton County,Arkansas,75.5379827898365,05,049,46.9
Garland County,Arkansas,75.2570452248396,05,051,44.2
Grant County,Arkansas,75.6239859974003,05,053,39.4
Greene County,Arkansas,74.5331879883689,05,055,37.8
Hempstead County,Arkansas,75.2479397463284,05,057,38.6
Hot Spring County,Arkansas,75.1772664311386,05,059,39.6
Howard County,Arkansas,74.4354857160435,05,061,37.1
Independence County,Arkansas,75.5694409162232,05,063,38.0
Izard County,Arkansas,75.5978482588757,05,065,47.3
Jackson County,Arkansas,73.5653078755239,05,067,40.9
Jefferson County,Arkansas,74.0215400823225,05,069,37.2
Johnson County,Arkansas,76.2289901089355,05,071,37.6
Lafayette County,Arkansas,74.0803351638509,05,073,42.9
Lawrence County,Arkansas,74.0776121126324,05,075,39.8
Lee County,Arkansas,73.6384894525123,05,077,39.8
Lincoln County,Arkansas,75.7083515136591,05,079,37.7
Little River County,Arkansas,74.5062487093194,05,081,41.1
Logan County,Arkansas,74.7473624038807,05,083,41.7
Lonoke County,Arkansas,75.3274694088,05,085,35.5
Madison County,Arkansas,75.4443972571463,05,087,40.4
Marion County,Arkansas,75.5766832392705,05,089,50.2
Miller County,Arkansas,74.9195793668671,05,091,37.5
Mississippi County,Arkansas,72.4512758602153,05,093,34.6
Monroe County,Arkansas,73.4013992674969,05,095,43.5
Montgomery County,Arkansas,76.4915849838952,05,097,46.4
Nevada County,Arkansas,74.4070397931647,05,099,39.6
Newton County,Arkansas,76.7236904779886,05,101,46.6
Ouachita County,Arkansas,73.5602288399878,05,103,42.6
Perry County,Arkansas,75.7867157635549,05,105,42.1
Phillips County,Arkansas,71.4555730297611,05,107,37.3
Pike County,Arkansas,75.1998731244048,05,109,39.8
Poinsett County,Arkansas,71.7720566278047,05,111,39.6
Polk County,Arkansas,75.3955378678301,05,113,43.4
Pope County,Arkansas,76.7352799147921,05,115,35.3
Prairie County,Arkansas,75.5176517686095,05,117,44.6
Pulaski County,Arkansas,76.1575310521574,05,119,36.0
Randolph County,Arkansas,75.2458406261395,05,121,41.3
Saint Francis County,Arkansas,74.4871340952185,05,123,36.9
Saline County,Arkansas,77.5497685849276,05,125,38.7
Scott County,Arkansas,75.5110878403514,05,127,41.4
Searcy County,Arkansas,75.9381330654498,05,129,47.1
Sebastian County,Arkansas,76.0469771550994,05,131,36.6
Sevier County,Arkansas,74.8583636542812,05,133,33.9
Sharp County,Arkansas,74.6544772475062,05,135,46.4
Stone County,Arkansas,76.7418160917448,05,137,46.9
Union County,Arkansas,73.63000792895,05,139,39.8
Van Buren County,Arkansas,76.5025977068175,05,141,46.5
Washington County,Arkansas,77.957927833903,05,143,31.1
White County,Arkansas,75.5251056199117,05,145,36.1
Woodruff County,Arkansas,72.9655981133841,05,147,43.3
Yell County,Arkansas,74.9132237672603,05,149,38.4
Alameda County,California,81.5917114810884,06,001,36.6
Alpine County,California,79.0422582403089,06,003,43.2
Amador County,California,79.6400674957988,06,005,48.4
Butte County,California,77.9504183062094,06,007,37.3
Calaveras County,California,79.766911503313,06,009,49.5
Colusa County,California,80.2484154818506,06,011,33.9
Contra Costa County,California,81.4778692927033,06,013,38.5
Del Norte County,California,76.1007646914602,06,015,38.8
El Dorado County,California,81.2227109098631,06,017,43.5
Fresno County,California,78.6072763856699,06,019,30.7
Glenn County,California,78.2580621580513,06,021,36.5
Humboldt County,California,77.0221429576216,06,023,37.5
Imperial County,California,80.8354361564269,06,025,31.8
Inyo County,California,79.0510291877403,06,027,45.7
Kern County,California,77.3504807936172,06,029,30.7
Kings County,California,79.3200585808375,06,031,31.2
Lake County,California,75.3412286352568,06,033,44.8
Lassen County,California,78.6032160433732,06,035,37.4
Los Angeles County,California,81.3931910172072,06,037,34.8
Madera County,California,79.0617574128858,06,039,33.2
Marin County,California,83.9987058251874,06,041,44.6
Mariposa County,California,80.3397686208848,06,043,49.4
Mendocino County,California,78.5047347417068,06,045,41.7
Merced County,California,78.7733024594045,06,047,29.7
Modoc County,California,78.0080317178538,06,049,46.8
Mono County,California,85.1659002950784,06,051,37.1
Monterey County,California,81.9282367512405,06,053,32.9
Napa County,California,80.9974023370734,06,055,39.6
Nevada County,California,81.2238413839233,06,057,48.0
Orange County,California,82.3381698987313,06,059,36.2
Placer County,California,81.3519443760521,06,061,40.2
Plumas County,California,78.6309565054377,06,063,49.4
Riverside County,California,80.3223261105413,06,065,33.7
Sacramento County,California,79.087098442518,06,067,34.9
San Benito County,California,81.7579081627153,06,069,34.1
San Bernardino County,California,78.5304101343015,06,071,31.7
San Diego County,California,81.381513680784,06,073,34.7
San Francisco County,California,82.2907833071001,06,075,38.5
San Joaquin County,California,78.2185152530442,06,077,32.6
San Luis Obispo County,California,81.2529396083554,06,079,39.3
San Mateo County,California,83.3198113420037,06,081,39.3
Santa Barbara County,California,81.7611625675103,06,083,33.6
Santa Clara County,California,83.4512906349108,06,085,36.2
Santa Cruz County,California,81.4994501605179,06,087,36.9
Shasta County,California,76.2592677020202,06,089,41.9
Sierra County,California,79.0693360309628,06,091,51.6
Siskiyou County,California,77.0506509825431,06,093,47.0
Solano County,California,79.5796693603122,06,095,37.0
Sonoma County,California,81.0959514185712,06,097,39.8
Stanislaus County,California,77.9966459626766,06,099,32.8
Sutter County,California,78.8028495993562,06,101,34.5
Tehama County,California,77.8073761870042,06,103,39.6
Trinity County,California,77.2394672692165,06,105,49.2
Tulare County,California,78.1621928874685,06,107,29.7
Tuolumne County,California,78.9835377745994,06,109,48.0
Ventura County,California,81.6875318574591,06,111,36.4
Yolo County,California,80.6033247823694,06,113,30.5
Yuba County,California,75.9900621771567,06,115,31.9
Alamosa County,Colorado,76.5253065439348,08,003,32.2
Archuleta County,Colorado,81.6588311692978,08,007,47.5
Baca County,Colorado,77.1665962604476,08,009,47.8
Bent County,Colorado,76.0996500723774,08,011,40.6
Chaffee County,Colorado,81.2888183966825,08,015,47.3
Cheyenne County,Colorado,79.6787964950269,08,017,41.0
Clear Creek County,Colorado,81.7335004616299,08,019,45.8
Conejos County,Colorado,77.1707216337593,08,021,38.2
Costilla County,Colorado,77.5771561730912,08,023,47.4
Crowley County,Colorado,77.7424458507641,08,025,39.4
Custer County,Colorado,81.2346414969819,08,027,52.7
Delta County,Colorado,78.5735024481401,08,029,46.1
Dolores County,Colorado,79.7274007984304,08,033,46.5
Douglas County,Colorado,83.2883520746022,08,035,36.7
Eagle County,Colorado,87.6811696488415,08,037,34.2
Elbert County,Colorado,81.2231670778837,08,039,43.0
El Paso County,Colorado,79.5323718299468,08,041,34.1
Fremont County,Colorado,77.401443466878,08,043,43.0
Garfield County,Colorado,80.5775115723691,08,045,34.7
Gilpin County,Colorado,80.1710618635178,08,047,44.5
Grand County,Colorado,83.3265673182264,08,049,41.1
Gunnison County,Colorado,82.6027311894569,08,051,34.3
Huerfano County,Colorado,77.1399736736607,08,055,51.5
Jackson County,Colorado,79.7085644527226,08,057,46.5
Kiowa County,Colorado,77.8601759342113,08,061,40.1
Kit Carson County,Colorado,79.0944013468693,08,063,39.0
Lake County,Colorado,81.0498353165359,08,065,34.2
La Plata County,Colorado,81.8277265322899,08,067,37.7
Larimer County,Colorado,81.58596821444,08,069,35.4
Las Animas County,Colorado,76.9973401027059,08,071,44.2
Lincoln County,Colorado,79.5129284860621,08,073,39.4
Logan County,Colorado,79.1620787101406,08,075,37.5
Mesa County,Colorado,78.7344198151753,08,077,37.9
Moffat County,Colorado,78.2778338045996,08,081,36.4
Montezuma County,Colorado,77.4000139860387,08,083,42.8
Montrose County,Colorado,79.7082086300651,08,085,42.6
Morgan County,Colorado,78.2841712582528,08,087,36.0
Otero County,Colorado,75.8194915308757,08,089,40.6
Ouray County,Colorado,84.0367735438764,08,091,52.4
Park County,Colorado,82.7617966335922,08,093,47.0
Phillips County,Colorado,79.9038937806825,08,095,40.8
Pitkin County,Colorado,89.2148113345019,08,097,43.0
Prowers County,Colorado,76.947667951012,08,099,36.7
Pueblo County,Colorado,77.1926685376495,08,101,38.8
Rio Blanco County,Colorado,79.2290211134147,08,103,36.8
Rio Grande County,Colorado,77.0914583603793,08,105,41.8
Routt County,Colorado,82.8198966836207,08,107,39.4
Saguache County,Colorado,80.0773699156685,08,109,43.8
San Miguel County,Colorado,85.4017699191143,08,113,38.2
Sedgwick County,Colorado,78.0283208874296,08,115,47.9
Summit County,Colorado,89.7522295499671,08,117,36.3
Teller County,Colorado,80.3394209122523,08,119,47.4
Washington County,Colorado,80.1606316629255,08,121,44.2
Yuma County,Colorado,78.96416336077,08,125,36.3
Adams County,Colorado,80.0651767732563,08,001,32.4
Arapahoe County,Colorado,80.0651767732563,08,005,35.7
Boulder County,Colorado,80.0651767732563,08,013,35.6
Broomfield County,Colorado,80.0651767732563,08,014,36.5
Denver County,Colorado,80.0651767732563,08,031,33.7
Jefferson County,Colorado,80.0651767732563,08,059,40.2
Weld County,Colorado,80.0651767732563,08,123,33.2
Fairfield County,Connecticut,82.301705240952,09,001,39.5
Hartford County,Connecticut,80.4548248084037,09,003,39.9
Litchfield County,Connecticut,80.6628977925182,09,005,44.4
Middlesex County,Connecticut,81.2585082923244,09,007,43.0
New Haven County,Connecticut,80.1714609156176,09,009,39.1
New London County,Connecticut,80.2094373307813,09,011,40.3
Tolland County,Connecticut,81.7620728696427,09,013,38.3
Windham County,Connecticut,79.163911230996,09,015,39.4
Kent County,Delaware,77.680533585267,10,001,36.6
New Castle County,Delaware,78.7619523510733,10,003,37.0
Sussex County,Delaware,78.5594945558292,10,005,45.4
Alachua County,Florida,78.8298810026242,12,001,30.1
Baker County,Florida,75.4892601979674,12,003,35.9
Bay County,Florida,76.578868950999,12,005,39.3
Bradford County,Florida,76.16409529862,12,007,38.7
Brevard County,Florida,78.4425501968517,12,009,45.5
Broward County,Florida,80.4620012985353,12,011,39.7
Calhoun County,Florida,75.6805027177076,12,013,40.1
Charlotte County,Florida,80.5284884291945,12,015,55.9
Citrus County,Florida,76.6303920419913,12,017,54.2
Clay County,Florida,77.9071530419271,12,019,38.2
Collier County,Florida,84.1356415947054,12,021,47.1
Columbia County,Florida,75.3682367841856,12,023,40.0
Miami-Dade County,Florida,81.0153198340328,12,086,38.2
DeSoto County,Florida,79.8382749231809,12,027,38.5
Dixie County,Florida,75.3236310527,12,029,44.9
Duval County,Florida,76.3973175449474,12,031,35.7
Escambia County,Florida,76.0503325549759,12,033,37.5
Flagler County,Florida,79.6435125265413,12,035,47.7
Franklin County,Florida,76.5862795016104,12,037,42.3
Gadsden County,Florida,75.7723355129187,12,039,38.9
Gilchrist County,Florida,76.9222692782641,12,041,39.7
Glades County,Florida,80.9184507641511,12,043,43.4
Gulf County,Florida,76.5611850023736,12,045,43.8
Hamilton County,Florida,76.3520765176585,12,047,38.4
Hardee County,Florida,78.9865404932149,12,049,33.1
Hendry County,Florida,77.8725077937341,12,051,32.6
Hernando County,Florida,77.317775606079,12,053,47.8
Highlands County,Florida,79.3484213930435,12,055,51.4
Hillsborough County,Florida,78.5475087992222,12,057,36.1
Holmes County,Florida,74.6560552672803,12,059,42.1
Indian River County,Florida,80.5178175495238,12,061,48.9
Jackson County,Florida,75.8797991925372,12,063,40.4
Jefferson County,Florida,77.0437609758506,12,065,43.6
Lafayette County,Florida,76.9155975368524,12,067,33.8
Lake County,Florida,79.3669380965877,12,069,45.7
Lee County,Florida,81.48918540059,12,071,45.5
Leon County,Florida,79.5206843591431,12,073,29.6
Levy County,Florida,75.293614646898,12,075,45.2
Liberty County,Florida,76.6292768578788,12,077,38.2
Madison County,Florida,75.4607942901121,12,079,40.2
Manatee County,Florida,80.629206729324,12,081,45.6
Marion County,Florida,77.3074938351339,12,083,47.4
Martin County,Florida,81.5922174449279,12,085,49.8
Monroe County,Florida,79.5108728887751,12,087,46.4
Nassau County,Florida,77.684803704205,12,089,43.1
Okaloosa County,Florida,78.0416688252663,12,091,37.7
Okeechobee County,Florida,76.6699650326857,12,093,39.0
Orange County,Florida,79.8154001540693,12,095,33.7
Osceola County,Florida,79.4491938069285,12,097,35.4
Palm Beach County,Florida,81.8755936100244,12,099,43.5
Pasco County,Florida,77.8111203152222,12,101,43.8
Pinellas County,Florida,78.7254861652934,12,103,46.3
Polk County,Florida,78.4014520540943,12,105,39.8
Putnam County,Florida,74.9284440829679,12,107,43.2
Saint Johns County,Florida,80.9790544901203,12,109,42.2
Saint Lucie County,Florida,79.7006582491651,12,111,42.5
Santa Rosa County,Florida,78.143723059504,12,113,39.2
Sarasota County,Florida,81.4263592751882,12,115,52.6
Seminole County,Florida,80.4715917278167,12,117,38.3
Sumter County,Florida,81.1782867363371,12,119,63.0
Suwannee County,Florida,75.6945004062578,12,121,42.2
Taylor County,Florida,75.9658571048214,12,123,41.2
Union County,Florida,69.1725317253423,12,125,39.8
Volusia County,Florida,77.5191900530103,12,127,45.3
Wakulla County,Florida,76.7127120388798,12,129,39.5
Walton County,Florida,77.5888126252622,12,131,43.0
Washington County,Florida,74.6847848509577,12,133,40.8
Appling County,Georgia,74.9779197790545,13,001,38.8
Atkinson County,Georgia,73.8885246731924,13,003,34.2
Bacon County,Georgia,73.4867519673095,13,005,35.7
Baker County,Georgia,77.6880210275248,13,007,41.9
Baldwin County,Georgia,76.4917363724128,13,009,34.2
Banks County,Georgia,77.1087292269939,13,011,38.2
Barrow County,Georgia,76.5278828675982,13,013,33.6
Bartow County,Georgia,76.2568424918217,13,015,36.7
Ben Hill County,Georgia,73.7556677496527,13,017,38.0
Berrien County,Georgia,75.4235665257949,13,019,37.9
Bibb County,Georgia,73.9452638839029,13,021,35.5
Bleckley County,Georgia,76.0719969810564,13,023,38.7
Brantley County,Georgia,74.7217910618662,13,025,37.9
Brooks County,Georgia,75.3616358192966,13,027,40.6
Bryan County,Georgia,76.3338879857695,13,029,36.1
Bulloch County,Georgia,77.0224181477753,13,031,25.8
Burke County,Georgia,73.7080288955286,13,033,35.5
Butts County,Georgia,74.2120351680728,13,035,38.2
Calhoun County,Georgia,75.1479380356581,13,037,38.8
Camden County,Georgia,77.8798137924963,13,039,31.6
Candler County,Georgia,74.1222922738895,13,043,37.6
Carroll County,Georgia,75.2649452209793,13,045,33.6
Catoosa County,Georgia,77.9156612399569,13,047,38.7
Charlton County,Georgia,76.8362263333628,13,049,38.0
Chatham County,Georgia,77.4078205118083,13,051,34.0
Chattahoochee County,Georgia,77.4188164396145,13,053,23.8
Chattooga County,Georgia,74.0233955840073,13,055,39.5
Cherokee County,Georgia,79.763757077708,13,057,36.4
Clarke County,Georgia,78.2517597517476,13,059,25.9
Clay County,Georgia,74.7723471601889,13,061,42.7
Clayton County,Georgia,76.6132722992256,13,063,31.7
Clinch County,Georgia,73.643481993455,13,065,37.1
Cobb County,Georgia,79.911245368843,13,067,35.4
Coffee County,Georgia,75.1171865624406,13,069,34.8
Colquitt County,Georgia,75.1185273657102,13,071,34.9
Columbia County,Georgia,79.9378574714085,13,073,36.9
Cook County,Georgia,74.868413227934,13,075,36.5
Coweta County,Georgia,78.1474782080004,13,077,36.7
Crawford County,Georgia,76.4243544922846,13,079,40.8
Crisp County,Georgia,75.604155103377,13,081,37.7
Dade County,Georgia,75.6024112493452,13,083,39.2
Dawson County,Georgia,77.8272718341701,13,085,40.5
Decatur County,Georgia,74.590943827003,13,087,37.0
DeKalb County,Georgia,79.2158140499573,13,089,34.3
Dodge County,Georgia,75.5425266340757,13,091,39.5
Dooly County,Georgia,78.0908779265121,13,093,40.7
Dougherty County,Georgia,75.0665944233774,13,095,33.4
Douglas County,Georgia,77.1251788314126,13,097,35.0
Early County,Georgia,74.1211600263603,13,099,39.0
Echols County,Georgia,77.4800040431731,13,101,32.4
Effingham County,Georgia,76.6807853160528,13,103,35.4
Elbert County,Georgia,74.994719658394,13,105,41.2
Emanuel County,Georgia,73.1490169283872,13,107,36.9
Evans County,Georgia,75.0916714641789,13,109,35.9
Fannin County,Georgia,76.5729956410993,13,111,48.4
Fayette County,Georgia,80.7760993114054,13,113,42.3
Floyd County,Georgia,75.5360393828392,13,115,37.7
Forsyth County,Georgia,81.1621661366037,13,117,37.0
Franklin County,Georgia,74.539746357532,13,119,40.0
Fulton County,Georgia,78.2466293954694,13,121,34.2
Gilmer County,Georgia,78.3285795455149,13,123,42.9
Glascock County,Georgia,74.4093464008475,13,125,39.4
Glynn County,Georgia,77.090338827007,13,127,40.0
Gordon County,Georgia,75.8777609472671,13,129,36.0
Grady County,Georgia,76.0273569976464,13,131,38.2
Greene County,Georgia,77.7414911540533,13,133,46.4
Gwinnett County,Georgia,80.3377205482278,13,135,33.8
Habersham County,Georgia,77.7664591639441,13,137,38.6
Hall County,Georgia,78.8423446598875,13,139,34.5
Hancock County,Georgia,76.1179496302772,13,141,42.1
Haralson County,Georgia,73.6407834485258,13,143,39.2
Harris County,Georgia,79.4813060339318,13,145,42.3
Hart County,Georgia,77.0693619469153,13,147,42.8
Heard County,Georgia,75.3100668615891,13,149,39.4
Henry County,Georgia,77.2270440243086,13,151,35.5
Houston County,Georgia,77.6193132329139,13,153,34.4
Irwin County,Georgia,75.5407385290799,13,155,37.2
Jackson County,Georgia,76.1224253591681,13,157,36.8
Jasper County,Georgia,76.4760822218681,13,159,37.7
Jeff Davis County,Georgia,73.5960389400029,13,161,35.7
Jefferson County,Georgia,73.2175880700057,13,163,38.1
Jenkins County,Georgia,74.2947516934314,13,165,38.6
Johnson County,Georgia,76.5217089511221,13,167,40.2
Jones County,Georgia,78.1776706001903,13,169,39.1
Lamar County,Georgia,74.9908744287588,13,171,38.2
Lanier County,Georgia,75.5473722896026,13,173,32.7
Laurens County,Georgia,74.9937502841476,13,175,38.0
Lee County,Georgia,77.5360123381794,13,177,35.9
Liberty County,Georgia,77.0173224716006,13,179,27.6
Lincoln County,Georgia,76.1252505636201,13,181,45.2
Long County,Georgia,78.1786437705502,13,183,30.2
Lowndes County,Georgia,76.2377961783429,13,185,29.8
Lumpkin County,Georgia,78.0996066601956,13,187,36.1
McDuffie County,Georgia,74.5072516293479,13,189,38.5
McIntosh County,Georgia,79.4950677588258,13,191,43.5
Macon County,Georgia,74.3906529377592,13,193,38.9
Madison County,Georgia,75.8325465241539,13,195,38.8
Marion County,Georgia,76.7627012692049,13,197,41.2
Meriwether County,Georgia,74.9788050638371,13,199,41.6
Miller County,Georgia,74.2177122466892,13,201,41.2
Mitchell County,Georgia,75.1898689001318,13,205,37.2
Monroe County,Georgia,77.233986566549,13,207,40.7
Montgomery County,Georgia,75.4452929856624,13,209,36.8
Morgan County,Georgia,77.6218116292189,13,211,41.3
Murray County,Georgia,74.8836117904355,13,213,36.5
Muscogee County,Georgia,75.1089348482962,13,215,33.4
Newton County,Georgia,76.3383600112654,13,217,34.6
Oconee County,Georgia,80.5411247556966,13,219,39.1
Oglethorpe County,Georgia,78.2764908663064,13,221,41.4
Paulding County,Georgia,78.4312674493041,13,223,34.0
Peach County,Georgia,74.3399933464774,13,225,33.9
Pickens County,Georgia,77.4333827116229,13,227,41.7
Pierce County,Georgia,75.1463006448415,13,229,38.6
Pike County,Georgia,76.248270265237,13,231,38.3
Polk County,Georgia,73.7563254899217,13,233,36.9
Pulaski County,Georgia,77.5407856910735,13,235,43.3
Putnam County,Georgia,77.2505144611178,13,237,44.8
Quitman County,Georgia,75.704949473663,13,239,40.4
Rabun County,Georgia,77.7200499260469,13,241,45.4
Randolph County,Georgia,76.1922253365109,13,243,39.2
Richmond County,Georgia,74.1909796753774,13,245,33.1
Rockdale County,Georgia,78.0306024210707,13,247,37.2
Schley County,Georgia,77.5381182315156,13,249,37.7
Screven County,Georgia,74.8408399989457,13,251,39.7
Seminole County,Georgia,74.7722620916714,13,253,43.7
Spalding County,Georgia,74.4848966724655,13,255,37.1
Stephens County,Georgia,73.8081356220611,13,257,40.5
Stewart County,Georgia,74.7485703955724,13,259,41.6
Sumter County,Georgia,75.3379225174688,13,261,34.2
Talbot County,Georgia,75.3884489268479,13,263,45.3
Taliaferro County,Georgia,75.1585955884383,13,265,43.4
