County,State,mean_life_expectancy,State_FIPS,County_FIPS,Unemployment Rate
Lowndes County,Alabama,72.0601797573648,01,085,13.2
Macon County,Alabama,73.2131086140897,01,087,16.9
Madison County,Alabama,77.542194549947,01,089,8.5
Marengo County,Alabama,73.8566544196385,01,091,11.4
Marion County,Alabama,74.1929234345737,01,093,9.9
Marshall County,Alabama,74.0778968695931,01,095,8.4
Mobile County,Alabama,74.9316859921305,01,097,9.8
Monroe County,Alabama,74.6797751742885,01,099,20.7
Montgomery County,Alabama,75.9457637313632,01,101,8.8
Morgan County,Alabama,75.4240194723048,01,103,9.9
Perry County,Alabama,72.5719425521565,01,105,11.2
Pickens County,Alabama,74.2789980479796,01,107,13.8
Pike County,Alabama,75.1713243378534,01,109,10.2
Randolph County,Alabama,74.3483287431609,01,111,10.3
Russell County,Alabama,73.9955853835697,01,113,11.1
Saint Clair County,Alabama,74.9401222127531,01,115,8.4
Shelby County,Alabama,79.8710141007163,01,117,5.5
Sumter County,Alabama,74.1681754789273,01,119,16.8
Talladega County,Alabama,73.4032144228388,01,121,13.8
Tallapoosa County,Alabama,74.9865840695302,01,123,9.0
Tuscaloosa County,Alabama,76.1685915869627,01,125,7.6
Walker County,Alabama,70.4970068309202,01,127,11.4
Washington County,Alabama,74.5099724381317,01,129,20.0
Wilcox County,Alabama,71.6706696339144,01,131,20.8
Winston County,Alabama,74.3226672753976,01,133,9.6
Anchorage Municipality,Alaska,78.7971775250135,02,020,6.7
Bethel Census Area,Alaska,72.760049452657,02,050,17.6
Bristol Bay Borough,Alaska,75.7106106970199,02,060,5.4
Fairbanks North Star Borough,Alaska,79.6096657350875,02,090,7.9
Haines Borough,Alaska,80.9337426747029,02,100,3.0
Juneau City and Borough,Alaska,80.1067083342921,02,110,5.2
Kenai Peninsula Borough,Alaska,78.4351200208393,02,122,9.4
Kodiak Island Borough,Alaska,79.3090118396675,02,150,6.3
Matanuska-Susitna Borough,Alaska,78.3543344277665,02,170,9.8
Nome Census Area,Alaska,70.9748357308832,02,180,16.5
North Slope Borough,Alaska,75.2524724050958,02,185,9.3
Sitka City and Borough,Alaska,79.9190519910414,02,220,3.8
Southeast Fairbanks Census Area,Alaska,77.4883947234674,02,240,9.4
Valdez-Cordova Census Area,Alaska,78.6528030299488,02,261,10.7
Wade Hampton Census Area,Alaska,68.8032376995035,02,270,
Northwest Arctic Borough,Alaska,72.5903940613242,02,188,21.9
Aleutians East Borough,Alaska,83.6925973715872,02,013,2.9
Aleutians West Census Area,Alaska,83.6925973715872,02,016,2.1
Dillingham Census Area,Alaska,73.8682389376079,02,070,12.5
Lake and Peninsula Borough,Alaska,73.8682389376079,02,164,9.8
Denali Borough,Alaska,74.0063517464913,02,068,2.3
Yukon-Koyukuk Census Area,Alaska,74.0063517464913,02,290,18.2
Hoonah-Angoon Census Area,Alaska,80.3736271859755,02,105,13.1
Skagway Municipality,Alaska,80.3736271859755,02,230,7.8
Yakutat City and Borough,Alaska,80.3736271859755,02,282,7.9
Ketchikan Gateway Borough,Alaska,78.5902228752611,02,130,7.9
Petersburg Borough,Alaska,78.5902228752611,02,195,8.4
Prince of Wales-Hyder Census Area,Alaska,78.5902228752611,02,198,13.9
Wrangell City and Borough,Alaska,78.5902228752611,02,275,7.5
Apache County,Arizona,72.9181363379107,04,001,18.2
Cochise County,Arizona,78.119983366633,04,003,8.7
Coconino County,Arizona,78.931025157056,04,005,8.8
Gila County,Arizona,75.0503083905522,04,007,12.8
Graham County,Arizona,77.1100940117466,04,009,14.1
Greenlee County,Arizona,78.4583746096311,04,011,10.0
Maricopa County,Arizona,79.8969712767261,04,013,7.7
Mohave County,Arizona,75.2604543393176,04,015,13.2
Navajo County,Arizona,74.5503556715819,04,017,19.8
Pima County,Arizona,78.9331302432117,04,019,10.0
Pinal County,Arizona,80.8259975376458,04,021,10.6
Santa Cruz County,Arizona,81.7263683042861,04,023,11.3
Yavapai County,Arizona,78.3358060013505,04,025,10.0
La Paz County,Arizona,81.1097217666482,04,012,11.2
Yuma County,Arizona,81.1097217666482,04,027,13.1
Arkansas County,Arkansas,73.6289747804566,05,001,8.3
Ashley County,Arkansas,74.2938084067879,05,003,11.8
Baxter County,Arkansas,76.0025111932438,05,005,7.6
Benton County,Arkansas,79.3073632532978,05,007,4.2
Boone County,Arkansas,76.4288620168021,05,009,8.4
Bradley County,Arkansas,73.862637763147,05,011,9.4
Calhoun County,Arkansas,74.8321750099671,05,013,7.2
Carroll County,Arkansas,76.9904035104236,05,015,6.2
Chicot County,Arkansas,73.4189095332058,05,017,11.5
Clark County,Arkansas,75.4397308610619,05,019,8.4
Clay County,Arkansas,73.1093166483444,05,021,9.5
Cleburne County,Arkansas,76.1318368010625,05,023,10.2
Cleveland County,Arkansas,75.1406814841653,05,025,9.7
Columbia County,Arkansas,74.4265879477477,05,027,10.1
Conway County,Arkansas,75.0307599351406,05,029,8.1
Craighead County,Arkansas,76.1495570018258,05,031,7.5
Crawford County,Arkansas,75.7815083882316,05,033,7.9
Crittenden County,Arkansas,72.6880494641916,05,035,9.9
Cross County,Arkansas,73.2420000366393,05,037,8.6
Dallas County,Arkansas,73.7015965663263,05,039,8.3
Desha County,Arkansas,72.8885674799327,05,041,17.7
Drew County,Arkansas,75.1263748719885,05,043,14.3
Faulkner County,Arkansas,76.6634074992103,05,045,6.6
Franklin County,Arkansas,74.6345418541768,05,047,11.0
Fulton County,Arkansas,75.2869863316562,05,049,7.6
Garland County,Arkansas,74.6639973322409,05,051,9.2
Grant County,Arkansas,75.5437631376927,05,053,9.4
Greene County,Arkansas,74.3063754947153,05,055,9.0
Hempstead County,Arkansas,74.9351809331389,05,057,7.9
Hot Spring County,Arkansas,74.419634563731,05,059,7.6
Howard County,Arkansas,74.077721939896,05,061,8.5
Independence County,Arkansas,75.5157393555591,05,063,6.9
Izard County,Arkansas,75.3755701599724,05,065,10.0
Jackson County,Arkansas,73.2530221096357,05,067,7.9
Jefferson County,Arkansas,73.4174670389188,05,069,11.2
Johnson County,Arkansas,75.7486252400996,05,071,6.2
Lafayette County,Arkansas,74.2373886488676,05,073,12.5
Lawrence County,Arkansas,74.0006101915441,05,075,6.9
Lee County,Arkansas,73.5386455072478,05,077,17.3
Lincoln County,Arkansas,75.233629854733,05,079,14.2
Little River County,Arkansas,74.0023896033076,05,081,8.8
Logan County,Arkansas,74.448812913092,05,083,8.1
Lonoke County,Arkansas,75.0394626097886,05,085,5.9
Madison County,Arkansas,75.4930062075011,05,087,7.3
Marion County,Arkansas,75.3957898991127,05,089,10.9
Miller County,Arkansas,74.620734426667,05,091,9.6
Mississippi County,Arkansas,71.7603504523958,05,093,12.0
Monroe County,Arkansas,72.5427214562581,05,095,12.8
Montgomery County,Arkansas,76.0896903526216,05,097,4.3
Nevada County,Arkansas,74.3859172827125,05,099,9.5
Newton County,Arkansas,76.9325218431298,05,101,4.4
Ouachita County,Arkansas,73.1582713046496,05,103,8.3
Perry County,Arkansas,75.2299421886874,05,105,6.8
Phillips County,Arkansas,70.8980349318913,05,107,18.1
Pike County,Arkansas,75.0773768329276,05,109,6.6
Poinsett County,Arkansas,71.387801490036,05,111,10.0
Polk County,Arkansas,75.0429703355136,05,113,9.0
Pope County,Arkansas,76.4692899964961,05,115,7.6
Prairie County,Arkansas,75.5268699546832,05,117,6.2
Pulaski County,Arkansas,75.9502787614613,05,119,7.5
Randolph County,Arkansas,74.6376193475986,05,121,5.4
Saint Francis County,Arkansas,74.0100121667823,05,123,11.7
Saline County,Arkansas,77.1751568488897,05,125,5.3
Scott County,Arkansas,75.1124194246868,05,127,10.9
Searcy County,Arkansas,75.5320157508855,05,129,5.9
Sebastian County,Arkansas,75.6795870861497,05,131,6.1
Sevier County,Arkansas,75.1488725691369,05,133,9.3
Sharp County,Arkansas,74.0198615613099,05,135,8.8
Stone County,Arkansas,76.2065418227476,05,137,7.0
Union County,Arkansas,73.3656000640213,05,139,9.7
Van Buren County,Arkansas,76.1425851988409,05,141,11.2
Washington County,Arkansas,77.8815427160735,05,143,6.2
White County,Arkansas,75.2723697975265,05,145,7.1
Woodruff County,Arkansas,72.8269413108567,05,147,12.4
Yell County,Arkansas,74.5737295998881,05,149,8.3
Alameda County,California,81.911910001763,06,001,8.3
Alpine County,California,78.3616935787678,06,003,10.7
Amador County,California,79.7586244291029,06,005,14.0
Butte County,California,77.7142018529714,06,007,12.1
Calaveras County,California,79.4113251371658,06,009,12.1
Colusa County,California,79.9616953839089,06,011,10.4
Contra Costa County,California,81.6154582155379,06,013,8.8
Del Norte County,California,75.5570804005256,06,015,11.5
El Dorado County,California,81.384492307269,06,017,11.1
Fresno County,California,78.492939877363,06,019,13.2
Glenn County,California,77.5153362061287,06,021,12.6
Humboldt County,California,76.8353899495262,06,023,10.5
Imperial County,California,80.7431332940606,06,025,17.4
Inyo County,California,79.2675531105808,06,027,6.8
Kern County,California,77.2656785350962,06,029,12.7
Kings County,California,79.2015732865224,06,031,13.0
Lake County,California,74.9381474762665,06,033,14.6
Lassen County,California,78.4471067204458,06,035,10.9
Los Angeles County,California,81.5024357299037,06,037,10.0
Madera County,California,78.9351179699743,06,039,7.5
Marin County,California,84.3355308577138,06,041,5.7
Mariposa County,California,80.2117816615585,06,043,11.6
Mendocino County,California,78.5698420119881,06,045,12.2
Merced County,California,78.459103537516,06,047,16.2
Modoc County,California,77.4593217970448,06,049,8.6
Mono County,California,84.9058116505285,06,051,13.4
Monterey County,California,81.8525645217468,06,053,8.4
Napa County,California,81.1435820089004,06,055,7.5
Nevada County,California,81.0970660303805,06,057,9.8
Orange County,California,82.4180755011441,06,059,7.6
Placer County,California,81.4299422609919,06,061,8.3
Plumas County,California,78.3094523302535,06,063,15.2
Riverside County,California,80.3450713519818,06,065,12.9
Sacramento County,California,79.112722725179,06,067,11.8
San Benito County,California,81.7777563576748,06,069,12.2
San Bernardino County,California,78.400917858467,06,071,12.6
San Diego County,California,81.5099456641145,06,073,8.7
San Francisco County,California,82.6936965999994,06,075,6.8
San Joaquin County,California,78.0276606361129,06,077,13.7
San Luis Obispo County,California,81.1508553235719,06,079,6.6
San Mateo County,California,83.7607803456003,06,081,6.7
Santa Barbara County,California,81.6155370941523,06,083,8.0
Santa Clara County,California,83.6897880731591,06,085,7.7
Santa Cruz County,California,81.7128621620157,06,087,7.6
Shasta County,California,75.9378568828757,06,089,10.3
Sierra County,California,79.0304170483359,06,091,8.0
Siskiyou County,California,76.3772748924365,06,093,12.7
Solano County,California,79.5895939800179,06,095,11.4
Sonoma County,California,81.2508901219667,06,097,8.1
Stanislaus County,California,77.7824750566635,06,099,15.2
Sutter County,California,78.5195099453137,06,101,13.2
Tehama County,California,77.2816845955888,06,103,13.2
Trinity County,California,76.6520947495501,06,105,9.0
Tulare County,California,78.0274086249314,06,107,12.0
Tuolumne County,California,78.8042243825731,06,109,12.9
Ventura County,California,81.7934375791504,06,111,8.6
Yolo County,California,80.7699657459539,06,113,9.0
Yuba County,California,75.8730177939744,06,115,14.8
Alamosa County,Colorado,76.1823647359861,08,003,10.4
Archuleta County,Colorado,81.5327757002457,08,007,8.2
Baca County,Colorado,77.1681618321587,08,009,4.5
Bent County,Colorado,75.8464449391687,08,011,8.3
Chaffee County,Colorado,81.1266982296918,08,015,5.9
Cheyenne County,Colorado,79.2342553723716,08,017,9.3
Clear Creek County,Colorado,82.1896850450379,08,019,5.4
Conejos County,Colorado,76.6087011260246,08,021,9.7
Costilla County,Colorado,77.3573766892542,08,023,14.0
Crowley County,Colorado,77.2346771891048,08,025,27.0
Custer County,Colorado,80.6274914488087,08,027,14.0
Delta County,Colorado,78.0522481307277,08,029,11.7
Dolores County,Colorado,79.2712919365826,08,033,4.6
Douglas County,Colorado,83.4392006708209,08,035,4.1
Eagle County,Colorado,87.6796391750294,08,037,4.4
Elbert County,Colorado,81.5399529150843,08,039,6.7
El Paso County,Colorado,79.1497756853794,08,041,8.4
Fremont County,Colorado,77.119619720449,08,043,9.2
Garfield County,Colorado,80.5747378716656,08,045,6.9
Gilpin County,Colorado,80.9418431933094,08,047,4.9
Grand County,Colorado,83.5563750739628,08,049,5.7
Gunnison County,Colorado,82.3667341080638,08,051,7.8
Huerfano County,Colorado,76.1016190811091,08,055,15.0
Jackson County,Colorado,79.6368312933919,08,057,1.5
Kiowa County,Colorado,77.550102461197,08,061,2.0
Kit Carson County,Colorado,78.8758394255456,08,063,5.9
Lake County,Colorado,81.1077084527848,08,065,5.7
La Plata County,Colorado,81.6915070940121,08,067,5.2
Larimer County,Colorado,81.5160355365789,08,069,6.7
Las Animas County,Colorado,76.6698258138739,08,071,9.2
Lincoln County,Colorado,78.8913639124814,08,073,6.3
Logan County,Colorado,79.1421719307538,08,075,9.0
Mesa County,Colorado,78.5928519874861,08,077,8.7
Moffat County,Colorado,78.3671406134327,08,081,5.9
Montezuma County,Colorado,77.298562573127,08,083,9.5
Montrose County,Colorado,79.3617463439122,08,085,10.2
Morgan County,Colorado,78.2579867860575,08,087,6.2
Otero County,Colorado,75.3908671698151,08,089,10.7
Ouray County,Colorado,83.9156330717921,08,091,6.7
Park County,Colorado,82.3957205624919,08,093,5.6
Phillips County,Colorado,79.8501752950874,08,095,5.3
Pitkin County,Colorado,90.0560175835819,08,097,7.7
Prowers County,Colorado,76.8244253944396,08,099,9.7
Pueblo County,Colorado,76.5820141219147,08,101,10.8
Rio Blanco County,Colorado,79.0709132428668,08,103,4.2
Rio Grande County,Colorado,76.920153919651,08,105,8.1
Routt County,Colorado,83.1666307602029,08,107,4.0
Saguache County,Colorado,79.9724503374943,08,109,9.7
San Miguel County,Colorado,85.4344084632371,08,113,5.8
Sedgwick County,Colorado,77.8369104317373,08,115,6.4
Summit County,Colorado,90.0891064661044,08,117,4.7
Teller County,Colorado,80.5602255501172,08,119,8.2
Washington County,Colorado,79.7795880137098,08,121,5.1
Yuma County,Colorado,78.8900927364822,08,125,2.5
Adams County,Colorado,80.1877591253775,08,001,7.9
Arapahoe County,Colorado,80.1877591253775,08,005,7.2
Boulder County,Colorado,80.1877591253775,08,013,6.1
Broomfield County,Colorado,80.1877591253775,08,014,5.5
Denver County,Colorado,80.1877591253775,08,031,6.3
Jefferson County,Colorado,80.1877591253775,08,059,5.9
Weld County,Colorado,80.1877591253775,08,123,6.6
Fairfield County,Connecticut,82.4192043301195,09,001,9.0
Hartford County,Connecticut,80.3102178576104,09,003,9.3
Litchfield County,Connecticut,80.4391934472111,09,005,7.1
Middlesex County,Connecticut,81.1334681371326,09,007,6.0
New Haven County,Connecticut,80.0234318368233,09,009,9.5
New London County,Connecticut,79.9268916295041,09,011,8.3
Tolland County,Connecticut,81.6927758594165,09,013,6.8
Windham County,Connecticut,79.0241675349832,09,015,9.3
Kent County,Delaware,77.4218575940169,10,001,8.4
New Castle County,Delaware,78.4786057306606,10,003,7.4
Sussex County,Delaware,78.543042202878,10,005,8.0
Alachua County,Florida,78.574622542158,12,001,7.9
Baker County,Florida,75.2705067668647,12,003,8.9
Bay County,Florida,76.020415200021,12,005,8.6
Bradford County,Florida,75.4876940286454,12,007,12.4
Brevard County,Florida,77.7740202774745,12,009,10.9
Broward County,Florida,80.4344839232772,12,011,10.0
Calhoun County,Florida,75.1159179044046,12,013,10.0
Charlotte County,Florida,80.1972984370466,12,015,10.8
Citrus County,Florida,75.8690976178116,12,017,13.1
Clay County,Florida,77.4792570878544,12,019,10.7
Collier County,Florida,84.4011432426865,12,021,7.8
Columbia County,Florida,75.2865160334599,12,023,14.8
Miami-Dade County,Florida,80.9202623931244,12,086,10.0
DeSoto County,Florida,79.4521763635755,12,027,9.4
Dixie County,Florida,74.9214791297201,12,029,7.2
Duval County,Florida,76.0868117725737,12,031,10.0
Escambia County,Florida,75.4572296042632,12,033,9.4
Flagler County,Florida,79.0936691617905,12,035,9.3
Franklin County,Florida,76.3046737588476,12,037,9.4
Gadsden County,Florida,75.3736371817631,12,039,11.2
Gilchrist County,Florida,76.568121678961,12,041,10.4
Glades County,Florida,80.7975202592433,12,043,12.9
Gulf County,Florida,76.5369370563261,12,045,10.2
Hamilton County,Florida,75.6790043372544,12,047,15.8
Hardee County,Florida,78.5742994268253,12,049,11.0
Hendry County,Florida,77.3807544663803,12,051,11.9
Hernando County,Florida,76.9282027036904,12,053,13.7
Highlands County,Florida,78.6791189588121,12,055,13.3
Hillsborough County,Florida,78.6164481074352,12,057,9.0
Holmes County,Florida,73.8215652645815,12,059,15.4
Indian River County,Florida,80.2699982301154,12,061,12.2
Jackson County,Florida,75.124151849855,12,063,13.2
Jefferson County,Florida,76.9621189200841,12,065,9.4
Lafayette County,Florida,76.7647585952017,12,067,14.6
Lake County,Florida,78.9001898226383,12,069,9.7
Lee County,Florida,81.4759134243392,12,071,10.1
Leon County,Florida,79.1630441237025,12,073,10.6
Levy County,Florida,74.9706503521878,12,075,11.1
Liberty County,Florida,75.969931751796,12,077,10.2
Madison County,Florida,75.1001833382779,12,079,11.8
Manatee County,Florida,80.3957637089903,12,081,8.6
Marion County,Florida,76.6228259033821,12,083,12.0
Martin County,Florida,81.3649609648515,12,085,9.7
Monroe County,Florida,79.5838331404129,12,087,6.0
Nassau County,Florida,77.4091101300292,12,089,9.8
Okaloosa County,Florida,77.6444219405646,12,091,6.9
Okeechobee County,Florida,76.2092657227025,12,093,11.8
Orange County,Florida,79.7074290103298,12,095,9.1
Osceola County,Florida,79.0683842026061,12,097,9.8
Palm Beach County,Florida,81.6500881867343,12,099,9.5
Pasco County,Florida,77.3716288475345,12,101,9.4
Pinellas County,Florida,78.451034004903,12,103,8.4
Polk County,Florida,77.9855842227036,12,105,10.6
Putnam County,Florida,74.2217102344466,12,107,12.6
Saint Johns County,Florida,80.769599239301,12,109,6.7
Saint Lucie County,Florida,79.4463676195004,12,111,12.4
Santa Rosa County,Florida,77.555168444034,12,113,7.9
Sarasota County,Florida,81.255983295096,12,115,8.2
Seminole County,Florida,80.1383570434506,12,117,9.4
Sumter County,Florida,80.9602138853755,12,119,9.0
Suwannee County,Florida,75.3197968734856,12,121,11.1
Taylor County,Florida,75.3909264660477,12,123,9.0
Union County,Florida,68.445240285683,12,125,11.7
Volusia County,Florida,76.8027659254038,12,127,9.1
Wakulla County,Florida,76.3793483610182,12,129,9.3
Walton County,Florida,77.4493771843441,12,131,7.9
Washington County,Florida,73.6138023423587,12,133,11.5
Appling County,Georgia,74.5688532832988,13,001,7.9
Atkinson County,Georgia,73.556411423192,13,003,7.3
Bacon County,Georgia,73.1059059400764,13,005,4.4
Baker County,Georgia,77.2604188332556,13,007,7.1
Baldwin County,Georgia,76.1209192855746,13,009,8.4
Banks County,Georgia,76.6540446918605,13,011,8.5
Barrow County,Georgia,76.4157908380065,13,013,10.1
Bartow County,Georgia,76.2847197082198,13,015,8.8
Ben Hill County,Georgia,73.1085332926003,13,017,9.7
Berrien County,Georgia,74.7590115781939,13,019,13.8
Bibb County,Georgia,73.8288591597563,13,021,12.4
Bleckley County,Georgia,75.9168189983432,13,023,4.8
Brantley County,Georgia,74.4423772251199,13,025,10.9
Brooks County,Georgia,75.0834370957113,13,027,17.0
Bryan County,Georgia,76.0661180994364,13,029,9.0
Bulloch County,Georgia,76.8240386171814,13,031,9.1
Burke County,Georgia,73.7504446965566,13,033,8.2
Butts County,Georgia,73.8867494279381,13,035,10.3
Calhoun County,Georgia,74.8341459744931,13,037,7.7
Camden County,Georgia,77.8318356221329,13,039,8.5
Candler County,Georgia,73.6865363965494,13,043,8.1
Carroll County,Georgia,75.0580938129664,13,045,12.1
Catoosa County,Georgia,77.7403482779167,13,047,8.1
Charlton County,Georgia,76.249906983533,13,049,13.8
Chatham County,Georgia,77.4840610187491,13,051,9.7
Chattahoochee County,Georgia,77.0945177192887,13,053,16.5
Chattooga County,Georgia,73.7668493608042,13,055,10.0
Cherokee County,Georgia,79.7678464513049,13,057,6.3
Clarke County,Georgia,78.2085051800694,13,059,9.2
Clay County,Georgia,74.389807194692,13,061,19.2
Clayton County,Georgia,76.5905697357729,13,063,14.1
Clinch County,Georgia,72.8911653059202,13,065,10.7
Cobb County,Georgia,80.0630135787274,13,067,8.0
Coffee County,Georgia,74.8761077221601,13,069,8.3
Colquitt County,Georgia,74.5184384391096,13,071,8.3
Columbia County,Georgia,79.9000121343221,13,073,7.1
Cook County,Georgia,74.5580055914086,13,075,6.6
Coweta County,Georgia,78.2878211148514,13,077,7.0
Crawford County,Georgia,76.2615710216297,13,079,11.0
Crisp County,Georgia,75.0009603381692,13,081,15.5
Dade County,Georgia,75.2328094739059,13,083,6.1
Dawson County,Georgia,78.0323135482244,13,085,8.5
Decatur County,Georgia,74.2095783703298,13,087,6.5
DeKalb County,Georgia,79.4653896213388,13,089,11.3
Dodge County,Georgia,75.4295690779643,13,091,9.8
Dooly County,Georgia,78.0839269220416,13,093,11.7
Dougherty County,Georgia,74.786503482876,13,095,18.0
Douglas County,Georgia,77.3551061362594,13,097,10.5
Early County,Georgia,73.8751995634532,13,099,9.4
Echols County,Georgia,77.0628143470404,13,101,10.1
Effingham County,Georgia,76.414257500417,13,103,6.0
Elbert County,Georgia,74.6119539741512,13,105,10.8
Emanuel County,Georgia,73.0343110910228,13,107,13.2
Evans County,Georgia,74.9723693529997,13,109,10.3
Fannin County,Georgia,76.8311033512123,13,111,12.0
Fayette County,Georgia,80.8102293086784,13,113,7.6
Floyd County,Georgia,75.3007691624435,13,115,10.9
Forsyth County,Georgia,81.522901067057,13,117,6.2
Franklin County,Georgia,74.1403267104776,13,119,8.4
Fulton County,Georgia,78.5920379828466,13,121,9.9
Gilmer County,Georgia,78.1159356101066,13,123,10.0
Glascock County,Georgia,73.831276799801,13,125,7.1
Glynn County,Georgia,77.1385672912387,13,127,9.3
Gordon County,Georgia,75.5886365784405,13,129,8.3
Grady County,Georgia,75.6795943197714,13,131,10.5
Greene County,Georgia,77.6412044383976,13,133,6.8
Gwinnett County,Georgia,80.4384113806819,13,135,8.3
Habersham County,Georgia,77.4993847224526,13,137,7.7
Hall County,Georgia,78.8203748204953,13,139,7.5
Hancock County,Georgia,75.6859736738721,13,141,14.6
Haralson County,Georgia,73.3687710365694,13,143,12.3
Harris County,Georgia,79.1386047122064,13,145,8.0
Hart County,Georgia,76.8611128838859,13,147,6.2
Heard County,Georgia,75.0389959002543,13,149,12.1
Henry County,Georgia,77.2601558737148,13,151,10.3
Houston County,Georgia,77.3834558740908,13,153,9.7
Irwin County,Georgia,75.1864426229271,13,155,6.8
Jackson County,Georgia,76.134260571331,13,157,7.9
Jasper County,Georgia,75.9725613571511,13,159,12.7
Jeff Davis County,Georgia,73.5750401606558,13,161,6.6
Jefferson County,Georgia,72.842000760855,13,163,17.0
Jenkins County,Georgia,73.5327258960203,13,165,10.3
Johnson County,Georgia,76.1832695959256,13,167,9.0
Jones County,Georgia,78.0516006376945,13,169,9.5
Lamar County,Georgia,74.7629597232607,13,171,15.6
Lanier County,Georgia,75.5663386259568,13,173,14.6
Laurens County,Georgia,74.7306300814716,13,175,6.6
Lee County,Georgia,77.2195675791545,13,177,7.2
Liberty County,Georgia,76.5665577657614,13,179,12.9
Lincoln County,Georgia,76.0661887903113,13,181,9.3
Long County,Georgia,78.3496857779624,13,183,15.6
Lowndes County,Georgia,76.0100363022239,13,185,13.0
Lumpkin County,Georgia,77.8286653303911,13,187,8.2
McDuffie County,Georgia,74.0780726190292,13,189,9.5
McIntosh County,Georgia,79.4773231473255,13,191,8.8
Macon County,Georgia,74.0567258189828,13,193,18.7
Madison County,Georgia,75.7184339512435,13,195,8.7
Marion County,Georgia,76.3453500335902,13,197,14.3
Meriwether County,Georgia,74.7270506329405,13,199,12.8
Miller County,Georgia,73.4997499837151,13,201,6.5
Mitchell County,Georgia,74.7689316413014,13,205,13.5
Monroe County,Georgia,77.1698366221331,13,207,10.5
Montgomery County,Georgia,75.3576108121348,13,209,6.7
Morgan County,Georgia,77.5096838622981,13,211,6.9
Murray County,Georgia,74.9509992992007,13,213,11.1
Muscogee County,Georgia,74.5454406053132,13,215,11.0
Newton County,Georgia,76.1736339241261,13,217,11.8
Oconee County,Georgia,80.5798838924909,13,219,5.0
Oglethorpe County,Georgia,77.7167996062818,13,221,5.3
Paulding County,Georgia,78.5180367560156,13,223,8.7
Peach County,Georgia,74.03313677408,13,225,11.3
Pickens County,Georgia,77.3357389452521,13,227,8.3
Pierce County,Georgia,74.6705190503558,13,229,8.9
Pike County,Georgia,75.8098277591598,13,231,10.4
Polk County,Georgia,73.479135469949,13,233,10.2
Pulaski County,Georgia,77.7424998673055,13,235,7.4
Putnam County,Georgia,77.3966209074486,13,237,6.3
Quitman County,Georgia,75.3037922915723,13,239,11.2
Rabun County,Georgia,77.3787926782636,13,241,7.3
Randolph County,Georgia,75.6852416547734,13,243,10.4
Richmond County,Georgia,74.0548741424573,13,245,12.0
Rockdale County,Georgia,77.6878103253858,13,247,11.2
Schley County,Georgia,77.3388915434807,13,249,12.4
Screven County,Georgia,74.6973431226355,13,251,9.8
Seminole County,Georgia,73.9885563878023,13,253,9.4
Spalding County,Georgia,74.3802498950857,13,255,12.4
Stephens County,Georgia,73.5128371042352,13,257,10.6
Stewart County,Georgia,74.6723301476566,13,259,14.5
Sumter County,Georgia,74.5325257555981,13,261,14.4
Talbot County,Georgia,74.9568219510576,13,263,10.6
Taliaferro County,Georgia,74.5589942222357,13,265,12.1
Tattnall County,Georgia,74.9764929055611,13,267,7.9
