County,State,mean_life_expectancy,State_FIPS,County_FIPS,native_american_population
Dooly County,Georgia,78.3861163186296,13,093,8.0
Dougherty County,Georgia,74.4307031989871,13,095,194.0
Douglas County,Georgia,77.6118621931012,13,097,168.0
Early County,Georgia,73.4100397646834,13,099,9.0
Echols County,Georgia,77.3138543207156,13,101,82.0
Effingham County,Georgia,76.5227017348973,13,103,75.0
Elbert County,Georgia,74.4652122951677,13,105,0.0
Emanuel County,Georgia,72.8374850896249,13,107,11.0
Evans County,Georgia,74.9623415964071,13,109,1.0
Fannin County,Georgia,77.3602030871136,13,111,88.0
Fayette County,Georgia,81.0336445526931,13,113,276.0
Floyd County,Georgia,75.0961301003414,13,115,177.0
Forsyth County,Georgia,81.9106821070703,13,117,415.0
Franklin County,Georgia,73.9741040026346,13,119,16.0
Fulton County,Georgia,79.2621914216746,13,121,3837.0
Gilmer County,Georgia,78.0716109761037,13,123,523.0
Glascock County,Georgia,73.4032244860579,13,125,15.0
Glynn County,Georgia,77.4064219080965,13,127,360.0
Gordon County,Georgia,75.5910815019174,13,129,468.0
Grady County,Georgia,75.6390967986397,13,131,133.0
Greene County,Georgia,78.0771638862825,13,133,0.0
Gwinnett County,Georgia,80.8576416981151,13,135,3509.0
Habersham County,Georgia,77.4621360966414,13,137,45.0
Hall County,Georgia,79.0513221599094,13,139,472.0
Hancock County,Georgia,75.4561378964738,13,141,0.0
Haralson County,Georgia,73.4638395369125,13,143,91.0
Harris County,Georgia,79.4514638028953,13,145,41.0
Hart County,Georgia,77.0465029717568,13,147,10.0
Heard County,Georgia,74.935041415743,13,149,2.0
Henry County,Georgia,77.4629291963644,13,151,149.0
Houston County,Georgia,77.4534964434465,13,153,629.0
Irwin County,Georgia,74.9026897719718,13,155,13.0
Jackson County,Georgia,76.5773842944624,13,157,81.0
Jasper County,Georgia,75.8994510443067,13,159,8.0
Jeff Davis County,Georgia,73.3471646371562,13,161,0.0
Jefferson County,Georgia,72.7895471617176,13,163,20.0
Jenkins County,Georgia,73.4074632261848,13,165,127.0
Johnson County,Georgia,76.0443954513394,13,167,0.0
Jones County,Georgia,77.942514638968,13,169,56.0
Lamar County,Georgia,74.6480848746682,13,171,19.0
Lanier County,Georgia,75.5741908250113,13,173,28.0
Laurens County,Georgia,74.6415276577823,13,175,44.0
Lee County,Georgia,76.6576573244205,13,177,30.0
Liberty County,Georgia,76.4063478776102,13,179,285.0
Lincoln County,Georgia,76.4608108585207,13,181,4.0
Long County,Georgia,78.6678466420593,13,183,50.0
Lowndes County,Georgia,75.9053554729163,13,185,335.0
Lumpkin County,Georgia,77.8193013989251,13,187,203.0
McDuffie County,Georgia,73.9498156118123,13,189,0.0
McIntosh County,Georgia,79.9990111330534,13,191,16.0
Macon County,Georgia,73.723715857393,13,193,27.0
Madison County,Georgia,76.1066582067992,13,195,82.0
Marion County,Georgia,76.443197414621,13,197,14.0
Meriwether County,Georgia,74.5741063488475,13,199,30.0
Miller County,Georgia,73.2470191384742,13,201,45.0
Mitchell County,Georgia,74.0620100864053,13,205,48.0
Monroe County,Georgia,77.7871454148834,13,207,52.0
Montgomery County,Georgia,75.0883350470393,13,209,20.0
Morgan County,Georgia,77.5186789574759,13,211,37.0
Murray County,Georgia,74.9700556257629,13,213,46.0
Muscogee County,Georgia,74.2394264544026,13,215,811.0
Newton County,Georgia,76.2607976221268,13,217,323.0
Oconee County,Georgia,81.2570674760447,13,219,15.0
Oglethorpe County,Georgia,77.8557806138768,13,221,24.0
Paulding County,Georgia,78.7395615987406,13,223,468.0
Peach County,Georgia,73.6937146784614,13,225,32.0
Pickens County,Georgia,77.29387497581,13,227,225.0
Pierce County,Georgia,74.3784226065327,13,229,59.0
Pike County,Georgia,75.618283423444,13,231,0.0
Polk County,Georgia,73.3637862551743,13,233,201.0
Pulaski County,Georgia,77.923376389831,13,235,17.0
Putnam County,Georgia,77.7080975315866,13,237,8.0
Quitman County,Georgia,75.7151571732725,13,239,0.0
Rabun County,Georgia,77.1270289914812,13,241,91.0
Randolph County,Georgia,74.8773742416869,13,243,0.0
Richmond County,Georgia,73.8895818653717,13,245,515.0
Rockdale County,Georgia,77.6928428558949,13,247,112.0
Schley County,Georgia,77.058150222235,13,249,0.0
Screven County,Georgia,74.6085022351091,13,251,31.0
Seminole County,Georgia,73.5921597026236,13,253,0.0
Spalding County,Georgia,74.3781789988297,13,255,282.0
