County,State,mean_life_expectancy,State_FIPS,County_FIPS,native_american_population
Lauderdale County,Alabama,76.1300402688184,01,077,436.0
Lawrence County,Alabama,73.989537746666,01,079,1845.0
Lee County,Alabama,77.5595991086487,01,081,277.0
Limestone County,Alabama,77.4754459389285,01,083,527.0
Lowndes County,Alabama,72.2634055675833,01,085,0.0
Macon County,Alabama,73.4904632643591,01,087,67.0
Madison County,Alabama,77.8536736827048,01,089,2244.0
Marengo County,Alabama,74.0363714016051,01,091,55.0
Marion County,Alabama,74.4921559001086,01,093,46.0
Marshall County,Alabama,74.1039393352051,01,095,632.0
Mobile County,Alabama,75.1117597992232,01,097,2801.0
Monroe County,Alabama,75.0245488974323,01,099,221.0
Montgomery County,Alabama,76.1126905968678,01,101,593.0
Morgan County,Alabama,75.7548165522007,01,103,915.0
Perry County,Alabama,72.5637425616024,01,105,2.0
Pickens County,Alabama,74.4392811093029,01,107,0.0
Pike County,Alabama,75.2623836523974,01,109,258.0
Randolph County,Alabama,74.7053091696992,01,111,39.0
Russell County,Alabama,74.3805861878772,01,113,162.0
Saint Clair County,Alabama,75.1216644950582,01,115,350.0
Shelby County,Alabama,79.9186609893026,01,117,590.0
Sumter County,Alabama,74.4570441053706,01,119,48.0
Talladega County,Alabama,73.6869492872818,01,121,331.0
Tallapoosa County,Alabama,75.1270284243972,01,123,92.0
Tuscaloosa County,Alabama,76.2841722904781,01,125,368.0
Walker County,Alabama,70.7322477452283,01,127,154.0
Washington County,Alabama,74.6503643642396,01,129,1405.0
Wilcox County,Alabama,72.0305770620779,01,131,4.0
Winston County,Alabama,74.5222642002393,01,133,167.0
Anchorage Municipality,Alaska,78.9022024656191,02,020,20634.0
Bethel Census Area,Alaska,72.9844076508492,02,050,14303.0
Bristol Bay Borough,Alaska,75.8752123759168,02,060,320.0
Fairbanks North Star Borough,Alaska,79.6481705666333,02,090,6298.0
Haines Borough,Alaska,81.5832545334811,02,100,169.0
Juneau City and Borough,Alaska,80.0410654674188,02,110,3999.0
Kenai Peninsula Borough,Alaska,78.5607964481768,02,122,4402.0
Kodiak Island Borough,Alaska,79.5249195452452,02,150,2050.0
Matanuska-Susitna Borough,Alaska,78.3611817093364,02,170,5005.0
Nome Census Area,Alaska,71.1118591784878,02,180,6959.0
North Slope Borough,Alaska,75.4534450228025,02,185,5076.0
Sitka City and Borough,Alaska,79.8800680903336,02,220,1415.0
Southeast Fairbanks Census Area,Alaska,77.5604698374025,02,240,787.0
Valdez-Cordova Census Area,Alaska,78.5290646419212,02,261,1549.0
Wade Hampton Census Area,Alaska,69.0577479184401,02,270,6916.0
Northwest Arctic Borough,Alaska,73.3054263814092,02,188,6233.0
Aleutians East Borough,Alaska,83.6895218542177,02,013,877.0
Aleutians West Census Area,Alaska,83.6895218542177,02,016,751.0
Dillingham Census Area,Alaska,74.0829453697083,02,070,3571.0
Lake and Peninsula Borough,Alaska,74.0829453697083,02,164,1060.0
Denali Borough,Alaska,73.8895242313275,02,068,69.0
Yukon-Koyukuk Census Area,Alaska,73.8895242313275,02,290,3990.0
Hoonah-Angoon Census Area,Alaska,80.6002714993476,02,105,777.0
Skagway Municipality,Alaska,80.6002714993476,02,230,33.0
Yakutat City and Borough,Alaska,80.6002714993476,02,282,195.0
Ketchikan Gateway Borough,Alaska,78.483859022547,02,130,2049.0
Petersburg Borough,Alaska,78.483859022547,02,195,233.0
Prince of Wales-Hyder Census Area,Alaska,78.483859022547,02,198,2625.0
Wrangell City and Borough,Alaska,78.483859022547,02,275,398.0
Apache County,Arizona,73.5730101249103,04,001,52243.0
Cochise County,Arizona,78.4493453995009,04,003,1599.0
Coconino County,Arizona,79.1262342389113,04,005,36504.0
Gila County,Arizona,75.2769023094933,04,007,7896.0
Graham County,Arizona,77.4673057827607,04,009,5209.0
Greenlee County,Arizona,78.8069444314949,04,011,272.0
Maricopa County,Arizona,80.1983661565339,04,013,74454.0
Mohave County,Arizona,75.4575819953017,04,015,3832.0
Navajo County,Arizona,74.9438441304313,04,017,46892.0
Pima County,Arizona,79.1994643325826,04,019,31649.0
Pinal County,Arizona,81.00600317497,04,021,20698.0
Santa Cruz County,Arizona,82.1001879296229,04,023,108.0
Yavapai County,Arizona,78.6665178423471,04,025,4094.0
La Paz County,Arizona,81.3387718155153,04,012,2761.0
Yuma County,Arizona,81.3387718155153,04,027,2569.0
Arkansas County,Arkansas,73.8595673933612,05,001,34.0
Ashley County,Arkansas,74.4883652123264,05,003,51.0
Baxter County,Arkansas,76.2516267748183,05,005,197.0
Benton County,Arkansas,79.4059652057882,05,007,3595.0
Boone County,Arkansas,76.5795522414594,05,009,344.0
Bradley County,Arkansas,74.0452396036787,05,011,19.0
Calhoun County,Arkansas,75.0978238246715,05,013,0.0
Carroll County,Arkansas,77.1207588475348,05,015,273.0
Chicot County,Arkansas,73.7092556075907,05,017,82.0
Clark County,Arkansas,75.5507566291671,05,019,32.0
Clay County,Arkansas,73.4648065193879,05,021,31.0
Cleburne County,Arkansas,76.2661790660477,05,023,124.0
Cleveland County,Arkansas,75.3480894669705,05,025,29.0
Columbia County,Arkansas,74.6838399967277,05,027,75.0
Conway County,Arkansas,75.4448351198573,05,029,164.0
Craighead County,Arkansas,76.2131160171002,05,031,394.0
Crawford County,Arkansas,75.743439597931,05,033,983.0
Crittenden County,Arkansas,73.0028156081488,05,035,73.0
Cross County,Arkansas,73.6777390034632,05,037,53.0
Dallas County,Arkansas,73.9263258901165,05,039,0.0
Desha County,Arkansas,73.4276736608831,05,041,24.0
Drew County,Arkansas,75.5138970499214,05,043,31.0
Faulkner County,Arkansas,76.9073679000959,05,045,415.0
Franklin County,Arkansas,75.0304629963768,05,047,314.0
Fulton County,Arkansas,75.4479638785258,05,049,70.0
Garland County,Arkansas,75.0910563247615,05,051,611.0
Grant County,Arkansas,75.8549997601848,05,053,75.0
Greene County,Arkansas,74.5883419533341,05,055,107.0
Hempstead County,Arkansas,75.0816457515582,05,057,55.0
Hot Spring County,Arkansas,74.674457659159,05,059,159.0
Howard County,Arkansas,74.5248817797813,05,061,119.0
Independence County,Arkansas,75.818962809451,05,063,238.0
Izard County,Arkansas,75.5224554466382,05,065,62.0
Jackson County,Arkansas,73.4906835570058,05,067,95.0
Jefferson County,Arkansas,73.7452633122832,05,069,128.0
Johnson County,Arkansas,76.0184647706335,05,071,131.0
Lafayette County,Arkansas,74.2310473910241,05,073,0.0
Lawrence County,Arkansas,74.1199788657354,05,075,61.0
Lee County,Arkansas,73.7502943427827,05,077,9.0
Lincoln County,Arkansas,75.4553403866795,05,079,72.0
Little River County,Arkansas,74.1885922604194,05,081,132.0
Logan County,Arkansas,74.7690105799881,05,083,259.0
Lonoke County,Arkansas,75.2359220612144,05,085,313.0
Madison County,Arkansas,75.6663513769671,05,087,67.0
Marion County,Arkansas,75.5962916062646,05,089,110.0
Miller County,Arkansas,74.8835906326357,05,091,161.0
Mississippi County,Arkansas,72.1102865682895,05,093,83.0
Monroe County,Arkansas,72.8831990296179,05,095,8.0
Montgomery County,Arkansas,76.3127945367472,05,097,132.0
Nevada County,Arkansas,74.2558254291586,05,099,27.0
Newton County,Arkansas,77.256810854711,05,101,75.0
Ouachita County,Arkansas,73.4859440403868,05,103,40.0
Perry County,Arkansas,75.2161291747456,05,105,20.0
Phillips County,Arkansas,71.3295020847569,05,107,17.0
Pike County,Arkansas,75.3612335128047,05,109,8.0
Poinsett County,Arkansas,71.8549037872847,05,111,75.0
Polk County,Arkansas,75.2614485975633,05,113,324.0
Pope County,Arkansas,76.6058991104863,05,115,296.0
Prairie County,Arkansas,75.782559047161,05,117,6.0
Pulaski County,Arkansas,76.1795129989355,05,119,1291.0
Randolph County,Arkansas,74.9895162117781,05,121,50.0
Saint Francis County,Arkansas,74.2474039903728,05,123,111.0
Saline County,Arkansas,77.3960857547918,05,125,437.0
Scott County,Arkansas,75.2749649430301,05,127,119.0
Searcy County,Arkansas,76.0184922982395,05,129,75.0
Sebastian County,Arkansas,75.8356293882159,05,131,1551.0
Sevier County,Arkansas,75.1099628253174,05,133,262.0
Sharp County,Arkansas,74.3655114172071,05,135,78.0
Stone County,Arkansas,76.4680154726822,05,137,10.0
Union County,Arkansas,73.531738985156,05,139,226.0
Van Buren County,Arkansas,76.3230678398837,05,141,81.0
Washington County,Arkansas,78.0525791787306,05,143,2352.0
White County,Arkansas,75.3684739400756,05,145,146.0
Woodruff County,Arkansas,72.9691657863222,05,147,10.0
Yell County,Arkansas,74.9489492833161,05,149,56.0
Alameda County,California,81.9574601824784,06,001,9315.0
Alpine County,California,79.1446091671374,06,003,208.0
Amador County,California,79.8676286856863,06,005,744.0
Butte County,California,77.9166897330305,06,007,2667.0
Calaveras County,California,79.7392007377838,06,009,361.0
Colusa County,California,80.0718304385206,06,011,286.0
Contra Costa County,California,81.7294599306854,06,013,5482.0
Del Norte County,California,75.9903836947179,06,015,1407.0
El Dorado County,California,81.4213825961216,06,017,1629.0
Fresno County,California,78.6231883737308,06,019,9890.0
Glenn County,California,77.838340878587,06,021,560.0
Humboldt County,California,77.0034274971952,06,023,7514.0
Imperial County,California,80.9437764733412,06,025,2477.0
Inyo County,California,79.4013711406659,06,027,2005.0
Kern County,California,77.4155560118422,06,029,10612.0
Kings County,California,79.3394443531957,06,031,2022.0
Lake County,California,75.2601471981006,06,033,2276.0
Lassen County,California,78.5878680298779,06,035,1167.0
Los Angeles County,California,81.6088919970855,06,037,54409.0
Madera County,California,79.0356091221892,06,039,2287.0
Marin County,California,84.3889101013875,06,041,674.0
Mariposa County,California,80.4146626674398,06,043,598.0
Mendocino County,California,78.7539965198557,06,045,4169.0
Merced County,California,78.7699495167401,06,047,2024.0
Modoc County,California,77.9703785616707,06,049,236.0
Mono County,California,85.1387867187453,06,051,380.0
Monterey County,California,82.0187429129939,06,053,4161.0
Napa County,California,81.1951616905384,06,055,696.0
Nevada County,California,81.3087317219083,06,057,978.0
Orange County,California,82.5275699941024,06,059,11852.0
Placer County,California,81.5788607115974,06,061,2372.0
Plumas County,California,78.5240261319388,06,063,533.0
Riverside County,California,80.5356107538776,06,065,22045.0
Sacramento County,California,79.2359862466345,06,067,12376.0
San Benito County,California,81.8447025218421,06,069,413.0
San Bernardino County,California,78.6008851539483,06,071,18520.0
San Diego County,California,81.6354754382568,06,073,21329.0
San Francisco County,California,82.7273768509478,06,075,3124.0
San Joaquin County,California,78.2052741778494,06,077,6034.0
San Luis Obispo County,California,81.4165855283812,06,079,2045.0
San Mateo County,California,83.8167556579334,06,081,2524.0
Santa Barbara County,California,81.762921966888,06,083,4372.0
Santa Clara County,California,83.7459727060519,06,085,9658.0
Santa Cruz County,California,81.7431879819541,06,087,1610.0
Shasta County,California,76.1366803244793,06,089,4214.0
Sierra County,California,79.1154203499916,06,091,21.0
Siskiyou County,California,76.7123533175491,06,093,1326.0
Solano County,California,79.7765697132744,06,095,2340.0
Sonoma County,California,81.3537531397856,06,097,6119.0
Stanislaus County,California,78.0404081273513,06,099,4251.0
Sutter County,California,78.8647497761071,06,101,1250.0
Tehama County,California,77.6815646677451,06,103,1548.0
Trinity County,California,76.9779522244668,06,105,387.0
Tulare County,California,78.2919831279741,06,107,5739.0
Tuolumne County,California,78.9180681770885,06,109,906.0
Ventura County,California,81.8702489506106,06,111,5961.0
Yolo County,California,80.8212815975969,06,113,2113.0
Yuba County,California,75.9620177615393,06,115,1144.0
Alamosa County,Colorado,76.4520030136314,08,003,317.0
Archuleta County,Colorado,81.4521899731809,08,007,270.0
Baca County,Colorado,77.5486412990339,08,009,38.0
Bent County,Colorado,76.1374880821443,08,011,157.0
Chaffee County,Colorado,81.4775538864323,08,015,175.0
Cheyenne County,Colorado,79.6909457212359,08,017,6.0
Clear Creek County,Colorado,82.2544295673685,08,019,65.0
Conejos County,Colorado,76.7644631976601,08,021,141.0
Costilla County,Colorado,77.5800045007178,08,023,25.0
Crowley County,Colorado,77.741052629939,08,025,151.0
Custer County,Colorado,80.6307957604002,08,027,0.0
Delta County,Colorado,78.5163413913364,08,029,203.0
Dolores County,Colorado,79.5945138917714,08,033,22.0
Douglas County,Colorado,83.5549156528537,08,035,779.0
Eagle County,Colorado,87.8550573815851,08,037,276.0
Elbert County,Colorado,81.5265627610726,08,039,91.0
El Paso County,Colorado,79.4766379407405,08,041,4119.0
Fremont County,Colorado,77.3282759106017,08,043,766.0
Garfield County,Colorado,80.7129313494244,08,045,447.0
Gilpin County,Colorado,80.8402892278279,08,047,6.0
Grand County,Colorado,83.6104349800547,08,049,25.0
Gunnison County,Colorado,82.4615975701476,08,051,92.0
Huerfano County,Colorado,76.7370310001646,08,055,358.0
Jackson County,Colorado,80.019428596651,08,057,13.0
Kiowa County,Colorado,77.8060630934981,08,061,6.0
Kit Carson County,Colorado,79.0396680266366,08,063,128.0
Lake County,Colorado,81.2812841315244,08,065,17.0
La Plata County,Colorado,81.9139056024152,08,067,3032.0
Larimer County,Colorado,81.5911095993052,08,069,1861.0
Las Animas County,Colorado,76.936758041852,08,071,304.0
Lincoln County,Colorado,79.2238693329103,08,073,104.0
Logan County,Colorado,79.1604272540649,08,075,194.0
Mesa County,Colorado,78.7432925415044,08,077,1168.0
Moffat County,Colorado,78.7540045777934,08,081,305.0
Montezuma County,Colorado,77.577101117793,08,083,3107.0
Montrose County,Colorado,79.6478445531103,08,085,363.0
Morgan County,Colorado,78.4127327674347,08,087,155.0
Otero County,Colorado,75.5779720298771,08,089,344.0
Ouray County,Colorado,84.5850561128476,08,091,28.0
Park County,Colorado,82.7525162279221,08,093,211.0
Phillips County,Colorado,79.9467802658477,08,095,27.0
Pitkin County,Colorado,90.0864739901917,08,097,107.0
Prowers County,Colorado,76.9893465934096,08,099,133.0
Pueblo County,Colorado,76.9509448414404,08,101,3950.0
Rio Blanco County,Colorado,79.3997581000084,08,103,139.0
Rio Grande County,Colorado,77.1572524407443,08,105,303.0
Routt County,Colorado,83.0836598314748,08,107,97.0
Saguache County,Colorado,80.0823053595073,08,109,68.0
San Miguel County,Colorado,85.7011161631391,08,113,22.0
Sedgwick County,Colorado,78.2075550504511,08,115,11.0
Summit County,Colorado,90.4822708175061,08,117,240.0
Teller County,Colorado,80.5790656291349,08,119,109.0
Washington County,Colorado,79.9836857094953,08,121,13.0
Yuma County,Colorado,79.1855876209467,08,125,9.0
Adams County,Colorado,80.2789722027987,08,001,4758.0
Arapahoe County,Colorado,80.2789722027987,08,005,3908.0
Boulder County,Colorado,80.2789722027987,08,013,1599.0
Broomfield County,Colorado,80.2789722027987,08,014,230.0
Denver County,Colorado,80.2789722027987,08,031,7045.0
Jefferson County,Colorado,80.2789722027987,08,059,4884.0
Weld County,Colorado,80.2789722027987,08,123,2390.0
Fairfield County,Connecticut,82.5631925306583,09,001,1996.0
Hartford County,Connecticut,80.5005165160435,09,003,1900.0
Litchfield County,Connecticut,80.6656905163656,09,005,275.0
Middlesex County,Connecticut,81.2879575376129,09,007,208.0
New Haven County,Connecticut,80.2317578296903,09,009,1692.0
New London County,Connecticut,80.1746538713983,09,011,1546.0
Tolland County,Connecticut,81.8740724057526,09,013,70.0
Windham County,Connecticut,79.2213286863835,09,015,349.0
Kent County,Delaware,77.6582126117263,10,001,1056.0
New Castle County,Delaware,78.7574531834631,10,003,1216.0
Sussex County,Delaware,78.7388341774585,10,005,862.0
Alachua County,Florida,78.8446436145488,12,001,717.0
Baker County,Florida,75.5067173660575,12,003,43.0
Bay County,Florida,76.361815494481,12,005,1005.0
Bradford County,Florida,76.0629032158072,12,007,36.0
Brevard County,Florida,78.154786052417,12,009,1525.0
Broward County,Florida,80.6074711604382,12,011,4807.0
Calhoun County,Florida,75.5785348350231,12,013,219.0
Charlotte County,Florida,80.4388130091559,12,015,380.0
Citrus County,Florida,76.2201643609441,12,017,513.0
Clay County,Florida,77.8317980418307,12,019,599.0
Collier County,Florida,84.4836600504725,12,021,822.0
Columbia County,Florida,75.4379875293089,12,023,230.0
Miami-Dade County,Florida,81.1399928541069,12,086,4192.0
DeSoto County,Florida,79.8065989131509,12,027,95.0
Dixie County,Florida,74.9283501697955,12,029,40.0
Duval County,Florida,76.3662413048127,12,031,2408.0
Escambia County,Florida,75.8265429872147,12,033,1506.0
Flagler County,Florida,79.5181062926383,12,035,104.0
Franklin County,Florida,76.406957616415,12,037,50.0
Gadsden County,Florida,75.8057940796264,12,039,60.0
Gilchrist County,Florida,76.9721949862259,12,041,38.0
Glades County,Florida,80.9082704676563,12,043,568.0
Gulf County,Florida,76.6223858301363,12,045,135.0
Hamilton County,Florida,76.0213829513191,12,047,87.0
Hardee County,Florida,78.7962643023069,12,049,100.0
Hendry County,Florida,77.7970458894187,12,051,711.0
Hernando County,Florida,77.2131242626512,12,053,548.0
Highlands County,Florida,79.179271786199,12,055,621.0
Hillsborough County,Florida,78.8066512790219,12,057,6635.0
Holmes County,Florida,74.345279901364,12,059,54.0
Indian River County,Florida,80.5310223845662,12,061,280.0
Jackson County,Florida,75.5087459649011,12,063,166.0
Jefferson County,Florida,77.0795832677861,12,065,31.0
Lafayette County,Florida,77.0212732340539,12,067,0.0
Lake County,Florida,79.2621560630153,12,069,1132.0
Lee County,Florida,81.7426837998132,12,071,2084.0
Leon County,Florida,79.3960410363991,12,073,1000.0
Levy County,Florida,75.3349797824728,12,075,169.0
Liberty County,Florida,76.400954234728,12,077,85.0
Madison County,Florida,75.4161304834043,12,079,9.0
Manatee County,Florida,80.6948049167801,12,081,919.0
Marion County,Florida,77.0658729461655,12,083,1274.0
Martin County,Florida,81.7022342824242,12,085,677.0
Monroe County,Florida,79.7820552632832,12,087,280.0
Nassau County,Florida,77.5913421377193,12,089,273.0
Okaloosa County,Florida,77.9811575177656,12,091,1251.0
Okeechobee County,Florida,76.5984963130413,12,093,331.0
Orange County,Florida,79.8803026532843,12,095,3079.0
Osceola County,Florida,79.3776245905727,12,097,799.0
Palm Beach County,Florida,81.8994870289193,12,099,2506.0
Pasco County,Florida,77.7506120972686,12,101,1415.0
Pinellas County,Florida,78.6728919990013,12,103,2423.0
Polk County,Florida,78.3392589820842,12,105,1749.0
Putnam County,Florida,74.6807451280498,12,107,246.0
Saint Johns County,Florida,81.0040923398974,12,109,395.0
Saint Lucie County,Florida,79.7137483124112,12,111,1081.0
Santa Rosa County,Florida,77.924490088113,12,113,995.0
Sarasota County,Florida,81.5159280206738,12,115,1093.0
Seminole County,Florida,80.3542107587214,12,117,733.0
Sumter County,Florida,81.2792040618854,12,119,269.0
Suwannee County,Florida,75.5908740871612,12,121,134.0
Taylor County,Florida,75.7787599842218,12,123,209.0
Union County,Florida,68.804653768535,12,125,172.0
Volusia County,Florida,77.2470119324166,12,127,1927.0
Wakulla County,Florida,76.637763031087,12,129,124.0
Walton County,Florida,77.7392867649656,12,131,716.0
Washington County,Florida,74.1699775225144,12,133,247.0
Appling County,Georgia,74.7913877143402,13,001,27.0
Atkinson County,Georgia,73.7714960390043,13,003,28.0
Bacon County,Georgia,73.5222086041657,13,005,0.0
Baker County,Georgia,77.9683934012373,13,007,8.0
Baldwin County,Georgia,76.3383996487831,13,009,93.0
Banks County,Georgia,76.9101211936386,13,011,17.0
Barrow County,Georgia,76.517230702492,13,013,236.0
Bartow County,Georgia,76.4533100393887,13,015,581.0
Ben Hill County,Georgia,73.6096800245677,13,017,0.0
Berrien County,Georgia,75.190867400244,13,019,14.0
Bibb County,Georgia,73.9294345070761,13,021,125.0
Bleckley County,Georgia,76.187085449615,13,023,3.0
Brantley County,Georgia,74.9365531299157,13,025,0.0
Brooks County,Georgia,75.2397600148768,13,027,24.0
Bryan County,Georgia,76.3639290976648,13,029,107.0
Bulloch County,Georgia,77.0368004262305,13,031,233.0
Burke County,Georgia,73.7898930278459,13,033,7.0
Butts County,Georgia,74.0565385862956,13,035,13.0
Calhoun County,Georgia,75.2943589362578,13,037,23.0
Camden County,Georgia,78.0008189410582,13,039,265.0
Candler County,Georgia,73.882180330007,13,043,52.0
Carroll County,Georgia,75.0924295103043,13,045,354.0
Catoosa County,Georgia,78.0009537512239,13,047,296.0
Charlton County,Georgia,76.5710378110187,13,049,82.0
Chatham County,Georgia,77.720211150539,13,051,595.0
Chattahoochee County,Georgia,77.2468365236423,13,053,87.0
Chattooga County,Georgia,73.8516363427106,13,055,17.0
Cherokee County,Georgia,79.9067687559501,13,057,865.0
Clarke County,Georgia,78.2921794435612,13,059,131.0
Clay County,Georgia,74.6488916925777,13,061,0.0
Clayton County,Georgia,76.880309592685,13,063,694.0
Clinch County,Georgia,73.4584259976083,13,065,59.0
Cobb County,Georgia,80.1366382597769,13,067,1357.0
Coffee County,Georgia,75.0163716195189,13,069,100.0
Colquitt County,Georgia,74.9122018657446,13,071,46.0
Columbia County,Georgia,80.0676296378463,13,073,315.0
Cook County,Georgia,74.7320855084491,13,075,24.0
Coweta County,Georgia,78.285359699771,13,077,128.0
Crawford County,Georgia,76.5621078535087,13,079,30.0
Crisp County,Georgia,75.609384748844,13,081,32.0
Dade County,Georgia,75.3960009690029,13,083,152.0
Dawson County,Georgia,78.1336508154396,13,085,124.0
Decatur County,Georgia,74.7007199893853,13,087,99.0
DeKalb County,Georgia,79.4962305308697,13,089,2112.0
Dodge County,Georgia,75.4421725381297,13,091,11.0
Dooly County,Georgia,78.5144079303595,13,093,11.0
Dougherty County,Georgia,75.038542335195,13,095,113.0
Douglas County,Georgia,77.4032014471524,13,097,151.0
Early County,Georgia,73.978063106976,13,099,0.0
Echols County,Georgia,77.5417724006261,13,101,11.0
Effingham County,Georgia,76.5731690017895,13,103,158.0
Elbert County,Georgia,75.0164188271286,13,105,7.0
Emanuel County,Georgia,73.1718202483777,13,107,75.0
Evans County,Georgia,75.1580822990035,13,109,1.0
Fannin County,Georgia,76.9013426301904,13,111,206.0
Fayette County,Georgia,80.9425991889622,13,113,278.0
Floyd County,Georgia,75.5586411421325,13,115,682.0
Forsyth County,Georgia,81.4700212970869,13,117,461.0
Franklin County,Georgia,74.3539985940726,13,119,5.0
Fulton County,Georgia,78.5987701241935,13,121,2251.0
Gilmer County,Georgia,78.2712613586073,13,123,35.0
Glascock County,Georgia,74.0095727000035,13,125,0.0
Glynn County,Georgia,77.3454296677488,13,127,262.0
Gordon County,Georgia,75.7664983217768,13,129,155.0
Grady County,Georgia,75.9708134350991,13,131,19.0
Greene County,Georgia,77.7291789565482,13,133,5.0
Gwinnett County,Georgia,80.5413606378106,13,135,3087.0
Habersham County,Georgia,77.6403397782881,13,137,89.0
Hall County,Georgia,78.8999066045999,13,139,660.0
Hancock County,Georgia,76.1807363127476,13,141,16.0
Haralson County,Georgia,73.5619730006166,13,143,34.0
Harris County,Georgia,79.372928241056,13,145,112.0
Hart County,Georgia,77.0624660385596,13,147,12.0
Heard County,Georgia,75.267737833288,13,149,7.0
Henry County,Georgia,77.3049999830077,13,151,376.0
Houston County,Georgia,77.5027345951035,13,153,269.0
Irwin County,Georgia,75.4290585130566,13,155,0.0
Jackson County,Georgia,76.1830898877838,13,157,194.0
Jasper County,Georgia,76.0796020621275,13,159,268.0
Jeff Davis County,Georgia,73.8214311853932,13,161,32.0
Jefferson County,Georgia,73.1652202685591,13,163,15.0
Jenkins County,Georgia,74.3679832068187,13,165,0.0
Johnson County,Georgia,76.381728931759,13,167,1.0
Jones County,Georgia,78.252880160435,13,169,0.0
Lamar County,Georgia,74.8970962853556,13,171,41.0
Lanier County,Georgia,75.8132703022645,13,173,0.0
Laurens County,Georgia,74.9950661049002,13,175,13.0
Lee County,Georgia,77.4356523334636,13,177,19.0
Liberty County,Georgia,76.903539545897,13,179,289.0
Lincoln County,Georgia,76.4916448181181,13,181,9.0
Long County,Georgia,78.5196020317748,13,183,72.0
Lowndes County,Georgia,76.2643690452204,13,185,109.0
Lumpkin County,Georgia,78.0146664866746,13,187,243.0
McDuffie County,Georgia,74.3231824430064,13,189,0.0
McIntosh County,Georgia,79.6443775538217,13,191,93.0
Macon County,Georgia,74.3214975662633,13,193,55.0
Madison County,Georgia,75.9164119646493,13,195,101.0
Marion County,Georgia,76.5565655971449,13,197,0.0
Meriwether County,Georgia,74.9750751980501,13,199,4.0
Miller County,Georgia,73.9357844275489,13,201,2.0
Mitchell County,Georgia,75.0734144121862,13,205,26.0
Monroe County,Georgia,77.4296681097743,13,207,44.0
Montgomery County,Georgia,75.6422874814565,13,209,29.0
Morgan County,Georgia,77.5413475560736,13,211,15.0
Murray County,Georgia,75.2496113616646,13,213,21.0
Muscogee County,Georgia,74.8788732502681,13,215,557.0
Newton County,Georgia,76.2508476547503,13,217,341.0
Oconee County,Georgia,80.7201006294958,13,219,11.0
Oglethorpe County,Georgia,78.2015427852691,13,221,90.0
Paulding County,Georgia,78.7263186693695,13,223,334.0
Peach County,Georgia,74.3109147998361,13,225,0.0
Pickens County,Georgia,77.4804361140647,13,227,87.0
Pierce County,Georgia,75.0941998698357,13,229,38.0
Pike County,Georgia,75.8421997692356,13,231,0.0
Polk County,Georgia,73.7361143015121,13,233,42.0
Pulaski County,Georgia,77.7938948047007,13,235,0.0
Putnam County,Georgia,77.2841027649912,13,237,2.0
Quitman County,Georgia,75.7392722815738,13,239,4.0
Rabun County,Georgia,77.6475490038442,13,241,50.0
Randolph County,Georgia,75.7955773877892,13,243,0.0
Richmond County,Georgia,74.1815498876986,13,245,674.0
Rockdale County,Georgia,77.9264352187422,13,247,120.0
Schley County,Georgia,77.7418036651367,13,249,0.0
Screven County,Georgia,74.8961507342859,13,251,17.0
Seminole County,Georgia,74.610792469006,13,253,0.0
Spalding County,Georgia,74.3370993352963,13,255,253.0
Stephens County,Georgia,73.6787807406777,13,257,64.0
Stewart County,Georgia,74.7887527287855,13,259,5.0
