County,State,mean_life_expectancy,State_FIPS,County_FIPS
Madison County,Alabama,77.6812736418888,01,089
Marengo County,Alabama,74.7186845507189,01,091
Marion County,Alabama,74.2762724525403,01,093
Marshall County,Alabama,74.4303321466104,01,095
Mobile County,Alabama,74.8490100340767,01,097
Monroe County,Alabama,74.8209930251298,01,099
Montgomery County,Alabama,75.9003460869045,01,101
Morgan County,Alabama,75.8347370895523,01,103
Perry County,Alabama,72.2544446304324,01,105
Pickens County,Alabama,74.43577342249,01,107
Pike County,Alabama,75.1264956715983,01,109
Randolph County,Alabama,74.4091051150035,01,111
Russell County,Alabama,74.0105358163694,01,113
Saint Clair County,Alabama,75.0632830286239,01,115
Shelby County,Alabama,79.3605942204235,01,117
Sumter County,Alabama,74.7921572142597,01,119
Talladega County,Alabama,73.6882547200741,01,121
Tallapoosa County,Alabama,75.077435710559,01,123
Tuscaloosa County,Alabama,75.8862020245186,01,125
Walker County,Alabama,71.1723809100068,01,127
Washington County,Alabama,74.9165994000916,01,129
Wilcox County,Alabama,72.2227020427842,01,131
Winston County,Alabama,74.4351585659774,01,133
Anchorage Municipality,Alaska,78.9245272689264,02,020
Bethel Census Area,Alaska,73.3300223061007,02,050
Bristol Bay Borough,Alaska,75.7329552494461,02,060
Fairbanks North Star Borough,Alaska,79.1817743582799,02,090
Haines Borough,Alaska,79.954475555649,02,100
Juneau City and Borough,Alaska,79.5450525828138,02,110
Kenai Peninsula Borough,Alaska,78.3433239355887,02,122
Kodiak Island Borough,Alaska,79.2454630390477,02,150
Matanuska-Susitna Borough,Alaska,78.2391649292321,02,170
Nome Census Area,Alaska,71.5217195377239,02,180
North Slope Borough,Alaska,75.6183543614843,02,185
Sitka City and Borough,Alaska,79.9193586987551,02,220
Southeast Fairbanks Census Area,Alaska,77.8836827652977,02,240
Valdez-Cordova Census Area,Alaska,77.7330094117857,02,261
Wade Hampton Census Area,Alaska,69.7239065705661,02,270
Northwest Arctic Borough,Alaska,73.3391317270434,02,188
Aleutians East Borough,Alaska,82.6311532210158,02,013
Aleutians West Census Area,Alaska,82.6311532210158,02,016
Dillingham Census Area,Alaska,74.1456948712291,02,070
Lake and Peninsula Borough,Alaska,74.1456948712291,02,164
Denali Borough,Alaska,73.4250343041214,02,068
Yukon-Koyukuk Census Area,Alaska,73.4250343041214,02,290
Hoonah-Angoon Census Area,Alaska,80.2028303887827,02,105
Skagway Municipality,Alaska,80.2028303887827,02,230
Yakutat City and Borough,Alaska,80.2028303887827,02,282
Ketchikan Gateway Borough,Alaska,78.068609555046,02,130
Petersburg Borough,Alaska,78.068609555046,02,195
Prince of Wales-Hyder Census Area,Alaska,78.068609555046,02,198
Wrangell City and Borough,Alaska,78.068609555046,02,275
Apache County,Arizona,73.9084540856657,04,001
Cochise County,Arizona,78.5158098155958,04,003
Coconino County,Arizona,78.8793918533605,04,005
Gila County,Arizona,75.4437756678515,04,007
Graham County,Arizona,77.2691123971271,04,009
Greenlee County,Arizona,78.6717121553605,04,011
Maricopa County,Arizona,79.9288361892334,04,013
Mohave County,Arizona,75.5447946246861,04,015
Navajo County,Arizona,75.3734268523667,04,017
Pima County,Arizona,79.1257429617843,04,019
Pinal County,Arizona,80.3503916261864,04,021
Santa Cruz County,Arizona,81.6652696850513,04,023
Yavapai County,Arizona,78.6639768114451,04,025
La Paz County,Arizona,81.2379419949419,04,012
Yuma County,Arizona,81.2379419949419,04,027
Arkansas County,Arkansas,74.1918526582681,05,001
Ashley County,Arkansas,74.8757442209592,05,003
Baxter County,Arkansas,76.2619900238484,05,005
Benton County,Arkansas,79.7106033533568,05,007
Boone County,Arkansas,77.0322104929616,05,009
Bradley County,Arkansas,74.2051264908246,05,011
Calhoun County,Arkansas,75.1983859359615,05,013
Carroll County,Arkansas,77.3863690630778,05,015
Chicot County,Arkansas,74.1382223635403,05,017
Clark County,Arkansas,75.6708017909048,05,019
Clay County,Arkansas,74.1188250737977,05,021
Cleburne County,Arkansas,76.7870647705504,05,023
Cleveland County,Arkansas,75.6067201090524,05,025
Columbia County,Arkansas,74.7154921560309,05,027
Conway County,Arkansas,75.6462834778638,05,029
Craighead County,Arkansas,75.9970858547541,05,031
Crawford County,Arkansas,75.859039185564,05,033
Crittenden County,Arkansas,72.7906873129834,05,035
Cross County,Arkansas,73.902156102448,05,037
Dallas County,Arkansas,73.997270780656,05,039
Desha County,Arkansas,73.6635372740047,05,041
Drew County,Arkansas,76.0491456998621,05,043
Faulkner County,Arkansas,77.0428638182801,05,045
Franklin County,Arkansas,75.5458263302084,05,047
Fulton County,Arkansas,75.7157069981427,05,049
Garland County,Arkansas,75.3565793395802,05,051
Grant County,Arkansas,75.9718993896894,05,053
Greene County,Arkansas,74.6519765281286,05,055
Hempstead County,Arkansas,75.5778491129795,05,057
Hot Spring County,Arkansas,75.3505382359784,05,059
Howard County,Arkansas,74.3256651832679,05,061
Independence County,Arkansas,75.6091104779093,05,063
Izard County,Arkansas,75.7891479102865,05,065
Jackson County,Arkansas,73.9937323531042,05,067
Jefferson County,Arkansas,74.268551625703,05,069
Johnson County,Arkansas,76.3266816154184,05,071
Lafayette County,Arkansas,74.3344974472446,05,073
Lawrence County,Arkansas,74.4406361230034,05,075
Lee County,Arkansas,73.7528783839541,05,077
Lincoln County,Arkansas,75.9947071239763,05,079
Little River County,Arkansas,74.7292562710955,05,081
Logan County,Arkansas,75.1862735405503,05,083
Lonoke County,Arkansas,75.5665406623968,05,085
Madison County,Arkansas,75.8564953768165,05,087
Marion County,Arkansas,76.1598831325385,05,089
Miller County,Arkansas,75.3580086535153,05,091
Mississippi County,Arkansas,72.3743643040729,05,093
Monroe County,Arkansas,73.6639669837679,05,095
Montgomery County,Arkansas,76.4857380467761,05,097
Nevada County,Arkansas,74.4385057234473,05,099
Newton County,Arkansas,77.1872549142482,05,101
Ouachita County,Arkansas,73.8466744763712,05,103
Perry County,Arkansas,75.443618271564,05,105
Phillips County,Arkansas,71.6632439477911,05,107
Pike County,Arkansas,75.4641983051212,05,109
Poinsett County,Arkansas,72.163013547861,05,111
Polk County,Arkansas,75.4413839671568,05,113
Pope County,Arkansas,76.8560057367961,05,115
Prairie County,Arkansas,75.7570184889654,05,117
Pulaski County,Arkansas,76.2218380686612,05,119
Randolph County,Arkansas,75.3734296495411,05,121
Saint Francis County,Arkansas,74.2245382485609,05,123
Saline County,Arkansas,77.8593505899079,05,125
Scott County,Arkansas,75.5274001529113,05,127
Searcy County,Arkansas,76.1633343825571,05,129
Sebastian County,Arkansas,76.2442660532707,05,131
Sevier County,Arkansas,75.1185438089124,05,133
Sharp County,Arkansas,75.0513967212799,05,135
Stone County,Arkansas,76.7186118545408,05,137
Union County,Arkansas,73.6116630106634,05,139
Van Buren County,Arkansas,76.8279355274677,05,141
Washington County,Arkansas,77.8831272919666,05,143
White County,Arkansas,75.7796008507232,05,145
Woodruff County,Arkansas,73.2682007226522,05,147
Yell County,Arkansas,74.8420509663272,05,149
Alameda County,California,81.179941279127,06,001
Alpine County,California,78.9935449132904,06,003
Amador County,California,79.3324881162446,06,005
Butte County,California,77.8463719684284,06,007
Calaveras County,California,79.7716665195077,06,009
Colusa County,California,79.9501913877951,06,011
Contra Costa County,California,81.219880669834,06,013
Del Norte County,California,75.8881754343473,06,015
El Dorado County,California,80.9208557138761,06,017
Fresno County,California,78.5284592662274,06,019
Glenn County,California,78.1953143390907,06,021
Humboldt County,California,76.8803106430826,06,023
Imperial County,California,80.5534276527724,06,025
Inyo County,California,78.752892524234,06,027
Kern County,California,77.0667578052571,06,029
Kings County,California,78.9431003018013,06,031
Lake County,California,75.473088303413,06,033
Lassen County,California,78.7539001396504,06,035
Los Angeles County,California,81.0136166433438,06,037
Madera County,California,79.1139069175769,06,039
Marin County,California,83.7533185766929,06,041
Mariposa County,California,80.0190986409129,06,043
Mendocino County,California,78.2787036705852,06,045
Merced County,California,78.625228768058,06,047
Modoc County,California,77.9914440928399,06,049
Mono County,California,84.4305622713204,06,051
Monterey County,California,81.7189658865755,06,053
Napa County,California,80.7468270082409,06,055
Nevada County,California,81.1341233931031,06,057
Orange County,California,82.1435660883561,06,059
Placer County,California,81.1491632857166,06,061
Plumas County,California,78.5292424780641,06,063
Riverside County,California,79.9153754863222,06,065
Sacramento County,California,78.9665402238924,06,067
San Benito County,California,81.5745185906897,06,069
San Bernardino County,California,78.1534828787786,06,071
San Diego County,California,81.0710650519569,06,073
San Francisco County,California,81.9116275615157,06,075
San Joaquin County,California,78.0792012182527,06,077
San Luis Obispo County,California,81.0937582049472,06,079
San Mateo County,California,83.0852892722084,06,081
Santa Barbara County,California,81.5837442380374,06,083
Santa Clara County,California,83.1429626894581,06,085
Santa Cruz County,California,81.2942596787779,06,087
Shasta County,California,76.2831672165384,06,089
Sierra County,California,78.6674477746131,06,091
Siskiyou County,California,77.0861117509586,06,093
Solano County,California,79.4096099315201,06,095
Sonoma County,California,80.8739347928815,06,097
Stanislaus County,California,77.914970156915,06,099
Sutter County,California,78.6484692762228,06,101
Tehama County,California,77.6115441938215,06,103
Trinity County,California,76.8900395511091,06,105
Tulare County,California,78.0507112835038,06,107
Tuolumne County,California,78.7515535765743,06,109
Ventura County,California,81.5072712738303,06,111
Yolo County,California,80.46555801959,06,113
Yuba County,California,75.90908828964,06,115
Alamosa County,Colorado,76.6963391081936,08,003
Archuleta County,Colorado,81.8417667367806,08,007
Baca County,Colorado,77.3378395388872,08,009
Bent County,Colorado,76.2901899986666,08,011
Chaffee County,Colorado,81.1531914737491,08,015
Cheyenne County,Colorado,79.2268934284715,08,017
Clear Creek County,Colorado,81.231760749876,08,019
Conejos County,Colorado,77.5897644968541,08,021
Costilla County,Colorado,77.519760534492,08,023
Crowley County,Colorado,78.1818481488891,08,025
Custer County,Colorado,80.9408178334606,08,027
Delta County,Colorado,78.7211424516256,08,029
Dolores County,Colorado,79.4782544930948,08,033
Douglas County,Colorado,83.1391910612209,08,035
Eagle County,Colorado,87.3547695726828,08,037
Elbert County,Colorado,81.1990071585455,08,039
El Paso County,Colorado,79.4783474457578,08,041
Fremont County,Colorado,77.4682516027849,08,043
Garfield County,Colorado,80.1779316083195,08,045
Gilpin County,Colorado,79.9285198421358,08,047
Grand County,Colorado,82.7640124588074,08,049
Gunnison County,Colorado,82.3313154835872,08,051
Huerfano County,Colorado,76.9251134749591,08,055
Jackson County,Colorado,80.0577016458846,08,057
Kiowa County,Colorado,78.1700559200234,08,061
Kit Carson County,Colorado,79.1104515595481,08,063
Lake County,Colorado,80.2972409604607,08,065
La Plata County,Colorado,81.5645882968348,08,067
Larimer County,Colorado,81.7027997357581,08,069
Las Animas County,Colorado,77.0734577667796,08,071
Lincoln County,Colorado,79.5436895208158,08,073
Logan County,Colorado,79.1096851547667,08,075
Mesa County,Colorado,78.8063786514366,08,077
Moffat County,Colorado,78.2422130161708,08,081
Montezuma County,Colorado,77.5133103226139,08,083
Montrose County,Colorado,79.5883545330002,08,085
Morgan County,Colorado,78.4557432659136,08,087
Otero County,Colorado,76.0475404556478,08,089
Ouray County,Colorado,83.4750265937253,08,091
Park County,Colorado,83.0305004909118,08,093
Phillips County,Colorado,80.0547891858295,08,095
Pitkin County,Colorado,88.8823040125148,08,097
Prowers County,Colorado,77.3011003097858,08,099
Pueblo County,Colorado,77.1791795160542,08,101
Rio Blanco County,Colorado,79.3320951721551,08,103
Rio Grande County,Colorado,77.0634932374188,08,105
Routt County,Colorado,82.4239266835276,08,107
Saguache County,Colorado,79.8153323535986,08,109
San Miguel County,Colorado,85.3344762972487,08,113
Sedgwick County,Colorado,77.7283737529677,08,115
Summit County,Colorado,89.6332018227845,08,117
Teller County,Colorado,80.2725641379173,08,119
Washington County,Colorado,80.1845789649949,08,121
Yuma County,Colorado,78.8938011904375,08,125
Adams County,Colorado,79.9068221609136,08,001
Arapahoe County,Colorado,79.9068221609136,08,005
Boulder County,Colorado,79.9068221609136,08,013
Broomfield County,Colorado,79.9068221609136,08,014
Denver County,Colorado,79.9068221609136,08,031
Jefferson County,Colorado,79.9068221609136,08,059
Weld County,Colorado,79.9068221609136,08,123
Fairfield County,Connecticut,82.0534401166639,09,001
Hartford County,Connecticut,80.2595555444925,09,003
Litchfield County,Connecticut,80.5704851726089,09,005
Middlesex County,Connecticut,81.2425417657587,09,007
New Haven County,Connecticut,80.0442299903512,09,009
New London County,Connecticut,80.0847059698297,09,011
Tolland County,Connecticut,81.726020098153,09,013
Windham County,Connecticut,79.0885158220872,09,015
Kent County,Delaware,77.3788066770456,10,001
New Castle County,Delaware,78.5344766056322,10,003
Sussex County,Delaware,78.5041681969226,10,005
Alachua County,Florida,78.7770539094047,12,001
Baker County,Florida,75.0193913051794,12,003
Bay County,Florida,76.6600963310457,12,005
Bradford County,Florida,75.9253189851266,12,007
Brevard County,Florida,78.4889221364657,12,009
Broward County,Florida,80.0942832523711,12,011
Calhoun County,Florida,75.7132778518708,12,013
Charlotte County,Florida,80.334770441138,12,015
Citrus County,Florida,76.651405479536,12,017
Clay County,Florida,77.7595616719361,12,019
Collier County,Florida,83.6509849110673,12,021
Columbia County,Florida,75.163244392728,12,023
Miami-Dade County,Florida,80.5768282802315,12,086
DeSoto County,Florida,79.7153436627875,12,027
Dixie County,Florida,75.3123477942444,12,029
Duval County,Florida,76.1492205690469,12,031
Escambia County,Florida,75.9564348086403,12,033
Flagler County,Florida,79.8276232173295,12,035
Franklin County,Florida,76.4691223459828,12,037
Gadsden County,Florida,75.4316248906243,12,039
Gilchrist County,Florida,76.902497017469,12,041
Glades County,Florida,80.5950070083773,12,043
Gulf County,Florida,76.739942178383,12,045
Hamilton County,Florida,75.8553197458792,12,047
Hardee County,Florida,78.6256683809731,12,049
Hendry County,Florida,77.2647736138662,12,051
Hernando County,Florida,77.2913002323746,12,053
Highlands County,Florida,79.2305451944381,12,055
Hillsborough County,Florida,78.2173740701979,12,057
Holmes County,Florida,74.6593498103933,12,059
Indian River County,Florida,80.514423600812,12,061
Jackson County,Florida,76.0204457132208,12,063
Jefferson County,Florida,76.6712465818169,12,065
Lafayette County,Florida,76.7945684883095,12,067
Lake County,Florida,79.1649904447829,12,069
Lee County,Florida,80.8185420597456,12,071
Leon County,Florida,79.3282879815388,12,073
Levy County,Florida,75.2484393131777,12,075
Liberty County,Florida,76.5266490647632,12,077
Madison County,Florida,75.4656628339582,12,079
Manatee County,Florida,80.2167644033662,12,081
Marion County,Florida,77.3829296469801,12,083
Martin County,Florida,81.339490035664,12,085
Monroe County,Florida,78.9087339940856,12,087
Nassau County,Florida,77.5565620618922,12,089
Okaloosa County,Florida,77.9724437408573,12,091
Okeechobee County,Florida,76.3549508686687,12,093
Orange County,Florida,79.3599422004831,12,095
Osceola County,Florida,79.122359139386,12,097
Palm Beach County,Florida,81.5317052326839,12,099
Pasco County,Florida,77.6162738551018,12,101
Pinellas County,Florida,78.4774883063769,12,103
Polk County,Florida,78.2030026211576,12,105
Putnam County,Florida,74.8628710858936,12,107
Saint Johns County,Florida,80.8365982367966,12,109
Saint Lucie County,Florida,79.4428721524589,12,111
Santa Rosa County,Florida,77.8470732639028,12,113
Sarasota County,Florida,81.1806711541245,12,115
Seminole County,Florida,80.2537801348851,12,117
Sumter County,Florida,80.9189268393885,12,119
Suwannee County,Florida,75.7013371659236,12,121
Taylor County,Florida,75.9599134009971,12,123
Union County,Florida,69.1563801641035,12,125
Volusia County,Florida,77.5703755182001,12,127
Wakulla County,Florida,76.6361063998762,12,129
Walton County,Florida,77.5173158287252,12,131
Washington County,Florida,74.8164458779227,12,133
Appling County,Georgia,74.6479172687847,13,001
Atkinson County,Georgia,73.7390590884175,13,003
Bacon County,Georgia,72.9285300714099,13,005
Baker County,Georgia,77.2100531040972,13,007
Baldwin County,Georgia,76.5034777087109,13,009
Banks County,Georgia,77.22059671397,13,011
Barrow County,Georgia,76.5905765972791,13,013
Bartow County,Georgia,75.9819426687657,13,015
Ben Hill County,Georgia,73.6661839861809,13,017
Berrien County,Georgia,75.1965298182129,13,019
Bibb County,Georgia,73.9104121157009,13,021
Bleckley County,Georgia,75.754877584547,13,023
Brantley County,Georgia,74.3575815405231,13,025
Brooks County,Georgia,75.4253971128174,13,027
Bryan County,Georgia,76.1554909616804,13,029
Bulloch County,Georgia,76.7486759915804,13,031
Burke County,Georgia,73.3716189418182,13,033
Butts County,Georgia,74.3478368792705,13,035
Calhoun County,Georgia,75.0940526301267,13,037
Camden County,Georgia,77.4316704113391,13,039
Candler County,Georgia,74.1066767238026,13,043
Carroll County,Georgia,75.4529388701839,13,045
Catoosa County,Georgia,77.8405922553978,13,047
Charlton County,Georgia,76.5246425660516,13,049
Chatham County,Georgia,77.0092010118935,13,051
Chattahoochee County,Georgia,77.0179427436597,13,053
Chattooga County,Georgia,74.2589453241055,13,055
Cherokee County,Georgia,79.6208313565863,13,057
Clarke County,Georgia,78.4479609592585,13,059
Clay County,Georgia,74.7458675515417,13,061
Clayton County,Georgia,76.4156872273503,13,063
Clinch County,Georgia,73.5521807101826,13,065
Cobb County,Georgia,79.7810919631124,13,067
Coffee County,Georgia,74.9573603921211,13,069
Colquitt County,Georgia,75.1415818569272,13,071
Columbia County,Georgia,79.7230489657715,13,073
Cook County,Georgia,74.6496411919218,13,075
Coweta County,Georgia,77.935687004584,13,077
Crawford County,Georgia,76.3285482290336,13,079
Crisp County,Georgia,75.4455260205925,13,081
Dade County,Georgia,75.7316597018042,13,083
Dawson County,Georgia,77.3901997689642,13,085
Decatur County,Georgia,74.6421521474715,13,087
DeKalb County,Georgia,78.9519243681028,13,089
Dodge County,Georgia,75.2828110859713,13,091
Dooly County,Georgia,77.9061037203367,13,093
Dougherty County,Georgia,74.977732696156,13,095
Douglas County,Georgia,77.0233910568544,13,097
Early County,Georgia,73.8534397633276,13,099
Echols County,Georgia,77.3636711489692,13,101
Effingham County,Georgia,76.6010262183459,13,103
Elbert County,Georgia,74.9400562294422,13,105
Emanuel County,Georgia,73.2595778318929,13,107
Evans County,Georgia,74.9743009863642,13,109
Fannin County,Georgia,76.5538327275574,13,111
Fayette County,Georgia,80.7282305213749,13,113
Floyd County,Georgia,75.5976787240802,13,115
Forsyth County,Georgia,80.8059260613096,13,117
Franklin County,Georgia,75.0136761321575,13,119
Fulton County,Georgia,77.7652771197921,13,121
Gilmer County,Georgia,77.9027541700262,13,123
Glascock County,Georgia,74.0635841517601,13,125
Glynn County,Georgia,76.7477911576814,13,127
Gordon County,Georgia,75.8057920389231,13,129
Grady County,Georgia,75.54472705139,13,131
Greene County,Georgia,76.8047359742694,13,133
Gwinnett County,Georgia,80.1623411534855,13,135
Habersham County,Georgia,78.028586331561,13,137
Hall County,Georgia,78.5791857449965,13,139
Hancock County,Georgia,75.8629185337197,13,141
Haralson County,Georgia,73.6355829590626,13,143
Harris County,Georgia,79.313326919603,13,145
Hart County,Georgia,76.9668636514778,13,147
Heard County,Georgia,75.0104189497113,13,149
Henry County,Georgia,77.2811147079901,13,151
Houston County,Georgia,77.6762709950397,13,153
Irwin County,Georgia,75.170818155357,13,155
Jackson County,Georgia,76.1862621335188,13,157
Jasper County,Georgia,76.4950614733185,13,159
Jeff Davis County,Georgia,73.6499787758248,13,161
Jefferson County,Georgia,73.1120301239527,13,163
Jenkins County,Georgia,74.584225344845,13,165
Johnson County,Georgia,76.5524395378718,13,167
Jones County,Georgia,78.1868949432274,13,169
Lamar County,Georgia,74.7191707350282,13,171
Lanier County,Georgia,75.4527126400195,13,173
Laurens County,Georgia,75.2287523147451,13,175
Lee County,Georgia,77.1767669321323,13,177
Liberty County,Georgia,76.5474651129355,13,179
Lincoln County,Georgia,75.9161809985169,13,181
Long County,Georgia,77.6785912924649,13,183
Lowndes County,Georgia,75.9955756105968,13,185
Lumpkin County,Georgia,77.5551478002492,13,187
McDuffie County,Georgia,74.1157852511108,13,189
McIntosh County,Georgia,78.9875365193054,13,191
Macon County,Georgia,74.2366069683368,13,193
Madison County,Georgia,75.773092911989,13,195
Marion County,Georgia,75.7730552117535,13,197
Meriwether County,Georgia,74.9294708886383,13,199
Miller County,Georgia,74.0698526980993,13,201
Mitchell County,Georgia,74.9648045250289,13,205
Monroe County,Georgia,76.924682080947,13,207
Montgomery County,Georgia,75.5079809793038,13,209
Morgan County,Georgia,77.6479295730775,13,211
Murray County,Georgia,75.0104403747942,13,213
Muscogee County,Georgia,74.6010015415046,13,215
Newton County,Georgia,76.4136784803602,13,217
Oconee County,Georgia,80.5100841362923,13,219
Oglethorpe County,Georgia,78.1076181574944,13,221
Paulding County,Georgia,78.2926201964089,13,223
Peach County,Georgia,74.1527133635285,13,225
Pickens County,Georgia,77.2239980109383,13,227
Pierce County,Georgia,74.7300046207981,13,229
Pike County,Georgia,76.1992674869954,13,231
Polk County,Georgia,73.5854385881452,13,233
Pulaski County,Georgia,76.8368447437883,13,235
Putnam County,Georgia,77.2646502473998,13,237
Quitman County,Georgia,75.1677960141857,13,239
Rabun County,Georgia,77.8207162007099,13,241
Randolph County,Georgia,75.6752966461579,13,243
Richmond County,Georgia,74.0231495294293,13,245
Rockdale County,Georgia,78.0335650034011,13,247
Schley County,Georgia,77.0679783120373,13,249
Screven County,Georgia,74.6154718274931,13,251
Seminole County,Georgia,74.4043679489624,13,253
Spalding County,Georgia,74.7540701074388,13,255
Stephens County,Georgia,73.9660329752277,13,257
Stewart County,Georgia,74.4606261663981,13,259
Sumter County,Georgia,75.1953290129462,13,261
Talbot County,Georgia,74.9744645182312,13,263
Taliaferro County,Georgia,75.1969396796874,13,265
Tattnall County,Georgia,75.0250530980486,13,267
Taylor County,Georgia,74.8104733757673,13,269
Telfair County,Georgia,77.2724607997903,13,271
Terrell County,Georgia,74.2768650783456,13,273
Thomas County,Georgia,75.4170753007252,13,275
Tift County,Georgia,75.8172490113563,13,277
Toombs County,Georgia,74.4568732876715,13,279
Towns County,Georgia,78.009032243579,13,281
Treutlen County,Georgia,74.888544653219,13,283
Troup County,Georgia,75.4871740297183,13,285
Turner County,Georgia,73.9656185151389,13,287
Twiggs County,Georgia,74.7365724225364,13,289
Union County,Georgia,78.2227829104839,13,291
Upson County,Georgia,73.7820803717929,13,293
Walker County,Georgia,75.1773182461403,13,295
Walton County,Georgia,76.8825394962073,13,297
Ware County,Georgia,74.5324082473895,13,299
Warren County,Georgia,73.8786642066213,13,301
Washington County,Georgia,75.2788989574284,13,303
Wayne County,Georgia,74.4003750591868,13,305
Webster County,Georgia,78.5706368990332,13,307
Wheeler County,Georgia,76.9346457792083,13,309
White County,Georgia,78.4497197430295,13,311
Whitfield County,Georgia,77.0832510957469,13,313
Wilcox County,Georgia,75.158460010912,13,315
Wilkes County,Georgia,75.1313570189964,13,317
Wilkinson County,Georgia,74.7458217665171,13,319
Worth County,Georgia,76.3761202732526,13,321
Hawaii County,Hawaii,79.9021805477702,15,001
Honolulu County,Hawaii,81.4372917823407,15,003
Kauai County,Hawaii,80.892712497556,15,007
Kalawao County,Hawaii,81.0521480376699,15,005
Maui County,Hawaii,81.0521480376699,15,009
Ada County,Idaho,80.4659988746763,16,001
Adams County,Idaho,80.6177829884253,16,003
Bannock County,Idaho,77.8275630698745,16,005
Bear Lake County,Idaho,78.4985916438357,16,007
Benewah County,Idaho,76.439236457947,16,009
Bingham County,Idaho,78.319333862563,16,011
Blaine County,Idaho,84.2346957802856,16,013
Boise County,Idaho,80.8851870096994,16,015
Bonner County,Idaho,78.9780067242656,16,017
Bonneville County,Idaho,78.6039524599321,16,019
Boundary County,Idaho,77.8305690835646,16,021
Butte County,Idaho,79.1350494931734,16,023
Camas County,Idaho,81.1525954064987,16,025
Canyon County,Idaho,78.9646848676507,16,027
Caribou County,Idaho,78.0992977779889,16,029
Cassia County,Idaho,78.1516074488616,16,031
Clearwater County,Idaho,78.3457830900889,16,035
Custer County,Idaho,80.6620609791676,16,037
Elmore County,Idaho,78.0859851888431,16,039
Franklin County,Idaho,79.9228514635355,16,041
Fremont County,Idaho,79.4109937842938,16,043
Gem County,Idaho,78.124536695093,16,045
Gooding County,Idaho,78.0336188098876,16,047
Idaho County,Idaho,79.1503933228207,16,049
Jefferson County,Idaho,80.0203598175136,16,051
Jerome County,Idaho,78.4400077598823,16,053
Kootenai County,Idaho,79.4993703162829,16,055
Latah County,Idaho,81.0236157687751,16,057
Lemhi County,Idaho,78.5745335855377,16,059
Lewis County,Idaho,78.561911947684,16,061
Lincoln County,Idaho,78.2470106709795,16,063
Madison County,Idaho,80.8021284382066,16,065
Minidoka County,Idaho,78.1305837825129,16,067
Nez Perce County,Idaho,77.8848846964467,16,069
Oneida County,Idaho,79.4559286301124,16,071
Owyhee County,Idaho,78.4827890248785,16,073
Payette County,Idaho,78.3055092311615,16,075
Power County,Idaho,78.3117990764662,16,077
Shoshone County,Idaho,75.9229965637296,16,079
Teton County,Idaho,82.1241124883669,16,081
Twin Falls County,Idaho,77.9153831457345,16,083
Valley County,Idaho,82.1218180342936,16,085
Washington County,Idaho,78.6555940857741,16,087
Adams County,Illinois,78.2155047259361,17,001
Alexander County,Illinois,74.0838013699826,17,003
Bond County,Illinois,78.5259346307229,17,005
Boone County,Illinois,79.6185510539869,17,007
Brown County,Illinois,78.521214694586,17,009
Bureau County,Illinois,78.8281003663895,17,011
Calhoun County,Illinois,79.3450498823769,17,013
Carroll County,Illinois,78.9450647809369,17,015
Cass County,Illinois,77.071667296571,17,017
Champaign County,Illinois,80.4408088937956,17,019
Christian County,Illinois,77.4558037293564,17,021
Clark County,Illinois,77.1315459687779,17,023
Clay County,Illinois,77.1564624781176,17,025
Clinton County,Illinois,79.3319927187848,17,027
Coles County,Illinois,78.2343708155223,17,029
Cook County,Illinois,78.7675340619824,17,031
Crawford County,Illinois,77.5255151518973,17,033
