County,State,mean_life_expectancy,State_FIPS,County_FIPS,disability_rate
San Joaquin County,California,78.22543142894,06,077,12.4
San Luis Obispo County,California,81.3157003484936,06,079,11.5
San Mateo County,California,84.3845629127664,06,081,8.5
Santa Barbara County,California,81.7643311735787,06,083,9.9
Santa Clara County,California,84.2543556639128,06,085,7.9
Santa Cruz County,California,82.4374330425814,06,087,11.1
Shasta County,California,76.0083184102708,06,089,17.8
Sierra County,California,78.7559184759067,06,091,13.2
Siskiyou County,California,76.3397555392635,06,093,19.4
Solano County,California,79.9136116310706,06,095,12.4
Sonoma County,California,81.7938284667815,06,097,12.1
Stanislaus County,California,77.7850070672191,06,099,13.2
Sutter County,California,78.5169447108835,06,101,13.8
Tehama County,California,77.2351720137537,06,103,20.1
Trinity County,California,76.4541995192134,06,105,21.4
Tulare County,California,78.1677031872242,06,107,12.1
Tuolumne County,California,78.6328973173773,06,109,19.0
Ventura County,California,82.0434292248645,06,111,10.9
Yolo County,California,81.0912989720667,06,113,9.3
Yuba County,California,75.7914021288201,06,115,15.8
Alamosa County,Colorado,75.9550396158801,08,003,18.4
Archuleta County,Colorado,81.8918030047636,08,007,14.5
Baca County,Colorado,77.3383444138467,08,009,21.1
Bent County,Colorado,75.9748616124026,08,011,25.4
Chaffee County,Colorado,81.4641560038579,08,015,16.9
Cheyenne County,Colorado,78.6879955565073,08,017,13.1
Clear Creek County,Colorado,82.6610229885307,08,019,9.7
Conejos County,Colorado,76.4373705834421,08,021,19.8
Costilla County,Colorado,77.0920679641841,08,023,28.1
Crowley County,Colorado,76.8847458813323,08,025,21.6
Custer County,Colorado,81.3761757630446,08,027,18.4
Delta County,Colorado,78.0299071880757,08,029,18.8
Dolores County,Colorado,79.4560888187491,08,033,22.3
Douglas County,Colorado,83.6399311898685,08,035,6.6
Eagle County,Colorado,88.7167159091399,08,037,4.3
Elbert County,Colorado,81.8237081925238,08,039,10.0
El Paso County,Colorado,78.8347552744772,08,041,12.4
Fremont County,Colorado,77.2051035308431,08,043,18.8
Garfield County,Colorado,80.6819634064959,08,045,8.2
Gilpin County,Colorado,81.7945176234942,08,047,8.7
Grand County,Colorado,84.0098966721527,08,049,5.1
Gunnison County,Colorado,82.913042229065,08,051,7.8
Huerfano County,Colorado,75.4585720983573,08,055,23.8
Jackson County,Colorado,79.59835257654,08,057,6.7
Kiowa County,Colorado,77.3704120148078,08,061,14.5
Kit Carson County,Colorado,79.5622504984928,08,063,14.1
Lake County,Colorado,82.0248236188546,08,065,11.9
La Plata County,Colorado,81.9648873514121,08,067,8.9
Larimer County,Colorado,81.6003124510936,08,069,9.8
Las Animas County,Colorado,76.5856454888699,08,071,21.6
Lincoln County,Colorado,78.552506862319,08,073,15.7
Logan County,Colorado,79.4270063355196,08,075,13.8
Mesa County,Colorado,78.3834696871957,08,077,14.6
Moffat County,Colorado,78.3900592917377,08,081,11.5
Montezuma County,Colorado,77.4763661365105,08,083,17.3
Montrose County,Colorado,79.5886762336159,08,085,16.9
Morgan County,Colorado,78.2634199069944,08,087,11.7
Otero County,Colorado,75.1862520954706,08,089,21.0
Ouray County,Colorado,84.2141800769531,08,091,13.2
Park County,Colorado,82.8974961064367,08,093,11.6
Phillips County,Colorado,80.5145148117585,08,095,11.6
Pitkin County,Colorado,91.3769660058971,08,097,3.8
Prowers County,Colorado,76.8437289856315,08,099,18.0
Pueblo County,Colorado,76.4093117151939,08,101,19.1
Rio Blanco County,Colorado,78.8548637165788,08,103,10.5
Rio Grande County,Colorado,76.8193945628893,08,105,18.6
Routt County,Colorado,83.4376463460472,08,107,5.1
Saguache County,Colorado,79.6752296378427,08,109,17.4
San Miguel County,Colorado,86.3598650866599,08,113,6.8
Sedgwick County,Colorado,77.7498097799942,08,115,16.8
Summit County,Colorado,91.6203651627367,08,117,6.3
Teller County,Colorado,80.6009263302177,08,119,14.5
Washington County,Colorado,79.4354096367131,08,121,11.8
Yuma County,Colorado,79.0815160968291,08,125,12.0
Adams County,Colorado,80.5457104115307,08,001,10.5
Arapahoe County,Colorado,80.5457104115307,08,005,9.0
Boulder County,Colorado,80.5457104115307,08,013,8.1
Broomfield County,Colorado,80.5457104115307,08,014,8.2
Denver County,Colorado,80.5457104115307,08,031,9.7
Jefferson County,Colorado,80.5457104115307,08,059,9.9
Weld County,Colorado,80.5457104115307,08,123,10.1
Fairfield County,Connecticut,82.7977032113756,09,001,9.2
Hartford County,Connecticut,80.2331635773284,09,003,11.8
Litchfield County,Connecticut,80.3658992109622,09,005,11.0
Middlesex County,Connecticut,81.247531185785,09,007,10.8
New Haven County,Connecticut,80.122180105688,09,009,11.4
New London County,Connecticut,79.826808998402,09,011,12.9
Tolland County,Connecticut,81.7788690174239,09,013,10.1
Windham County,Connecticut,78.8197586759148,09,015,13.7
Kent County,Delaware,77.2112341918458,10,001,14.5
New Castle County,Delaware,78.2865084160653,10,003,11.0
Sussex County,Delaware,78.5673807823887,10,005,14.1
Alachua County,Florida,78.4535602220354,12,001,10.7
Baker County,Florida,74.9514582037514,12,003,17.3
Bay County,Florida,75.7253025508484,12,005,19.5
Bradford County,Florida,75.0073944133113,12,007,19.9
Brevard County,Florida,77.2716340365655,12,009,15.6
Broward County,Florida,80.4755284438197,12,011,11.0
Calhoun County,Florida,74.6914495357496,12,013,22.0
Charlotte County,Florida,80.1348066988875,12,015,21.9
Citrus County,Florida,75.1336556402493,12,017,21.4
Clay County,Florida,77.1640126531372,12,019,13.6
Collier County,Florida,84.9489435983752,12,021,11.4
Columbia County,Florida,74.9542147993122,12,023,19.5
Miami-Dade County,Florida,81.0909251968586,12,086,10.1
DeSoto County,Florida,79.1692556409631,12,027,14.1
Dixie County,Florida,74.5193170945958,12,029,24.5
Duval County,Florida,75.6970284676225,12,031,13.5
Escambia County,Florida,74.9537469330096,12,033,15.0
Flagler County,Florida,78.8020239192313,12,035,16.0
Franklin County,Florida,75.9928495625828,12,037,21.8
Gadsden County,Florida,75.3416140743242,12,039,20.1
Gilchrist County,Florida,76.6196658152052,12,041,21.0
Glades County,Florida,80.213599524511,12,043,20.4
Gulf County,Florida,76.31210239981,12,045,18.6
Hamilton County,Florida,75.1836206795715,12,047,22.6
Hardee County,Florida,78.2553790330659,12,049,10.1
Hendry County,Florida,77.0832219158998,12,051,12.7
Hernando County,Florida,76.4160896851137,12,053,19.1
Highlands County,Florida,78.2770855206328,12,055,20.4
Hillsborough County,Florida,78.7539862110352,12,057,11.5
Holmes County,Florida,72.9734087683611,12,059,24.0
Indian River County,Florida,80.0688913457515,12,061,16.6
Jackson County,Florida,74.4322343859382,12,063,19.6
Jefferson County,Florida,76.9589195702897,12,065,16.4
Lafayette County,Florida,76.8777569268263,12,067,17.2
Lake County,Florida,78.2469781435388,12,069,16.4
Lee County,Florida,81.5729772276075,12,071,13.6
Leon County,Florida,79.0301737876123,12,073,11.4
Levy County,Florida,74.7957604460706,12,075,19.9
Liberty County,Florida,75.7134300877082,12,077,24.5
Madison County,Florida,75.0211610783484,12,079,19.1
Manatee County,Florida,80.4145051875017,12,081,14.1
Marion County,Florida,75.9104693910342,12,083,18.1
Martin County,Florida,81.3154961822022,12,085,15.2
Monroe County,Florida,79.8589989128447,12,087,11.1
Nassau County,Florida,77.2494441968309,12,089,16.0
Okaloosa County,Florida,77.4373108710462,12,091,15.2
Okeechobee County,Florida,75.9744426993115,12,093,15.2
Orange County,Florida,79.6595177084295,12,095,10.9
Osceola County,Florida,78.9109833340189,12,097,14.4
Palm Beach County,Florida,81.4781513545173,12,099,12.3
Pasco County,Florida,77.209084296734,12,101,16.2
Pinellas County,Florida,78.4281181387948,12,103,15.3
Polk County,Florida,77.8067617494822,12,105,15.4
Putnam County,Florida,73.901215098391,12,107,18.0
Saint Johns County,Florida,80.7073688844269,12,109,11.3
Saint Lucie County,Florida,79.4596418043113,12,111,15.7
Santa Rosa County,Florida,77.3915324879814,12,113,15.9
Sarasota County,Florida,81.0591538508499,12,115,15.5
Seminole County,Florida,79.9049694273451,12,117,10.3
Sumter County,Florida,80.4754543414289,12,119,19.6
Suwannee County,Florida,75.1589535656509,12,121,19.5
Taylor County,Florida,74.7285796616171,12,123,22.7
Union County,Florida,67.7658357745847,12,125,15.4
Volusia County,Florida,76.3372145765431,12,127,17.0
Wakulla County,Florida,76.4018685621857,12,129,16.2
Walton County,Florida,77.6910869065515,12,131,16.6
Washington County,Florida,72.8104666515528,12,133,19.6
Appling County,Georgia,74.1097615751301,13,001,19.1
Atkinson County,Georgia,73.5443620196483,13,003,15.1
Bacon County,Georgia,72.6255878368236,13,005,19.4
Baker County,Georgia,77.2147827275408,13,007,22.1
Baldwin County,Georgia,75.9591221129701,13,009,15.8
Banks County,Georgia,76.8075277666983,13,011,16.3
Barrow County,Georgia,76.6625325239611,13,013,13.0
Bartow County,Georgia,76.4675113465904,13,015,14.2
Ben Hill County,Georgia,73.0822171824974,13,017,16.1
Berrien County,Georgia,74.4055440206896,13,019,19.8
Bibb County,Georgia,73.8807694893633,13,021,15.6
Bleckley County,Georgia,75.8889059006946,13,023,16.8
Brantley County,Georgia,74.4239219349596,13,025,21.6
Brooks County,Georgia,74.7858557927481,13,027,17.4
Bryan County,Georgia,76.1882691853995,13,029,12.1
Bulloch County,Georgia,77.005128319724,13,031,13.3
Burke County,Georgia,73.9364629181846,13,033,14.4
Butts County,Georgia,74.038792732603,13,035,15.8
Calhoun County,Georgia,74.4490104932185,13,037,16.7
Camden County,Georgia,78.0381542177322,13,039,12.1
Candler County,Georgia,73.5454730234984,13,043,18.1
Carroll County,Georgia,75.3050871542808,13,045,14.7
Catoosa County,Georgia,77.7463764116626,13,047,14.7
Charlton County,Georgia,76.401462816314,13,049,20.2
Chatham County,Georgia,77.6961215377425,13,051,14.0
Chattahoochee County,Georgia,77.3047046244563,13,053,10.9
Chattooga County,Georgia,73.540698248083,13,055,18.0
Cherokee County,Georgia,80.0614584461507,13,057,9.9
Clarke County,Georgia,78.885669773019,13,059,11.1
Clay County,Georgia,74.0815653772769,13,061,20.7
Clayton County,Georgia,76.698286556638,13,063,10.7
Clinch County,Georgia,72.462441517972,13,065,15.3
Cobb County,Georgia,80.4588649148347,13,067,8.5
Coffee County,Georgia,74.4493273658183,13,069,18.9
Colquitt County,Georgia,74.1088665777009,13,071,14.3
Columbia County,Georgia,80.1413477711469,13,073,11.5
Cook County,Georgia,74.4180129870213,13,075,18.1
Coweta County,Georgia,78.5194372038008,13,077,10.7
Crawford County,Georgia,75.6413346632261,13,079,17.3
Crisp County,Georgia,74.6751370900589,13,081,17.9
Dade County,Georgia,75.3267305299081,13,083,17.3
Dawson County,Georgia,78.1651309282708,13,085,14.8
Decatur County,Georgia,73.6932293189229,13,087,17.1
DeKalb County,Georgia,80.1708909176351,13,089,10.3
Dodge County,Georgia,75.2115210970033,13,091,18.9
Dooly County,Georgia,78.3861163186296,13,093,21.2
Dougherty County,Georgia,74.4307031989871,13,095,15.6
Douglas County,Georgia,77.6118621931012,13,097,11.7
Early County,Georgia,73.4100397646834,13,099,14.6
Echols County,Georgia,77.3138543207156,13,101,14.9
Effingham County,Georgia,76.5227017348973,13,103,12.6
Elbert County,Georgia,74.4652122951677,13,105,20.2
Emanuel County,Georgia,72.8374850896249,13,107,18.8
Evans County,Georgia,74.9623415964071,13,109,16.7
Fannin County,Georgia,77.3602030871136,13,111,24.5
Fayette County,Georgia,81.0336445526931,13,113,9.6
Floyd County,Georgia,75.0961301003414,13,115,15.3
Forsyth County,Georgia,81.9106821070703,13,117,7.2
Franklin County,Georgia,73.9741040026346,13,119,19.5
Fulton County,Georgia,79.2621914216746,13,121,10.1
Gilmer County,Georgia,78.0716109761037,13,123,20.1
Glascock County,Georgia,73.4032244860579,13,125,13.7
Glynn County,Georgia,77.4064219080965,13,127,15.7
Gordon County,Georgia,75.5910815019174,13,129,18.7
Grady County,Georgia,75.6390967986397,13,131,20.8
Greene County,Georgia,78.0771638862825,13,133,15.0
Gwinnett County,Georgia,80.8576416981151,13,135,6.9
Habersham County,Georgia,77.4621360966414,13,137,16.5
Hall County,Georgia,79.0513221599094,13,139,11.0
Hancock County,Georgia,75.4561378964738,13,141,16.0
Haralson County,Georgia,73.4638395369125,13,143,18.3
Harris County,Georgia,79.4514638028953,13,145,18.2
Hart County,Georgia,77.0465029717568,13,147,20.2
Heard County,Georgia,74.935041415743,13,149,19.4
Henry County,Georgia,77.4629291963644,13,151,10.4
Houston County,Georgia,77.4534964434465,13,153,13.2
Irwin County,Georgia,74.9026897719718,13,155,20.5
Jackson County,Georgia,76.5773842944624,13,157,13.6
Jasper County,Georgia,75.8994510443067,13,159,17.6
Jeff Davis County,Georgia,73.3471646371562,13,161,16.6
Jefferson County,Georgia,72.7895471617176,13,163,15.4
Jenkins County,Georgia,73.4074632261848,13,165,14.4
Johnson County,Georgia,76.0443954513394,13,167,18.0
Jones County,Georgia,77.942514638968,13,169,14.8
Lamar County,Georgia,74.6480848746682,13,171,14.3
Lanier County,Georgia,75.5741908250113,13,173,17.9
Laurens County,Georgia,74.6415276577823,13,175,13.4
Lee County,Georgia,76.6576573244205,13,177,10.4
Liberty County,Georgia,76.4063478776102,13,179,13.6
Lincoln County,Georgia,76.4608108585207,13,181,18.4
Long County,Georgia,78.6678466420593,13,183,17.2
Lowndes County,Georgia,75.9053554729163,13,185,11.8
Lumpkin County,Georgia,77.8193013989251,13,187,15.8
McDuffie County,Georgia,73.9498156118123,13,189,13.9
McIntosh County,Georgia,79.9990111330534,13,191,21.9
Macon County,Georgia,73.723715857393,13,193,17.1
Madison County,Georgia,76.1066582067992,13,195,18.1
Marion County,Georgia,76.443197414621,13,197,14.6
Meriwether County,Georgia,74.5741063488475,13,199,21.2
Miller County,Georgia,73.2470191384742,13,201,13.0
Mitchell County,Georgia,74.0620100864053,13,205,17.6
Monroe County,Georgia,77.7871454148834,13,207,14.3
Montgomery County,Georgia,75.0883350470393,13,209,18.1
Morgan County,Georgia,77.5186789574759,13,211,15.2
Murray County,Georgia,74.9700556257629,13,213,14.5
Muscogee County,Georgia,74.2394264544026,13,215,17.6
Newton County,Georgia,76.2607976221268,13,217,15.3
Oconee County,Georgia,81.2570674760447,13,219,9.9
Oglethorpe County,Georgia,77.8557806138768,13,221,15.8
Paulding County,Georgia,78.7395615987406,13,223,9.8
Peach County,Georgia,73.6937146784614,13,225,17.6
Pickens County,Georgia,77.29387497581,13,227,16.1
Pierce County,Georgia,74.3784226065327,13,229,17.0
Pike County,Georgia,75.618283423444,13,231,12.7
Polk County,Georgia,73.3637862551743,13,233,15.5
Pulaski County,Georgia,77.923376389831,13,235,20.4
Putnam County,Georgia,77.7080975315866,13,237,14.3
Quitman County,Georgia,75.7151571732725,13,239,22.0
Rabun County,Georgia,77.1270289914812,13,241,20.0
Randolph County,Georgia,74.8773742416869,13,243,16.4
Richmond County,Georgia,73.8895818653717,13,245,16.8
Rockdale County,Georgia,77.6928428558949,13,247,9.9
Schley County,Georgia,77.058150222235,13,249,16.6
Screven County,Georgia,74.6085022351091,13,251,16.6
Seminole County,Georgia,73.5921597026236,13,253,17.7
Spalding County,Georgia,74.3781789988297,13,255,16.1
Stephens County,Georgia,73.7027569889285,13,257,19.5
Stewart County,Georgia,74.37185142151,13,259,19.1
Sumter County,Georgia,74.3526146490998,13,261,13.7
